20090223161257AAJHL6X	Politics & Government;Politics	Do liberals think that banks in the USA should be nationalized?	Much like in China and Cuba?
20090222124700AA1B41h	Politics & Government;Law Enforcement & Police	Is it difficult to get accepted into an FBI internship?	I am just exploring all my avenues of interest. I am currently in Army ROTC and it looks like I cannot serve in the military due to a back injury (however, you never know, it may heal fully). Anyway, the FBI has an honors internship program I would like to get into.  http://www.fbijobs.gov/2399.asp#4       Here's some info on me:      - 3.06 GPA, over 101 hours completed for a Political Science BA, going to pursue postgraduate degree/s.      - Spent a year of study at Oxford University (got all Bs and brought down my GPA from a 3.58).      - Tons of extracurriculars and community service including several leadership positions.      - Proficient (yet not fluent) in Serbo-Croatian, working knowledge of German, learning Russian.      Do I have a chance? Thanks!
20090222135454AAtcYF0	Politics & Government;Politics	What is the difference between John McCain and Barack Obama?	N/A
20090222140107AAZxSp3	Politics & Government;Government	Are dems fully behind Obama with the surge of 17000 more troops?	N/A
20090222131822AAp0V76	Politics & Government;Politics	Should Alan Keyes be committed to an insane asylum?	N/A
20090222135417AAIJxaZ	Politics & Government;Law Enforcement & Police	Essay Question on Police?	Hi      I have to write a 400 Word essay on what it takes to be a good leader in policing? Any good ideas on it. I have 3 Ideas so far Honest, Integrity, Charismatic. It is for my college application to become a police officer. Any ideas to help do really good on it would be greatly appreciated.      Thanks
20090222124756AAu8XBC	Politics & Government;Law & Ethics	Claiming no man's land..?	There is a spinney at the bottom of our garden. It backs onto about 8 gardens,and is full of rubbish and dead wood piles.It is totally overgrow and there is no way of entering it apart from through one of the gardens. We hae tried to trace the owners but nobody can find an owner, it is thought to have been a leftover piece from when houses and gardens we built on an old orchard. The council says we can claim once we have lived here for 12 years or more, so 2 1/2 years left, but is there more instant sort of way to get it? I mean rats and stuff live in it so you could probably say about that. Nobody else wants it.
20090222121223AALnwQn	Politics & Government;Law Enforcement & Police	Why isn't there any action in London to remove guns from criminals?	Other cities sometimes have amnesties and gun buy-backs, or just increase regulation.      Why doesn't London do this?
20090222141252AAUczza	Politics & Government;Elections	Is Obama up for an Oscar as "Best Actor to play outside of a movie"?	N/A
20090222141117AAs55We	Politics & Government;Law & Ethics	How do amendments 15, 19, and 26 reflect changes in attitudes about equality?	N/A
20090222132305AAxs5mw	Politics & Government;Politics	How silly does Obama look now that GOP governors are not accepting his spendulus money?	 http://www.foxnews.com/politics/first100...       This marks the end of Obamas presidency as we know it.  I love that the GOP is going to stop the out of control spending of the Democrats, who by the way are responsible for the recession, fact.      They have controlled Congress for years now, spending all our money, fact.  Thank you GOP, for being fiscally conservative during these times of Democrat led spending.
20090222134952AAq2T84	Politics & Government;Law Enforcement & Police	Why is Crystal Meth illegal?	dangerous!   or does it come in handy?      Let me know what you think.
20090222140256AAtaHTM	Politics & Government;Government	What % could unemployment reach?	If we are headed for an economic depression worse than The Great Depression like everyone says, will we really reach a 25% unemployment rate?
20090222133448AAoCx6Y	Politics & Government;Politics	Exactly three words to describe George w Bush?	N/A
20090222133839AAieOK0	Politics & Government;Law Enforcement & Police	What is the difference between the 'degrees of murder'?	like 1st, 2nd, and 3rd degree murder, rape, etc.      can someone explain the difference!
20090222123317AAPffEz	Politics & Government;Law & Ethics	Patent, student highschool?	I want to patent a something mechanical i've got an idea for, but i need to find out if it's already been patented, or not patentable.   I also need to put in the temporary patent asap so i can work on the prototype.   Is there anything i can do on a small budget right now to ensure my idea doesn't get taken?
20090222122830AAmrpSB	Politics & Government;Law & Ethics	Prohibition statistics.?	N/A
20090222130411AAgRCNp	Politics & Government;Other - Politics & Government	If the British National Party came into power...?	What would happen to a family where the Father was Spanish but has been a British Citizen for 5 years and has a job as a teacher, the Mother is English, and they are married and have 2 children together. It's totally hypothetical, but I'm just wondering because I know the BNP say that only people who are totally English should be here... so would the whole family be made to go to Spain apart from the Mother?      Thanks :)
20090222132119AARE7aJ	Politics & Government;Other - Politics & Government	What is your opinion on the BNP (British National Party)?	N/A
20090222140836AAivg2l	Politics & Government;Government	Wouldn't WORKFARE be a better Solution than Welfare?	lets say you lost your job--or could not get one--so you go on Welfare.   Now you get food stamps and some Cash until you find another job--which for some people seems to take forever---instead how about WORKFARE--you have to work for the government to get the money---and benefits that you would normally get on Welfare.  You could file papers or other unskilled labor, pick up trash on the highway or do anything except sit around waiting for the next check--Drug testing  ---(three strikes and your out for a year) would be mandatory and day care would be provided--you could work at the day care taking care of other WORKFARE peoples children.      SO WHAT DO YOU THINK!
20090222122547AA9IoUA	Politics & Government;Law & Ethics	Tennessee State Law Help?	Someone put a bike in the back of my truck.  What should i do?  It doesn't seem stolen b/c the lock is still intact and on it.  I was thinking bout posting a notice on campus and ask for them to describe the bike as well as give me the combination, thus providing sufficient evidence its their bike.  other wise after a month I will simply keep the bike.  I really don't want to turn it over to the police they'll just keep and sell it auction.
20090222141658AAED9Tw	Politics & Government;Government	I heard that the goverment...?	is gonna give a return of $1000 for every child to the parent. Is it true?
20090222140426AA0sroE	Politics & Government;Politics	Is the US population responsible for the atrocities commited by the USA (torture, millions of civilians killed?	If they are not then who is responsible?       Are they responsible in the same way that the German population was held responsible after ww2 for all the crimes commited by Germany?       In Irak alone the action of the USA (embargo+ war) has caused the death of over a million civilians (women and children mainly) if we add this to all the other armed conflicts involving the US in the last 50 years we have a lot of innocent victims.       The US is the only country in the world that has been constantly at war in the last 60 years. It claims to be fighting for freedom and world peace but it if fighting for its own interests and nothing else.      How could the world punish the USA when they have the means to bully everyone with their army and weapons?      Do they still deserve to have the world reserve currency and to have their ('non-negociable') way of life funded by the rest of the world?
20090222124646AArHzNI	Politics & Government;Civic Participation	So,im writing an essay about reconstruction and the civil rights movement.....?	How can i end my essay?? This is the last paragraph:            All the segregation,black codes,literacy tests, and poll taxes eventually led to the civil rights movement.For 100 years African Americans had been living by black codes,poll taxes, and literacy tests.They were getting fed-up and angry with all the segregation.Since reconstruction hadn't actually worked,in 1960 people started the civil rights movement to give African Americans full rights and to abolish racial discrimination.There were numerous marches,rallies,boycotts, and strikes all wanting racial equality. The civil rights movement vowed to end not only race discrimination but,color discrimination as well.           OK so i thought maybe i could end it with saying something like "Now in the present African Americans are so equal that even our president is African American"      how can i word it though?
20090222141712AAwPxTu	Politics & Government;Politics	Did the fuel efficient car rebate amendment make it in the stimulus?	From what I heard, senator Tom Harkin was trying to set up a account of 18 billion dollars I believe giving 10,000 dollar rebates to people who traded in their old cars for more fuel efficient ones, Does anyone know if this amendment made it in the stimulus ? I heard it this amendment was facing stiff opposition from trade lobbyist and might not make it , And if it didn't, Is their any kind of a rebate or incentive for the buying of a new car  ? Thanks for your answers. God bless.
20090222132638AA8XTEY	Politics & Government;Politics	What do you think the new president has done right so far ?	Not just about his appearance - he wears shirtsleeves in the office ( presumably with trousers and underwear too ). Also, what do you think he has done wrong ? He apears to be getting in there and getting the job done, but do you think he could do better ? Or focus on something more ? Or anything else ?
20090222130828AACM3lN	Politics & Government;Law & Ethics	Can i claim compensation for being assaulted at work?	Can i claim compensation for being assaulted at work?   During the normal operation of my current job, I was recently assaulted physically by a member of the public with a beer can to the face. Police responded and reports and statements of witnesses on my behalf taken. Person was not located who threw the unopened can. This is the third time such has happened and I don't feel I can return to this job position. Company feels that if I don't like the risk, quit. What legal rights do I have, and Can I collect unemployment if I quit.      Yes, the position I hold has with it inherent risk. More now then when I first started.  I have been assaulted other times while performing my duties and have had one of those people jailed for assault. I have put in requests for different positions when there are other positions available within the company that involve less risk, but the boss feels he cannot afford to move me because I am so good where I'm at. (money maker)   I have seniority over 98% of the company workforce also, but it's not a union shop.  If I cannot be granted a different post with this company and my only option for personal safety is to quit, and file suit, on what grounds?  It's a small company, and I always felt that everyone was friends, now it may seem I was mistaken in placing my loyalty with them.
20090222122337AAj6YUl	Politics & Government;Law & Ethics	How will the sentence of dripping acid in the eyes of the man who blinded a woman in Iran be carried out?	Will this man be given an anesthetic or any Novocaine and put to sleep during the sentence or will he be awake to feel the pain? Will the carrying out of this sentence be video taped so that people can see what happens to someone who blinds another person with acid?
20090222122145AA9dLGf	Politics & Government;Government	First hispanic president?	what do u think the first hispanic president Heritage would be? like would he be cuban-american,puerto rican-american,mexican-american etc i think it would be a cuban-american because we cubans have very strong ties with washington and there are Alot of cuban politicians.lol
20090222141828AAFutGR	Politics & Government;Civic Participation	Jury Service Claim? I start tomorrow....?	I am starting Jury service tomorrow, and Im panicking about the loss of earnings section.      I've just realised where i thought it says ' ￡61.28 per day over 4 hours' actually refers to the maximum amount they will compensate you for a day.      I am worried because at the moment I am hunting a job in London, and have been for the past couple of months, and as a result Ive been working on the staff bank of my job back here in Suffolk....but I can work 30 hours one week and none for the next 3 weeks, so how can I quantify that? Im not contracted for any hours, I pick when I want to work.      Im gonna be damned if im gonna drive 25 miles every day for 8 hours to be paid nothing.... Help me here please if anyone knows what I can do and whether I will be paid SOMETHING regardless....
20090222140950AAMBqDE	Politics & Government;Government	How long do you think Obama will be president?	Keep in mind he could serve a second term (Hope, not) or be assassinated.
20090222134211AArWACq	Politics & Government;Law & Ethics	Would this contract work?	My ex-boyfriend got me pregnant on purpose trying to save our relationship. However it didn't work. So now he wants nothing to do with the baby, and I want to keep it that way. I want him to be nothing more than a sperm donor. I want to make a contract with him that says I will never come after him for child support, as long as he gives up his rights to see her unless I allow it. I know for him to legally give up his rights I have to have someone ready to adopt her, and I can't sign away her rights for support from him. But the contract will be between me and him that says if he tries to see her with out my say so, he is then required to give me child support, or if I go after him for child support he has the right for custody. That way I know he has no rights unless he breaks the contract, and I know that later on if I find someone who wants to be her dad and is worth it, he can adopt her, and he will be the only father she ever knows. I am positive he will sign the contract. But I’m not sure if there is another way or if this will even work. Any ideas?
20090222140947AAGQNKy	Politics & Government;Law Enforcement & Police	Reporting a Missing Person?	I am 23 years old, and moving without informing anyone (including immediate family). I am sending letters by mail on my way out of town. I'm afraid someone will report me missing before the letters reach them.       What is the typical course of action for this. Is it unheard of to go to my local authorities and tell them I'm leaving but suspect someone will report me missing?       Thanks
20090222123937AABZKQB	Politics & Government;Law & Ethics	Is it illegal to put a fake security sticker in your window?	i have some really shady shadester neighbors who are some what of scam artists. They are always coming around asking for little jobs to make money, which I'm fine with but recently they came to shovel some snow and i gave them $10 and they just took the money and did absolutely nothing. I've seen them spying through my window and they have asked to barrow computer supplies because they know i have laptops.. basically they are just pretty rude and shady haha. Could i put a fake security sticker in my window or would i get in trouble? Also where might i find a sticker?
20090222124716AAcI3kC	Politics & Government;Government	How was the Constitution created?	N/A
20090222130735AAVDOox	Politics & Government;Law & Ethics	What kind of things preclude one from getting a security clearance?	When it comes to working for the NSA, what kind history would result in denial of a security clearance?
20090222124958AA9Kqj8	Politics & Government;Law & Ethics	How long do I have to wait to claim child abandonment?	How long does my ex boyfriend have with no contact being made to visit his daughter or arrange visits, before I can claim abandonment on his behalf?  I have not seen or heard from him since he left us about 5 days ago?  I know that it doesn't seem long, but I can tell that our baby is missing him, and if this is the way that he is going to be in her life I would rather just get him out of it now before she gets too old, and holds him at high expectations.
20090222121034AAf4UB7	Politics & Government;Civic Participation	I don't own a home, so why should I be forced to help other people pay for theirs?	I didn't take out an ACORN forced loan that I could not repay.      If this is the way it is, shouldn't pelosi let me live in her multi-million dollar Victorian mansion in Pacific Heights?
20090222125958AAtfoZ2	Politics & Government;Law & Ethics	Blood type may be used in court to prove innocence but not guilt. Can someone give an example of this?	N/A
20090222134619AATR5nT	Politics & Government;Law & Ethics	Please help, q. about house arrest...?	Is there a form you have to fill out?   Is this when you get a parole officer?   What should i know about this?         PS, no im not getting it, i just need to know for something.
20090222133620AAbK5iU	Politics & Government;Politics	Do you think millionaire Republican CEO's care at all about all the jobs that somany Americans lost?	N/A
20090222140616AAjubGB	Politics & Government;Government	How has England changed as a result of the Bill of Rights?	N/A
20090222130942AAGSwMo	Politics & Government;Other - Politics & Government	My grown daughter is collecting SSI ($700 mo.) for illness. Is she eligible for food stamps in California?	She does not make enough to live on.  I cannot take care of all of her physical and monetary needs. Suggestions?
20090222121033AAnkj6q	Politics & Government;Other - Politics & Government	What is your opinion of the cartoon with the chimpanzee and stimulus bill?	I feel it's discrimnating and knowing Barack Obama just signed the bill and there was a wild chimpanzee, it's just not right.      *Be Specific
20090222121104AAeoSi8	Politics & Government;Law Enforcement & Police	How do you issue an international warrant?	I have to issue an international warrant for someone outside of the country for a check to me that was bounced. Do I need a lawyer?
20090222121642AALpd9p	Politics & Government;International Organizations	What should the United Nations do to end the civil war in Sri Lanka?	I am just wondering what you guys think about this conflict that definitely needs to stop.       Thanks!
20090222122157AAmHysK	Politics & Government;Other - Politics & Government	How do I go about observing hearings in NYC Criminal courthouse? Is it allowed for the public?	I have a school assignment which requires me to observe hearings in the New York City Criminal Court. Now I have no idea how would I go about doing it. Do I need a special permission, or hearings are open to public? How do I know to which room to go to? Or better yet how to a search for the court cases on any specific day? Is there a calender with dates?
20090222122211AAMLgRI	Politics & Government;Law Enforcement & Police	Need some legal advice regarding temporary custody?	Also, since mother has custody of the child, would the maternal grandparents and paternal grandparents be able to keep the mother away from the child?      (paternal grandparets are keeping child 3x a week while maternal grandparents are keeping child the rest of the week.
20090222122457AA0EZG2	Politics & Government;Government	How far should a Government try to control the personal behaviour of it's citizens?	its an essay title for my french homework, but I have no idea what to write! I was thinking of a for and against, what topics could I cover?
20090222122555AAQ4VCr	Politics & Government;Immigration	Fastest way through immigration in usa?	N/A
20090222123106AACNpaj	Politics & Government;Law Enforcement & Police	Should criminals have a notice placed on them?	do u agree or disagree that a some kind of label should be placed on criminals?   if u could give me some examples of it (newspapers or some links)  that would be great.   (I'll give 10 points to the best answer)
20090222123127AANFT9M	Politics & Government;Government	I have a big big question?	Are the following groups liberal, conservative or non-ideological AND what are their two most important issues and what is the  plan for these issues?      1. AARP      2. ACLU      3. AFL-CIO      4. ABA      5. American Conservative Union      6. American Farm Bureau      7. AIPAC      8. AMA      9. ATLA      10. The BUsiness Roundtable      11. Christian Coalition      12. Council on American-Islamic Relations      13. Emily's List      14. Environmental Defense Fund      15. Family Resarch Council      16. Hangun Control, INC.      17. Moveon.org      18. NAACP      19. NAM      20. NARAL      21. National COuncil of La Raza      22. NEA      23. National Resources Council      24. NOW      25. NRA      26. PETA      27. Public Citizen         28. Sierra Club      29. US Chamber of Commerce      30. Veterans of Foreign Wars
20090222123130AAAZzkf	Politics & Government;Law & Ethics	What is one law that pertains to Nadya Suleman's situation?	Nadya Suleman gave birth to octuplets and 6 other children 3 of which are disabled. She has been unemployed since 2001. Recieves $490 in food stamps and $797 per month for each of the 3 disabled children. She has spent $13,862 on comestic surgery 3 different times. Has a 3 bedroom home owned by mother. Listed as home care provider mother funded $255 a week for 6 different children. **Behind $23,000 in mortage for 10 months. There is a federal and state law that anyone under the age of 35 can only have 2 eggs implanted but Nadya Suleman is 33 and supposedly had either eight or six. Can anyone give me a law that pertains to Nadya Sulemans situation just name one.
20090222123139AAeMJT9	Politics & Government;Law & Ethics	Whats the sentence for a minor for assault on a peace officer.?	N/A
20090222123357AAG9u3U	Politics & Government;Civic Participation	What percent of us churches are helping out the us?	N/A
20090222123912AAAtGHy	Politics & Government;Law Enforcement & Police	I received a ticket in February of 2008 for an offense i wasnt aware of and now my license is suspended...?	I HAVE PAID THE FINE OF THE TICKET AND HAVE TO SEND OUT A FORM SAYING WHY I TOOK SO LONG TO RESPOND. I NEED TO WORD IT CORRECTLY AS TO AVOID FURTHER FEES. MY REASON IS: I LEFT MY APARTMENT TO GO BACK HOME AND TEND TO MY DAD WHO HAS EMPHYSEMA. I ASSUMED THAT MOST OF MY MAIL WAS BEING FORWARDED TO MY PARENTS ADDRESS. HOW CAN I WORD THIS IN A WAY TO HELP ME AVOID FURTHER PAYMENTS BESIDES THE AMOUNT I PAID ALREADY?
20090222123952AAeqrCF	Politics & Government;Immigration	How do i become a customs/immigration officer?	Ive just left school (finished my A-levels) and now looking for a career. There is a few things that i would like to do but one of them is a customs/immigration officer at an airport, how do i go about doing this?
20090222124218AA0XArn	Politics & Government;Law & Ethics	What are my legal rights when being pulled over?	I always wondered what my "true" rights are when being stopped by a cop. Can they search my trunk or my glove box if its locked? can i refuse to blow if ive had a few drinks? What happens if i remain silent the whole time?
20090222124315AAnFqKL	Politics & Government;Law & Ethics	What time does traffic court start in winston-salem?	N/A
20090222124338AAnTApV	Politics & Government;Government	How Long will it take to see results from the Obama bailout plan?	I'm sick of all these bailout plans being put into effect and then we dont see any improvement or time table from them. how long will it take about to start seeing more jobs created, and maybe the stock market improving?
20090222124625AAs21CZ	Politics & Government;Civic Participation	What are current health issue that deserves critical attention by Obama administration?	N/A
20090222124636AAs2Ets	Politics & Government;Law Enforcement & Police	Dale county of alabama wet or dry?	i no it is wet but do they sale beer on sunday
20090222124831AAisdlD	Politics & Government;Law & Ethics	Why do local jails hold illegal inmates that were deported once, then caught here again. Why not just deport?	The lady was arrested for third degree battery and assault on a family member. Why give her a trial. Why won't I.C.E. just deport? She has been detained since 12/08/08. Are they waiting to deport her?
20090222124858AAgrsJl	Politics & Government;Law & Ethics	Is there anything I can do about my neighbors facing cameras at my doors?	N/A
20090222125047AApx9YU	Politics & Government;Law & Ethics	Whats gonna happen if police arrest a teenager 17  with marijuana?	last night my cousin arrested foe marijuana not for using it ,because he was in his Friend's car and his Friend had marijuana in his car. my cousin accepted that he paid for buying marijuana. his mother signed the police paper (that i don't know what was it because i was not there) and we have to wait for the court and we have to pay the fine. i want to know what else problem he will face to in future? i mean for finding the job? or going to collage? any opinion is appreciate it
20090222125204AAC74jU	Politics & Government;Government	Need someone to take survey who doesn't live in US?	i am doing a project for government and need someone who does not live in the united states to take this survey.   please let me know asap if u are willing to help!   thankss
20090222125320AAjsd4l	Politics & Government;International Organizations	So Im asking Views on things you all support and are agiants?	So Im asking Views on things you all support and are agiants?   Such as   Pro life   Pro Choice   Same sex marriages    Civil rights   feminist   domestic violence   recycling   animal slathering   hate crimes   pro religion      examples like that and other things      Plz make a list of thing you support and are against
20090222125710AAKlPQ5	Politics & Government;Law & Ethics	Can you be arrested if someone tries to charge you with lason that you didnt do and they have no proof?	N/A
20090222130152AArlCra	Politics & Government;Law & Ethics	What is the purpose of pretrial procedures? How did this process come into existence? 10 points?	I need help with this homework question and I cannot find the answer anywhere. I've read and re-read the chapter in our book and also Googled it. Does anyone know? 10 points to whomever gives me the correct answer!
20090222130246AAJWvgJ	Politics & Government;Other - Politics & Government	Wat does iraq mean y r they mad?	who are they
20090222130943AAmI9AV	Politics & Government;Law & Ethics	Why did my boyfriend get so many years for felonious assault?	My boyfriend not getting out to 2014. I wounder why its that many years. The women on the phone told me he 3 years for the gun and 3 years for the court sentencing. This case is in Ohio. But why these many years?
20090222130947AAX1yv4	Politics & Government;Government	Mailing something priority mail?	can you just put the req'd postage on the envelope and drop it into a mailbox... maybe have "priority mail" written on the envelope... or do you HAVE to go through an actual post office and stand in line and have them process it as priority mail
20090222131041AAv4ahR	Politics & Government;Government	When was the stimulus plan proposed?	N/A
20090222131234AAvCvN0	Politics & Government;Other - Politics & Government	Nazi Concentration Camp Questions ?	I'm doing extra credit in my english class and i have to find a question i can do thorough research about. It has to be a good question that I can really do research on, like find it in a book or online. For example, I do NOT want something like this : " what kind of gas were used in the camps ?" I dont want a question with a short answer, so can anyone help ? I'll choose best answer and reward points !! please help ! thanks
20090222131325AAslHyA	Politics & Government;Politics	Who do you think has had the most positive effect on the world?	I have a research paper I have to write on the most influential person we know of and I cant think of anybody except the people we are not alloud to research. We cant research Martin Luther King, or Rosa Parks or any body who was the first women or black to do something. So I need help. Who should I choose?????????? By today PLEASE!!!!!
20090222131411AAJDfZK	Politics & Government;Law & Ethics	If I am a minor, do I still get an attorney on my behalf?	N/A
20090222131650AAeH3Ur	Politics & Government;Law Enforcement & Police	Moving out in Illinois?	Ok so I am a 17 yr. old female and I was told that if you were a 17 yr. old female and you had a place to stay you could move out of your parents home.  I have 9 more months until i'm 18 and I will be moving out then but I was wondering if there was any way I could move out now.  Emancipation will be tricky because my parents are so against me moving out but I kjnow if I stay here any longer I will become depressed.  They are just becoming to much to deal with.  ALSO if you don't leave the city and you leave them a note saying where you are and when you will get back can they still call you in as a runaway?      Thank you so much for your help!!
20090222131844AAqzaLm	Politics & Government;Law & Ethics	What is the legal age to get a tattoo done with parent consent?	My mum said she will give her consent to have a tattoo done but im only 16 and i don't know the legal age.
20090222132050AAE9aLB	Politics & Government;Law & Ethics	Is this sexual harassment? Should I have told my parents?	I have been going to the same tennis coach for 12 years (since I was 5). He has always been saying kind of strange things that made me feel uncomfortable. He would say that some day he was going to marry me some day or that I was his girlfriend, and as a 5-year-old this kind of scared me.    Anyway I had a private lesson this past summer and he was asking me very personal questions about my love life and telling me to dump my boyfriend for him. He told me that he was going to take me out on my 18th birthday when I'm legal. I told him to stop and i refused to answer. I tried to ignore him because I was just there to play tennis. Then he got this weird grin on his face and asked me if i was wearing underwear. I was, but he said "I don't think you are. If you were, you'd prove it to me" and then he tried to pull down my shorts but finally another one of his students showed up. He told me not to tell my parents or anyone. He is almost 40 and I am 17. I didn't tell my parents but I haven't been able to play tennis since even though I love it. I am terrified of this or something worse happening again. Was this sexual harassment? Should I have told my parents?
20090222132138AAOXTw6	Politics & Government;Politics	Palestinians are Semites. Jews pursue the genocide of Palestinians. Does it follow that Jews are anti-Semitic?	N/A
20090222132534AAayQZG	Politics & Government;Law & Ethics	Is it illegal to use a fake gun in making a Youtube Video?	My dad keeps saying it is
20090222132341AA1vc3V	Politics & Government;Law Enforcement & Police	Arrested for shooting an airgun maybe?	Well I got out from my job and went to Walmart, then he called me and told me too meet him in the house of my cousin that was next to Walmart...So i went there....When I arrived he told me Whats up men? long time without seeing u... and he was with another 3 more friends in then after that... I got in into the car just to say hi to the other 3 more guys... While I was doing that he made a prank to me and he shot me with a BB gun (Airgun) to my arm..and another shots but the only one he got was to my arm...      Well after that I just walked away to my car and he called me to say sorry, but I didnt answer my phone...But my cousin saw them and he told me there is 2 covered polices that are following your friend and I was like yea right I dont think so...      Then they pulled out on the road...Then I went to my house... but on my way to my house in the traffic light next to walmart the road was closed my 6 polices cars.... and the guy that was being arrested and put on the floor was my old friend... then I just turned around and went home...       But I mean he's not a bad person, I know him since freshmen year... But I dont know why he could have been arrested by 6 police cars and by almost 8 police officers...      Could he have done something else... Or was it because they saw him shooting at me with the BB gun or Airsoft gun... OR maybe he was doing something before and thats why police stopped him
20090222132448AAr45yN	Politics & Government;Other - Politics & Government	I need my birth certificate to get an I.D. but i need a I.D to get my birth certificate what do i do?	I lost all my important documents. I dont have I.D. i dont have my SS card and i dont have my birth certificate. I never had an I.D and to get one i need my birth certificate which i dont have. I just turned 18  and i was born in Texas but lives in WA. What can i do? I am currently not in any contact with any of my family members so if you could give me ways to get it without them that would be nice. thanks.
20090222132507AAOKLiB	Politics & Government;Law & Ethics	I agree.  Can someone from the show tell us what diet the Police Interceptors are on?	N/A
20090222133158AAucV0N	Politics & Government;Other - Politics & Government	Should we give back the south west to Mexico?	I'm for it,they will stop immigrating once that happens.
20090222133311AAzIFN8	Politics & Government;Politics	Should we give back the south west to Mexico?	they would stop immigrating then
20090222133600AAcmTeL	Politics & Government;Law & Ethics	Easy 10 points. I have this friend...?	She just got caught stealing at this store she works at. They were investigating her case but then dropped it after she quit.      Another friend of mine did the same thing. His employers had enough evidence to take him down but they closed the case when he quit.      They're part-time workers. The girl was 17, the guy was 21.   This is in Canada. Is that normal?
20090222133728AAxkLc3	Politics & Government;Immigration	I have a residency order in place for my grandson. We are going on holiday abroad soon can his mum stop me tak?	do I need his Mums permission to take him
20090222133756AAg6XIf	Politics & Government;Law Enforcement & Police	Was I arrested or not?	I tried to post this once, so sorry if this was a duplicate.      I was involved in an altercation with 2 people at a location in Michigan that has premises film (but I am not sure how much or how good).      I was certainly not innocent, and both parties were engaged in arguing, etc. I instigated the physical contact (a push out the door) when the second person was running up behind me, and I feared that this was going to become a 2 vs 1. The first person and I exchanged some punches, and after we separated, I was struck by a blunt object by the second individual, and I hit back on him after that as well.      The police arrived, and put me in the car, uncuffed, and asked my version of the story. I gave that and my ID. They also got a witness version of what had happened. They asked what I got hit with, and where, but I really didn't know if it was only one hit and where since it happened so fast. The witness confirmed the object.      I was carted away in an ambulance, fixed up, and when the police officer arrived at the scene, he said "The Prosecutor will review the store footage", and that was all.      Seeing as I was not cuffed, brought to the station, nor was I even cited with any formal ticket...was the officer referring to something I need to worry about or is he referencing the video to determine if I was assaulted with a weapon of sorts? I was also given a "Crime Victim Care" brochure at the hospital.      So, what is your take on this? Am I going to get arrested at some other point, or was I already arrested and now the PA is going to hang me later?
20090222134136AACR8kk	Politics & Government;Other - Politics & Government	Is the United States a secular or Christian country?	Does it have an established Church? Are people supposed to learn about religions at school? Does it have a state religion?
20090222134414AA0TSdX	Politics & Government;Law & Ethics	Where corporate loyalties should lay?	An employee’s sense of ownership and pride in the company are valuable assets which are difficult to quantify monetarily, but are assets which carry very strong benefits, benefits which can manifest them selves monetarily over the scope of the employee’s time with the company. Employee moral and relationship with the company is an aspect of valuation that is not captured by current accounting methodologies and therefore is not currently valued as evidenced by current market trends through the breakdown of employer/employee loyalty towards one another. In fact this sort of superficial level of interaction has become more and more prevalent thought all aspects of our society and is a fundamental value, that of community, which will need to be addresses as our companies continue to globalize. The question of, “With whom does a company’s loyalty lie?” with it’s stockholders or with it’s community, and how to balance the two in order to achieve a sustainable business and employee standard of living will become a more pressing topic in the years to come.
20090222134427AAmU7sm	Politics & Government;Law & Ethics	In the state of washington, what is the punishment for being 18 and being caught with residue in the pipe?	my court date is in a few weaks and i have a lawyer. the charges are possession and parafinalia. only residue in my pipe
20090222134525AAO1z6c	Politics & Government;Immigration	I came to the US on a Tourist Visa not knowing I was pregnant, what do I have to do to get my baby's passport?	The father of the child is not here in the USA. He is back home what do I have to do to get my baby's passport to go back home? Will my baby be allowed to leave the USA if I only have a tourist visa and what would the process be like? Should I be getting a passport or should I be going to my country's embassy?
20090222134802AAeamfb	Politics & Government;Law & Ethics	How to get off home confinement early?	How to get off home confinement early.  I got sentenced to 2 years home confinement.  I have already done 7 months.  I did Drug Court and Day Report with perfect attendance and all clean screens.  I no longer have to go to day report or drug court any longer.  I want to put in a motion for reconsideration onto probation.  I was charged with attempted perscription fraud got sentenced to a 1-3.  Got out on a reconsideration onto home confinement.  What would be the best thing for me to do, and how would i go about doing it.  I have done everything they have asked of me and i have gave 110 percent.
20090222135843AA8bigN	Politics & Government;Law & Ethics	What is morally wrong but not illegal in the uk?	N/A
20090222140646AApqEie	Politics & Government;Government	Is the government responsible for the economic well-being of its citizens?	are you pro or con?   please provide three reasons why you think so
20090222140708AA0wh40	Politics & Government;Law Enforcement & Police	Do Blackwater contractors choose their own weapons?	Do Blackwater contractors choose their own weapons or are they issued them?      Do they have a set budget and purchase their own equipment etc?   Or can they spend their own money on the weapons?
20090222140737AA5Yh9Z	Politics & Government;Law & Ethics	If charges get's dismissed do you still have to get them expunded?	I have charges pending against me.( 2 fraud and 1 for stolen goods. 3 misdermenors )However I have already been to court and entered a bargin with the DA, as in community service and paying court costs. In another month my charges gets dissmissed. Do I still have to get them expunged??
20090222141616AAve62i	Politics & Government;Law Enforcement & Police	Got an MIC last night.. There is wrong info on the ticket... Is it means for the ticket to be waived?	I got an MIC last night when four police officers busted a party at my house.. My address on the ticket is not even close to whats on my Drivers license and it's not the same as my current address either. I dont know why they did this, but, is it means for my ticket to be waived? Everything else on the ticket is correct. Well informed answers are appreciated
20090222141712AAh7axy	Politics & Government;Law & Ethics	I lost my job in novemeber 2008.  I am in PA.  will i be able to get an extension under the new Obama law?	I've already checked our pa website and its confusing.   any help is appreciated.
