20090307160728AA7I1C8	Education & Reference;Words & Wordplay	What is your faovrit name?	mine is rachel
20090227091708AAM1RM2	Education & Reference;Words & Wordplay	Why a lot of words of from Homer's Iliad and Odyssey  are closer to albanian than greek language?	1    Ai q? n?m, n?m (folje)  ---------------------      albanian language today    Neme-sis, neme-sao    ----------------------    homer's words     Katara        ---------------------------------------    greek language today       2    Anda, ?nda    Andha-no    Efkharistisi       3    Ar?, ara    Arura    Horáfi       4    Bashk? ec    Vask ithi    Porevume       5    Dera, Porta    Thira    Porta       6    Deti    Theti-s    Thalasa       7    Dhe, dheu (tok?)    Jea, dhor, dha    Ji       8    Dor-?, dor-a    Ekedeka-dor-o    Qheri       9    Dru    Dris, drimos, driti    Ksilo       10    Edhe, dhe    Idhe, te    Qe       11    Elb?, elbi    Alfiton    Krithari       12    En? (veshje)    Enimi    Ruho       13    Err?t, err?sir?    Ere-vos    Skotos       14    Ethe (kam ethe)    Ethir, ethae    Piretos       15    Flas    Flio, fliarae    Milao, omilae       16    Fryma, frima (dialekt jugor)    Frimao    Fisima       17    Hedh    Heo    Rhino, tinazo, sio       18    Heq (helkj = t?rheq)    Elko    Travae       19    Iki, ike    Iko    Fevgo       20    Kale, kali    Kelis-tos    álogo       21    Kall (djeg)    Kileo    Qeo       22    Korr    Kiro    Thiro       23    Krua, kroi    Krunos    Vrisi       24    Krye, krie    Krithen, kari    Qefali       25    Lehem (lind)    Leho, lohia    Jenieme       26    Lepur    Leporis    Lagaes       27    Lesh    Lasios    Mal?       28    Lig (i lig)     Lig-ios, lig-aes    Adhinatos       29    Loz, ljoz (arb?risht)    Lizo    Pezo       30    Lutem    Litome    Parakalae       31    Marr, mar    Mar-pto    Perno       32    Marr? (i marr?)    Margos    Trelaes       33    M? duket    Dhokei mi    Nomizo       34    Mend, mendoj    Mendohem    Medhome Sqeftome, nus       35    M?ri, m?ni (dialekt verior)    Minis    Thimos       36    Mi, miu    Mis    Pond?qi       37    Mjesht?r    Mistor    Tehnitis       38    Mjet    Mitos    Nima hondrae       39    Ndaj, daj (dialekt verior)    Dheo, deo    Horizon       40    Ne (neve)    Noi    Emis       41    Nisem    Nisome    Ksqinae       42    Nuk    Ni uk    Dhen       43    Nuse    Nisos, nios    Nifi       44    Para (p?rpara)    Paros    Mbrostá       45    P?r ty    Par ti    Ja sena       46    P?r-hapa, p?r-hapsh    Apsh, aps    Piso       47    Pun?, puna    Ponos    Dhuliá       48    Qas, kias    Qio, kio    Simono       49    Qen, qeni    Qion    Sqilos       50    Re, ret?    Rea (per?ndia e reve)    Sinefo       51    Rrah    Rahso, raso    Dherno, htipae       52    Rri (q?ndroj)    e-ri-dhome    Kathome       53    Rronj? (rroj, jetoj)    Rronio, rronimi    Zo, akmazo       54    Ruaj, rojtar    Rrio, rritor    Filáso       55    Shkel    Skel-os    Patio, patae       56    Shkop    Skipon, skiptro    Ravdhi       57    Sy    O-se    Máti       58    Tata, ati, i jati    Tata, ata, jetas    Pateras       59    Ter (thaj)    Ter-so    Stegnaeno       60    Th?rres, thrres, thrras    Threo, throos    Fonazo       61    Torr?    Tornoo    Jiro       62    Udh?, udha    Udhos    Dhromos       63    Van? (shkuan)    Van    Pigan       64    Vend, ved    Ved-os, vedh-os    Edhafos, topos       65    Ver? (stina e Ver?s)    Vear    Kaloqeri       66    Vesa, versa    Versi    Dhrosos       67    Vesh, vishem    Ves-this, vesnimi    Forae, foráo       68    Zien    Zei    Vrazi
20090307155837AAX1ucI	Education & Reference;Other - Education	What would yo consider a high IQ?	N/A
20090307162505AAPZXwK	Education & Reference;Homework Help	SCIENCE 8!!!!!!!!!!!!?	WHAT IS SOMETHING YOU CAN PUSH OR SQUEEZE??????      plese list examples
20090307164738AAZABp2	Education & Reference;Higher Education (University +)	Double major or minor in college for associates?worth it if im going for my bachelors?	my main major is for what im going for my bachelors for btw.
20090307160926AAx7pCD	Education & Reference;Higher Education (University +)	Would it look better for an associates and a minor or 2 associate degrees?	i will eventually go for my bachelors a few years after working in my field-IT/Computers
20090307170903AAQQNpD	Education & Reference;Homework Help	Neeed a speech topic !!!?	for speeches this year, we need to pick a topic that either makes a difference in people's lives, or that people have to take sides on / debate on. kind of like smoking, drugs & global warming. except, our teacher doesn't want us to do a speech about the things we talk about every year (just like the examples) .. she wants something new, and interesting . anything that's controversial is good for her . so any ideas on what i should do my speech about? I want something that I would actually want to write on. thank you sooo much !
20090307162253AASQ91X	Education & Reference;Words & Wordplay	What does feril mean?	N/A
20090307162114AASMGwL	Education & Reference;Trivia	Why are the buttons and letters not placed in alphabetical order on the key board? who constructed this and wh?	N/A
20090307163154AAP5lhM	Education & Reference;Homework Help	What are some science fair ideas?	Hi. i am in seventh grade, and me and my partner dont know what to do for a science fair. it has to be some sort of experiment, but we do no have to perform it during the fair. does anyone have any ideas??      we would like something creative      thanks in advance!! =D
20090307161206AAZCDer	Education & Reference;Higher Education (University +)	What's the best school I could get into?	4.42 GPA   2130 SAT (including 800 on writing)   President of the Book Club   Vice President of the History Club   Member of the GSA   Member of the Economics Club   Have written two novels   Assistant editor of the student newspaper   Edited the school literary magazine last year   600 hours of community service since the beginning of high school in 2006.      I'm a junior. If I keep this up, what's the best school I could get into? Do I stand a chance at Princeton? I've really always wanted to go there.
20090307162811AAbIyeM	Education & Reference;Words & Wordplay	When a question is asked i see the word ramadan used before the question begins---why?	just wondering what it was--doesn't seem to be part of question
20090307164245AA5JC9u	Education & Reference;Other - Education	Can you please help me with spponerisms?	can you please make up 5 spoonerisms       thanks
20090307170957AAA3kjL	Education & Reference;Financial Aid	What does fafsa recognize as homeless?	like if i was homeless for about 10 days would i be eligible to be a independent and therefore eligible for the pell grant as crazy as this may sound?
20090307170644AATwcSS	Education & Reference;Higher Education (University +)	Are the Cal Poly Universities good?	i mean for the cal state system. i know san luis obispo is better than pomona but are they both good? what about other cal states?? i'm a business major so i want a cal state with good business,  i think pomona has one.
20090307170154AAVD7ZG	Education & Reference;Higher Education (University +)	Path to being a physician assistant?	I understand that it is a 2 year program for that but it said there may be experience needed....... what does it mean by that do i need to be a nurse or something beforehand or is it even necessary and i can just jump into that during college????
20090307165604AAhAb3h	Education & Reference;Words & Wordplay	What is a better way of saying  "I am not lying in this letter" ?	I want it to sound kind of fancy, or metaphorical, or something.
20090307163741AAPvOrX	Education & Reference;Higher Education (University +)	Anyone here go to Washington State? What's it like?	Is the party school reputation true?      How's the engineering department?      How's Pullman in general?
20090307164755AAmwxOW	Education & Reference;Higher Education (University +)	Will my high SAT score make me a shoe-in at Washington SU?	My SAT score is 2130 but my GPA is only 2.7 unweighted (positive trend, for what little it's worth, and I generally did take hard/AP classes, no fluff).      The only other stuff I have to show for is about 60 hours volunteering at a hospital, a couple clubs, and a few passed AP exams...
20090307165459AA8JoDC	Education & Reference;Higher Education (University +)	What are some colleges in illinois if you want to get a science major?	What are some colleges in illinois if you want to get a science major like Biology and Chemistry?
20090307165659AAQ3wd5	Education & Reference;Words & Wordplay	How many words can u find on your kepboard?	the letters must be connected either diagnally up and down or side to side no googleing it either
20090307170644AATS8XD	Education & Reference;Higher Education (University +)	What should I do in my gap year after highschool?	I think I am planning on taking a gap year after graduating this June. I have absolutely no idea what to do though.      I will obviously look into colleges in detail and decide where I want to study, But what else?   any thoughts?
20090307163141AABpoya	Education & Reference;Words & Wordplay	What does it mean when a black person calls a white person "crispy"?	My mother wants to know....she works with a lot of black people and does not speak the language.....
20090307161431AAlBtK2	Education & Reference;Home Schooling	Home work help please?	what did thomas jefferson achieve
20090307163611AAd45eu	Education & Reference;Financial Aid	I need fafsa help!   Real confusing situation?	i live with my mom....she didnt work in 2008 to get a w-2....my dad pays child support to my mom...thats the only income she had for 2008.........do i have to use dads w-2 and income?      i know mom has to claim the child support....but does this mean i have to claim my dads income?
20090307164340AAOdKmB	Education & Reference;Words & Wordplay	What does topographic-induced mean?	Does anyone know what topographic-induced means?   I would like some info and a defination please.   Thx in advance
20090307162604AAcVRtW	Education & Reference;Quotations	What is your favourite old saying?	my nan used to always say never cast a clout till may is out, meaning don't spring clean or wash heavy blankets and curtains untill may, also one of my favorites was you're so sharp you'll cut yourself one day. meaning you think you so clever you will  make a mistake one day.
20090307164347AAMnFO9	Education & Reference;Words & Wordplay	Whats another term like "dank" but not, something like slang pleaseeee! <3ThanksLovesss.?	:) 10 pts, which i like bestt!
20090307171301AAkhd5l	Education & Reference;Other - Education	Could anyone help me with my class rank question?	Do think it's possible for someone ranked 98 out of 307, in the 68.08% percentile, to raise their rank up high enough (let's say 15% percentile) by the end of their senior year, if they are currently a junior now? And what do you think of that current ranking?
20090307172426AArV0fb	Education & Reference;Homework Help	We need help with our summer list!!?	every year, for the best three years, we make a summer list, of stuff we have to do before the summer ends, like throw bonfires, - Go to at least one concert a week, Thunderstorm swimming,Dancing in the rain CAMPING!- Steal the fudgy the whale suite, really weird shitt, but like awsomee at the same time, we have writers block and cant think of any. you guys got any ideas?
20090307164355AA6JmdP	Education & Reference;Primary & Secondary Education	Can someone please explain my GPA?	I'm a little confused with the weighted/unweighted part of the GPA. Can someone please explain? Here is is straight from my transcript:      Cumulative GPA (Weighted) 4.59   Class Rank 13 of 474   Percentile 97.26%      Cumulative GPA (Unweighted) 4.00   Class Rank 1 of 474   Percentile 99.79%
20090307171615AAA74Gh	Education & Reference;Homework Help	Can someone motivate me to do my homework?	Thanks!
20090307163220AAECt5q	Education & Reference;Homework Help	How do I solve this fraction problem?	Expressed as a single fraction, 5a/2 - a/3 (5a over 2 minus a over 3 is equivalent to                                                                               (1) 5/6  (2) 4a/6  (3) 13a/6  (4) 2a
20090307170653AA9VGvL	Education & Reference;Quotations	How interesting do you think this quote by Abraham Lincoln fits what's happening today?	Obama is doing opposite of what Abraham Lincoln would do.  If Obama knows nothing about Abraham Lincoln.  He's mocking this country and the American People.      Read this quote and tell me what you all think, concerning freedom of labor and freedom of capitol;      The prudent, penniless beginner in the world, labors for wages awhile, save a surplus which which to buy tools or land for himself; then labors on his own account while, and at length hires another new beginner to help him.  This is the just, and generous, and prosperous system which opens the way to all--gives hope to all, and consequent energy, and progress, and improvement of conditions to all      No men living are more worthy to be trusted than those who toil up from poverty--none less inclined to take, or tough, aught which they have honestly earned.      Let them beware of surrendering a political power which they already possess, and which, if surrendered, will surely be used to close the door of advancement against such as they, and to fix new disabilities and burdens upon them, till all of liberty shall be lost.      Awesome words, aren't they?  Well the Democrats are taking our liberty away.      Like others opinions please.
20090307164648AA3lBwm	Education & Reference;Other - Education	What is considered a good high school gpa (talking bot both unweighted and weighted ones)?	N/A
20090307163021AAs1UBq	Education & Reference;Words & Wordplay	Can anyone translate this paragraph into spanish please?	*oh and please do not tell me to use an online translator. They come out sounding funny. :(   *and PLEASE use imperfect & preterit verbs.*         "Throughout my life, a lot of interesting incidents had happen. Out of many, one of my interesting yet saddest was the day my bird flew away. My pet bird's name was Sunny. She was my most beloved bird. Until one day, when I was at school, me and my friends saw a dead crow. My friend told me "Did you know that there's a myth that when you see a dead crow, bad luck will come to you?" I just laughed and did not believe her.      When I came home from school that day, my whole family was acting strange around me. It was then I found out that my bird Sunny was missing from her cage. I was so sad that I cried in my room for the rest of that day. From this experience, I now believe my friend's myth. "      Sorry that it's long ^^;   It would be nice if you can translate at least the first paragraph.   Thanks so much!
20090307162951AAAQdYW	Education & Reference;Primary & Secondary Education	School is boring/bummed :(?	Hey guys!   I don't know why, but i don't think i've ever felt this way before...   What do you do all of a sudden in your 8th grade year, your friends get boring, and you literally feel like you have no life? I do get out of the house, but its usually not with friends, but with family.   I see girls having fun with their friends and laughing, and it seems like thats what i should be doing :( It's not loneliness, i just envy girls with lots of friends. And no, i cant find new friends because my school is very small and EVERYONE is either a freak, a snobby prep, or just BOOORING.   My only hope is High School, and i really want to try more extra curricular activities.   Do you think this will get better?   Thanks :]   I hope you guys understand.
20090307165928AA1Q3zR	Education & Reference;Studying Abroad	10pts...highest level of education to become a physical therapist??????????????	what is the highest level of education generaly necessary to become a physical therapist?   -high school diploma   -undergraduate college degree   -master's degree   -doctoral degree
20090307170752AA6aDyb	Education & Reference;Primary & Secondary Education	Private school sports?	I go to a private school. We are really known for our athletic department but I want to run cross country, a sport that is not offered at my school. Sense my school does not offer it, would I be able to compete for a public high school near my house?
20090307171304AApmW6q	Education & Reference;Words & Wordplay	What does to pull the rug from underneath them mean?	N/A
20090307163622AAW0ltq	Education & Reference;Higher Education (University +)	Need help on college research!!!!!!!!!!!!!!?	these are the questions:   1) What is the name of the top school that major is culinary chef   2) What state is the college in   3)if it is nationally ranked, what is its ranking   4) What is school mascot   5)what is school colors   6) what is school motto?   7) Tutition cost per year   8) Who are some of its most famous alumni   9) Gpa to get into school   10) class ranking to get into school;   11) sat score   12) other requirements    thanks a lot
20090307160554AAotWyu	Education & Reference;Financial Aid	When do student loans kick in even if I am in grad school?	When I graduate my 4 year degree my student loans kick in 6 months after that graduation. But what happens if i choose to persue two more years for a master's degree? Do they still kick  in 6 months after my bachelor's still or will they kick in after I graduate my masters?
20090307164813AAGBP9H	Education & Reference;Other - Education	Is too late prove myself to be child prodigy?	I think my life is nearly over in order to prove myself to be child prodigy because I'm 15 years old (well 2 days away from my 15th birthday) and although at 16 your administrated to take the adult iq test I think I wont be classed as a child prodigy but a late bloomer at age 15 and I just feel I need to prove myself to be a child prodigy not a "late bloomer" by showing them what makes me one talented possibly child prodigy because even though there are child prodigies are under 13s that are very common than those over the age of 12 does it mean at the age I'm soon about to reach classed as a late bloomer rather than a child prodigy because my talents would probably be recognized at 15 and for the fact that I'm over the age of 13 or 12 in terms of proving myself to be a child prodigy because under 14s are very common compared to people 14+?
20090307170341AAJHuN0	Education & Reference;Homework Help	Need help writing a compound complex sentence!!?	Can you please give me examples of compound-complex sentences and underline the independent clause once and the dependent clause twice, or just write the independent and dependent clauses off to the side on a note.      thank you!   please hellp!
20090307163448AAgb3ij	Education & Reference;Primary & Secondary Education	Abelard  and  Heloise?	Im doing a project on Abelard and Heloise and my internet is incredibly slow. I am not familiar with this couple and I have to find out a few things about them:   How do they fit into the definition of courtly love?   How did they meet?   The struggles in their relationship   Where their story is set   Are there any other key figures in in their relationship?      please try and not give me websites with loads of info....i dont have time to read a lot. if you can help me i would be so grateful for your help...and i could do this myself but my internet is slow.      Thanks for your help.   Best answer will get best answer and 10 points (i think)
20090307165640AA82Vvg	Education & Reference;Homework Help	Science Fair... Unusual Ideas?	I have a science fair coming up and i need UNUSUAL PROJECT TOPICS/IDEAS. Not the usual "Potato Clock" or something. I need something that might put a WOW on my science teachers face.   and please, it must start with:   Which...?        or    What...?      Example: WHICH is more popular, Coke or Pepsi?   WHAT color is most viewable from far away?      Please help!!!
20090307162715AAKUSO5	Education & Reference;Higher Education (University +)	Chapman/UCI/UC Riverside?	Hello,      I am interested in Chapman University (Orange Campus), UC Riverside and UCI. My GPA right now is sitting around 3.48 (which is not good), but I do have one more semester left of my junior year to bump it up a bit.      I am currently taking all College Prep Courses:      -PreCalc   -AP US History   -Spanish 2   -Chemistry   -English III   -Basketball      I do have work experience and am working on getting my letters of rec.      I did not take my SAT/ACT yet, I am taking them in a few months.      With good SAT/ACT scores, would it be possible to get into one of these schools? I would like honest opinions, preferably from students who got accepted or admission officers. If anyone has any suggestions of what I can do as of now to improve my chances, please, let me know.      Thank you for the time.      Best Regards!
20090307161150AAlRt2U	Education & Reference;Teaching	Do teachers get pensions for serving 5 years of service?	What's the minimum # years of service teachers need to collect anything in pension benefits?          (I'm not talking about a pension big enough to live off of.....I'm just asking how many years to get anything, how many years to get a small-sized pension that you probably can't live on.)   ?
20090307171135AAvO1UR	Education & Reference;Primary & Secondary Education	Should i go to providence high school or st. frances high school?	okay, so i really want to go to both schools which are located in southern california and i would really appreciate the people's opinions on which school to go to. oh yea, and please tell me why u chose it. please and thank u!
20090307170417AAtlXA7	Education & Reference;Homework Help	In Romeo & Juliet, how old is Tybalt?	N/A
20090307170348AAEgMZS	Education & Reference;Words & Wordplay	Does Edward sissorhands remind you of...?	Does edward sissorhands's stare and walk remind you of Jasper Hale off of twilight?
20090307163532AAN23w8	Education & Reference;Words & Wordplay	Why do you like Y!A?????????	i like it cause i can ask questions without people knowing who i am.   what about you      i also learn alot of stuff on here
20090307164137AAdWSvK	Education & Reference;Words & Wordplay	What is this symbol ; used for?	Is it for making a list of things like      I am going to skate but before I do that I'm going to; brush my teeth, shower, etc
20090307171902AANNGhQ	Education & Reference;Words & Wordplay	Is this sentence correct?	Is this sentence properly constructed and is the english correct?      "This world has more monsters in the shape of humans than actual humans themselves"
20090307163024AAlAb3B	Education & Reference;Teaching	What is a good job change for a primary school teacher?	I am a qualified primary school teacher and am no longer happy working within a school classroom. I have a degree in education, what other career paths could I take using this degree?
20090307165458AAZ2ldW	Education & Reference;Primary & Secondary Education	What are your favourite memories from boarding school?	At prep school :      1) Hiding tuck under the loose floor boards so matron wouldn't find it.      2) Running away on a Sunday afternoon with my friends to meet my big brother who would take us out for tea.      3) Riding our ponies for hours around the Dorset countryside.      Senior School:      1)Being with my friends 24/7      2) School pranks      3) Midnight feasts, making friends with the cooks is always a good idea, they make us cookies and fresh lemonade if we tell them we are planning a midnight feast.  They are such sweeties.      4) Unscrewing the locks on the downstairs windows so we can meet up with friends from other boarding houses.      I love boarding and wouldn't change i for the world, i am 15 and have been boarding since i was about eight.  I wanted to know what your favorite memories were.
20090307164411AA6YBLI	Education & Reference;Homework Help	Can someone tell me a web site to tutor me... click on.?	Hey. I'm 11 and in 6th grade and want to impress my parents that I can do math better. So, can u give me some web sites n' stuff plz. And if u are in grade 8 and above can you give me some tips on the kind of math ur doing.. and like explain it a little.
20090307161347AAwcyhe	Education & Reference;Higher Education (University +)	Paid Architecture Internships Oahu?	does anyone know if there are any paid internships for architecture in Oahu? i hear a lot about some engineering ones but im curious if there are any in architecture. thats my major.
20090307171514AA1ywNo	Education & Reference;Homework Help	I need help with Math!?	I am having quite a bit of trouble with this math question and I wish someone out there can help me with it.      5t^2-(t-3)^2-2(t^2-5t)+2(2t+3)^2      Thank you for your time!
20090307165643AAufY1i	Education & Reference;Higher Education (University +)	I want to go to college and i dont know it its to late in the semester to apply ...is it?	N/A
20090307165602AAHxieO	Education & Reference;Primary & Secondary Education	Why Do I have to keep learning in my school?? PLZ READ?	In my school I learn       English   Low Level math   science (which i dont  need)   Low Level World Cultures   and Drama ( I dont know why I`m even in that class I don`t dream to ba an actress AT ALL)         I am japanese and I will be moving soon      I dont think I should learn    English- why use it in japan   Low Level Math- My mom teaches me math why bother goin to school learnin something u already learned?   ( same goes to World Cultures)      Drama and Science class- worthless I HATE science no point boring dont even wanna be a scientist, drama, I WILL NEVER BE AN ACTRESS    - to all people who is saying u never know just dont say that            It just feels like I am at school just to get bullied and feel suicidal   and no I do not have friends and I dont plan on making them either            Parents doesn't allow homeschooling
20090307170931AAtXYFR	Education & Reference;Higher Education (University +)	How do my classes look for next year?	OK so i'm a junior in high school and we have to turn in our next year class paper this Friday coming up. I keep thinking over and over what classes I should take, but I need some help. This is what I have so far:      1) Engish 12   2) AP Govt.   3) Intro to Art.   4) Spanish 3   5) Psychology (not sure if I should take AP)   6) (For my last class I'm not sure if I should take a fourth year of science with Oceanography or take a fourth year of math with AP Calc or AP Sats)      I'm actually really kind of scared of taking Ap calc because i'm not sure if I can pass the class. Many of my senior friends who are taking Ap cal said the teacher teaches as if she wants you to fail the class. And if I take AP stats I know I can pass that class because the teacher of Ap stats is my current Pre-calculus teacher, so I kow I can pass that class. Or should I just take a forth year of science with Oceanography (easy A). So I need some help guys. Oh and what should I do about my psych class AP or regular?
20090307171008AAW76Kh	Education & Reference;Primary & Secondary Education	How do my classes look for next year?	OK so i'm a junior in high school and we have to turn in our next year class paper this Friday coming up. I keep thinking over and over what classes I should take, but I need some help. This is what I have so far:      1) Engish 12   2) AP Govt.   3) Intro to Art.   4) Spanish 3   5) Psychology (not sure if I should take AP)   6) (For my last class I'm not sure if I should take a fourth year of science with Oceanography or take a fourth year of math with AP Calc or AP Sats)      I'm actually really kind of scared of taking Ap calc because i'm not sure if I can pass the class. Many of my senior friends who are taking Ap cal said the teacher teaches as if she wants you to fail the class. And if I take AP stats I know I can pass that class because the teacher of Ap stats is my current Pre-calculus teacher, so I kow I can pass that class. Or should I just take a forth year of science with Oceanography (easy A). So I need some help guys. Oh and what should I do about my psych class AP or regular?
20090307165142AAPM5Fu	Education & Reference;Other - Education	What do i need to do to get a  better grade.?	What do i need to do to get a  better grade in mathematics physics and chemistry am not doing  well in College. Please help  me
20090307171732AAAz0Rc	Education & Reference;Higher Education (University +)	What type of jobs can you get  with a 4 year degree in journalism/literature and a minor in business?	N/A
20090307171405AAe1DuO	Education & Reference;Primary & Secondary Education	English levels at school HELP?	heey,, im interested in being a fashion journalist and going to the london college of fashion,   i don't currently live in england and was wondering how high your english level goes at school ?   and what age you finish school ?   if anyone has experience in fashion journalism could they please help!,   thanku !
20090307164709AAStKXh	Education & Reference;Words & Wordplay	Wondering what you think about this:?	I'm scared.      You are.       Yes.       Why?       This all so new.      I know.      We never done something like this.      I know. But the wait is almost over.      I am nervous.      Are you shivering?      Yes.      Let me hold you.      Okay.      How is this?      Just a little tighter.      Better.      Yes. I can hear your heartbeat.      You can.      Yes. It is nice.      I can feel yours.      Really?      Yes.      I will always be here.      For me?      Always. You stopped shivering.      Because you are holding me.      Are you scared?      Not as much. I am now more excited.      I am happy.      Why?      Because of what is going to happen.      And?      I am in love with you.      I love you too.      What do you think is going to happen? It is something new. What comes into you mind first? Are these people young or old? Please let me know what you think. If it is good or bad. Anything.
20090307165837AAE97Xk	Education & Reference;Words & Wordplay	What rhymes with sementy?	N/A
20090307165849AA7LIwN	Education & Reference;Homework Help	Find the slope of (-1,0) and (0,2)?	Find the slope of the line.   m = ?   (Simplify your answer. Type an interger or fraction. Type N if undefined.
20090307162110AA2V9NI	Education & Reference;Homework Help	What are the kinds of plays and books William Shakespeare READ, not WROTE.?	I am supposed to do an essay on William Shakespeare and I need to know what kinds of plays he went to and some books he read. Not the plays and books HE wrote, but some that he went to and read.    Also if possible please provide a source.
20090307161102AAwaYUB	Education & Reference;Words & Wordplay	What does superatutto? italian , mean?	N/A
20090307161204AAn1gN4	Education & Reference;Homework Help	Does Shameless Aim To Portray A Negative Representation Of the Working Class?	N/A
20090307161335AAMLxSK	Education & Reference;Higher Education (University +)	How can I get into Georgetown University?	I am only a freshman in high school right now. I go to a public school in Maryland, not the best school ever but the only reason I go there is for the science and technology program (basically focuses on math, science and engineering).      This year I take:   Algebra 1 S/T HSA   Spanish 3   U.S. History Honors   Biology S/T HSA   English 9 Honors   AFJROTC 1   Basic Orchestra   Engineering Foundations 1      It's only third quarter but I had a 4.0 GPA in first and second quarter. I plan to take AP's in my sophomore, junior and senior years. I will also participate in more extracurriculars. Basically, I just want to know if anyone has any tips for raising my chances of getting accepted in to Georgetown by my senior year.
20090307161454AAuoXeI	Education & Reference;Primary & Secondary Education	No Child Left Behind?	I need to summarize the No Child Left Behind Act in a few sentences (for an essay). Can anyone give me a brief summary of what the No Child Left Behind law says?  I promise I won't plagiarize!
20090307161641AAWCt5T	Education & Reference;Homework Help	A silly quick survey for my math class!?	Okay, we have to make up a subject to where we can survey people and graph the results, so Im asking you...      How many times do you spazz out a day?      0 - 2   3 - 4   5 - 6   7 - 8   9 or more      choose one of those      or...you can be specific and say 3497329087 times. haha.      so quick! answer it! i wanted a bunch of results. haha.
20090307161745AAYkkCL	Education & Reference;Words & Wordplay	What are vocabulary words?	N/A
20090307162320AA2p0gu	Education & Reference;Financial Aid	For student loans, does the interest start adding up in college or after I graduate?	N/A
20090307162346AABNckW	Education & Reference;Higher Education (University +)	(UCLA students please) How is UCLA.... Nice? Cool campus/ dorms/ people? Hot girls?	Please help......... curius if i should go next year
20090307162520AApJFf6	Education & Reference;Primary & Secondary Education	What is the best school in Minneapolis, MN to go to study social psychology?	I want to study social psychology in Minneapolis. What's  the  best  school to go to for that up there? I live in St. Louis and I'll probably go to a junior college here  and transfer...I'm looking to get a PH.D
20090307162605AA7M1R8	Education & Reference;Trivia	What songs are played in the queue at Alton Tower's Rita?	I was interested in finding all the songs that are played in the queue for Rita at Alton Towers, but I can't find a list of all the songs; can anyone help me out?
20090307162619AAU1BrJ	Education & Reference;Words & Wordplay	How do I cite this quotation?	My sentence is "It's the end of the world."    It's for an essay, so I'm pretty sure I need to cite it.    It's from the film The Birds and is said by a nameless man in the Bodega Bay Diner. How should I cite it?      Thank you!
20090307162902AAuJFhv	Education & Reference;Trivia	When does astroknights island come out on poptropica?	N/A
20090307163050AAIARtc	Education & Reference;Quotations	Who gave this speech?	This is our true glory.   Never forget this,   There is litle we cannot do   If only we can imagine   ourselves wanting to do it.   The future is to those who take it.   We are conquerers of time and of distance   Our cause is just,   Our heart is hard,   And let us then I say, Press Forward.
20090307163813AATg7XT	Education & Reference;Primary & Secondary Education	Ideas for a Technology Page for my School's Yearbook?	I am in charge of designing various pages for my school's yearbook, and I was just given the task to design a two page spread for the tech department (which includes, Communications Technology, Construction, Auto, and Horticulture). I need help thinking of some creative 2 page layout designs for this page. Any suggestions would be greatly appreciated. I don't just want it to be a regular page, I want it to be unique, and modern.
20090307163258AAhuK4h	Education & Reference;Homework Help	SPEECH TOPICS .. please?	Alright, it's speech time (:   and i'm trying to think of a really good, original topic to do it on;   one that I will enjoy researching about, and that people would be interested in.   Nothing common like.. ghosts and stuff..    Thank you for your help! :)
20090307163541AAnHpGw	Education & Reference;Quotations	Sayings... a friend is like...?	I desperately need a saying starting with the following words.   A friend is like a lemon...           or   A friend is like an orange...          or   A friend is like a citrus fruit...
20090307163901AAUkipI	Education & Reference;Other - Education	Why can't you give blood in Australia if you have been to the UK?	I have heard this from a few sources but no one has told me why!
20090307164306AAlHkMN	Education & Reference;Studying Abroad	I want to go to study in Harvard University.How can I do it?	N/A
20090307164149AAISvbV	Education & Reference;Words & Wordplay	Are there abbreviations for AM and PM?	I noticed in her sample ethnography my scriptwriting professor wrote: "9:34a – 10:49a."       Is this a typical abbreviation for AM?    Is there one for PM? -- Would I simply write "12:32p – 1:32p"?      Thanks in advance!
20090307164220AA0e7mi	Education & Reference;Words & Wordplay	Is "letting go" a metaphor?	"I need to let go of this memory"
20090307165942AAY1gh4	Education & Reference;Homework Help	Vikings raid monks? what year? and where?	i have to wright a diary entry about a monk who has been raided by vikings! where did the monks live? and what time/year would this be happening ( ?? AD)
20090307164453AA5hMoX	Education & Reference;Homework Help	When was the first marionette made?	I have a school asignment about marionette puppets and I need to write about the history of puppets first I want to know when they were born please help
20090307164603AAamKUD	Education & Reference;Higher Education (University +)	Where is citadel university?	N/A
20090307164727AA0zMnH	Education & Reference;Higher Education (University +)	Is There is school or college that is about gun creating?	I'm thinking like a school that would train you to work for Heckler and Koch or something like that. Creating new weapons for different scenerios and such
20090307164731AA5oDfR	Education & Reference;Homework Help	What are units of measure?	Any clue? thannks(:
20090307165011AANIkP6	Education & Reference;Other - Education	What's the difference between  highest honors, high honors,  and honors?	in high school whats the difference between those? thanks
20090307165018AAYPZGF	Education & Reference;Other - Education	I'm about to start the 9th grade and I want to know what classes should i take...?	I'm about to start the 9th grade and i want to know what classes should i take if i want to be a veterinarian or biologist (not a marine biologist, the other biologist who work with zoo animals). I really want to know these things because i  am trying to prepare myself for a university and i want my application to show that i was interested in these two subjects when i first started high school. So please help me if you can because i take my life very seriously and really would like to know these thing so please help.      Remember veterinarian and a biologist (not a marine biologist, the other biologist who work with zoo animals).      Please help me you don't know how crucial this is to me in my life.
