20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128164413AAs2jEo	Arts & Humanities;History	Who were the three of the most prominent leaders of the Mayflower Pilgrims?	Please
20090128164303AAiR7YE	Arts & Humanities;Philosophy	Why do we like to dance?	Alone, with people, or otherwise; it doesn't matter. What about moving our bodies a certain way makes it enjoyable?       Also, how is it that we can "move to the beat?" How do we determine whether or not someone "has rhythm" or not?
20090128171606AAixrKu	Arts & Humanities;History	Evaluate Rousseou's most significant contributions to the Enlightenment...?	help...! =]
20090225144228AAYX4Pr	Arts & Humanities;History	If I  was to compare one president to another which two would be the best. Should I compare like or differnt?	Should I compare presidents who are most alike or most different?
20090128170844AAON8lj	Arts & Humanities;Dancing	Websites? Fitting? Dance Costumes? ?	What are some places that sell dance costumes? Where do studios get them from? Any websites, catalogs, places? And how do you know what size you should get? Thanks!!
20090128164624AA7G2rc	Arts & Humanities;Philosophy	Would you agree that water is more valuable than your life?	given that without it you would not be alive.
20090128165152AAoxheZ	Arts & Humanities;Poetry	Im doing a poem and dont know what it mean by a family tendency?	Can someone give me an example to a family tendency.I dont know what this means
20090128172133AAOYRh4	Arts & Humanities;Books & Authors	Lydia from Pride and Prejudice, is so annoying!!!?	I'm at the part in the book where Lydia is leaving for her new home with Wickham and as she leaves she says to her mom, "I am much too busy to write, for I am a married woman now! My sisters shall write to me, because they have nothing better to do."    At one point she also goes up to Jane and says "I am taking your place now that I am married, and you shall move lower."   She is such a snot! She is totally rubbing it in Jane's face that she is 16 and married and Jane is 23 and not married. And she is always showing off her new husband and he is obviously WAY less in love with her than she is with him. Anyone agree?
20090128171958AAGeL0S	Arts & Humanities;Poetry	Who can write the best free verse poem?	N/A
20090128164842AA5qzgs	Arts & Humanities;History	How did the Carthaginians react to the losing of Spain in the Second Punic War?	N/A
20090128164118AAfqSyu	Arts & Humanities;History	What is the alien act and the sedition act (in VERY simple terms ^^)?	what is alien act?  what is sedition act?  im very useless when it comes to fancy language..can someone explain each one in very simple language? thanks :D
20090128172112AAGk7pG	Arts & Humanities;Visual Arts;Painting	Does anyone know the name of this painting?	 http://cache.eb.com/eb/image?id=99427&re... 
20090128163954AAHxwIU	Arts & Humanities;Poetry	A poem I just wrote. What is it classified under?	The sight of a flower; a simple life of pointless attraction.   We didn't know what to make of it, so we let it die.       Abandoned.      No one stops to tend for the flower.   It's petals meekly fall.      Ashamed.      No one see's the flower trembling in the rain.   It pounding forcefully on it's weakened stem.      Damaged.      The flower collapses against it's own weight.   Returning to the earth, in which it came.      Gone.
20090128171329AAkIbwS	Arts & Humanities;History	Titanic? where did the first class women talk after dinner?!?	I am doing a project where did the first class women hang out after dinner when there men where smoking cigars!?
20090128170136AAIW7sL	Arts & Humanities;History	Did Abraham Lincoln say this?	America will never be destroyed from the outside. If we falter, and lose our freedoms, it will be because we destroyed ourselves.      Could someone give me a link confirming that this quote came out of Lincoln's mouth (historical evidence, proven evidence, not a random website).  I have heard that Lincoln never said this.
20090128165008AAbZyzg	Arts & Humanities;Books & Authors	Link to my story.....?	 http://www.webook.com/chapter.aspx?p=46f...       the first page is my prologue and I think it's pretty self explanatory from there... please let me know what you think :) x x
20090128171933AAOYTrX	Arts & Humanities;Dancing	What song did the boxcuttahz dance to on Season3,episode 2 of Americas Best Dance Crew?	hi,for all of you America's Best Dance Crew fans, I was wondering what song the Boxcuttahz danced to in episode2,in the3rd season:]]] I realy need to know this,and if you could answer this please please do so:]] you will get 5 points:]]
20090128165344AAveHuN	Arts & Humanities;Philosophy	Philosophical Question: Name a situation in which an 'illegal action' is morally justified or acceptable.?	N/A
20090128165946AAtcXzP	Arts & Humanities;Books & Authors	What is the sexual imagery in Lord of the Flies?	We're finishing up our study of Lord of the Flies in the next two days, and in the back of my book it mentions that sexual imagery is present when Jack and his group kill the sow.  I've read and re-read that part but I still can't seem to see it.  Can anyone explain to me?
20090128163844AAAgN4l	Arts & Humanities;History	Love and deniers: could you?	Could you fall in love with a holocaust-denier? Would other good qualities be strong enough to make you get through that fault?
20090128165400AAJXzvL	Arts & Humanities;History	What countries did the USSR consist of from 1917-1992?	I think I have the date right. I'm not sure. But what I am asking is at the peak of the Russian Empire when the USSR had the most territory they had ever had, can you list all the countries the USSR consisted of. I believe it was Russia, Ukraine, and Romania.  I know I am missing one. And Romania may have not been a part of it. Please list the countries for me.
20090128165225AAVf74W	Arts & Humanities;Performing Arts	How can I make learning guitar playing easier?	Im 15 I want to be a musican when Im older. I got an accustic guitar last year and its been sitting im my closet ever since. I dont know what to do . Am I expose to memorize every sound it makes. If learn how to play a few songs first will it become easier to memorize them. But the biggest problam I have is its boring and confusing learning it. Will eletric guitar or bass be easier?
20090128165512AAHf6pS	Arts & Humanities;Poetry	What do you think of these poems?	Your All I see   - When I shut my eyes your all I see   -I see you come near and butterflies appear   -I see your smile that shines like a thousand stars   -I stare into your eyes and get lost   -I hear your voice say I love you and my heart stops   -I feel your hand aganist my skin and I melt   -but I'm awaken by reality   -and the image of you once so clear slowly disappears         On the inside   -when I saw you with another girl   -I was crying on the inside   -but kept a smile on my face   -I was screaming on the inside but was silent   -my heart was broken on the inside   -but wasn't   -I was still alive   -It was still beating   -still taking the pain   -and still loving you like it always will          Please tell me what you think....I'm 15 and wrote these (and others) myself!      Thanks!
20090128171603AAG0hA3	Arts & Humanities;Poetry	Are these poems good?	some criticism please? there short i know but im doing a poetry unit in school.      maybe we can change   how we live everyday   maybe we can learn   how we can be better people   maybe we can stop   how badly we treat others   maybe we can try   and change the world.      the smiles bring light   to the dark of the world   the love brings compassion   to the coldness of the world   the laughter brings happiness   to the emptiness of the world.   now what can we do to change the bad of the world?      im a new 14 year old writeer so i would just like some feed back or suggestions?
20090128164758AAwT9po	Arts & Humanities;Poetry	I need to do a poem for the inauguration please help!?!?	hi everyone i need some help with it. please can some one give me some ideas on how to a poem for the inauguration i don't know how to start it. THANX so much for anyone who answers    p.s it is due this friday! help!
20090128170354AA7hNmA	Arts & Humanities;Books & Authors	Rate My Book Cover Idea, Please ?	For my first book, The Bite, I want to do something from the book for the cover I was thinking a Gymnasium that had half the lights on and half the lights off, because the final fight takes place in the Gym and the half light half dark stands for the opposing sides (good and evil)    Its kindof hard to picture without seeing it but please rate or give ideas.
20090128171155AAYghIj	Arts & Humanities;Books & Authors	I've forgotten the title of this fantasy book. Please help?	I'm trying to remember a book that I really enjoyed, except it's been years and years. It's definitely a fantasy book. I think there was a unicorn on the cover, and other fantastical stuff...      Here's what I remember what happened in the beginning.      A girl (the protagonist) is being "chased" by a man somewhere near the beginning, but don't get me wrong, he doesn't have bad intentions. He needs to tell the girl something, because he called, "Wait!" at her. Anyway, the girl runs up the stairs to the top level of a clock tower, or some similar building. The girl looks down at the concrete sidewalk, feet and feet below her. The guy calls, "Wait!" or something at her, and the girl jumps to get away from him.  She braces for impact, but instead she goes right through the sidewalk into a fantasy land! and she lands in a beautiful meadow or something...   Does this sound familiar?   If it rings ANY bell whatsoever, tell me here. Even if it reminds you of Harry Potter, say it!      Thanks!!
20090128164012AAHPQrG	Arts & Humanities;Performing Arts	Summarize romeo&juliet..!?	Okay so we read the play Romeo and Juliet in English, and we have finals coming up. But the thing is, the play was SO long, and I always have so   much on my mind that I forgot most of it. I know the main idea. Romeo&Juliet meet at a party thing and fall in love. But Romeo's family (the Montagues) and Juliet's family (the Capulets) and enemies so they cant tell their family and they have to sneak off together. They get married in less than 24 hrs of meeting. Romeo is 16, Juliet is 13, almost 14. (if any of that is wrong, please correct me!)      I was wondering if you could summarize each Act?? And if you   could seperate it into the scenes too, that would be great.   Thanks!
20090128171050AA5nExa	Arts & Humanities;Poetry	Help me plz what should go next?	Your eyes are like the stars shining so bright. It makes me want you more every day and every night.      (what next) plz try to make it ryhme
20090128170110AAJivbo	Arts & Humanities;Genealogy	What are some nicknames for the name Sarah Marie ?	N/A
20090128170228AAiplDq	Arts & Humanities;History	What were 3 ways the Nile effected ancient Egypt?	i need to right a 5 paragraph essay with 3 main details.          Help????
20090225145108AA6yhdN	Arts & Humanities;History	Why did the Vikings lose America after they discovered it in the 10th century?	The vikings/norsemen discovered America in the 10th century and promptly lost it. Europeans found it again in the 15th century. Why was America lost after the first discovery and why could Europe act on the second discovery of America?
20090128164906AAkg7Ev	Arts & Humanities;History	World History..... help me please?	I need to know what happened with England and France during the Renaissance, Enlightenment, basically during the 1400's - 1700's. Any help would be fabulous =D  Thanks to the people who reply =D
20090128172058AAyPrIB	Arts & Humanities;Dancing	How do i dance to single ladies plz help!!!!?	i hav no idea how to dance to it. i really wanna learn plz help!!!!
20090225144130AAM01u6	Arts & Humanities;History	High and Lows of John Adams presidency?	Hi. Can you give me a thesis statement about the high and lows of John Adams' presidency.      Please! Easy 10 points!!!
20090225144402AABvrjE	Arts & Humanities;Visual Arts;Sculpture	How to make a pinata?	i need to make a pinata for spanish class. i got the main idea how to make it but need some more tips. i would like it to be in the shape of an airplane if that is possible. it doesn't not need to be completly hollow. THANS
20090128170847AAwQrJA	Arts & Humanities;Books & Authors	Is there a website that can recommend some books...?	...when you type in some keywords?            for example:   i want some pixie or fairy book suggestions...      thanks!
20090128171609AAYIPdJ	Arts & Humanities;Poetry	Do you like this poem?	Today i saw something few will ever see   It easy once you know what your looking for   Its all around us... God      Today i heard something, i wish you could   Its really easy when you listen   They crosses our path daily... Truth      Today i felt something people should feel   It is a unimaginable feeling that can fill you   It is easiest to find... Love      Today i found something no one but me can   It is indescribable, incredible, amazing   it was there all along... Me.      i wrote this any good?
20090128165010AA8bjAN	Arts & Humanities;Books & Authors	I need a good book for my girl :)?	I'm not much of a book reader...though I appreciate a good book!I know there are ALOT out there...I'm going downtown tomorrow morning to see what I can find...      I need suggestions...so I can decide on what book to pick for my girl...who I love so much... :)      I need something honest...something that made you smile while reading it :)      ...anything!From poems to stories ect....anything!      thank you:)
20090225144243AAfg12j	Arts & Humanities;Visual Arts;Other - Visual Arts	What is rhythm in a picture?	what does it mean when someone is talking a bout the rhythm of a picture?  what is the rhythm of a picture?  I don't understand please explain.      Thank You
20090128171651AASfXu7	Arts & Humanities;Poetry	In the poem This dust was once the man by walt whitman?	here's the question what major event dose "the foulest crime in history refere to"    plese read the poem.
20090128170325AAZmn9L	Arts & Humanities;Books & Authors	Websites with book summaries? I didn't read my book and I need to write a summary!?	I had this book report and never found time to read the book. Are there any websites that give you summaries of the book for free? Please help its due Friday!!
20090225144941AAExcZF	Arts & Humanities;History	How old is the oldest city, whether currently inhabited or not?	N/A
20090128164925AAjZUN4	Arts & Humanities;Dancing	Is steps on broadways summer intensive easy to get in?	also do they require you to be en pointe for the audition, and would they start you en pointe that summer if you are in it
20090225145205AAy6aTg	Arts & Humanities;Visual Arts;Drawing & Illustration	I am doing a science fair board, and I have questions on design and such.?	I am doing a science fair project (high-school level) and my project is on using chlorine to kill algae. I was curious as to what colors to use?   I need a background color (color to paint the board) a matting color/s (color of paper, foam, et cetera to put underneath paper) and maybe font color (color for the words on the paper)    any and all suggestions are welcome, and thanks in advance
20090128170001AA2Bd4W	Arts & Humanities;Genealogy	What does my Family Crest...?	I've found my family crest online, but I don't understand what certain parts of it signify. It looks like a Griffin impaled by a sword.   Where can I find what that means?   How does one come up with what a Family Crest should look like?   What does all of it mean, for that matter? Colors and such...
20090128164227AAxa5fg	Arts & Humanities;Dancing	Is it shasay or sashay?	I always get those two mixed up and i was wondering wat the correct word was
20090128171114AAnjM7W	Arts & Humanities;Dancing	I want to ask my boyfriend to an upcoming school dance?	i want to find a really cute or surprising way to ask my boyfriend cameron to the sadie hawkins dance thats coming in february does anyone have any ideas on how to ask him
20090128164559AAg7STO	Arts & Humanities;Visual Arts;Photography	A name for a watermark for a photographer?	preferably with a gothic ring to it
20090128163935AAnWhN5	Arts & Humanities;Performing Arts	Good songs out there right now?	N/A
20090225145210AA71xc5	Arts & Humanities;Performing Arts	How can I get over stage fright?	I need to steady my hands and stop them trembling while I perform because it's pretty frustrating. I'm getting better at what I'm doing (Singing) every single day so I'm often confident ,and I don't want this problem to effect my music career. thx
20090225145250AAXPAnl	Arts & Humanities;Performing Arts	Ocarina decision (Tenor or Alto)?	Hi I am a Zelda fan and I am looking to buy a 12 hole ocarina.  The only problem is I don't know whether to get an alto or tenor.  Which would be better for Zelda songs?
20090225145302AAOKJi7	Arts & Humanities;Performing Arts	Did Sammy Hagar sing "I Can't Drive 55" before or after joining Van Halen?	N/A
20090225145321AALzzf5	Arts & Humanities;Visual Arts;Drawing & Illustration	What website i s good for edieting pics?	u no like adding stuff like ,words, and making it look good    editing it   i would perfer if u have used it before...   an please make sure it gives no viruses..   thanks!
20090128164426AAJHfsM	Arts & Humanities;Books & Authors	First edition book? how much would i get for it?	I picked up this book today called "The Man That Never Was" by Ewen Montagu. From looking at it more closely i found it was a first edition, published in 1953. I was wondering how much it would be worth and if so, how do i go about selling the book?
20090128164008AAGxPqV	Arts & Humanities;History	What are spme bad things about helen keller, alexander the great,rosa parks, and angelina jolie?	I have this project in school, and i have to dig up dirt about helen keller, alexander the great, and angelina jolie and rosa parks. I also have to say why they wouldn't make a good king or queen. please help, i can only find good things about them... thank youuu
20090128164343AA2uqbF	Arts & Humanities;History	American History! Segregation! please help! :)?	In a newspaper article, Ida Wells reported that three African American grocers in Memphis had been lynched because they had      a. established their store in a "whites only" neighborhood.   b. competed successfully against white grocers.   c. refused to set their prices at the same level as those of white grocers.   d. refused to serve white patrons.
20090128170451AA6sIwd	Arts & Humanities;History	In the late 1800's, Europeans were looking overseas for places to sell their products because...?	In the late 1800's, Europeans were looking overseas for places to sell their products because...      a. they were producing more products than other industrialized countries wanted.   b. tariffs reduced trade among industrialized countries.   c. They could sell their products at higher price in Asia & Africa   d. Asia and Africa were producing products that European wanted in exchange for their own.
20090128164432AAmGt45	Arts & Humanities;Books & Authors	I need to find the name of a book where everyone in the world died over the age of 13... help?	When I was about 10 or 11 I had read this book about the world's population being infected with a disease that killed everyone over the age of 13. The world was in total disorder and the groups of kids formed packs like dogs. I THOUGHT the name of the book was called "The Militia" but I can't seem to find it on Amazon... Can anyone help me, please?
20090128164554AAx7oY8	Arts & Humanities;History	How did the image of women change in the 1920's?	We are reading The Great Gatsby in class and now we have a project on it. We have to explain an issue that is discussed in the book. My issue is the changing image of women in the 1920's. I know a few things but im in need of great help!!!!
20090128164756AAVyj3o	Arts & Humanities;Theater & Acting	I am auditioning for the Bakers Wife in Into the Woods, know any soprano 2 ballads?	I am auditioning for the Bakers Wife in Into the Woods, do you know any non overdone soprano 2 ballads? I want a powerful ballad that shows off my range (sop 2 land lol)      I like Heaven Help My Heart and Someones Else's Story from Chess but they're kind of lower then i want.       Any Ideas?......Thanks alot!
20090128164825AA7sEzj	Arts & Humanities;Books & Authors	What's a good fantasy book for a 15 year old?	I'm looking for some good fantasy books. Something that would interest a fifteen year old boy. I've already read The Lord of the rings, the Hobbit, Inheritance Cycle (Eragon/Eldest/Brisnigr), and the Ranger's apprentice. I will NOT read Harry Potter or anything written by Philip Pullman!
20090128164836AAJrGjP	Arts & Humanities;Genealogy	CAN I TRACE THE GOLDEN RETRIVER BACK TO ANY JURASSIC PERIOD?	N/A
20090128164909AAZ2VO6	Arts & Humanities;Visual Arts;Photography	Photo editing programm?	i need a photo editting program like one that you can outline something and only enhance or take away the colour from only that part you outlined  i have a mac and as far as i know there is no program like that..  i dont want a downloadable one either  just an internet one...  thanks.  (:
20090128164928AAIEsoa	Arts & Humanities;Books & Authors	Is the Twilight Official Guide out yet?	N/A
20090128165007AAw95jA	Arts & Humanities;Performing Arts	Where should I learn to start playing an instrument?	I am 15 years old and don't know how to play any instrument well. I tried joining the band class, but my school said I need to already know how to play an instrument to join so I am basically screwed because there are no means of learning how to play and joining the band. Now I regret 2nd grade because I remember when the teacher told us to sign our names on a paper if we want to learn how to play in the school band. I thought it would be too much pressure so I didn't join but now I am 15 years old and music is my passion, I really am interested in learning an instrument but the my high school doesn't have any learning classes. Now what should I do to learn ANYTHING about music??
20090128165035AAQ8Jyf	Arts & Humanities;History	Did Maya Angelou live in Missouri?	I need to know this for a dumb school project that's due tomorrow!  I am too much of a procrastinator!  Where did Maya live?  I saw on Wikipedia that she lived in Missouri, but wikipedia isnt always right.  help me!
20090128165229AAwP7YB	Arts & Humanities;Performing Arts	Suggestions for audition song?	solo
20090128165238AAsWzda	Arts & Humanities;History	How was the Boxers Rebellion viewed by the United States? ?	I am supposed to research this but i can't find it.   Also, how did THEY View American society?
20090128165317AAN3WeA	Arts & Humanities;History	Where can i find events in america from 1872-1912?	N/A
20090128165335AAWzDa5	Arts & Humanities;Visual Arts;Photography	Oovoo mirrored image?	Is there anyway to remove that...and make the image of the webcam...not mirrored?      It bother me...and I couldn't find it on google anywhere.      can anyone help me?
20090128165403AA8zlS8	Arts & Humanities;Visual Arts;Drawing & Illustration	Any graphic artist willing to design a logo in exchange for homebrew?	Hello,      I'm a home brewer that brews a lot of beer and I'm looking for someone to design a logo for my brewery.  This is not a business and I'm not selling anything.        I do want a really cool logo for my brewing so I can make coasters and incorporate the logo into labels for the future.      Is anyone that is really talented with logo design willing to help design my brewery logo in exchange for tasty home brews???  I have a good idea of what I want, I just don't have the know how to put it together.      Any takers??
20090128165418AAverDT	Arts & Humanities;Visual Arts;Other - Visual Arts	Do colleges teach you how to digital paint [In photoshop]?	like, for example, The Art Institutes. Or do they already expect the majority of their students to know how to.      Like how do all those fantastic artist on DeviantART learn it?      I know there are tutorials, but it's not the same as having someone teach you step by step
20090128170723AAHkCs2	Arts & Humanities;Performing Arts	Why doesn't Bod Dylan play the guitar any longer?	N/A
20090128165707AAUgd5i	Arts & Humanities;Poetry	Celeberty poems? please?	it has to be 4 lines about a celebrity and the first two lines have to rhyme and the 3 and 4 have to rhyme
20090128165819AABC2nS	Arts & Humanities;Theater & Acting	In the play "antigone" y is she a high ranking person, what is her tragic flaw, and what are 3 admirable trait?	i need this asap. its for an essay
20090128170024AA1c82i	Arts & Humanities;Other - Arts & Humanities	An example of hindu art, music, or artifacts?	it is a homework question i have searched all over the web and found nothing on it please help!
20090128170345AAR8tqU	Arts & Humanities;Dancing	Music for a ballet recital?	okay so i am doing a ballet recital and the theme is birds of paradise which is a nice tropical flower so we are looking for ballet music that is kind of spicy but we can dance to and has no words. any suggestions?
20090128170358AAVbZDu	Arts & Humanities;Books & Authors	Pronounce an authors name?	I am looking for how to pronounce "Cees Nooteboom" who wrote Lost Paradise...please let me know
20090128170647AARMwxd	Arts & Humanities;Books & Authors	Eclipse(the book) Help?	ok. So i was wondering what chapter and page that edward gives bella the charm bracelet. And also im on the part after Jake kisses Bella and if im close to that part just say "your close"
20090128170703AAsnIzg	Arts & Humanities;Visual Arts;Other - Visual Arts	What is the top selling bic lighter color?	N/A
20090128171118AAwAFlR	Arts & Humanities;Books & Authors	What is the title of the book that deals with a boy jumping from a tree?	in the book the boy's best friend dies jumping out of the tree and in the end the main character dies during surgery after breaking his leg on a set of marble stairs.
20090128171139AArR7nG	Arts & Humanities;Philosophy	If God is an all knowing God then can I rightly be held responsible for anything that I do in this life?	He know and always has known everything there is to know.   Long before I was born, he already knew exactly how I would live my life.    Long before I was born, it was already true that I'd live my life exactly as I'm living it.   By the time I was born, it was too late for me to have any real saying in how I'd live my life
20090128171214AAZI4k9	Arts & Humanities;Visual Arts;Drawing & Illustration	What is a symbol for joy i need help?	N/A
20090128171235AAcqnCk	Arts & Humanities;Genealogy	Is it right to hate my grandmother?	well she always yells at me for every detail and when i was a preteen she would always accuse me of stealing her things when she would misplace them. well i am muslim and in the religion Islam you have to pray. Back then i never use to pray and now i do but i pray in my room where my grandmother doesn't see. She always says to my aunt who lives far away that i never pray and that no one does but i do pray!!! She always tells my aunt the bad things about me and then she tells me these things where my cousins pray and they are good girls. It annoys me I am an A student, do my homework, do housework, listen to her, respect her, sometimes get angry but i do pray!!!!! she makes me cry so much but i can't do anything about it because i do respect her!!
20090128171312AAR85qy	Arts & Humanities;Theater & Acting	Othello by William Shakespear?	Can someone please give me a quick psycho analysis on the character "Iago". Thank you
20090128171332AAmRN6K	Arts & Humanities;Poetry	How does emily dickinson use Imagery in this poem? and how does she use Diction?	“Hope” is the thing with feathers   BY EMILY DICKINSON   “Hope” is the thing with feathers -    That perches in the soul -    And sings the tune without the words -    And never stops - at all -       5 And sweetest - in the Gale - is heard -    And sore must be the storm -    That could abash the little Bird    That kept so many warm -       I’ve heard it in the chillest land –    10 And on the strangest Sea -    Yet - never - in Extremity,    It asked a crumb - of me.
20090128171337AAhfnYU	Arts & Humanities;Dancing	NEED HELP! IDEAS FOR SONGS? FOR TAP DANCE?	I need ideas for songs I can Tap Dance to. Any suggestions would be great!
20090128171628AAeWyu1	Arts & Humanities;History	Why was abraham lincoln the best president the United States has had?	i have to do a project and wanted to know the facts.
20090128171641AAVw3pf	Arts & Humanities;Books & Authors	Whats the Theme of this story?	I would like to know the theme of "A Raisin in the Sun" someone told me it was Racism but i say its about Dreams   is She right? am I wrong? or are we both wrong?
20090128171724AAd3jDt	Arts & Humanities;Books & Authors	What did you think about The Doll People book?	im doing a book report please answer!!
20090128171754AAGjNKn	Arts & Humanities;Theater & Acting	What are some scenes from Shakespeare's plays Mac Beth, Julius Caesar, and Hamlet that have scenes with blood?	My English class is doing an essay. I had to pick a topic and a symbol. I chose blood to represent betrayal. I now need scenes and quotes from the plays Mac Beth, Julius Caesar, and Hamlet that have "blood" in it. Please include sources. Thank you so much!
20090128171908AAaWg77	Arts & Humanities;Poetry	Is this good so far (poem)?	ok well we have write these poems for my english class, i am 13, be as critical as you want. i just have stuff going on in my life and decided to put my thoughts into this poem so ya here it is :)      i wish i could   be someone else   just for a day   to know what its like   to walk in their shoes      i wish i had a mom   i could talk to   without it being awkward      i wish i had sisters    that understand me      i wish i had a dad   that knew how to care      i wish i wasn't a triplet      i wish i didnt have   a science teacher   that hates me            i wasn't gonna add that last stanza but i just decided to i think i will write more stanzas before that though   i wish i wasn't grace   just for a day
20090128171931AANtmUA	Arts & Humanities;Visual Arts;Photography	How do i get into modeling?	i want to get into modeling,not runway.i wanna take a few pictures and do all that photo shoot stuff=]      i dont know much about it,i just recently became interested.i want to know if anyone knows of a studio in the houston area,more than one if anything.   i dont want to get into a modeling school or anything like that.
20090128171949AAXyfd1	Arts & Humanities;History	Was the British effected by or did it participate in any of the following forms of discrimination? If so, desc?	Please help
20090128172237AAElmUW	Arts & Humanities;History	I need information on a railway accident in 1944 at vauxhall staton?	I am trying to discover the cause of my great uncle  Robert Gamlin     who was killed in a rail accident at Vauxhall station december 1st 1944.   He was coming home on leave from his regiment 30th battalion the    queens royal regiment [west surrey]   when the train was approaching vauxhall station a disturbance broke    out on the train my great uncle was pushed against the door and fell out on the wrong side of the track .    He got struck by a train going the other way and died in the ambulance,   I learned all this from my grandmother her sister was his wife, she never got over the loss of her husband and she died in the 1960s,   I have tried to find out what i can , but theres no one left alive now in the family and i cant find anything out offical wise the papers are either missing or non existant, Ive tried to find out anything from the Royal milatary police but theve nothing ,the queens royal regiment association cant help either ,   theres no police records either , i intend to go to the papers archive     but i need to know if any out there knows about the accident    I want to know what happened  as my great aunt never found out      and went to her grave never knowing the truth of what happened.         thank you .
20090128180325AA52ie3	Arts & Humanities;Philosophy	I don't want to get married, nor have children; do I have a real purpose, biologically, for existing?	N/A
20090128175813AAHR8J0	Arts & Humanities;Books & Authors	Which of these books should I read next?	"Everything is Illuminated" -- Foer   "The Archivist’s Story" -- Holland    "On Liberty" -- Mill   "Watchmen" -- Moore   "Life of Pi" -- Martel   "Freakonomics" -- Levitt / Dubner   "Siddhartha" -- Hesse      Those are some of the books from my list of what I want to read this year, so they all interest me.  I'm currently looking for one that will be entertaining, but a fast read.  I have to read a 600-page biography on Ulysses S. Grant soon, so I don't want to be stuck in a book that won't end.
20090128173317AAp6T0P	Arts & Humanities;Other - Arts & Humanities	How to make a louis griffin or marge simpson costume for tomorrow?	I have limited supplies and it is spirit week. I want to be either louis griffin or marge simpson for tomorrow. I can pull off the outfit, but thehair is the hard part for both as I do not have hair dye and WILL NOT dye my hair. I am thinking for marge using blue cardboard paper only for the first class when we have to do pics and putting my hair up ion there and putting the blue cardboard hat thing on my head like marges hair,    and I do notknow what to do for louis
20090128172705AAibczf	Arts & Humanities;Books & Authors	The Giver...!                             ?	What book connects to it?
20090128172535AAGGv8W	Arts & Humanities;Books & Authors	Twilight Saga Series!!?	So im not being rude but it might sound like it. All these "fans" say that they have read the books so many times and still dont get certain parts about it. Why is that? its not so hard.Also they keep asking about Midnight Sun, like when is it coming out and blah blah. If they were really fans wouldn't they have read it off Meyers sight.   This is just my opinion. There is not right or wrong answer here.       And yes i am a Twilight Fan and i didn't find anything about the book complicated or a part that i didn't understand. I understood every part.
20090128175802AAoQNoH	Arts & Humanities;Books & Authors	Help on an end for this story?	I need to end this story I'm writing... It's about two child immigrants from Darfur whose parents were killed by a rebel group, and they pickpocket for money to buy food. The older girl is arrested when she's caught, at which point the police realize she's an immigrant and they deport her. The younger one now has no place to live.      How can I end it?
20090128174128AAFQLVC	Arts & Humanities;Philosophy	What was SWSC ? (Google Books "Collins Class Submarine Story" says?	>)    Did SWSC exist after Bob Clark left, or was he the last person out the door ?
20090128172632AAmgOKH	Arts & Humanities;History	Which president was "First in War, First in Peace, First in the Hearts of His Countrymen"?	Was it Abraham Lincoln or somebody else?
20090128175216AAa5Swl	Arts & Humanities;Poetry	Can anyone write me a poem or find me a poem on vacuole?	ok i need this for my biology class. vacuole is a organelle in a plant or animal cell. Thanks i would really appreciate it!
20090128172732AABPL2R	Arts & Humanities;Visual Arts;Painting	What do u call the main person in a painting?	I need it to decribe a printing. what i am trying to say is the miser is the ____of the painting   would i use main subject?   theme?
20090128173948AAKzwoa	Arts & Humanities;Visual Arts;Painting	How to paint on fabric (silky type) ?	All I have is watercolor, acrylic, and oil paint.   I also have some linseed oil. I might, maybe, go to the store later.
20090128173031AAhuoGC	Arts & Humanities;Books & Authors	Balzac's collection of novels and stories is called?	a. The American Tragedy.     b. War and Peace.     c. Songs of Experience.     d. The Human Comedy.
20090128180654AApTtpa	Arts & Humanities;Books & Authors	What music would Holden like from The Catcher and The Rye?	So I was just wondering what music he would enjoy? I would Think that he can relate and enjoy the music of the early 90's (grunge). Since it is depressing. I think he would enjoy music from nirvana, and Mad World from Gary Jules. So what music would you think that he would like/relate too? and Why?
20090128175324AAsXzvg	Arts & Humanities;Poetry	What do you think of this poem?	Rain      It comes in the night,   Heavy and hard,   It wakes me from my dreams,   I open my window and breathe in the scent of it,   It makes me feel high and giddy,   But then I realize what it brings,   Some it is death and pain,   For others it is life and happiness,   Rain is truly an amazing thing,   For it is a curse and a miracle,   To us.
20090128180758AAaSErY	Arts & Humanities;History	Could Dred Scott read and write?	N/A
20090128175347AAmXEZb	Arts & Humanities;Philosophy	What sends your imagination running wild?	N/A
20090128181655AA53Tvc	Arts & Humanities;Philosophy	Why, as we get older, does life gets less exciting?	It seems like back in the day when we were 5 and 6, everything was exciting. Christmas was the best day of the year, the first day of school was incredible, making decisions was something we loved, and everything around us was awesome.   it seems that as I get older, things become much less exciting. When I was younger, going to college seemed like an adventure, like the time of my life. Now...I have no idea how to decide which to go to and what I'm going to do when I get there.   I can't help but wonder if anything will be exciting again...   It seems like life can be a big drag   of course there are some things that are still exciting in my future:   love, marriage, kids, buying a house...   but all of those seem so stressful and unpredictable...
20090128180818AAsmGwx	Arts & Humanities;Theater & Acting	Open auditions in michigan?	Hi,      well i am on a tv show and a sorta not well known but i am an actress and i was just wondering if you know of any open auditions in Michigan cause i wanna do some with my friends to and i cant take them to mine so yea... thanks
