20090225101213AAS8M2R	Computers & Internet;Hardware;Monitors	Cylindrical box around the monitor cable?	Hej!         Whats the cylindrical boxes on both sides of the monitor data cable ends?
20090227164504AAkU7q2	Computers & Internet;Software	How do I make it so that people can view my powerpoint on the internet?	i want to put my powerpoint on anne frank on the web so that people can tell me how it is......      or if you know how to put a powerpoint on web.com.. that would be good too. :] thanks
20090227162505AAw74jE	Computers & Internet;Other - Computers	How do you restart your whole computer and delete everything?	how do you delete all programs and everything... I mean everything?
20090227164512AAkusVc	Computers & Internet;Internet;Other - Internet	How do i get Wireless interent?	I don't understand what it is i need to be able to connect to the INTERNET while on the go, with my lap top. I have a wireless router, but still, of course, i have to be around somewhere that has a network for me to connect to. What is it that i need to be able to have my own portable INTERNET that i can get on wherever i may be. What companies other Thant ATT and Verizon offer these services/plans? i'm super confuse so any information could totally help me......
20090227165945AAiucIo	Computers & Internet;Hardware;Other - Hardware	Erasing files from hard drive?	I need help erasing files from my hard drive. Can anyone tell me how to do it? the operating system is Windows Vista 64 bit if that helps. and its a gateway computer with an AMD processor.
20090227162702AA75XDE	Computers & Internet;Security	NEED COMPUTER HELP!!!!!!!!!!!?	ok so i my little cuzin put in a usb cable it waz in put it wouldnt detect the item then i put in a diffrent item and it detected it then he pushed in the first one all the way in and neither work now and my second usb port wont work either cus he pluged one in backwards and it borke how can i fix them pleass help=]
20090227164058AAEsMyz	Computers & Internet;Software	What are some good free graphic software?	I don't think I phrased that right... haha ok so I make graphics, right now I am just doing them on paint, but that doesn't really seem like the best thing, I can't do anything cool.  So I need to know, what are the really good free or not free graphic making softwares out there?  If they are like downloadable off the internet that would be great, but buying in a store is fine too.  So yeah tell me!
20090227165736AA6c30e	Computers & Internet;Hardware;Desktops	RAM problem, can anyone help?	Now I tried to replace my 128 MB samsung PC133u-333-542 SDRAM with 2x 256MB samsung SDRAM giving me a total of 512MB SDRAM      Current SDRAM Specs    http://www.samsung.com/global/business/s...       SDRAM I wanna put into my computer    http://www.samsung.com/global/business/s...             Okay I have tried to install the new RAM, and when I loaded my computer, it said that the memory decreased to like 64mb, I think it should be compatible, if it isnt Ima be so mad since I spent $28 on it, I researched it but I have no idea what Im doing, I just tried to match it up as best as I can, lol.   Now I updated my flash bios to the most current version for my I guess bios chip model, or motherboard model, idk         Okay so I was wondering if someone can help me?      Computer info......................|   .........................................   .........................................      Operating System System Model   Windows XP Home Edition Service Pack 3 (build 2600) Dell Computer Corporation L866r   System Service Tag: 8S7MG01 (support for this PC)   Asset Tag: 8S7MG01   Chassis Serial Number: 8S7MG01   Processor a Main Circuit Board b   867 megahertz Intel Pentium III   32 kilobyte primary memory cache   256 kilobyte secondary memory cache Board: Intel Corporation CA810E AAA01025-311   Serial Number: 0007157X1246111K0643   Bus Clock: 133 megahertz   BIOS: Intel Corp. A14 09/05/2001   Drives Memory Modules c,d   61.48 Gigabytes Usable Hard Drive Capacity   39.68 Gigabytes Hard Drive Free Space      LG CD-ROM CRD-8482B   3.5" format removeable media [Floppy drive]      HDS722580VLAT20 [Hard drive] (61.49 GB) -- drive 0, s/n VN42BECBE834ND, rev V32OA6EA, SMART Status: Healthy 128 Megabytes Installed Memory      Slot 'DIMM1' has 128 MB   Slot 'DIMM2' is Empty   Local Drive Volumes         c: (NTFS on drive 0) 61.48 GB 39.68 GB free   Network Drives   None detected   Users (mouse over user name for details) Printers   local user accounts last logon   Jake 2/27/2009 3:47:50 PM (admin)   local system accounts   Administrator never (admin)   Guest never   HelpAssistant never   SUPPORT_388945a0 never      DISABLED Marks a disabled account; LOCKED OUT Marks a locked account   None detected   Controllers Display   Standard floppy disk controller   Intel(r) 82801AA Bus Master IDE Controller   Primary IDE Channel [Controller]   Secondary IDE Channel [Controller] Intel(R) 82810E Graphics Controller (Microsoft Corporation) [Display adapter]   DELL M781s [Monitor] (15.7"vis, s/n 688EN0BOBR3H, November 2000)   Bus Adapters Multimedia   Intel(r) 82801AA USB Universal Host Controller Creative AudioPCI (ES1371,ES1373) (WDM)   Communications Other Devices   Dell Data Fax Modem         Microsoft Broadband Networking Wireless USB Adapter   primary Auto IP Address: 192.168.0.6 / 24   Gateway: 192.168.0.1   Dhcp Server: 192.168.0.1   Physical Address: 00:50:F2:74:AA:8A      Networking Dns Server: 192.168.0.1   Standard 101/102-Key or Microsoft Natural PS/2 Keyboard   Microsoft PS/2 Mouse   USB Root Hub   Virus Protection [Back to Top]   No details available   Missing Microsoft Security Hotfixes [Back to Top]   These required security hotfixes (using the 02/10/2009 Microsoft Security Bulletin Summary) were not found installed. Note: CIS benchmarks require that Critical and Important severity security hotfixes must be installed.   Q938464 - Critical (details...)   Q946648 - Important (details...)   Q950762 - Important (details...)   Q950974 - Important (details...)   Q951066 - Important (details...)   Q951376 - Critical (details...)   Q951698 - Critical (details...)   Q951748 - Important (details...)   Q952069 - Important (details...)   Q952954 - Critical (details...)   Q954211 - Important (details...)   Q954459 - Important (details...)   Q954600 - Important (details...)   Q955069 - Critical (details...)   Q956802 - Critical (details...)   Q956841 - Important (details...)   Q957097 - Important (details...)   Q958215 - Critical (details...)   Q958644 - Critical (details...)   Q958687 - Critical (details...)   Q960714 - Critical (details...)   Installed Microsoft Hotfixes [Back to Top]   Internet Explorer   no verification data SP3 (SP3)   Windows XP   SP2   passed verification KB842773 on 2/27/2009 (details...)   SP3   no verification data KB936929[SP] on 2/27/2009 (details...)   No details available      Click here to see all available Microsoft security hotfixes for this computer.      [installed security hotfix] Marks a security hotfix (using the 02/10/2009 Microsoft Security Bulletin Summary)   [failing installed security hotfix] Marks a security hotFix that fails verification (a security vulnerability)   verifies OK Marks a hotfix that verifies correctly   fails verification Marks a hotfix that fails verification (note that failing hotfixes need to be reinstalled)   Unmarked hotfixes lack the data to allow verification      Click here for Belarc's System Management pr
20070202160800AAPoi4K	Computers & Internet;Internet	Where do i create these characters?	i see so many people with little cartoon characters that they've created of themselves, anyone know the website? here is an example:  http://img126.imageshack.us/img126/4866/... 
20090227165838AAHwXZG	Computers & Internet;Software	Is this a good pc setup?	antec nsk 6580 atx mini tower    ASUS DRW-2014l1 20x DVD RW IDE light scribe    logitech ls21 stereo speakers    intel atx E7300 CORE 2 DUO 2.66 Ghz 3MB CACHE 1066fsb LGA775    sapphire HD4850 512m 256 bit GDDR3 PCIE2.0*DVI TWO HDMI    gigabyte GA-EG31MF-S2 G31 1333Mhz dual DDR2-800 PCI EXPRESSX16 INT VG    lg 22 inch screen     team dark 2g kit pc6400 800 mhz    keyboard mouse   WD 500g sata 2 7200 rpm   wat games would run best wih this setup   farcry 2?
20090227163349AAdcIyQ	Computers & Internet;Security	How do you remove (virus) spyware protect 2009?	exactly what the question says.
20090227163211AANXzfL	Computers & Internet;Programming & Design	Importing own packages in Java?	How do I import my own package that I've made myself into java?  Say my package is called easyGUI, (which it is, by the way) would I give it the full file path?  On a mac it'd be:      import Users.Stuart.Documents. Work.Utilities.easyGUI;      I had to put a space in or yahoo would end the code at the ea of easy with a ... .   would that work?  I want to import it like I'd import the built in packages, I don't really want to take any shortcuts.
20090227165828AAhZ1Se	Computers & Internet;Hardware;Other - Hardware	Xp or vista for gaming?	N/A
20090227165853AAsklSu	Computers & Internet;Hardware;Desktops	Xp or vista for gaming?	N/A
20090227164312AAHCdIk	Computers & Internet;Security	Music/movie downloader?	Ok so i downloaded this program a few months ago and let a friend barrow my laptop but i uninstalled it because it made it run slow and thought it would of buged him but anyways it was hella awesomeness it downloaded **** fast and before you downloaded an item it would have a list of comments saying if the qulity was any good or if it was real or fake ect if anyone knows what i'm talking about i will love you long time! thanks for the help!
20060929213948AAeQPGC	Computers & Internet;Programming & Design	What is artificial neural network?	Is there anything new in it?
20090227162606AABNHje	Computers & Internet;Software	Is there a software that allows to retrieve all your pictures from your camera?	i heard from my friend that he has a softwaer that allos him to retreive deleted photos is it free? does it exist?    i visited vegas and my bro graduated from the marines but all those pictures dissapeared pleas help thanks ooo and it would be better if its free
20060928210941AA68sJd	Computers & Internet;Internet	Does anyone know about the phone service Vonage?	any pros or cons to this service???
20090227165151AAfP4KW	Computers & Internet;Software	Can't uninstall Windows live messenger.. How come?	I went to add/remove programs and also downloaded revo uninstaller and they don't display it so i just went into program files and deleted all the filed inside windows live messenger folder. Then when i try to re-install a different version of windows live it says that i have a later version of windows live installer.. i clearly don't.
20090227163744AAXKSQM	Computers & Internet;Internet;MySpace	Myspace...? Who loves it? Likes? Has one?	Who all owns a myspace? Is it that popular?
20090227163959AAsLlCA	Computers & Internet;Internet;Google	Ok you know Google earth well is there...?	like google spac or something like i could type in a star or something and look into space is there something like  that?
20090227163125AAc4UF5	Computers & Internet;Software	Microsoft Office for the Mac?	I got Microsoft office for my Mac, but every time I try to open an application in it, it pops up the stupid "Survey" window, I exit out of that, then an update box shows up, I go to update it, no updates.So I go to open the app again, and the process starts over. What should I do??
20090227163949AAVRSpI	Computers & Internet;Hardware;Laptops & Notebooks	Wrong screen resolution? dell laptop d620?	hi, my step dad recently messed around with my screen resolution thinking it was messed up. now, i have a three inch bar on the right that is black.i tried going into properties and even fn f7 for the widescreen thing.. i dont know how to fix it. its like its 800 x 600 or something, im not really sure. thanks!
20090227165001AAiCe42	Computers & Internet;Hardware;Laptops & Notebooks	Three inch black bar on right side of laptop screen?	my dell d620 was configured (by my step dad telling me my resolution was messed up) to like to 1024 x 768 not the like 1280 by something. i dont know how to fix it and make the bar go away though i tried searchign through properties, control panel changing resolution im so confused!
20090227162912AAmR8pW	Computers & Internet;Internet;YouTube	My youtube account got suspended.?	When i try log on it says your account has been perminetly disabled. I DID NOT post ANY inapropriate content. I did get 1 warning for copyright stuff, but thats it. I switched my account so that i get email updates, i confirmed, then BAM my account was disabled. Anyone know why? PLEASE HELP!!!!!!!!
20090227163103AAgJ3h9	Computers & Internet;Hardware;Laptops & Notebooks	Laptop help needed urgently!?	hi i accidently dropped my laptop now the laptop wont boot up. it will only boot up if u hold the hard drive down or if u hit it. then it will work for a while but if u move the laptop it will freeze and start shaking and doing weird stuff. please help me i need urgent help and i cannot buy a new hard drive because i have no money for it. thankyou!
20090227163655AAq0gCl	Computers & Internet;Hardware;Desktops	Rate my computer setup.?	HI, this will be used for gaming. Playing wow, diablo 3, starcraft 2, Team fortress 2, etc.      -ASRock A780GXE/128M AM2+/AM2 AMD 780G ATX AMD Motherboard - Retail (79.99)      -AMD Athlon 64 X2 7750 Kuma 2.7GHz Socket AM2+ 95W Dual-Core black edition Processor Model AD775ZWCGHBOX (63.50)      -Rosewill RG530-2 530W 80Plus Bronze Certified, ATX12V v2.3/EPS12V v2.91, SLI Ready, Active-PFC Power Supply, UL,FCC,CE,TUV,ROHS       -Antec Three Hundred Black Steel ATX Mid Tower Computer Case - Retail       -G.SKILL 2GB (2 x 1GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Dual Channel Kit Desktop Memory Model F2-6400CL5D-2GBNQ      -Western Digital Caviar SE16 WD5000AAKS 500GB 7200 RPM SATA 3.0Gb/s Hard Drive - OEM       as far as GFX card goes, i have 3 choice and idk which to get. They are all the Nvidia 9800GTX+, but diff. companies. Here are the links       http://www.newegg.com/Product/Product.as...        http://www.newegg.com/Product/Product.as...        http://www.newegg.com/Product/Product.as...        http://www.newegg.com/Product/Product.as...       so yeah, idk which to choose they all seem the same. thanks for the help and critiques.
20070405235942AAvYpIN	Computers & Internet;Programming & Design	Friendster pimping?	I want to put stuff in my friendster, I already have a great layout and icons. but is the a site where I can get these....Like those little chat boxes in your profile and I saw this one profile where when you visit the page there's a window that pops out and it says "Welcome" and when you leave the page it says "Whether you like it or not leave a comment" and there's a box where you can type it in. and If you know other stuff I can put give me a link to the site
20090227165635AATh9UF	Computers & Internet;Internet;Facebook	Facebook songs?????????	can you a song on your faebook profile like you can on myspace???
20070118150004AAW76NX	Computers & Internet;Programming & Design	How do I enable cookies and Java script?	I need to do this to log in to a particular site.
20070103174451AANjdab	Computers & Internet;Security	What's the best free antivirus now that AVG will no longer be free?	AVG won't be free anymore after January 15th.
20090227163104AAu9iQ7	Computers & Internet;Computer Networking	ATT internet speed problem?	Hi, I get around 40 kps in downloading speed in ATT. I pay $20 a month and am i supposed to get more speed? Like maybe 56 kps? Sould i all them and ask?
20090227165929AAISTb3	Computers & Internet;Hardware;Laptops & Notebooks	My laptop keeps making these really weird sounds please help?	i have an hp laptop and after i turn it on after about 15-30 minutes, it makes this really weird sound that sounds like a motor. its on the bottom left. and while making that noise, the bottom of my laptop vibrates a little. i dont want it to explode or anything, so i just turn it off my laptop, and when i turn it off the sound stops. ive had this laptop for about an year.      does anyone have a solution, or know why this is happening? i didnt spill water on it or drop it. thanks!
20090227170221AArV1ON	Computers & Internet;Hardware;Laptops & Notebooks	Your thoughts on the Apple MacBook (white)?	Your opinion on the white MacBook?   Pros/Cons? Is it worth it?      I'm starting high school next year and i need a laptop. I've never had a Mac before so i don't really know what to expect. I don't have high expectations, but i just wondered what people thought of the MacBook...?
20090227173700AAOb0tu	Computers & Internet;Internet;MySpace	How do you upload images onto myspace?	okay i need this dumb plug-in thing and i dont want to install this thing without my dad's permission.im afraid the computer might get a virus AGAIN.is there another way without using the plug-in thingy???   helpp,thanks! ")   oh and btw dont give me answers like just ask your dad because,well...its a long story,but yea pleez help ;]
20070101125615AA4qBBv	Computers & Internet;Other - Computers	Does anyone know how i can get adobe flash player installed onto my computer?	I have tried downloading it but i does not seem to be working. I am unable to view any videos online because of this. Please help!
20070117092244AAfwPxb	Computers & Internet;Internet	How do i activate active x controls on my computer?	I am unable to watch any videos on the internet because of this and also cannot download anything. Please help! Thanks in advance.
20070214113650AAe2Asn	Computers & Internet;Internet	I cannot download active x viewer adobe flash player onto my computer! Someone please help!?	Because of this i am unable to view many websites and also cannot view any videos online. Thanks in advance.
20070414015819AABTBNS	Computers & Internet;Computer Networking	Why  they say google faster?.why  is reason is their system or their network ?	what technology do google use?    what yahoo uses?   how many servers dose yahoo & google ?   what sort of server do yahoo uses & google uses?
20070203183121AA3s2dD	Computers & Internet;Internet	Anybody know any good websites for teenage girls?	N/A
20070215133808AAT7r3Z	Computers & Internet;Internet	How do you use the "1111mb.com" website thing?	ok there is website called "1111mb.com" how do u get ur page to look like another website. I want mine to look like a Runescape log in so people put there usernames and password. plz help asap
20070409104713AANxICm	Computers & Internet;Programming & Design	Is there any sites that tell u how to make a myspace layout?	I want to make a myspace layout any1 know any sites that help???
20061026134040AAALNLE	Computers & Internet;Internet	What i have to do, to start surfing internet on wifi laptop from my room, do i have to buy anything or pay?	N/A
20061022150805AAQl1Bn	Computers & Internet;Internet	Can somebody tell me, how to watch live cricket match on internet, without paying any money. thank you?	N/A
20090227162548AAWBf81	Computers & Internet;Internet;MySpace	Myspace privacy help?	i want my myspace to be private, so i went to my settings and clicked only my friends to be able to view and then i realized that you could still see my myspace without being my friend i saved it a million times. any help??
20090227164721AAJY0xc	Computers & Internet;Hardware;Desktops	How much do you think this computer is worth?	amd phenom 2.5 quad core black edition +9850   8gigs ram   ati radeon 4850 512 gddr3 memmory   320gb hd   dvd reader and writer   wireless b/g
20090227162747AA6mfAp	Computers & Internet;Internet;Google	After I delete my account, when you google my username, will my profile show up?	will it delete my questions too? I deleted my account but i still see my username and questions on google!!
20090227162617AA0SxZ2	Computers & Internet;Software	The setup for Adobe Photoshop wont work.?	so i just installed photoshop, and when i click the setup icon to setup photoshop it doesnt like load or open or anything.      any ideas why?
20090227162641AACOqGG	Computers & Internet;Software	My computer's "explorer.exe" program isn't working.?	Explorer isn't working on my windows XP, so my system tray and desktop icons are invisible. I can access everything through task manager, though I can't bring explorer.exe back up because it just cancels out.      What can I do to bring explorer back?
20090227162711AAVyiBr	Computers & Internet;Hardware;Desktops	My computer's "explorer.exe" program isn't working?	Explorer isn't working on my windows XP, so my system tray and desktop icons are invisible. I can access everything through task manager, though I can't bring explorer.exe back up because it just cancels out.      What can I do to bring explorer back?
20090227162828AAJBCdx	Computers & Internet;Other - Computers	My computer's "explorer.exe" program isn't working?	Explorer isn't working on my windows XP, so my system tray and desktop icons are invisible. I can access everything through task manager, though I can't bring explorer.exe back up because it just cancels out.      What can I do to bring explorer back?
20090227162654AABtZGR	Computers & Internet;Internet;MySpace	Myspace display name ideas?	well, my name is Kaylee.. but it feels like it's too hard to make a nickname out of my name. XPPP but just putting kaylee as a display name seems kinda lame. got any ideas 4 a good display name??
20090227162705AAeeZ0Q	Computers & Internet;Internet;MySpace	Regarding myspace profile privacy...?	i thought my profile was private but now its not. how do i put it back on private??         my pics. are private but profile is not =[
20090227162808AAExdNi	Computers & Internet;Programming & Design	Does anyone know the font for this website header?	www.itfc.co.uk      The part that says IPSWICH TOWN in the top left corner of the page.       What is this font?
20090227162843AAsG1RL	Computers & Internet;Computer Networking	I am using a Edimax wireless USB  with a BT home hub and i am getting little or no connection to the internet?	N/A
20090227162947AAbkuLm	Computers & Internet;Software	I have 1998 Microsoft Publisher and want to upgrade.?	Will I be able to open the files I've created in 1998 Microsoft Publisher if I purchase the 2007?  Or, should I buy a 2002 upgrade, then upgrade it to the 2007?  Thanks!
20090227164517AAAYUNf	Computers & Internet;Internet;Facebook	Is this too creepy to do on Facebook?	I was in a hospital last week and met a beautiful nurse there. I know that she is single but I felt it was inappropriate to ask her out while she was working.      Only knowing her first name and where she worked, I was able to find her on Facebook. So my question is: would it be creepy of me to request her as a friend and ask her out that way? Or should I just let it go as a missed opportunity?
20090227163809AAlBMmF	Computers & Internet;Internet;Facebook	Facebook app see who viewed your profile?	Is there a facebook app or anything that can let you see who viewed your profile, and not just certain people who have a certain app, i mean everyone. Anything?
20090227163103AAVDr1y	Computers & Internet;Software	Excel - How do I convert random numbers that keep changing, to values (ie real numbers) that dont change?	N/A
20090227163310AAUAqYR	Computers & Internet;Software	I am using Nero8 and am having a strange problem, I can't hear any audio?	Does anyone know whats up with this?  I've tried to manipulate the sound by going to the control panel but it says there is no audio device?  How could that be when the speakers are built into my laptop.  Help????
20090227163334AAOsKVG	Computers & Internet;Internet;Google	Is google a safe place to work for?	N/A
20090227163336AAhsbkB	Computers & Internet;Hardware;Laptops & Notebooks	My RAM is 512MB, when i checked it's only 386MB. Why is that?	just curious. Is it reserved? If so, how can i change it or can I?
20090227163417AAaWB7n	Computers & Internet;Internet;Other - Internet	Whats that website where you can get free stuff / goods?	What is the site you can get free stuff/goods without recycling yours?
20090227163519AAdY41i	Computers & Internet;Hardware;Laptops & Notebooks	What laptop should i get?	I have about $1,600 to spend.    I am thinking a macbook    or a Sony.   I am going to use it for schoolwork and research. I am 15 years old.    I am going to use the internet.
20090227163530AAx3UF5	Computers & Internet;Software	Why can't I play movies I downloaded on utorrent?	The name of the file has a word "dvdrip".    Should I download a codec or just use programs like vlc?
20090227163534AAmD9pE	Computers & Internet;Programming & Design	What does hostgator do? Is it to creat a website?	i went to hostgator.com and create it an account even put my credit card and all my info to create a website.  Im not sure what to do next cause when i go to the link that i created it, a hosgator page appears and i dont know what to do.     Can anybody help me cuz im gona b paying monthly and i cant even create my page.
20090227163624AA0T8d1	Computers & Internet;Hardware;Other - Hardware	Light-up keyboard searching?	I'm lookng for a new keyboard. But, I want one that can be able to light up the key you are pressing as you are typing. I've seen the Luxeed one, but it is a bit pricey. Are there any keyboards that have light up keys and are less expensive than the Luxeed?      Note:   -I don't need full multicolor, animations like the Luxeed, all I want is the "spark" feature from it, that allows the keys to light up as I type them   -Wired or wireless, I couldn't care less
20090227163627AAmuP6W	Computers & Internet;Programming & Design	3ds max axis help! thanks in advance?	i wanted to continue modeling my character but when i select the move button the move my vertices the axis has gone, thanks for the help!
20090227163634AAbjO9n	Computers & Internet;Hardware;Laptops & Notebooks	What laptop would you recommend?	I'm going to be a freshman in high-school next year, and I'm going to need a laptop to get me through all four years. I'd prefer a Windows system, (because I'm not to great with a Mac) and that has a decent graphic card for gaming (yes I know I shouldn't be gaming in school, but don't bother commenting on that).  and etc. I'd also rather it wasn't a Vista system, mostly because of it's bad reviews. So what do you think I should get?
20090227163717AACMrI0	Computers & Internet;Programming & Design	C# objects and having errors with null objects?	I am creating objects in c# but during debug,if I step over the object,it becomes null so error at run time with "null object"
20090227163828AAwtmjE	Computers & Internet;Internet;MySpace	Want To Recycle A MySpace Account?	I need a MySpace account but don't want to make a new one. If you have an extra, I'll gladly take it.      QUALIFICATIONS:   1) No URL set   2) Age customizable to 13
20090227163835AAzRNhS	Computers & Internet;Internet;Other - Internet	Watching worldwide tv on the web?	does anyone know of any good websites that i can use to watch tv channels from around the world?   any help would be appreciated! :)
20090227164605AAZY3QJ	Computers & Internet;Internet;MySpace	How do i change the contacting me on myspace?	i have the contacting me section there but is there anyway to make it shorter by just putting message and comment me? i want to make my profile shorter and i don't want people to email me yadda yadda anywayz. does anyone have codes for that or know where i can get a code for it?
20090227163909AAOJkPL	Computers & Internet;Software	Why can't I drag my songs off of limewire to itunes anymore?	If anyone knows why please tell me.   And if there's a way that i can,then also tell me that.   haha. thankss.   :)
20090227163937AAS9IjS	Computers & Internet;Hardware;Other - Hardware	Nvidia 8500GT vs ATI Radeon x1050?	which graphics card is betetr
20090227164004AA7XD8p	Computers & Internet;Software	Is there a Mac application that allows you to amplify sounds through the speaker?	As if i say something into the mic or put headphones up to my Mac microphone; is there an application that allows it to apmlify it through the speakers?
20090227164129AAkfQrJ	Computers & Internet;Hardware;Laptops & Notebooks	I have a sony pcg-7133L laptop and it wont turn on even when i have plugged the charger in. it flashes orange?	N/A
20090227164304AAKlXAc	Computers & Internet;Hardware;Laptops & Notebooks	My Dell Inspiron 1721 running slow?	Hi I recently bought a new charger for my dell inspiron 1721 laptop and its 19v as the previous charger was 19.5v and the new 19v charger is making my games lag and my computer to run slow when the charger is plugged in but when i run the laptop off the batterie the laptop runs perfect and my games don't lag can somebody help me please and tell me how i can sort this problem thanks David
20090227164317AAQ4oCB	Computers & Internet;Internet;MSN	How to find someone on msn?	I have made around 8 accounts since I started using msn (5 years) and I don't remember like 6 of the accounts...is there a way to find out what the e-mails are?
20090227164400AAI5Hy7	Computers & Internet;Hardware;Laptops & Notebooks	Dell hard drive trouble, i'm clueless as to what to do D:?	okay.. my friend forced a shut down on my dell inspiron 1525 laptop without doing windows > shutdown   and now it has allsorts of errors and it won't get past the vista welcome screen, after that the screen goes dark   im running diagnostics now.. but it seems to have stopped testing and the hard drive didn't pass its test..   i dont know what to do :(      i have all the rebooting disks for webcams, drivers and utilities etc etc   i dont know which one to use or whether to use them at all, and if i do will i lose data?      i hate technology :(
20090227164422AAUufb3	Computers & Internet;Internet;Other - Internet	What's the point of thisisnottom.com?	i heard about this site from youtube. i don't get it
20090227164427AAGtO5z	Computers & Internet;Other - Computers	How to change the format of a video?	i just made a project using window's movie maker.. but when i tried to upload this video to a cd, it appears to be "unreadable" when put into a dvd player... the computer can read the cd, but the dvd can't... how can i change the format of the video in a way that it can also be read by a dvd player?
20090227164512AA2gLaA	Computers & Internet;Hardware;Add-ons	How do i turn on my laptops built-in webcam?	its disabled   and i dont know how to like.... able it
20090227164558AA8Mnxt	Computers & Internet;Hardware;Laptops & Notebooks	Is there any way to charge laptop with broken power jack pin?	I'm sure I already know the answer! But, I thought I'd ask because it's amazing what some people know how to do when others say no way.  I was wondering if anyone knew if there is any way to charge laptop with broken power jack pin? I really need some information off of my laptop. But, the power jack pin is broke and I'm not able to get it in to be fixed until sometime next week. Am I just SOL or is there a way I can get my battery charged at all until it get this fixed??
20090227164720AAAO5Sx	Computers & Internet;Hardware;Add-ons	How can I install Windows on a computer using a USB drive?	I have a Windows CD, and a computer to install it on, and a flash drive. My problem is that my CD drive in the computer I need to install it on does not work. I need to put Windows on my USB Flash drive to install it on my computer, because I can not install it directly with the disk. Help?
20090227164748AA7HCDZ	Computers & Internet;Security	SmartHide, good or not?	Anyone have any experience with SmartHide and whether or not if they like it or if its any good? I want to be completely anonymous on the web whether it be searching websites, games, or downloading various things across the web.
20090227164751AAt6Ijy	Computers & Internet;Programming & Design	Website help? Need to make homepage attraactive?	Hi, I recently made a website and I would like to know what I can do to make the homepage attractive. I haven't done much yet. The homepage just says welcome but I am looking for ideas to make it interesting. My website is  http://cinnamon.au2.com    Also, I haven't gotten my own domain yet because there isn't many members yet so when it does get members, I will upgrade. [You may be able to help :-)]   So, does anyone know anything I can put on it? It is on free server. Constructive criticism is welcome.
20090227164810AAo2iwJ	Computers & Internet;Security	Is there any cure for this internet virus?	Everytime i get on the internet i can search around for alil while then the pointer with the hour glass comes up and it says "internet explorer has stopped working" then closes out of the internet. i ran AVG and its still happening. any suggestions??
20090227164820AA4SC8p	Computers & Internet;Computer Networking	How do I log on to my belkin g router?	i have had my dsl and my wireless network set up in my house for several years now. The other day my dsl modem decided to commit suicide and stop working. The verizon tech came out, was at my house for 4 hours and finally said "i had to swap out modems for one i had in my truck,these westell wire speed modems are hard to come by now, but i can't get your router to work". i don't know what he did. my computer is the one the router is connected to and so is the dsl modem (never been a problem before) my sons computer is connected with a wireless adapter (never a problem before). My computer wont log on to the 192.168.2.1 but my sons will. I had logged on before and as soon as it was done counting down for router restart it kicked me out of the 192xxxxx and wont let me in, my computer wont let me in to it at all. how do i fix this? do i need to reset my router(i have pushed in the reset button several times now with the longest time being 50 seconds) i have been messing with this for over two hours. the ip address on my computer is 71.96.255.79 and when i change it following the unhelpful advice of belkin tech support i lose my internet connection. i'm lost, please help
20090227164847AANLnDr	Computers & Internet;Hardware;Add-ons	Graphics card/ processor overheating?	if you were to overheat your graphics card or processor, would it just die or would it reduce performance?
20090227164904AAclf6W	Computers & Internet;Security	Is WebRewardStream.com really a scam?I got offered a free Wii when I clicked on a Willis contest!?	I'm from Willis
20090227165152AA7ZmTu	Computers & Internet;Hardware;Add-ons	Ps2 game in my cd/dvd rw computer drive i can play it?	Is there a program i can download off the internet so if i put a ps2 game in my cd/dvd rv computer drive i can i have windows vista home PREMIUM
20090227165332AA8pWBs	Computers & Internet;Software	Is there a free photoshop download?	I am looking for some type of photo editing download that is free and easy to download. All it need to have is the ability to crop photos by taking faces from one and adding it to bodies from another. Thanks and please provide the link. 5 stars for best answer
20090227165404AADB6nQ	Computers & Internet;Computer Networking	Computer Won't Connect to Router...URGENT! Please Help!?	While trying to diagnose a problem with my internet, I disconnected the modem from the router to see if my laptop could get on the internet without the router.  After that, I went to connect the router back to the modem, but when I searched for wireless networks, ours was nowhere to be found.  We set up a whole new network, but when our computers now connect, it has limited or no connectivity, and in Network Connections it has the yellow triangle with exclamation mark between the router and computer.  Any help would be appreciated.
20090227165509AAp2yuZ	Computers & Internet;Hardware;Laptops & Notebooks	Dell or HP or Sony Laptop...which one?	I wanna buy an affordable laptop..   Dell or HP or Sony??   i want something pretty and well...a good laptop lol
20090227165646AApJsO4	Computers & Internet;Software	What is the best registry cleaner?	back up your answer why you think your choice is the best
20090227165720AAa3k8p	Computers & Internet;Internet;MySpace	Whos got myspace,boreddd?	So im really bored, and have nothing to do as of right now   so add my myspace? talk or something      but not if your over 22 :) thanks      www.myspace.com/jo7x7x         thankyouu
20090227165753AAmuvb0	Computers & Internet;Hardware;Add-ons	Installation CD won't recognize in CD /ROM drive?	I have an installation CD for clickart 400,000   i put in my cd rom and nothing happens.  I go to run and type in f:\ which is my CD rom drive b/c i made d drive for downloads.     It won't run this installation.  It says please insert disk.   There's nothing wrong with the cd rom because i used it this morning.   Please help.   I thought i had all the system requirements.
20090227165837AAkfwHj	Computers & Internet;Hardware;Laptops & Notebooks	My sony vaio laptop starts up  but then the screen says  sony vaio recovery utility run  by windows?	then it says please wait and stays there
20090227165853AA32eM2	Computers & Internet;Hardware;Laptops & Notebooks	I accidentally turned off the touch/finger-sensing pad and i don't know how to turn it back on. Help please?	N/A
