20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090225125806AADGO9V	Health;Diseases & Conditions;Other - Diseases	Experiencing Hairloss? Check this out!?	Go to hairloss180.com.  It actually works, it's affordable, and it's FDA approved!
20090225130924AAaJDiK	Health;General Health Care;Other - General Health Care	Trouble getting up on a school day! NO SLEEPY DRUGS!?	I have been going to bed at 10 for like 2 years for school and getting up at half 7 and i always find it so hard to get up, i have tried going to bed and 9:30 even 9! but i just toss and turn and get really restless and end up getting less sleep! Help please NO PILLS im 14!
20090129110646AAnurcW	Health;Women's Health	How long should a Hormone replacement , be taken.?	How long should a hormone replacement be taken. Is there a time frame, in order to stay safe.
20090128075044AApJzP6	Health;Men's Health	Is masturbating a health risk?	if you have a bit of dirt on your hands
20090128055458AAe7IlQ	Health;Men's Health	S masturbation a health risk?	if theres a bit of dirt on ur hands.
20090225124231AA8MdOV	Health;Women's Health	LADY PIPE SMOKER ?? All welcome to answer.?	Latest warning on back of pipe tobacco.   Smoking when Pregnant harms you baby.   Can't remember the last time i met a female smoking a pipe.   ANY COMMENTS???
20090128093255AAF91ny	Health;Women's Health	Can antibiotics affect a NuvaRing? ?	My friend is kind of nervous that she could be pregnant again. She didn't call the doctor because her period should start in like three days. She is just wondering if it could affect her NuvaRing like it does with pills.
20090225131251AAMGUEf	Health;Diet & Fitness	What is the esiest way to lose 65 lbs. in 5-7 months?	Hi I'm 18 and I'm just trying to slim down for college and improve my physical health, how do I do this?
20090128090116AAv9mHA	Health;Other - Health	What is wrong with me??!?!?	Ok so recently (most times after i eat but not always) I get really bad bouts of dizziness, nauseousness, and fever ish symptoms. It comes n very very fast and will last for an hour or more. I all of a sudden am really hot, then really cold and so on, and I feel as though i am going to pass out and throw up.    What is wrong with me?!?!?!?! This really really sucks. I am a 14 year old female. (no chance of pregnancy!!!!!!!!!!) Please help me. Thank you!!    ps could this have anything to do with my billy reuben? (i had a blood test 3 weeks ago and that was messed up but at the time, had no symptoms)    oh also i just started taking trazadone about two weeks ago. not sure if that has to do with anything. I'm jsut trying to give you all of the info that may me releveant. thank you,.
20090128090412AAFN5WR	Health;Diseases & Conditions;Other - Diseases	Whats wrong with me?!!?	Ok so recently (most times after i eat but not always) I get really bad bouts of dizziness, nauseousness, and fever ish symptoms. It comes n very very fast and will last for an hour or more. I all of a sudden am really hot, then really cold and so on, and I feel as though i am going to pass out and throw up.   What is wrong with me?!?!?!?! This really really sucks. I am a 14 year old female. (no chance of pregnancy!!!!!!!!!!) Please help me. Thank you!!   ps could this have anything to do with my billy reuben? (i had a blood test 3 weeks ago and that was messed up but at the time, had no symptoms)   oh also i just started taking trazadone about two weeks ago. not sure if that has to do with anything. I'm jsut trying to give you all of the info that may me releveant. thank you,.
20090128093624AALTFhd	Health;Women's Health	How can I get rid of menstrual cramps fast and with no medicine?	I'm at work right now and I am in soo much pain from cramps. It hurts in my lower abs and down my leg muscles. I already took 4 tylenols and still I feel soo much pain. I can't ask my boss to go home, what should I do??
20090128090253AAW0ugr	Health;Diseases & Conditions;Other - Diseases	Would a pharmacist know what this is on my finger?	I went to my regular doctor for a checkup and he said the little circle on my finger was probably a callous.  The next time I went there about a month later I asked him again cause its still there and he said it was probably a wart, but he didn't know.      I know that there a variety of wart removers at the pharmacy and there is a consultation area, so is this the type of thing a pharmacist would know, or would I need to see a dermatologist?       Also, is there anything embarrassing about having a wart?  My doctor seemed like he didn't want to discuss it.
20090128092058AA6HDxa	Health;Women's Health	Being emotional linked to PMS/time of the month?	Last night my boyfriend was saying stuff to me and they werent overly offensive but i just felt like breaking down and crying.   Now usually I can just shrug it off or slap him in a jokey way lol but I felt so emotional and wondered wether this could be due to the fact Im due on in about a week.. ?
20090128092410AA4TSOk	Health;Mental Health	Any tips for calming myself before flying so I don't have so much anxiety that I ruin my vacation?	I HATE flying. I have a totally irrational fear, I know. It is getting worse over the years instead of better. I have to fly in 3 days & don't even want to go on my vacation anymore!
20090129111719AARDebE	Health;Other - Health	I Am 21 Why Do I Sometimes Get What I Think Is A 'Hot Flush'?	I Go Really Hot And Dizzy But It Only Lasts Upto 1 Minute Prob! Just Wondering What It Is As Im Only 21.. I Dont Get It All The Time But Ive Had It Quite A Few Times.
20090129115653AAT9q09	Health;Dental	What is dental bonding?	Say you have a very small stain on your front tooth, would you have a small piece bonded to just that small stain on your tooth or would it cover the whole tooth
20090225131330AAKRL5Y	Health;Women's Health	What will happen if i take the morning after pill?	say i had sex 2-3weeks ago and didnt think i was pregnant(and test said negative)then i had sex yesterday and took the morning after pill today,what would it do if i was pregnant before?how long do you have to leave it before you can start yourself on the contreceptive pill after taking the morning after pill?      soz for all the questions just really curious
20090129110215AAJn973	Health;Alternative Medicine	What is the difference between qigong and tai chi?	N/A
20090129113933AArnvNo	Health;General Health Care;Pain & Pain Management	Charlie horse, in my neck ?	what ways can i get rid of a charlie horse in my neck   it hurts like a fuc_king b_itch   gahh :(   how long do they last?   how should i sleep on it?
20090128093125AAyBzwh	Health;Women's Health	When your urine has a strong odor..?	When I get up first thing in the morning, I go pee... lol and when I do, its very dark and has an odor. I have had a UTI for about three years now, the doctors cant seem to get rid of it. I have tried every medicine in the world it feels like.... I have been to six differenet doctors and I also get yeast infections from time to time.  Is this why it is so dark and has a very strong odor?
20090128093125AATQM7U	Health;Women's Health	When your urine has a strong odor..?	When I get up first thing in the morning, I go pee... lol and when I do, its very dark and has an odor. I have had a UTI for about three years now, the doctors cant seem to get rid of it. I have tried every medicine in the world it feels like.... I have been to six differenet doctors and I also get yeast infections from time to time.  Is this why it is so dark and has a very strong odor?
20090128093932AAjScL7	Health;General Health Care;Injuries	Sledding with a fractured elbow???!?	I fractured my elbow snowboarding two weeks ago, but i don't have much pain left. I use it for almost everything during the day, but there is slight pain when i extend or bend it completely. Is it okay to go sledding with this?
20090225120322AAMaWBv	Health;Women's Health	Is getting injection by young lady doctor at butt is right?	I have got many injections in my butt but this time by a lady doctor of approx age of 20-25 years. She pulled off my pant and nicker and touch my buttock and then gave me an injection. This situation has made me shameful.
20090128091834AAP1IwN	Health;Women's Health	How do I know I'm ready for a bra?	I recently asked a question how to ask my mom for a bra, but I just wanted to make sure I really need one. What are the signs of needing a bra? Thanks
20090128094320AA50wpG	Health;General Health Care;Other - General Health Care	Omg dude what is wrong with me??!!?	Last night i had a bit of a dry cough. NOw this morning i can't even breath. I'm sore all over.. my throat hurts..and i constantly keep coughing even though it hurts to cough.
20090128085712AAA4lSL	Health;Mental Health	How can I cope with a bipolar, schitzophenic husband with border multipersonality disorder?	I love him but it is so hard to see him go through this. I am a Christian and don't beleive in giving up faith he will get better. We are moving to a different home this week and I  aven't started packing yet. Next week I will be attending school for a position in my job that I can get a raise from. The following week I will be taking a major licensing test for work too. Among all of this, I work 40 hours and deal with kids, dinner, cleaning, and a disabled husband. My husband has major issues. He keeps saying he will hurt himself. He is a gun collecter too so it scares me. He can be so happy one minute but will snap for any reason. Last night he was happy and I just mentioned that I missed my favorate TV show. He blew up at me and yelled at me calling me horrible names in front of the kids. He said he hated me and wished I was dead. I sropped him off at home and me and the kids took off. We got home later on that night and he was still mad. He locked himself in our room and I slept on the couch. This morning he woke up as if nothing happened, happy again. Also yesterday he couldnt find a paper he needed and he broke furniture and made a huge mess for me to clean when I came home. I am tired of replacing phones, brooms, mops, etc just because he has a fit. I just got back into the church and am really hoping this helps me. I feel that my kids lives are being destroyed by his anger. Is there anyone out there with a similar situation? How do you cope? I am literaly getting sick. I have high blood pressure and suffer from post taumatic stress. I also have had severe dysplasia in the past. I am needing a biopsy for an abnormality in my cervix. Its just too much to handle. I feel alone.
20090128092552AAvr5Gx	Health;Diseases & Conditions;Skin Conditions	Some pus around stitches, is that normal?	I got like 6 stitches in my finger on Saturday night.  The pain is actually going down with each day.  Even right now, I feel no discomfort.  However, there is some pus forming around the stitches.  I clean the finger daily.  I run hot water over it for just a few seconds, and I let the finger dry, and then I apply a anti-bacterial lotion the doctor gave me, then I put a band-aid on.  The laceration looks good actually, it seems like it is closing up, and looks to be healing.  However, there is pus forming around the stitches, it has been there for about 2 days now.  Also, when I take the band-aid off, the white part is stained with redness, but when I looked at my stitches today, it didn't seem to be oozing.  Should I be concerned?
20090128090417AAITEPI	Health;Diseases & Conditions;Skin Conditions	How to get rid of spots?	I have some some red spots on my forehead and chin...    How do I get rid of these? I've tried T-Zone cleansing pads but they don't do much.    Any help?
20090225125620AA8oGU9	Health;Diet & Fitness	Is this a good way to lose weight?	If i try not to eat carbohydrates? and eat healthy
20090128093422AAmFWvb	Health;Other - Health	CONSTIPATION constipation?	if you've had a bout of really bad constipation recently, and it seems like your digestion is just not what it used to be...       should you try to eat a lot of high fiber whole grains and a lot of water to try to just keep pushing things through even though they're going so slowly      or should you just give your system a break and maybe stick to more pureed stuff, like apple sauce or juice, for a few days til things maybe normalize more?
20090225123035AAlUP3n	Health;Dental	WHAT COLOUR BRACES SHOULD I GET?  GIRL? VOTE!?	jw...
20090128094147AAPdpiQ	Health;Men's Health	Ballsack red is this ok?	Hi is it ok for my ballsack to be a redish color it doesnt burn itch nothing its completely fine just is normally red is this ok?    its not very very red btw.
20090225123654AAOaIVf	Health;Diet & Fitness	What aerobic and anaerobic exercises burn stomach fat?	Also any that work the stomach muscles and burn he fat are good!
20090225130651AAktmiA	Health;Dental	How much do braces cost?	i only need top braces and where is the cheapest place near sheridan to get them
20090225124953AA3YDP5	Health;Other - Health	About my poop question!!?	alright so why does my poop turn almost black whenever ive been using vicodin (2x a day 1 pill each time) it also happens if i drank heavily the night before the next day its almost black as well i drink captain morgan or blue moon just in case that matters
20090225125028AATwcpi	Health;Women's Health	Ladies, do you look at a guy the same after you find out.....?	that he is very well endowed?
20090225121336AAPYXjQ	Health;Diet & Fitness	Are eggs healthy??????????	like if I'm trying to loose weight and eat 1 or 2 scrambled or hard-boiled eggs occasionally with nothing on them.
20090128090223AAjx3ok	Health;Diseases & Conditions;Infectious Diseases	Is it the flu? or a cold?	I'm wondering if it's possible to have the flu but not actually get it full blown...I started out with flu like symptoms, aches and pains, fever, cough, weakness, but after a few days it seemed more like a cold, everything went away and i was left with a lot of congestion. I went to the doctor the day it seemed more like a cold and he said that's all it was. I'm wondering if its possible to get the flu and fight it off so you don't get it full blown?
20090225123637AAEjQrI	Health;Diet & Fitness	Im on a diet so if Im craving something?	really sweet or bread, what can i replace it with?
20090128090406AAhN3lR	Health;General Health Care;Other - General Health Care	Brain hemmorhage (subarchnoid)?	my mum had a subarachnoid haemorrhage 3 months ago, she's doing good but i had a weepy night tonight, so much that i looked it up, on different sites it says my chances of having one are increased by 14% because im a first degree relative, dont know if its just me but is that right? also would my doctor laugh me out of the room if i went to talk to her about this, im female, (one point) I smoke (another point) each points are the main causes of brain haemmorgaging and on top of that i apparently have a 14% increased chance, im confused!?!  i know quitting is a good idea and i will, thats not what im asking,   should i ask the doc or just think ah well if it happens it happens, (ive seen my mum in more pain than i can imagine, she is still not recovered and all our lives have changed, i cant go through that again!)
20090128094155AAUDeNK	Health;Diseases & Conditions;Skin Conditions	What causes your legs to sweat in the morning?	N/A
20090128092553AAf8pIz	Health;Mental Health	Question about sleeping..?	Does anyone else find that when they are in bed   and it's dark   or if someone asks you to close your eyes and it's dark   .. that you can't?   and you keep opening your eyes and can't physically close them   but your eyes are really wide?   Because I have that and i'm having to in a sense.. glue my eyes shut   using a really thick layer of body cream.. otherwise i can't sleep..   Anyone else get it?
20090128091927AAwpJzP	Health;Mental Health	Evil voice inside my head?	I sometimes get a little voice in my head..   it tells me to do really bad things   and sometimes controls me   it's like, theres my inner voice   then theres a voice on it's on that's not me   and it makes me hurt people   and want to kill people   and gives me so many bad thoughts..      This ever happened to you?
20090128092031AAI4O95	Health;Women's Health	Bleeding between periods? extra period?	OK so i got my period on 24th december, it lasted 2 weeks! then 2 days later i got another period! just as heavy! that lasted about 1 1/2 weeks then today i came on again! is this what they call 'bleeding between periods'? if so, what do i do? im 20 years old.. female..otherwise healthy. Thanks
20090128092143AAKyjvZ	Health;Optical	Fuzzy line "floating" around by my left eye?	I'm 17 and have just finished a very long stressful day at college   When I was leaving my last lesson I noticed this, what can only be discribed as, fuzzy line floating around in the line of vision, it seems to only be on the left but when I cover my reft eye I can still see it floating, ironically its making it hard to read what I am typing   I can also feel a slight pressure on that eye   Tired googling it   it came up with  Glaucoma, which my grandad has.      Is there anything I can do because it won't go away and is just plain annoying!
20090129111110AAI0eK1	Health;Diet & Fitness	I've started to exercise and my knee's hurt - why?	I've been going on the cross trainer for 3 weeks everyday... my knee's have started to hurt, originally it was my right knee, now its my left that hurts more (but its both) its sort of behind the 'ball' of the knee, on the inside, it aches and throbs. any idea why? am i safe to still go on the cross trainer?
20090225113043AAK9yRo	Health;Other - Health	HELP!! Am I Going Deaf?	it started last week.My ears feel like they have a lot of pressure around they and they occasionally has a ringing sound.When people talk to me i have to ask them to repeat themselves sometimes and i sometimes mishear them. i use to put the phone on loud speaker and put the ringing sound on my ear allot.i listen to music. but i have stopped ever since.i have cleaned my ears again and again so they aren't dirty.stupidly i put the hoover in my hears.   can someone please help me im only 14.
20090225124537AAfJ4QX	Health;Women's Health	Exsesive white discharge?	ok so i had a bacterial viginosis or sumthin like that, i went to the gyno.. and he gave me these things that i had to put in me and they melted..idk but my symptoms were, a heavy discharge, smell and kinda burning feeling.   so the smell went away, and so did the burning, but im still having a heavy white discharge..   is it normal? or didnt the bv go away?
20090128094724AAZGhLM	Health;Diseases & Conditions;Skin Conditions	Why do I get itchy and a rash when I'm hot?	I take Zyrtec for my seasonal allergies and when I don't take it, I get some sort of heat rash whenever I strain myself. If I am exercising, cleaning, having sex or sometimes even when I'm stressed I get very itchy all over and get a very hot feeling. I then itch so much my skin turns bright red and sometimes get raised bumps in certain areas. I have no idea how to get rid of it. Am I addicted to my allergy medicine or have some sort of heat condition?
20090225112815AAL0yBK	Health;Women's Health	Getting A Bit Awkward Now!?	So im 15, and im like the tallest girl in my year,   kind of fed up of it now cause i cannot find hardly any guys taller then me, and most are a fair bit shorter which can be kinda awkward when it comes to goodnight hugs if you get me.   im alredy taller then my mum, shees 5 ft 9ish? and im virtually the same height as my dad at 5 ft 11,   im taller then all my family, apart frm my dad and cousin on my dads side whos like 6 ft 2 or something ridiculous. i started my period when i was 10 and im pretty much developed, i have regular periods etc and im fairly happy with the size of my breasts.   dyu think that im going to get much taller???
20090225124419AA9ayQt	Health;Diseases & Conditions;Other - Diseases	Attn: Former Bulimics!!?	I'm bulimic and trying the hardest possible to heal myself... Does any1 know of specific foods that r non-triggering?? any other tips as to how to speed up the healing process?? (besides mental therapy & these stuff...)       Your suggestions are tremendously appreciated...
20090128092811AA1iUbM	Health;Optical	Are there ways to preserve one's eyesight for later years?	I have perfect vision now, although my mother is nearsighted and my father is farsighted. I guess I was lucky and ended up somewhere in-between. My question is: Are there ways to avoid age-related refractive errors?
20090225113725AAv9Z1S	Health;Diet & Fitness	Green TEa, Hot or cold?	Is it better to drink green tea hot or cold. If its cold and stays in the frig for a day or two dose it lose any nutritional value?
20090128090059AAnra0h	Health;Dental	How long should it take for my stitches to dissolve?	i got all 4 of my wisdom teeth removed on friday the 23rd and today is now wednesday the 28th. i had the stitches that dissolve put in my 2 bottoms holes and this morning when i was rinsing my mouth out i was looking and it looks my stitches on the right bottom side have dissolved. i don't feel them either, but i still feel them and see them on the left side. is it okay that the one side dissolved already?
20090225124554AAsdMDx	Health;Diseases & Conditions;Other - Diseases	What does it mean to have high blood pressure?	im not really understanding this
20090225120035AANb3zk	Health;Diseases & Conditions;STDs	Is it safe for me to lick my girls clit?	N/A
20090225125023AAmva2y	Health;Men's Health	I need your advice but please dont laugh at me~~?	actually..........   my *thing* aching greatly and it turns red for last 3 days~   i didnt do anything strange to it, so i'm confused.... what's wrong?      have somebody encounter something like this before?   and what did you do to treat it?      i'm a bit ashamed to say this....   but it hurts so much....!   i really need your advice~      thank you before
20090128090136AAfbWV7	Health;Mental Health	What if a therapist offends you? is it okay to tell them that?	My therapist completely ignored me during a session.he very rarely responded&preceeded 2 check his phone.When he did reply it was just to tell me that im immature.the thing Is i finally admitted to everyone I self harm.I actually want help& I feel like he is making me regret the decision to get help&not suffer dealing with this alone anymore.But my parents like him and they think im just trying to avoid talking about stuff.he really offends me and im debating whether to even bother saying anything.
20090128091800AADvpVC	Health;Diseases & Conditions;Infectious Diseases	Can Someone give me a diagnosis?	flushed cheeks, on and off head aches, itchy nose, bloody boogers,one swollen gland, sore throat, on and off constant sneezing, occasional chest pain cant breath at night
20090128090715AA8Jghr	Health;General Health Care;Pain & Pain Management	Has anyone ever experienced this ?	Hi everyone !   I've been using KETOCONAZOLE 2% CREAM, in my face, like my dermatologist told me too.. at the beggining I've never had no side effects from using it , but from the past days my face has been burning, itching and its all red ..      What does that mean ??? Is that a sign that my skin is getting better, or is this bad ??      Has anyone ever used this cream ??? If so, did it do any good on your skin ???      Please I need help, I already set-up an emergency appointment with my dermatologist for tomorrow at 8am, but i'm worried !      I guess I was feeling better when I wasnt using this cream on my face :(      I'm super sad ... =/
20090128093907AAUK8lD	Health;Diseases & Conditions;Other - Diseases	Why do doctors have to be careful about blood types when people are recieving blood?	N/A
20090128093044AABczST	Health;Women's Health	Help! what do I say??????	I am pretty sure I just started my first period, I have darkish brown stuff in my underwear and a bit red. How do I tell my mom, what do I say? serious answers please.
20090129120701AAmvCpY	Health;General Health Care;Pain & Pain Management	Is there a such thing as ibuprofen PM?	N/A
20090129120616AAxsZxy	Health;Other - Health	I want to buy a pack of diapers?	I did it a few times and what is a good brand of diapers to buy. I have a fetish and I dont have any diapers. How do I ask my grandparents for money to buy myself diapers. (sorry for multiple questions)
20090128085418AAB40y5	Health;Men's Health	Um...my Swollen Testicles?	I woke up this morning and my balls were hurting  A LOT like someone had been squeezing them while I was sleeping.  I looked at them and noticed that they almost doubled in size and are red and swollen.    Um...help?
20090129121736AAvJode	Health;Women's Health	Period help girls only ........?	Period help girls only ........?   my periods have not started yet   but i have these things brown discharge big boobs spots wide hips pubic and body hair dandruff and sweat   i have had all of this for over a year but am i gonna start soon?   and is it true brown discharge is a period?   because i have it and i know   i have also been having boobs cramps and in my lower part of my tummy and back and way to get rid of it?   please help 10 points for best answer   and also discharge changes   first yellow then white then pink know brown help!   oh and i feel like crap please help   im only 11 i know im underage but wat am i supposed to do this is my cousins who is 14 years old
20090129110148AAnngsJ	Health;Dental	Could my filling have fallen out? My cavity hurts!?	I got fillings in early November, but recently whenever I go to eat something hot or cold, it shoots into my bottom right cavity down to like the gums, and it REALLY hurts! So much that I can't chew with that side of my mouth.      I am sure it's not sensitive teeth because I brush with sensodyne Pronamel..       Could my filling have fallen out? What can I do?
20090129110238AAT96kx	Health;Women's Health	What's a good birth control?	i researched everything... i'm still clueless ..... i want the pill but i'm forgetful... depo shot is not safe i heard....
20090129110357AArmjDd	Health;Men's Health	My friend ate 5mg lorazepam?	One of my friend was commit suicide in two days before, in that time he was drunk 1 Bottle beer & took 5 mg Lorazepam, His parrents found him after 8hrs only, they admitted him to hospital thank god now he survive, He is 26 yrs old. What is my question is how he survive becoz they admitted him after 8hrs pls answer me I asking just curious
20090129112045AA5Tya7	Health;Mental Health	Lorazepam with Alcohol?	One of my friend was commit suicide in two days before, in that time he was drunk 1 Bottle beer & took 10 mg Lorazepam, His parrents found him after 8hrs only, they admitted him to hospital thank god now he survive, He is 26 yrs old. What is my question is how he survive becoz they admitted him after 8hrs pls answer me I asking just curious
20090129112058AAFPOM0	Health;Diseases & Conditions;Other - Diseases	Help with physician and false positive drug screen?	Help with physician and false positive drug screen?   i have spinal stenosis, arthritis and fibromyalgia, i have been on soma and lorcet for the past 6 years three times per day. my doctor runs a drug screen and has informed me he can no longer be my dr, they said it was + hydrocodone (true) and morphine, darvocet, which is untrue. he has dismissed several other pts who they say failed also. i am unable to find another physician now with this on my record. is there a way to get it removed or what can i do. i dont do any other drugs except for my prescribed meds. i am a RN and that would scare me to death for the fear of losing my job. can anyone help me please.   8 minutes ago - 3 days left to answer.    Report Abuse
20090129112602AAyCs6X	Health;Women's Health	My second period question?	I got my period on Jan 1 and just this morning i saw a little blood  and now there is no blood at all does this mean i am starting my period?  If so will i get it heavy tomorrow? This i my second period i heard it get very heavy is that true?  Please give as much detail as possible.  Thank You
20090129113320AA4ABs2	Health;Other - Health	How do you know if you have strep throat?	I think I have strep throat, so I'm going to the doctor's. What do they do to find out if you have it? And how is it treated?
20090129113628AAt0bYJ	Health;Diseases & Conditions;Skin Conditions	Red itchy bug bites on arms, maybe bedbugs?	It started about a week ago.  I noticed a red bruise looking bump on my arm and it itched like crazy.  I didnt think anything of and figured it was just a spider bite.  Then a few days later I got one on my other arm and the next night, two more.  They were only on my arms, the only part of my body not covered by covers or clothes at night so i started wearing long sleeve shirts.  Two days ago I decided to go ahead and wear my regular pajamas and I got two more on my other arm.  They are like mosquito bites but bigger but of course its winter time so it cant be that.  I havent seen any signs of bedbugs in the sheets but im going to check the mattress tonight.  Does anyone know what it could be and how i can get rid of it?
20090129114716AA4ljM5	Health;Men's Health	Erections occuring waaayyy too often. Help?	Hi. This is a serious question, not a joke. So please, no taunting. For the past several months I have been getting uncontrolable erections several times throughout the day. This is quite imbarassing. And is also very uncomfertable (depending upon my clothes). They occur periodically through the day and happen EVERY night when I lay down to go to sleep. I am not some creepy porn freak, so that has nothing to do with it.  I would just like to know if this is normal and hopefully how to stop this from occuring so much. If it matters, I am 13.
20090129114741AAeYJlD	Health;Women's Health	Womens health insurance?	I've heard from a few people that in the state of texas that they offer a sort of medicaid to women.. Is this true. I am nineteen and I live on my own and I dont have enough money for insurance or Doctors visits does anyone have any info on this?
20090129115205AAb3zd4	Health;Mental Health	I feel just ugh like deeply sad i keep randomly crying i dont even know why what can i do (read details)?	in september i liked my really close friend and he liked me back . we got into a huge fight and talked on and off through it. now were friends again and he loves this girl that he supposivley loved for 3 years? and i thought i got over him for a while, but last night i was texting him and i fell back in love. we were flirting with eachother and joking about how i seduced him then i kept telling him i loved him like i always do but then this time i really meant it and he kept questioning me hes like in what way? and i told him in the dirtiest way you can think of and hes like so what are you saying ;) ? and i told him that i might not have gotten over him. and hes like =O didnt see that one coming. then the rest of our conversation was awkward so i just went to bed. my best friend doesnt really want me to be friends with him so its kind of like im secretly friends with him but people know. we just dont pay attention to eachother in school. but today we had eye contact and he looked away a few times like he was ignoring me. sometimes i do that too but i dont know.. and in lunch when we had a conversation it made me so happy but after that i really ughh im depressed. i dont get it though why am i depressed ? i cant stop crying . =/
20090129115244AAXfqZk	Health;Men's Health	Why does he get so mad when i tease him?	Don't guys like when a girl teases them?   I just kiss his lower lip, touch him, stop when we kiss sometimes.   I take a while to take his.... thing out.   And other teases...   but he gets mad....   Should i stop teasing him?
20090129115524AAYk7aH	Health;Diseases & Conditions;Other - Diseases	My grandson is 5 and has skin tabs bad on his neck.?	They are now starting to move up toward his face.  They dont hurt him but they are starting to look bad.  He will start school inthe fall.  Kids a re brutal.  Is there anything that can be done?  Is this viral? This started just this past fall.
20090129115601AAmVB7U	Health;General Health Care;Pain & Pain Management	Pains under the left rib?	For about a year now I have suffered from lower abdominal, and upper abdominal pain.      I had always had an uncomfortable feeling under my left/right ribs and in the middle of my chest/stomach area. After many doctor visits, and MANY tests, they discovered my gall bladder had quit working. The Doctor said that is what was causing all of my pain.      I then had my gall bladder removed. While they were in there, they found that I had a 'small, and not serious' uterus infection. I'm currently on antibiotics and treatments for that.       The pain in the lower abdominal area isn't as bad. Still there, but slowly getting better.      I have noticed now that the pain under my left rib has came back. It's been almost a month since my surgery. When I went for the follow up, with the surgeon, he asked how I was feeling and I told him fine. Then, a day or two later, it flared up.      I have been getting symptoms as if my gall bladder was still there. I've been belching quite a bit. I've been experiencing the discomfort between my ribs/top stomach area, and a nagging pain in the left side, under my rib. (Same spot it was in due to gall bladder issues)      I can't understand why these pains have come back? Is it the foods I have been eating? I really haven't watched my diet, and I've been drinking a lot of Orange Juice (Which, I do have acid reflux disease), and I've been eating things such as pizza, chinese, etc.      Do you think it's my diet causing these pains?
20090129121736AAEmXAc	Health;Diet & Fitness	17 year old.. size, bra, weight help..?	Hi,    I'm 17.. and I just want to find out if I'm in proportion lol... I feel as if I'm a bit big to be honest, but my friends say I'm fine.. but dunno if they're lying to make me feel better..      Size: 10/12   Bra: 34E         Weight: Around 8.5 stone I think      I'm not exactly fat.. but not skinny either.      Lovess <33   xx
20090129120754AAFP4nQ	Health;Diet & Fitness	I ate a lot and I am still hungry!?	I just had a 800 calorie meal. It was my first food of the day and before I ate, I was very hungry (lightheaded and stomach ache).  I ate my food slowly and drank a lot of water.  After I ate, I still felt hungry!  Not nearly as much but my stomach was definitely wanting more food.  I drank more water and ate a small spoon full of peanut butter and waited 30 minutes - still hungry!  I have not changed my eating or exercise habits.  What's going on??  Also, there is NO CHANCE of me being pregnant...
20090129120950AA9b1Cx	Health;Alternative Medicine	Is there any smoke-able herbs that's legal, that can be have the same affects on the brain as cigarettes?	If I want to stop smoking, but I love the activity of smoking, is there a combination of legal smoke-able herbs that are available for legal purchase, without nicotine?
20090129121944AANmTN8	Health;Men's Health	How to clear up fordyce spots on the penis?	I noticed recently along the shaaft of my penis little small light spots. They seems to follow the line and towards the tip of my penis. Any help on clearing this up?
20090128055140AAD9qHx	Health;Men's Health	Help  for this man health...y cant i shoot more?	hi..i m 20 m.. i stopped masterbating a month ago..but i used to have wet dreams most of days...even during the time i masterbate i ll ve wet dreams the same night. but since i felt that instead of wastin my sperms by wet dreams i can enjoy masterbating and started masterbating again a week before..but the prob now is i cant shoot my *** for long distant..it doesnt come out with a force..till i stopped wanking i used to shoot for a long distant..but now there s no force at all..it doesnt shoot at all..just comes out ...but the color is milk white and lots of *** comes out..i ve masterbated 4 times this week.. i had wet dreams after wanking this week also... i m worried about my ejaculation force..help me out please
20090128060702AAhaI1y	Health;Men's Health	Help this men health..y cant i shoot long?	hi..i m 20 m.. i stopped masterbating a month ago..but i used to have wet dreams most of days...even during the time i masterbate i ll ve wet dreams the same night. but since i felt that instead of wastin my sperms by wet dreams i can enjoy masterbating and started masterbating again a week before..but the prob now is i cant shoot my *** for long distant..it doesnt come out with a force..till i stopped wanking i used to shoot for a long distant..but now there s no force at all..it doesnt shoot at all..just comes out ...but the color is milk white and lots of *** comes out..i ve masterbated 4 times this week.. i had wet dreams after wanking this week also... i m worried about my ejaculation force..help me out please
20090128084444AAJkP7n	Health;Dental	How do I find a dental company that covers adult braces?	I have dental insurance in cobra but it does not cover adult braces. I am looking for a dental ins. that individuals can buy.  I also heard there is ortho ins. as well.  I have decided to try to buy the ins on my own because most group plans do not cover adult braces.  I am not looking for those discount programs.  This is a really hard topic to find on the internet!  Any help would be appreciated.
20090128085253AA6HyeK	Health;General Health Care;Other - General Health Care	Medical Standards: Can I join thte military ....?	... with Gilbert's Syndrome.      Had a blood test at the hospital the other day and my billirubin count was slightly higher than normal. The doctor said this was possibly an indicator of "Gilbert's Syndrome" - something that increases the chance of turning slightly yellow when seriously ill (not Jaundice) I'm guessing this is because billirubin is a yellow pigment in the blood. This has never happened.      Apart from that it does absolutely nothing detrimental to you whatsoever. In fact I am currently of well above average fitness and almost ready to apply. i.e. lower life expectancy or affect fitness and recovery.       HOWEVER, I am interested to know whether this will block me entering the armed forces as I know medical standards are high and they are sometimes funny about these things.      Answers much appreciated.
20090128085352AAEgVGS	Health;Other - Health	Could this cause constipation?	ive recently started taking mutivitamins with iron in and ive noticed that im getting constipated,could this be caused by this?
20090128090052AA2WAwJ	Health;Women's Health	Help what could cause this?	ive recently started taking mutivitamins with iron in and ive noticed that im getting constipated,could this be caused by this,i was okay before
