20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090227085923AAPbKRx	Society & Culture;Religion & Spirituality	Could God create himself a wife?	He must be lonely. Being the only God and all.
20090307122939AAeIzBr	Society & Culture;Religion & Spirituality	Is there such thing as "Christian scientists?"?	Just wondering if there are any scientists out there in the world that actually teach the truth, and God's creation?
20090307124637AA4L1Du	Society & Culture;Religion & Spirituality	Atheists:  Why do you find it so hard to observe the Holy Law?	It is written:  Thou shalt observe Change Your Avatar to a TV Character Weekend lest some heinous fat cow is angered.      I'm sure thats in Leviticus somewhere.      C'mon, lets see some McGyvers, Knight Riders, Spocks, Teletubbies....      :)
20090227091336AAvcqDi	Society & Culture;Religion & Spirituality	Do you love God as much as He loves you?	N/A
20090307124324AAOI4yQ	Society & Culture;Religion & Spirituality	For those who think the Bible must be taken literally and for those who think its all allegory, would you read?	this quote, please?      "Holy Writ [the Bible] by the manner of its speech, transcends every science because in one and the same sentence, while it describes a fact, it reveals a mystery" (Gregory the Great, Moral.XX.1) Comments?
20090307123959AAzC9WW	Society & Culture;Religion & Spirituality	Has reality television become our substitute for really living? Is that because lives that are purely material?	istic and physical reduce reality and fragment it, making it very hard for people to enter into reality fully? That gives us only superficiality. Is that why extreme sports are becoming so popular - itis an expression of people's desperation to feel really alive?
20090307123718AAUTaMG	Society & Culture;Religion & Spirituality	For those who say God is not real, could that be because you don't actually know what reality is?	Christianity teaches that the triune God is the essence of objectivity and subjectivity, fact and meaning, unity and diversity. So, to deny this God is to be stuck with whatever current trendy teaching about reality is in vogue when you become a teenager. Yet if this God created reality, the only way we could experience that reality would be to believe what He says about realities (including the unseen ones). If we exclude God from 'our' reality, whatever we call reality will not be reality, surely?
20090307123315AAOd4UP	Society & Culture;Religion & Spirituality	I just found out A guy that I was talking to...is GAY!! I found emails of him wanting to host and likes to rim?	what do i do...we never slept together but, he did put his thing inside of me but we never actually had sex...i am so worried now...i dont want to have hiv or an std....i am so upset and confused and lost. he told me he loved GOD soo much, he goes to church all the time he prays and never partys...he said he had only slept with 2 girls before and wants to settle down, he almost proposed to me...but i felt like it was too soon...now that i found all this out....i dont know what to do...how can i ever trust someone again...and worst off...what if he gave me something
20090307131711AA64Fv4	Society & Culture;Religion & Spirituality	Why does the epistle of Galatians say Jesus gave Himself to save us from this present evil age?	And if anyone preaches something different not to listen to them?  So why are some teaching only that He saves us from Hell, and not mention the change that is suppose to happen in our lives?
20090307131725AAozfvI	Society & Culture;Religion & Spirituality	Can someone explain to me how secularism favors atheism?	 http://answers.yahoo.com/question/index;... 
20090307124328AA9azRN	Society & Culture;Religion & Spirituality	Would suicide still be a sin in the following circumstance (details)?	I received a bunch of thumbs down at R&S :(      *cries, sinks into deep depression*
20090307122602AAx4K08	Society & Culture;Religion & Spirituality	Would Christians be committing a sin if they were to have a slice of Devil's Food Cake?	Would that be a sin?  Would God be forgiving of them for turning up their nose at a slice of "Angel's Food Cake" for a slice of "Devil's Food Cake"?
20090307131007AAqXBw4	Society & Culture;Religion & Spirituality	What is the "Holy Spirit"?	I have always wondered! When I was confirmed, in my Statement of Faith I sort of made something up, because I really don't know! What is it?
20090307121740AAlveJ0	Society & Culture;Religion & Spirituality	Atheists, if you could choose any religion in the world to be the right one, which would it be?	Or would you rather have everything exactly as it is now?
20090307123922AAmF0ZK	Society & Culture;Religion & Spirituality	Do Scientologists ever connect the fact that L Ron Hubbard was a science fiction writer?	before he invented a religion and became a millionaire?      I'm trying out some dianetics next week. I've been told to cut out the carbs.
20090307122059AA1Ewb4	Society & Culture;Religion & Spirituality	Do you ever wonder why Mary Magdalene isn't a saint?	Is it because the Bible mentions her getting stoned?
20090307124754AAjwscF	Society & Culture;Religion & Spirituality	So do any of you Christians actually have a source for Jesus's execution records?	 http://answers.yahoo.com/question/index;...       Or is this a new urban legend that is going around?  Last I checked, the Romans said squat about him.
20090227091022AASdnEu	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Would u agree with me or my friend?	its about bosses of companies and stores. My friend thinks they are lazy. I think no they're not. They have to do the hiring and help out dont they?
20090307123509AArWCxa	Society & Culture;Religion & Spirituality	Why were Canon Laws declared to be the authority of the Roman Catholic Church?	This question is prompted by the excellent responses to my question here:  http://answers.yahoo.com/question/index;... 
20090307123222AAlNMlx	Society & Culture;Religion & Spirituality	What are the requirements to be "saved"?	I'm speaking of those things that are internal to the individual -- the conditions within a person to receive "salvation". Please be complete as possible and explain using your own words, since people interpret passages of scripture differently.      Please do not bother with responses that do not address the question itself, such as those who say that there is no such thing as deity or salvation.      If you need to, define salvation (in your own words) if it will help you respond to the question.      Thanks. I'm curious what people of various paths think about this.
20090307123223AAPPmHy	Society & Culture;Religion & Spirituality	Can you pick and choose which of the 10 commandments?	to follow, did God say these are my rules, follow the ones you agree with?
20090307121808AAFEkJF	Society & Culture;Religion & Spirituality	Explain how you can be a Christian and also pro-choice?	You say you are a follower of Christ and Christ being the Son of God is pro-life(a given since he created us) so how can you follow Him and not honor His creations?
20090307124006AAxcIhS	Society & Culture;Religion & Spirituality	Do you agree or disagree: We are still evolving but we did not come from apes nor frogs?	N/A
20090227090757AA0jPM0	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How come lesbians get top billing?	When did "GLBT" become "LGBT"?  Who decided that lesbians were more important than gay men - or is it one of those "Working with women's groups" thing?      And why is there the "T" lumped in there with gay/lesbian/bisexual?  Transgendered isn't really a sexual orientation, is it?  I thought that was more the belief you are a man/woman born in the wrong body - what does that have to do with sexual orientation.
20090307121535AAvP5Ww	Society & Culture;Religion & Spirituality	In Genesis; On which day did god make the fossils?	N/A
20090307121827AAutmf9	Society & Culture;Religion & Spirituality	My dog can reason between right and wrong.?	How can he do that without reading the bible?  Granted, his morals are somewhat different than mine, but he shows compassion, caring, and is often bad (and knows it)
20090307123546AA6ZEeL	Society & Culture;Religion & Spirituality	What "gift" does Timothy have that is referred to in 1 Timothy 4:14?	Also, what event is Paul describing in this verse?        1 Timothy 4:14 NIV      "Do not neglect your gift, which was given you through a prophetic message when the body of elders laid their hands on you."
20090307131904AAn2Uub	Society & Culture;Religion & Spirituality	Is there more than one way to explain the trinity doctrine?	Many people seem to have different views on it. Why is it so confusing?
20090307122612AArpvOX	Society & Culture;Religion & Spirituality	Why do I get so many thumbs down for believing in God?	Really now? This everyone now days Atheist or what?      Just respect peoples beliefs and get on with your life instead of bagging on someones question about God. X_x
20090227091532AAgfbIU	Society & Culture;Holidays;Ramadan	Its coming up to the weekend: Is this a good thing or a bad thing and WHY?	N/A
20090307132119AAwgcIP	Society & Culture;Religion & Spirituality	Question for both theists and non-theists: What are your favorite encouraging sayings or scriptures?	All answers welcome, but please be polite. You can use texts outside of your own religion, if you'd like.  :)   And yes, this means that copy and paste scriptures are welcome.
20090227091541AAGlO3U	Society & Culture;Religion & Spirituality	Do you think the Puritan/Christians that murdered all the "witches" during the Salem Witch Trials?	went to Hell?      Or did God still reward them with Heaven because they thought they were doing the right thing at the time. It's the thought that counts, right?
20090307124922AAJFTqL	Society & Culture;Religion & Spirituality	Anyone thats ever made a bet, will you admit that Pascal had better odds on his side if he had bet on Atheist?	...then on a specific god?  break down the "there is or there isn't" logic and you have 2 options.  the one, atheism, is absolute. you can't divide the results from atheism any further.    the other, god, can be divided by x number of potential gods (even if you do not personally believe in them).      please accompany your answer with your religion, denomination, or other appropriate terms (atheist, agnostic, ect...)   thanks
20090307123412AAHTu9m	Society & Culture;Religion & Spirituality	Does anyone ever memorize a whole Bible chapter?	I have memorized several and it helps me to exit this world and go Jesus's kingdom.
20090307124507AAzq2zv	Society & Culture;Religion & Spirituality	What role do atheists think the church should play in the separation of church and state?	if the concept of church and state is actually to protect government from the church and vice versa...then there must be a role for each in our society...when the constitution was written it was the church that started hospitals, universities, schools, charities helping the hungry, etc...has the government over stepped its boundary by taking over schools, welfare, etc...or is the separation of church and state just an excuse to rid society of religion...after all a government that show no favoritism towards one religion it would be showing favoritism towards atheism...which in inequality issue...
20090307123340AA5UCtM	Society & Culture;Religion & Spirituality	How many preconceptions, ideas and assumptions must an atheist work through before they realize they have?	no true argument against religion except disdain for it?      it appears many atheists forget or seem to deny the limitations of logic, reason, rationale, science, etc...and project their view as truth...based on these preconceptions, ideas, and assumption...yet still claim they don't use faith...
20090307124339AAGVhLo	Society & Culture;Religion & Spirituality	If everything has a creator, as Christians keep telling me, who created God?	Yes, I'm sure this has been asked endlessly - but I've never asked it.
20090227091057AAicZWw	Society & Culture;Religion & Spirituality	So, anyone got an answer for Epicurus yet?	I haven't asked this one in a while.  Let it not be said that I won't hear theistic arguments.  I'm willing to listen as soon as you actually come up with one.      I keep being told by theists that the problem of evil is a silly, childish question that has been asked a million times.  Granted, you don't have to be particularly intelligent or well informed to come up with it.  A child could formulate this argument (and they do!)      So it should be simple to answer it!      How could evil exist alongside an omnipotent, omnibenevolent god?      Is God able but unwilling to prevent evil?  Then he's not good.   Is God willing but unable to prevent evil? Then he's not all-powerful   Is God both unwilling and unable to prevent evil?  Then why think of him as a god at all?
20090227090111AA1ihbI	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How do you know if your gay?	surely it has to be more than just attraction to the same sex right? i mean, there are straight people that can appreciate someone else of the sex body right?
20090307122549AAQ6nFf	Society & Culture;Religion & Spirituality	My brothers and sisters in Christ, what is the word of your testimony?	Thank you for reading and considering this in your heart today. What is the word of your testimony? I'm asking you to share on a personal level Who God is to you. What has He done in your life? What have you seen Him do in others? Thank you for sharing.      Revelation 12:11 And they overcame him by the blood of the Lamb, and by the word of their testimony; and they loved not their lives unto the death.      with love and sincerity in Christ,   andrew
20090307131952AAd7mhu	Society & Culture;Religion & Spirituality	What hairstyle should I have to be accepted by the Mormon church?	N/A
20090227091917AApkGpq	Society & Culture;Religion & Spirituality	" Let" the word of Christ dwell in you richly?	Col 3:16   How do you" let " the word of Christ dwell in you richly?      How does this rich abiding word help you for your personal growth, to overcome the evil one, and for the building up of the Body of Christ?      Thank you for looking into this post today.   In Christ   sandy
20090227091628AANXJDw	Society & Culture;Religion & Spirituality	The Lord prayed this regarding us believers, do you see a key to overcoming satan in these three verses?	Jn 17:15-17   " I do not ask that You would take them out of the world, but that You would keep them out of the hands of the evil one.      They are not of the world, even as I am not of the world.      Sanctify themm in the truth, Your word is truth"      What kind of help do you receive from one of the last prayers of the Lord Jesus before His death?      Ty for taking the time to look into this post today:)   In Christ   sandy
20090227091120AAH1hbI	Society & Culture;Religion & Spirituality	Christ is the image of the invisible God (Col 1:15)and we are being transformed to Christ's image (2 Cor 3:18)?	what does this mean to you?      One thing I find striking about 2 Cor 3:18 is that it shares that we ".... are being transformed into the same image, from glory to glory..."      What are your considerations this matter?   Ty for taking the time to ponder and post.   In Christ   sandy
20090307123401AAF9sJC	Society & Culture;Religion & Spirituality	Will you wealthy christians leave me your stuff after the rapture. You won't need it now will you?	Rev kenneth Copeland will not let me have his private jet after the rapture. Benny Hinn will not leave me his Rolls Royce. Paul Crouch will not sign over the trinity broadcast network to me in case of rapture. All these things would be nice assets, esp. the tv network. I would probably turn it into a porno movie channel, but my point is. if they are all going to glory etc. why won't they sign over ownership of their stuff if the rapture occurs? I don't understand.
20090227090813AA2TjrK	Society & Culture;Religion & Spirituality	Do you believe in an all powerful Force that controls everything?	N/A
20090307131714AASwJXD	Society & Culture;Religion & Spirituality	Those of faith and belief?	do you think it is possible, or likely, god may have "seeded" other planets in the universe with sentient life ?
20090307123929AAHlf74	Society & Culture;Religion & Spirituality	Should we be using Jesus' Hebrew name 'Yeshua' instead of the Greek translation?	I wouldn't like people to change my name.
20090307123454AAcVFvI	Society & Culture;Religion & Spirituality	Spiritually speaking, what ways " Yahoo is unavailable" to you? Does it happen often to you?	N/A
20090307121846AApzkun	Society & Culture;Religion & Spirituality	Is there such a thing as an anti-atheist but not a theist?	N/A
20090307122120AAVyfZG	Society & Culture;Religion & Spirituality	Can a Christian ever believe in many gods? Or are you not a Christian anymore if yu believe in many gods?	N/A
20090227090947AAw6JJu	Society & Culture;Languages	Yes or No????????????????????????????	I don't know.
20090227091914AATsoVf	Society & Culture;Religion & Spirituality	Do you think when people pray in a restaurant are doing it to put on a show?	It's not sunday dinner and the dining room table or a banquet.
20090227090409AAKUF9a	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I wonder what would happen?	When you kiss, and you are there for a while enjoying yourself, what do you do with your hands?! lol
20090307121912AABqWEv	Society & Culture;Religion & Spirituality	Has the BERNIE MADOFF scandal opened your eyes to the crazy amounts of wealth in this country?	Really. The cars, vacations, houses, and the entire coastline littered with yachts and mansions. And it isn't just debt, $250,000 a year wouldn't even cover the minimum payments on this rampant lifestyle. EXPLAIN please! I know that $100,000 is a good wage, but it doesn't touch the common lifestyle I see. Where is all of this money coming from?      These "vicitms" were just "teachers" and other everyman people, but with $4 million tucked away. ARE WE WORKING STIFFS IDIOTS?
20090307123746AAieaU2	Society & Culture;Religion & Spirituality	How are married women in the Islam religion treated?	Are there certain restrictions? How are women treated by their spouse and viewed as by other people?
20090307124840AAO9pH9	Society & Culture;Religion & Spirituality	Application:  What skills, talents, or hobbies do you have that will benefit the SHARE program?	For an application that I'm filling out for the SHARE program.   SHARE is a christian day camp for maybe lower income families.  Their kids can come to SHARE from around 8am - 3pm, you know, while their parents are at work.  SHARE is developed by the Salvation Army.      I know you don't know my skills, talents, or hobbies, but I'm just looking for some good talents that could go here at this point in the application.   And, if I do share these skill, talents, and hobbies, I'll include them in my application.      Thanks.
20090227091145AAObHI9	Society & Culture;Religion & Spirituality	I have some questions about Lent.....?	My husband is giving up beer & his friend is a Catholic Priest & told him that there are 40 days of Lent but actually 48 day between now & Easter. So that means that there are 8 days that are not counted. I heard that Sundays dont count but I have a Catholic friend that said there are a Mondays & Tuesday that arent counted either. Im so confused can any one explain this to me or have a lent Calendar you can send me a link to? Thanks!
20090307131054AAZoFyb	Society & Culture;Religion & Spirituality	Christians, how do you interpret the Bible?	You've read a passage.  Now what?  Do you place it in historical context and read it literally unless clearly intended as a metaphor, or read it to decipher hidden meanings, and take it as a divine message for modern times?  Both methods?  Some other way?
20090227090805AAHea2l	Society & Culture;Religion & Spirituality	How has your religious upbringing impacted your life?	N/A
20090227091334AAX1RZX	Society & Culture;Religion & Spirituality	Christians -- How do you rationalize your rejection of Stalin?	You may claim that he put people in the Gulag, but the truth is that Stalin did not send anyone to the Gulag. It was those who hardened their hearts against him who sent themselves to the Gulag through their counter-revolutionary actions.      This was not Stalin's plan at all. He truly wanted everyone to go to the Worker's Paradise. And it grieved him that so many hardened their hearts against him. But he would not force anyone into the Worker's Paradise against their wishes, because he respected their free will.       So if they didn't want to go to the Gulag, they should have just opened their hearts to the love of Stalin and stoped resisting him.         Christians, does this help you understand why Stalin's perfect love is misunderstood?
20090227091150AAnHyr5	Society & Culture;Religion & Spirituality	Do you think nature attracts opposites to balance each other out ?	N/A
20090307122756AAAaWBO	Society & Culture;Religion & Spirituality	How do you address your  prayers?	When I was Catholic I used to start every prayer with Dear God.   How do you?
20090227090524AAxubIh	Society & Culture;Languages	How do you read sports scores in German (and Dutch)?	That is, 2:1 and so on.
20090307124207AAZ3ws4	Society & Culture;Religion & Spirituality	Spiritually speaking, since the...?	Jews here are saying the actions that they did toward the Palestinians in Gaza are justified because they say it is war, and there are no rules in war.       This is what answers i got from some Jews.      So my question is:      Are Hitlers action toward the Jews Justified as well because it is war, and there are no rules in war?
20090307160445AA7bHEf	Society & Culture;Mythology & Folklore	POLL: if you could be any mythical creature (fairies unicorns etc) or monster (vampire zombie etc) wat wuld u?	sorry about the abreviations i didnt have enough letters
20090227090312AAqEgpa	Society & Culture;Religion & Spirituality	Will God forgive me for macerating hundreds of times daily?	N/A
20090307123950AAyMoUA	Society & Culture;Religion & Spirituality	Have you studied all the religion or most if not all...?	Which religion made more sense to you and why? Also, what religion do you yourself belong to?
20090307131232AA896Yy	Society & Culture;Religion & Spirituality	Christians, does your religion have different sects?	What I mean to ask is, if it does have different sects then do you consider them man made or Chritianity itself is divided that way? Also, do you follow any other book other than the bible? Does your bible  forbid you to eat pork and drink wine? Does it also recommend women to cover their hair while praying, if so, why?
20090227090917AAbsdki	Society & Culture;Religion & Spirituality	Why are christians the first to wave an american patriot banner, but also the first to trample on america?	they trample on america because they look to undermine one of the very things that we based this country on- that is not having a "national" religion, and not having the govenrment entangled with religion.      in fact the founders felt it so important that the VERY FIRST WORDS of the first amendment read "congress shall make no law respecting an establishment of religion or prohibiting the free excercise thereof".   not to mention subsequent rulings by the US supreme court that further clarify this.      why is it that christians can't seem to respect that christianity is not "america" and they always seem to be the ones trying to make "christian" doctrines american law.
20090227091522AArrGBA	Society & Culture;Religion & Spirituality	Can you explain to me what coexist is?	 http://www.getreligion.org/wp-content/ph...    I've seen like facebook bumper stickers of this but I've always been curious as to what coexist is exactly.
20090227085939AAMH2R7	Society & Culture;Religion & Spirituality	Drugs in religion past and present?	So I know this is an odd question but I have heard a couple of thing regarding drugs in religion (Mushrooms, LSD, pot...etc). Now I am by no means saying that I believe any of this but I am curious about others prospectives on it. Does anyone reading this believe that drugs can be a spiritual aid? Or have they been an aid in the past? What are your thoughts, experiences or beliefs?
20090227090828AAaJwP2	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	New to BDSM and not sure were to look?	p.s i'm straight but if there is another place for this topic please tell so i use the correct catagory for the correct question.
20090227090542AAih4K1	Society & Culture;Religion & Spirituality	What do "born agains" advocate?	N/A
20090227091507AAlSZ2P	Society & Culture;Religion & Spirituality	If the bible is God's words, then why does it cause too much confusion among the Christians?	N/A
20090227091626AAvdJ1e	Society & Culture;Etiquette	Are you supposed to stand when the bride makes her entrance?	I know that I have been to weddings in which we stood when the bride made her entrance. But at the last two weddings, everyone remained seated.      Am I imagining that we used to stand up?
20090307121512AASsIFk	Society & Culture;Religion & Spirituality	If the soul enters the body at conception, what will heaven be like?	Since over half of all conceptions spontaneously terminate, for every two people on the planet there are three souls who were never born, roughly. That means just for the people alive today there are about nine billion souls that were never born and are presumably going to heaven. If we use a very generous estimate, maybe two billion people alive today are going to heaven. So the unborn will outnumber the born by about four or five to one.      Even assuming that they will not be embryos in heaven, doesn't that still make heaven seem like a very strange place?
20090307123713AAzhMpV	Society & Culture;Religion & Spirituality	If I went to a Chinese resturaunt and in the fortune cookie it said....?	that all Christians are an abomination, and I just start not liking Christians, what difference would be from my action and what Christians do to gays?
20090227091443AADGhMI	Society & Culture;Religion & Spirituality	How can I plow straight when my Athiest and Xtian are unequally yoked?	Do I have to hit one harder than the other?
20090227091324AA3U78q	Society & Culture;Religion & Spirituality	I want to be a "fisher of men" like Jesus, what bait shall I use?	N/A
20090307122520AAjO61V	Society & Culture;Religion & Spirituality	Christians, if you were born 2500 years ago, would you stone disobedient children?	Or was it immoral then too?      "If a man has a stubborn and rebellious son who does not obey his father and mother and will not listen to them when they discipline him, his father and mother shall take hold of him and bring him to the elders at the gate of his town. They shall say to the elders, 'This son of ours is stubborn and rebellious. He will not obey us. He is a profligate and a drunkard.' Then all the men of his town shall stone him to death."      I know Christians don't think it applies any more, but don't you think it's still messed up that it was God's law for thousands of years?
20090227090043AAXPoZU	Society & Culture;Etiquette	Easy way to get rid of bad employees?	I'm going to take a mamagement position  in a construction Field, the guys their now are unreliable, out of 5 day they average 1-2 days a week of no call no show, this has been going on for sometime, But their has never been a paper trail about their action, no write ups ETC. Now When I get their it is going on no longer. If you just say your fired I know they will have a claim for unemployment. and we have no proof their a bad employee, So I thought it the company put into an affect a mandatory drug testing poilcy, and I know those bad employees will fail, do you think that would be enough for the company to get rid them and they would have no recourse to file a unemployement claim
20090227091042AAjeIoP	Society & Culture;Languages	How do you say "Daylight savings time" in spanish?	I'm VERY shocked no one has ever asked this on Yahoo! Answers! o.O
20090307123026AAd2jOq	Society & Culture;Religion & Spirituality	What is an atheist? is it a religion?	i am catholic
20090307124914AAHl8qW	Society & Culture;Religion & Spirituality	Do you think we will ever breed them out?	I know most religious will never admit they have no basis for there belief other than faith. That said, I realize we are in for at least two or three more generations of these idiots. So if we work and fight to pass laws that remove religion from the main stream do you think it possible that we will ever breed them out of the world?  And for the c ones who will try to flip this question the other way, unless you completely wipe out intelligence you'll never breed out atheist.
20090307131922AAUwsei	Society & Culture;Religion & Spirituality	Abhaya mudra -- what is the literal meaning of abhaya, please?	Wikipedia gives protection, peace, benevolence, and dispelling of fear.  But, as nearly as possible, what word most cosely conveys the meaning?
20090307123809AA9L1Q6	Society & Culture;Religion & Spirituality	Is any and all distinctions between people moral?	There is an essay about Neat People vs. Sloppy People and the author says, “The distinction is, as always, moral”, is she suggesting that all distinctions between people moral? Or something else? I'm confused.   If she's suggesting that all is moral, can anyone give me examples apart from neat people and sloppy people's moral distinction?
20090227091049AAN0OMI	Society & Culture;Religion & Spirituality	This is not the time for an economic colapse, things will recover?	In Revelation 17:17 it talks of the great city over the kings of the earth, which we know now is religion, which drives the rulers.      When they get tiried of religion they are going to turn on her.  Also, God puts it into their hearts to turn on religion and destroy her.   Revelation 18:15 the traveling merchants stand at a distance saying to bad to bad you great  city.  So the economic system is at this time still functioning.  So do  you believe that the economy will recover as the bible says?
20090307132428AAhL6Ih	Society & Culture;Cultures & Groups;People with Disabilities	How common is it that a deaf child can say a word just by copying mouth movement?	N/A
20090307123521AA1U85m	Society & Culture;Religion & Spirituality	Okay, atheists, be honest.?	when i look outside, i can see God's work very easily. but when you look at the lives of human beings, how can you not see the work of God? i mean how did this randomness knew that we had to reproduce? how did reproduction ever occur? why is the water clean for us to drink, why is the air clean for us to breathe in. why is the sun and the moon in the right spot for us? do you really think all this happened just out of the blue or by itself? there is a superior being out there, you just gotta look harder. and if we really came from apes where did deers come from and roaches and mice, and mooses and dogs and cats etc?      have you ever tried sitting down and at least tried talking to God. like asking him to give you a sign or directions?
20090307122710AAFdOpg	Society & Culture;Religion & Spirituality	What do I wear to a viewing/funeral ..?	My friend's mom just died.. I never knew her personally but I knew her two sons very well.    I am going to the viewing and funeral but this is only me second funeral..   what do I wear to both.. and is there anything specific I should do or say :S   I know this question seems dumb but I don't want to do/say anything stupid!       Thanks for any advice.
20090227091348AA6GtsJ	Society & Culture;Religion & Spirituality	In pre christian times in europe, who was the scapegoat in religion?	In this time everyone scapegoats satan but before even in Judaism there is no devil to scapegoat, so who did they blame evil on?
20090307123051AAqz1a6	Society & Culture;Religion & Spirituality	This is a question for all the atheist out there?	first though because i cant answer any more questions today   God allows evil and suffering to exist because he is a loving and fair God,he wants to give those who are evil a chance to repent and be saved from what is to come after they die if they do not receive His free gift,and if he only allowed those who loved him to exist then he wouldn't be fair and he wants to know that we love Him so He give us a choice to love Him or not and He gives us a choice to believe in Him or not. if He took all evil and suffering out of the world people would still not believe and others still would. so if God does not exist then give me the answer to where we all came frome and dont tell me it was by chance because that is impossible and if we came frome apes apes would still be turning into humans so tell me something logical with you brilliant minds.
20090307123735AA5jeK4	Society & Culture;Religion & Spirituality	Is there any proof that Jesus Christ ever existed?	Is there any solid historical(the Bible doesn't count) or scientific evidence that proves Jesus has ever walked the Earth?
20090307122857AAtKzkL	Society & Culture;Religion & Spirituality	What happened between Gen. 1:1 and Gen 1:2?	GAP Theory?
20090227090143AAsWiNM	Society & Culture;Religion & Spirituality	When Christians single out a group of people for persecution, what do they base their arguments on?	N/A
20090227090543AAzC9Zz	Society & Culture;Religion & Spirituality	Why were human beings born so weak, and why can't we fly, and why can't we have super speed and powers?	Life would be more interesting then...
20090227091425AA5Eg9q	Society & Culture;Other - Society & Culture	Why do people say "The alarm just went off" when really it just came on?	??????uuuuuhhhh dunno
20090307123712AAqK3Uw	Society & Culture;Religion & Spirituality	What is the Mormon church's stance on civil unions?	Any press releases from the first presidency?  I'm looking for something official...
20090227091658AAt73oN	Society & Culture;Religion & Spirituality	Jehovah's Witnesses; Did Jehovah foretell Saul's change of heart?	Before Jehovah ordered Jesus to blind him he must have thought this out and even pierced into the future because he even had Ananias restore his vision and give him a message that obviously changed Saul into Paul.        My question is since Jehovah is greater than our hearts but does not look into the future he obviously had to be sure before blinding this dangerous man and having poor little Ananias approach him.
20090307131233AAKVSKb	Society & Culture;Religion & Spirituality	Religious Symbols in public.?	Should Religious symbols be allowed to be displayed in public places and why?
20090307124941AAXG1qK	Society & Culture;Religion & Spirituality	Pope Pius V, queen elizabeth reign?	He was known for relentlessly pursuing whom??      This is from the Queen Elizabeth reign
20090227091354AA4mO2o	Society & Culture;Languages	Japanese to English translation please?	It says:      katte ni besuto 5!         2009 / 2 / 27 12 : 48 nikki         kon ta n ha. nandaka ame tokidoki kumori na tenki ga tsudui te masu ne. . minasama ika ga osugoshi ?? atai ha genki ni sugoshi te masu ? itsumo genki na node genki nai toki ha hijou ni tenshon...       Someone translate please
20090307124228AAjirYk	Society & Culture;Religion & Spirituality	How many chemical elements from the periodic table are mentioned specifically in the bible?	I'm referring to the elements of the periodic table.   Gold and Silver are mentioned, obviously, so that's two.   Are there others?   I doubt there are any direct references to lighter elements, such as oxygen or hydrogen, because they would have only been known by the substances that contain them such as "air" and "water".      I'm just being curious here. I'd love to get a comprehensive list of all elements directly referred to in the bible.
20090307124421AAtpyQr	Society & Culture;Religion & Spirituality	Why (or how) do people trust in what someone wrote and declared GOD's work?	N/A
20090307131625AA0XEse	Society & Culture;Religion & Spirituality	Mormon's dating christians?	Are mormon's allowed to date christian's? What about a mormon going to a school dance with a christian?
20090307121744AAVRsYE	Society & Culture;Religion & Spirituality	Can anyone explain Ramist Logic and Covenantal Theology?	N/A
20090227090129AADA4py	Society & Culture;Mythology & Folklore	What do the Knight Templar have to do with masonry?	links, answers, sources I need as much info as possible! thanks
20090307131557AAudHF0	Society & Culture;Religion & Spirituality	What kind of vehicle would Jesus drive if/when He returns to Earth?	N/A
20090307131153AAhdnID	Society & Culture;Religion & Spirituality	What can I do about a troublesome priest in my diocese?	He's an embezzler and a blackmailer who claims he knows certain 'stuff' about me.   He also tried to kick me in a very private area.      He lives with an alcoholic and an idiot on a Godforsaken island.      Any suggestions?
20090307121800AAKorIm	Society & Culture;Religion & Spirituality	If Isa AS can live for many thousands of years why can't Imam Mehdi Live for long?	Who is Mehdi? What is his work that is awaited? Who are awaiting for him? Is he the one with whom God has promised to protect the Holy Book? If Isa AS can live for many thousands of years why can't Imam Mehdi Live for long?
20090307124346AAjOI4i	Society & Culture;Religion & Spirituality	I am really not able to get this concept...?	Suppose I die tonight and being a sinner I become unworthy of getting into heaven.      what does religion say about that:      will I vanish into nothingness?      or will I go to a place where I will be tortured and burnt etc?      if I go to hell will I be there forever or will God eventually take me to heaven?
20090307124257AABtZ5S	Society & Culture;Religion & Spirituality	The little things in life?	just wondering, what are some of the little things that people apreciate out there  me personally, birthday cake ice cream can put a smile on my face no matter how rough my day was
20090307123916AAG9qVD	Society & Culture;Religion & Spirituality	Who helps homelss people?	N/A
20090307124108AAvZ1TE	Society & Culture;Religion & Spirituality	$cientoloigy Cancer of life.?	Why can something so wrong and so obviously flawed and fake, get away with it? How is it not obvious that this 'religion' is only after money and nothing else. It baffles me how the biggest hoax in the history of mankind can stay so under the radar, the god damn creator of this stupid cult has quotes that actually support the theory of milllions against Scientology. It upsets me that the ignorance of society lets gaping holes of corruption like this evolve. I hate Scientology, its a total joke; its a get rich quick scheme with some fake religion plastered on it. Am I the only one who has this perspective? Billions of dollars are involed and wasted to this disgusting pitiful cult. Am I wrong to be like this?
