20080308021313AA2Q39G	Education & Reference;Homework Help	Do you have an outline of an A* monologue for fiction and non fiction, its for my coursework :)?	Non fiction out line of what to include, and fiction and non fiction.Thank you
20090205163936AAtaDzS	Education & Reference;Special Education	What type of game or activity set would be good for a brain-injured adult functioning on an 8-year-old level?	I want to send small gifts to my pen pal and her family living overseas. I'm stumped about what to send my pal's sister, and don't want to ask because this is a surprise for them all. Her sister is actually middle-aged, but suffered brain damage as an infant, so she functions at about the level of an eight-year-old, or younger in some areas. The only things I know of that she currently enjoys are watching cartoons, and playing with some picture cards with parts of the body that were from her brother's medical school study. I want to get her something she'll have fun with. My friend's the only one in the family who speaks English. The rest speak Spanish.
20090205171540AAZGvLr	Education & Reference;Words & Wordplay	Is this a metaphor?  I'm not quite sure.?	She wasn't the sharpest crayon in the box.  I'm not sure if that's considered a metaphor, or if it's just an analogy.  Please help.  I need to write a paper.  Thanks.
20090205164044AAx4Wxi	Education & Reference;Words & Wordplay	Whats the first letter of the alphabet?	N/A
20090205164230AAJ0iNo	Education & Reference;Words & Wordplay	About "scripture"? any ideas?	does the word scripture reference all holy books or the bible alone? and what about when its capitalized?
20090205164400AAsMIkd	Education & Reference;Quotations	What does this mean????? Please Help!?	many ppl will use the Sermon on the Mount as a flag to sail under, but few will use it as a rudder by which to steer?
20090205164741AAi0wO1	Education & Reference;Higher Education (University +)	Ok well I want to debate when I get older. Can I go to college for it?	Well. I like debating. And I am smart for it. If there is degrees I would have to get what are they and how much would it cost?
20090205165106AAfMqTA	Education & Reference;Homework Help	Biology project help?	I have a project due tomorrow and i have to print out an article about something interesting about biology.. can someone help and post maybe a couple links? And biology is like cells and genes and animals and stuff like that and try to make it something i can understand, im 14. haha thanks
20090205165547AA41z8Y	Education & Reference;Teaching	How do you make a math research paper interesting?	I am supposed to make my math paper interesting. It is on statistics. How on earth do you do that?
20090205165954AAe0A54	Education & Reference;Primary & Secondary Education	Help...I am have a little(alot)of troubles in school.?	I have a hard time getting good grades.I need a new fun way to get grades.Some help or advice ...please :(
20090205170417AAOAzkB	Education & Reference;Other - Education	Becoming a CNA on long island?	hey im from long island and i was wondering if there was any certified nursing courses that i havent found yet...ive been searching for weeks...i would love to get a free course but if i have to pay so be it. Im just wondering if there are any at certain nursing homes, or anything else.  I applied to hospital 2 hospitals but im still waiting to hear anything.  Thank you!
20090205170848AAcIlPM	Education & Reference;Words & Wordplay	How many words can u find in these words?	1. telecommunication   2. reproduce   3. ignorant   4. nuisance   5. domestic   6. composition   7. precaution    8. transparent   9. scowl   10. animation   11. lonesome   12. memorable   13. furious    14. official    15. edible   16. desperate      ** you cannot reuse a letter in the word   ** you can rearrange letters in the words   ** the most words wins
20090205171035AApmiRo	Education & Reference;Words & Wordplay	Does this sound fun to you?	you see, me and my friends are going to this cancer "walk" at a comunity center near where i live, and the thing is we have to stay up all night there.  we are locked in there.  there is swimming and rock climbing and basket ball and all of that.  omg i cant wait.
20090205171055AAbXUwN	Education & Reference;Primary & Secondary Education	What are the AR answers for My Teacher flunked the planet by Bruce Coville?	I need to do this AR test and its tomorrow. Can someone post the answers?
20090205171144AA6b2Yx	Education & Reference;Standards & Testing	Am i dumb, average or smart?	i got a 30 ACT..is that good?
20090205171159AAJxO5z	Education & Reference;Primary & Secondary Education	After school nightmare?	The ending. Did the students in the room live?
20090205171220AAh3vgJ	Education & Reference;Homework Help	Does anyone no where I can get free custom essays done?	N/A
20090205171226AAWBs5y	Education & Reference;Words & Wordplay	What are you? describe yourself .?	plz descibe ur self !!!
20090205171338AAqIjP7	Education & Reference;Homework Help	Help me on the homework:)?	Everyone doesnt seem to have the same opinion on the failing economy.''The economy isnt failing, we are.'' says Jenny when i interviewed on the topic.She seems to understand that the economy can't just fall on it's own and that we're the ones to blame.      Now i need to add another quote & explain it.    Here's the other quote   ''The economy is important because people are losing their jobs''    How can i explain dat?    HELP!! thank you.
20090205171441AAmlRuM	Education & Reference;Other - Education	How many academic english class do i need to enter any  university in canada or usa?	im in grade 10 now.i've heard that i need 3 high school academic english class to enter any  university in canada or usa, is it right?
20090205171451AAXi8N0	Education & Reference;Higher Education (University +)	Could i get into NYU to study to be an interpreter?	i would like to move to NYC (im from arizona) to be an interpreter, and then follow my dream job, which is to work for the UN.   i want to go to NYU as an interpreter, and even though I only have a 3.0 and I havent taken the most challenging courses, I have all A's in my language classes(foreign language, history,english.)   any help here? nyu is my dream school. thanks!
20090205173608AANGzQ9	Education & Reference;Other - Education	Could i get into NYU to study to be an interpreter?	i would like to move to NYC (im from arizona) to be an interpreter, and then follow my dream job, which is to work for the UN.   i want to go to NYU as an interpreter, and even though I only have a 3.0 and I havent taken the most challenging courses, I have all A's in my language classes(foreign language, history,english.)   any help here? nyu is my dream school. thanks!
20090205171530AApsYV0	Education & Reference;Studying Abroad	What are good programs for foreign exchange in Spain?	I really want to do a foreign exchange program next year. What are really good programs to check out?
20090205171553AAra1sr	Education & Reference;Trivia	Dropping an egg without breaking it?	I need to create some type of thing to place the egg in. Then I will drop it. What is something I can create to put the egg in so when i drop it, it wont break?
20090205171658AAAJYFu	Education & Reference;Words & Wordplay	What is the base word of dentist?	N/A
20090205171659AAMWXyA	Education & Reference;Words & Wordplay	Another grammar check.?	okay I made a mistake on asking the wrong question and it was suppose to be "I love here" not "I like here"so  the question is "Can you check if "I love here" uses the right grammar.If you say yes can you write the right grammar?
20090205171840AAdo1fb	Education & Reference;Homework Help	I have an accelerated biology test tomorrow... and i need some help please?! i have a study guide i can use...?	but idk the answers so yea i need help asap...      What is the difference between haploid and diploid numbers of chromosomes? Which cells in our body are haploid and which are diploid?            Explain why sexually reproducing organisms have to undergo meiosis. Include the terms haploid and diploid.                  What is independent assortment? Explain how this helps variation in organisms.            best answer will be awarded   thanks in advance
20090205171922AAzhdOz	Education & Reference;Homework Help	Need help!! look here if you have a science related job!!?	OK i have a science project due tomorrow and i need to get a interview done but i don't know anyone with a science related job so please fill this forum out if you have anything to do with science!! please and thank you!1               Name?      job title?      1. how would you describe the job you perform?      2. what type of education do you have to gain an entry-level position in your profession?      3 do you use science in your job? if so, in what capacity?         =P please do this!!
20090205171937AAyzMHj	Education & Reference;Words & Wordplay	How do you make it so that...?	your questions and answers are private so no one can see them on your profile on yahoo answers??
20090205172029AAgtjUv	Education & Reference;Higher Education (University +)	How do i decide on what courses i should take from 9th to 12th grade to get into a great college?	plz let me know where I can find information related to this online or some where else. I am in an accelerated math progression program. i am taking geometry honors in the 8th grade and i am thinking to take honors for the other courses, in math i am taking algebra II 9th-Honors pre-cal/trig 10th-AP Cal 1 11th-AP Cal 2 12th.
20090205172249AAudZXe	Education & Reference;Homework Help	What is the slope of y= -x+12?	N/A
20090205172323AAbpEkh	Education & Reference;Words & Wordplay	Does anyone know what I ahve to do to get an emancipation?	What do I have to do to get an emancipation?   I don't know how to go about it and I've looked it up on the internet and everything I've found says I have to be sixteen or seventeen but I've heard you can be younger but I don't have a clue so I'm hoping someone has some information about it that can help me.
20090205172601AAJBvgn	Education & Reference;Higher Education (University +)	Is a macbook good for college?	like... are they compatible with campus computers? major universities that is...
20090205172606AAe1Xhd	Education & Reference;Words & Wordplay	What is the meaning of freak girl?	meaning of freak?
20090205172646AA953vO	Education & Reference;Words & Wordplay	I dont know what to do?	there is this girl that is really hard to get , like i had bunch of gf before but this one is different she always used to look at me then our teacher moved us together. its been a month now and i talk to her but not that much we just sit and do our work i dont know if she likes but im still trying to figure out. i just like stop thinking when i try to talk to her i never had this problem with any other girl and now i talk to her less and less i dont know why . will someone please help me i just dont know what to do every other girl i talked to talked to me more . the girl i talk to is a little bit shy
20090205172829AAAlGxP	Education & Reference;Homework Help	Can someone please explain to me how to graph this?	I need to graph these 2 functions.. and I'm not really sure how to cuz.. well lemme put the problem first:      f(x) = { x^2 - 5 and x is less than or equal to 1   f(x) = { -x^2 +4x + 3 and x < 1      it's called a 'piece-wise function' if thats any help at all..   I tried graphing it normal, but I'm not sure how to find the 'vertex' for the first function, and the 'less than or equal to' and the 'less than' kinda confused me.. I don't get what I'm supposed to do with them in the graph.. Can someone help me out please?   Thanks in advance :)
20090205174323AAajkQY	Education & Reference;Homework Help	HELP ME!!!!!!!!!!!!!!!?	i need help with homework.what percentage is 3/5
20090205172816AAgb42f	Education & Reference;Homework Help	Plz help? its for my homework!!?	Im trying to write a paper and I nned reasons why One should understand both sides of an argument
20090205172847AALJlC7	Education & Reference;Other - Education	What exactly is a "previously unpublished" work?	I'm applying for a scholarship for college in which I have to write an   essay that is "the original work of the author and not previously published." What exactly does "not previously published" mean?      Last year I wrote an essay addressing the same prompt as this one,   and the only "publishing" I did was subiting it to a website in order   to confirm that all the work was mine and not plagerized, and print it.   Would this count as a "previously unpublished" work?
20090205172848AAP8bXC	Education & Reference;Words & Wordplay	Unscramble the following spanish words: dapucmotaro and noveci?	N/A
20090205172920AA97FB7	Education & Reference;Teaching	Should students be arrested for bullying other students?	N/A
20090205173354AA2RSsL	Education & Reference;Homework Help	NEED ALGEBRA HELP!! PLEASE?	These are FRACTIONS:      1/3X over 4/6x. how do you simplify this complex fraction? or ab/c over a/bc. thank you so much if you know how to simplify these
20090205175026AAAXyde	Education & Reference;Higher Education (University +)	Pharmacist question plz help?	well im a sophmore in college and i want to be a pharmacist how long do they stay in college and how hard is college for them and what are pharmacists lifestyles like
20090205173817AAu7XzQ	Education & Reference;Higher Education (University +)	How can i compare colleges in terms of ranking for specific undergarduate programs ? (i.e. architecture)?	I'm looking to go back to college. I live Michigan. I want to study architecture and was planning on and have been accepted to Lawrence Tech University. However, though some research, University of Michigan looks like it has an amazing arch. program at HALF THE COST ! Now, I'm second guessing LTU.....I'd like to better solidify my decision and look at some rankings of the two schools, but specifically at each architecture program....is there a good URL ?? Thanks for your time !
20090205173819AAFiPbY	Education & Reference;Teaching	Education major exam question?	education major exam question?   im having trouble with a perticular question if anyone could help me with?      A major difference between the formal and the hidden curriculum is:      A.) the hidden curriculum includes controversial content intentionally left out of the formal curriculum.      B.) the formal curriculum operates inside the classroom and the hidden one outside       C.) the formal curriculum produces the same learning outcomes for everyone and the efforts of the hidden curriculum vary widely.      D.) the hidden curriculum arises spontaneously from interactions between students and their environments.
20090205174045AATCoLz	Education & Reference;Words & Wordplay	What does the brain teaser  your brain is ugly mean?	N/A
20090205174120AAbERf2	Education & Reference;Primary & Secondary Education	So, I'm accused of cheating on a test....?	Just to be clear, it was a take home test, and we could use our notes and book. I'll admit, I completely forgot about it. So I was rushing to do it in homeroom because I have it 3rd period and I have no time in 1st and 2nd period. The bell rings, and my homeroom teacher walks in and looks at what I'm doing, then walks away. I had my test out, and my notes were next to it. Then comes 3rd hour and my teacher says my homeroom teacher said I was cheating on a test. I said it was my notes, and my teacher just gave me a look. My teacher said, "I need to ask him more questions before i say anything else. We'll talk about this tomorrow." What sucks is, they both don't like me. I have no idea why. So now I'm freaking out because I'm scared I'm going to get in trouble for something I didn't even do. Who's he going to listen to? A kid or another teacher? =/ I'm thinking of telling him, "Honestly, I wasn't cheating. They were my notes. My homeroom teacher must of thought wrong. I'll admit, I completely forgot about it, but I wasn't cheating." So, yeah.....I'm just freaking out right now! Do you think he'll think I'm lying? =/
20090205174227AAF9uzf	Education & Reference;Words & Wordplay	Plz tell me a good closing sentence and i shall grant you 10 points?	hi umm im doing a report and we read 2 stories about snakes and we have to find the simmilarities and differences so i did that and i made a report now i just need a closing sentence.      one story is about how a horse snake attacks a village and the villagers must MORK TOGETHER in order to kill it. the little children are scared so this grandma tells them a story about how a horse snake attacked her childhood village.      the other is how this scientist but not a animal scientist read a book "The Marvels Of Science" and it says if you look in a serpants eyes you shall die right away and he didn;t belive that until he saw a snake and was so terrified he died of a heart attack and in the end it was a fake snake      -it has to have long interesting hard words   -and have the words similarities and differences      (yes im in middle school)
20090205174513AAkiBsm	Education & Reference;Teaching	Fun, easy science for young children?	Does anyone know of an easy science activity that incorporates the letter "i"? I was thinking maybe something with insects but I'm not sure what I can do. The kids are between 2-4 years old so it can't be too complicated. Maybe naming different insects or would that be boring?
20090205174516AALbGxt	Education & Reference;Special Education	What degree is needed to be a public school psychologist in NYC?	If you happen to be one are you happy working in the public school system?  Thanks
20090205175034AALWh8p	Education & Reference;Words & Wordplay	How do you make the spaces  between each paragraph  smaller on Microsoft Word  2008?	My teachers always tell me that i have too much space between each of my paragraphs in my essays. I was wondering how i can make the gap between each paragraph smaller on Microsoft Word 2008 (the newest version)
20090205175140AA4YS8e	Education & Reference;Homework Help	X+x+x=2598x  This is my math?	This is my math homework
20090205175349AAxPrIF	Education & Reference;Words & Wordplay	What does master bathing mean?	my friends talk about it andi have no idea what it means and so i feel left out cause I don't know what there talking about and I would like to know. thanks.
20090205175224AAhNOlC	Education & Reference;Homework Help	Someone help me with my science project?	I need a picture sketch of an eagle by    Feb.13,2009.Plz help me the first one gets ten points.It has to make sense and make it useful.
20090205175227AA2Wye4	Education & Reference;Standards & Testing	Creative Writing Major and SAT Literature?	I've always liked writing poetry and fiction/personal experience pieces, and my teachers have always praised my work and suggest that I pursue a major such as Creative writing, and I was searching online and most people say that any major involving English recquires that you take the SAT II Literature.  I was wondering if this is true, and I heard that that subject test is basically like the CR section in SAT I (which is always my lowest score 650-710).
20090205175235AAvRJGh	Education & Reference;Standards & Testing	Is the TI-36x solar calculator allowed for the ACT?	can i use it during the act?
20090205175253AAoDzJ4	Education & Reference;Homework Help	Find A and B so that...?	1/((4n-3)(4n+1)) = A/(4n-3) + B/(4n+1)    Solve for A and B?
20090205175614AAOLkFc	Education & Reference;Primary & Secondary Education	Bad progress report ruin my life?	okay so im doing good in most of my classes but i have a problem with a d and it cant be raised.      here are my grades      Adv Geometry- C+ but counts as a B+ since its an honors class   Physical systems(physics for freshman)-D   Lit comp-i think an A   Keyboarding-A+   Geography-B to an A idk   Gym-A+ (being in a wheelchair has its advantages)   French-C      I think every thing looks good except for the c and d.the c is 1 freakin point from a b and i turned in a missing assignment today so its probably a B now.The D is screwed up because i hate my science teacher.Here is the story:My science teacher grades on a 4 point system.you miss 1 little detail and its a B on the standard already you miss two details and its a c which to her is not passing plus i have to get it scribed so things get lost in communication.My science teacher does NOT  grade ANY assignments or homework. only tests and i still do the homework.its just that every test is like a final.we have to do problems on everything from the begginning of the year to the end.      So will this keep me from going to a state school like UMSL or SLU?      (oh yea and i might be transferring to chamanade which is a catholic high school because my godparents are willing to pay for me to go there and since everything is done on laptops it might be easier for me since im in a wheelchair and my hands get tired from writing)
20090205175652AAPM7ki	Education & Reference;Standards & Testing	If I had a D in 3 of my freshman classes (English, Biology, and Health) will i have enough credits?	I'm not sure if I will have enough credits to be considered a Sophomore if i got D's on these classes. Does anyone know if I will have enough credits or if I need to re-take the classes?
20090203063903AAq1TDt	Education & Reference;Standards & Testing	How do i find out my IQ?	Are there any free, reliable online IQ tests i can do? preferably ones that do NOT require you to give an email address.      thanks
20090203063413AAhOyDe	Education & Reference;Homework Help	Students - what are the disadvantages of having others answer your school homework/assignment questions here?	What are the long-term bad effects of other people doing your work for you?  Are you smart enough to see and understand them?      Smart a** and inappropriate responses will be reported.  Thank you. :)
20090205184924AAWCeHl	Education & Reference;Words & Wordplay	Which is correct: critique each other's work or critique each others' work or critique each others work?	I'm not sure on the apostrophe.   Thanks!
20090203063134AAcmWgM	Education & Reference;Words & Wordplay	Don't you think we need different words for "you" plural and "you" singular?	Any suggestions? In Brooklyn, they used to say "yous" for "you" plural. That sounds dumb. Can you think of a better word for "you" plural or singular?
20090205180115AAbWUuM	Education & Reference;Higher Education (University +)	How much harder are AP classes then regular classes ?	Pretty soon i  have to choose my classes for senior year and apparently i can choose to either take regular classes or AP/College classes ( AP Art , History , Biology , English and Spanish) though i'm kinda worried that if i take a whole bunch of college classes as a senior and i fail then i won't graduate . So my question is if you had a chance would you take College or regular classes i'm just curious what other people think  ?       Thank you :)
20090203063113AAkdL2X	Education & Reference;Other - Education	"man has been ungreatful to nature"-----help with my HW plss?	"man has been ungreatful to nature"-----pls write a 100 word essay on this topic
20090203064132AAP7nVC	Education & Reference;Homework Help	Math help please? 10 points. ?	C) Change the following improper fraction to a mixed number. Show your work.      5. 17/ 7      6. 49/11      D) Write the following mixed number as an improper fraction. It is important to show your work to support your answer. Reduce any fractions in your final answer to lowest terms.      7. 8 7/11           8.   5 3/ 29
20090205182933AAIweKY	Education & Reference;Homework Help	Please, please, please help me with these algebra 2 questions?	I've got a test tomorrow and I dont know how to do these, their from the study guide we all got.    You can answer all of the following or just some of them but please just help.    thank you!!!    1) Determine the type and number of solutions of -3x2-8x-4=0.    2) Factor the expression.  -28x2-32x    3) The function y= -16t2+424 models the height y in feet of a stone t seconds after it is dropped from the edge of a vertical cliff. How long will it take the stone to hit the ground? Round to the nearest hundredth of a second.    4) Write the number in the form a+bi  -36+5    5) Write the answer in the form a+bi  Find I 3-2i I    6) Write the answer in the form a+bi  Find the additive inverse of 7-5i.    7) Simplify the expression  ( -3+5i)( -2-i)    8) Solve the equation 25x2+49=0    9) Solve the equation x2+8x+16=4    10) Rewrite the equation in vertex form.  y=x2-8x+7    11) Use the quadratic formula to solve the equation.  4x2+9x-6=0    12) Use the quadratic formula to solve the equation.  5x2+5x+3=0    13) Find a quadratic funtion to model the values in the table. Predict the value of y for x=6.    x y  -1 -7  0 -2  3 -11      14) Dalco manufacturing estimates that its weekly profit, P, in houndreds of dollars, can be aproximated by the formula P= -2x2+8x+7, where x is the number of units produced per week, in thousands.   a) How many units should the company produce per week to earn the maximum profit?  b)Find the maximum weekly profit.      15) Use the vertex form to write the equation of the parabola.  Vertex= (-2, 4)      16) Identify the vertex and the y-intercept of the graph of the function y= -(x-2)2+4      17) Write y=2x2+8x+10 in vertex form.
20090205184411AADcHDx	Education & Reference;Words & Wordplay	I need an opinion...?	Well I'm really into poetry and I wrote this poem. I took it to my friends and none of them will give me an honest opinion. I'd really appreciate it if someone gave me serious feed back.      I stayed away       to long       your love has       forgotten      left me in some       distant memory      some lost thought      a dream      an illusion      of a life we shared      together
20090205181144AAaqViO	Education & Reference;Homework Help	Have to write an autobiography..?	Can you write one for me? Im feeling lazy at the moment. It should be at least 4 paragraphs long.    thank youuuu!
20090205182457AACB61B	Education & Reference;Standards & Testing	HELPPPP! I have to take the ACT this Saturday and I'm super nervous!! Anyone have their own special tricks?	I need tips that will raise my score. Im going for a 25..anything I should know that noone is telling me? Help please.
20090205182354AAUvc4s	Education & Reference;Primary & Secondary Education	English question! Please help with subliminal messages!! *PIC!!*?	Hi everyone! I am wondering what kind of sublimal messages are in this photo. Are there any bias or degredation going on? What do you think the advertisers reason for choosing this setting is? Are there any breaches in ethical values? Are there any sublimal messages, good or bad?       I would love to hear your thoughts and what you see from this picture! I need to get outside opinions to help me be more objective! Thanks so much in advance!!       http://www.kraftbrands.com/shreddedwheat... 
20090205182435AAkDdKn	Education & Reference;Homework Help	Questions on Sandstone?	i need some help on my homework about the rock sandstone      What is its luster??      and what is it's crystal shape?      thank you
20090203063759AACubJk	Education & Reference;Words & Wordplay	Do you think its bad to call someone a bastard in their own language when you are the teacher ?	On a positive note ..all the other kids started to do their work within 3 seconds /..  It is a catholic school in japan
20090205181553AAYYEf4	Education & Reference;Words & Wordplay	Identifying greek and latin roots....?	what would these words mean?      for instance, in polygon, poly=many, gonon=an angle.      i need to know the roots of the words equinox, epilogue, and facsimile.  i can't seem to find them in the dictionary or online...
20090205184911AAlDAnZ	Education & Reference;Teaching	Ok so my teacher got all racist and political..?	My chemistry teacher was in the middle of teaching us when he stopped and started saying all these things about the middle east. He was saying how everyone from there knows how to make bombs and they are all born terrorists and this really insulted me. I don't want to tell on him or anything but I'm scared to talk to him privatly about it because I'm pretty shy and scared of what he's gonna say but I feel terrible leaving it as it is. Help?
20090205184849AAc6XQ9	Education & Reference;Words & Wordplay	What does this metaphor mean literally and figuratively?	All in vain; because Death, in approaching him had stalked with his black shadow before him, and enveloped the victim. And it was the mournful influence of the unperceived shadow that caused him to feel --although he neither saw nor heard --to feel the presence of my head within the room."      This metaphor is from The Tell Tale Heart by Edgar Allen Poe   its on the bottom of paragraph seven on this link for the story       http://poestories.com/read/telltaleheart 
20090205182602AAXh85i	Education & Reference;Teaching	Substitute teachers,is this ok?	Today was my first day subbing at the local school.I taught half a day in first grade.The teacher left me with a stack of assignments and schedule.I tried my hardest to do everything,but ended up having to stop one assignment to do one that was more important.We did three sheets and a quiz in 2 and a half hours.Do you think I did ok?I really want to be called back.I also left a note saying what we completed,why we did not finish the one sheet,and how the kids behaved.Any advice -thoughts appreciated.Thank you.
20090205184051AASEdVX	Education & Reference;Special Education	What Is Child Development?	Someone,Please Give Me Full Answers Please...
20090205180216AAooG3V	Education & Reference;Homework Help	Why is this important?	Keep water away from electrical cords, plugs and sockets.
20090205180258AA2Svfn	Education & Reference;Other - Education	Im afriad to present my spanish project tomorrow?!?	any advice on how to stay calm. also i turn red a lot so how can i stop that from happening?
20090203063946AADfGkQ	Education & Reference;Primary & Secondary Education	How Many A levels Can You Take In England?	How many ALevels can you take if you want to study full time?
20090205184433AA4aHGd	Education & Reference;Higher Education (University +)	Which is better? Single Dorm, Double Dorm, or sorority?	I don't know if I want to apply to live in a single dorm, have a roommate, or if a want to join a sorority. Can you help me out??
20090205184340AAudLTR	Education & Reference;Words & Wordplay	Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhh…	i want to know what to do caz we never even spocken to each other can some on tell me if he  likes me i will tell you what he does he stops infront of my house and talks on the phone and he always shows off on his skate board and bike when i am around and then he always stars at me also can some one tell me how to act around him cas i tryed to talk to him but all that came out was ummmmmmmm then he rodde off can some one tell me how to talk to him i have never had this prob becasue i am usaly friends with every boy in my nabor hood but  i moved here like 7 mouths ago and now idk what to do
20090205181214AAxmcNo	Education & Reference;Standards & Testing	This isn't for homework it's my sisters study guide!?	what are the multiples of 81?
20090205181857AA5ayx9	Education & Reference;Words & Wordplay	What do you think about this name... it's for homework...?	So, for an assignment I had to come up with a name for a newspaper about the dinosaur cretaceous era. I chose 'Voracious Cretaceous'... What do you think? I'd prefer that you give me constructive criticism and/or suggestions, please keep it positive!
20090205182716AAhGDf5	Education & Reference;Primary & Secondary Education	Would you invest in .......?	fora project we have create a speicalty shop ( you know like ones that sell only a certain thing like bath and body works- bath things, barnles and noble-books) things like that  what  idea would intrest you?   ideas like where you design shoes and we make it( jist ex my friends are doing that ) but cool things like that . please the people in my group dont speak up or say any ideas
20090205181453AAYZkfL	Education & Reference;Other - Education	Tips on acting professional?	We have a science fair interview (high school) this weekend, any tips on how we can act more professional (ex. eye contact you know)?
20090205183524AAzuvJo	Education & Reference;Higher Education (University +)	What kind of personality is a good fit for going pre-med?	I've been toying with the idea of going to med school. Right now I'm a senior in high school.      I've been digging deep to find out what my reasons for wanting to do this are. First I thought about the pay. Yes, doctors make a lot, and even though that salary is apparently decreasing, it's still nothing to sneeze at.       I asked myself, "Would I still want to go through all of that if they only made 1/4 as much as they really do?". To my surprise...I found myself thinking, "Yes."      I've narrowed my reasons down to two: genuine interest in the inner workings of the human body, and a generally masochistic approach to my academic life.      I know I have it in me, knowledge-wise, but I'd just like to hear someone's story first...
20090203064507AAGzRZ1	Education & Reference;Homework Help	I need at least 10 of the most popular idioms?? PLZZZ help !! ?	PLZZZ i need at least 10 common idioms u use in ur daily life !! and plz write it's meaning next to it !!    P.S : if u can give me more than ten ... then that will be great       thx ;)
20090205182321AAJ5mxv	Education & Reference;Homework Help	Help With Persuasive Essay Topics!!?	My English homework assignment is to write a persuasive essay and support my topic with 3 main strong supportive details. My problem is that I really have no clue what I should write about...I need persuasive essay ideas please ASAP...i'm in 7th grade in cali btw
20090205184021AAnYVtI	Education & Reference;Standards & Testing	How in the world do I get a 561 scaled score for SHSAT and the cutoff score for 2009 is 560 and not get in!?	The cutoff score this year, for the incoming September 2009 students is 560. I got a 561 and I put Stu. as my first choice and Brooklyn Tech as my second choice, how the freaking hell (excuse my French) do I get accepted into Brooklyn Tech and not Stu. I know I can only make it into ONE of the 8 Specialized Schools that you take the test for, was there no space for me or what!?
20090205182118AAeklSq	Education & Reference;Standards & Testing	Is 465 close to the cutoff score for brooklyn tech? what is in the summer discovery program?	I got 465 on the shsat. is that close to the cutscore for brooklyn tech? also what is in the discovery summer program and can i be recommanded for it?
20090205182532AANJ0yO	Education & Reference;Standards & Testing	Is my shsat score near the cutoff score and what is summer discovery program?	I got 465 on the shsat. Is that near the cutoff score for brooklyn tech? what do you do in the discovery science program and can i be recommanded for it?
20090205183307AAic8mn	Education & Reference;Higher Education (University +)	Is it a good idea to take half a year off after high school?	Also I applied only to Brooklyn & Hunter college and I didn't get accepted to any of those 2 so they gave me Kingsborough even when I didn't even apply for it, but I don't want to go there. Could I reject it or something and take half a year off and reapply for SEEK this time and for spring admission?    Please don't give one sentence answers..
20090205181200AAQ4aks	Education & Reference;Other - Education	What is the world record for the most dumb sounding statements made in a row?	N/A
20090205185056AAkwcKD	Education & Reference;Teaching	Teacher ed exam questions that i just cannot figure out from my text..?	Research on the effectiveness of computers in education shows that :      a) although a popular idea, the jury is still out on the effectiveness of computers in the schools      b)having more computers in a classroom decreases discipline problems      c)computers deepen student understanding of concepts and improve critical thinking skills      d) americans underestimate the power of technology.               The sequence of planned learning experiences described in course guides and syllabi is called:      a) extracurriculum or cocurriculum   b) formal curriculum or explicit curriculum   c)hidden curriculum or implicit curriculum    d)integrated curriculum
20090205183727AAs6oUi	Education & Reference;Trivia	Who's this cat on INTO the WILD of the warriors serries?	Okay well i am killing tim and this question popped in to my mind so i decided that who ever gets it correct first will det the best answer so here it i.    In the warriors book into the wild. ShadowClan comes into the clan's camp and kills Spottedleaf and takes ___________'s kits.    The question is an easy 10 points so open that book and find out.
20090205185337AAA4qxT	Education & Reference;Other - Education	How do i stop my habit of cussing?	ok so sometimes i cuss an di can't stop... how can you stop this habit?
20090205183633AAtqTvr	Education & Reference;Primary & Secondary Education	What does an art teacher in USA mainly do?	What does an art teacher in USA mainly do?   What does an art teacher in USA mainly do?      Just teach studetns to draw paitings?
20090205175819AA9N84j	Education & Reference;Primary & Secondary Education	Is the Bronx Science cross country team easy to get on?	I am a freshman and I might try-out for the cross country team.  I can run a mile in about 7 minutes.  Is that good enough to get on the team?
20090205175852AAfNHHM	Education & Reference;Homework Help	Can any one help me in my math project?....?	the topic is to measuring task to measure the athletics track whether it is equal for every person who runs.please explain it to me....... and also give me some sources.
20090205175941AAFPqbE	Education & Reference;Financial Aid	On a  fasfa, what does EFC-753 mean?	N/A
20090205180143AA3xgNm	Education & Reference;Financial Aid	Can someone spend the loan money they get for college on rent,food etc?	N/A
20090205180017AAUlKL2	Education & Reference;Other - Education	Graduation songs??????	Ok. I have a chorus teacher who I and many other seniors are close too. She has been our choir teacher since junior high and we really want to do something to make her remember us and our graduation. Our plan was to have all senior chorus member to sing a song to her during graduation. Since I am the one who came up with this idea, i need to decide on a list of songs, do you have any suggestions? And do you think this is a good idea?? if you have better ideas, suggestion would be greatly appreciated
20090205180042AA3i8b5	Education & Reference;Words & Wordplay	Verbs relating to death?	action verbs
20090205180233AAAV0N7	Education & Reference;Other - Education	Which major would you say is harder to study?	Nursing or Psychology?   I'm really interested in both and I talked about it to my mom and my brothers (one of them is a pharmacist) and they both had different opinions on it.      Which one takes longer to study? (i know it depends, but in order to have a doctorate or an rn)      All answers and opinions would be appreciated!   oh, and if this helps, let me just say i'm bad at math, so which ever one requires more math isn't too good for me, haha! but i'm really good at science.
20090205185325AAPenUu	Education & Reference;Words & Wordplay	What are some words that rhyme with LYRICISM?	especially ones that regard science would be awesome
20090205180321AArpGTf	Education & Reference;Standards & Testing	Nyc regents score mix up ?	is it possible for them to mix the scores up with someone elses?
