20090129083411AADUFZ2	Science & Mathematics;Geography	Why did this volcano erupt?	Does anyone know why the Llaima volcano erupted?    (The Llaima volcano is in Chile)   Thanks
20090225114212AAac4XZ	Science & Mathematics;Mathematics	Population & sample of the population?	in this situation, what is the population and what is the sample for this study?      a survey conducted of 1004 americans 18 years or older, april 3-9, 2000. the respondents were asked, " do you have a great deal of concern regarding global warming?      i am confused what the population and the sample for this study are
20090129120939AAvdODh	Science & Mathematics;Chemistry	How many unpaired electrons are present in each of the following in the ground state?	O+      O      Os      Zr      S      F      Ar         Please help and explain!!!
20090129115458AA2sdhS	Science & Mathematics;Biology	Alternatives to abiogenesis?	What are alternatives to abiogenesis?
20090128091459AAwAMnh	Science & Mathematics;Astronomy & Space	If the universe,immense, was created by"god" where did the matter come from?	N/A
20090225120903AA6Utrn	Science & Mathematics;Biology	Help me with Genetics :)?	1. There is a small village in a mountain valley in Spain where a large number of people are polydactyl. Explain what this trait is. Explain why this trait tends to be passed on from generation to generation.      2. There have been cases in history where a king divorced his queen because she produced only daughters. Using your knowledge of genetics, explain why this was an incorrect move
20090225123319AAMijd4	Science & Mathematics;Mathematics	Percentage question ?	I wish to compare my exam results for three subjects.   For maths i scored 26 out of 30, computing 25 out of 35 and art 18 out of 20. Using the results given, order my subjects from best to worst in percentages.      CAN YOU EXPLAIN PLEASE
20090129110303AAstFyv	Science & Mathematics;Earth Sciences & Geology	How have Oil Wells affected the world?	N/A
20090129114011AAXhdOj	Science & Mathematics;Mathematics	Integral versus Area?	Integral of f(x)=x from -1 to 1 =0   Area of f(x)=x from -1 to 1 is 1?    Difference between area and integral?
20090129114927AAtaIAe	Science & Mathematics;Chemistry	Describe how you would prepare 15 L of 5.25% w/v Ca(NO3) in water?	Describe how you would prepare 15 L of 5.25% w/v Ca(NO3) in water
20090128094300AAPMVCf	Science & Mathematics;Physics	Calculate the magnitude of the electric force?	a particle has a charge of +1.75uC and moves from point A to point B, a distance of 0.189m.  The particle experiences a constant electric force, and its motion is along the line of action of the force.  The difference between the particle's electric potential energy at A and b is EPE(A) - EPE(B) = +9.36E-4J.  Calculate the magnitude of the electric force that acts on the particle.
20090225125339AAHVcLm	Science & Mathematics;Mathematics	Can you guys help with a quick science problem?	An alternating 440 amp peak to peak current completes 100 cycles in 0.1 seconds. Calculate the frequency.
20090129120616AA5zxt6	Science & Mathematics;Astronomy & Space	Who owns the solar system?	N/A
20090225123750AAYTvsb	Science & Mathematics;Mathematics	What is a lowest common multiple?	N/A
20090128094757AA2ydZ0	Science & Mathematics;Physics	Projectile Motion problem?	A ball is thrown horizontally from a height of 24.3 m and hits the ground with a speed that is three times its initial speed. What was the initial speed?
20090128094800AAzCuLB	Science & Mathematics;Physics	Projectile Motion problem?	A ball is thrown horizontally from a height of 24.3 m and hits the ground with a speed that is three times its initial speed. What was the initial speed?
20090225114218AA3UwN2	Science & Mathematics;Mathematics	Rene Descartes Method, prove x^2 + ax = b^2?	Draw a line segment AB of length b and at A erect a perpendicular AC of length a/2. With C as center, construct a circle of radius a/2 and draw a line through B and C, intersecting the circle at points D and E. Prove that the length of the segment Be is the value of x that satisfies x^2 + ax = b^2.      Steps on how to do this would be awesome, thanks so much!
20090128093907AAespSt	Science & Mathematics;Chemistry	Balance this equation?	Ca(NO3)2--------->CaO+O2+NO2      Thanks!!
20090225130852AAj0Nrm	Science & Mathematics;Mathematics	Solve for A and B help please ? ? ?	Solve for A and B      A. a = 400/21 ; b = 580/21   B. a = 400/21 ; b = 20/21   C. a = 580/21 ; b = 29/21   D. a = 20/21 ; b = 580/21      Here is the link to view A and B:    http://img25.imageshack.us/img25/5227/ge...       * I am unsure of how to find the value of A and B. Any help would be greatly appreciated!
20090225123414AA0IfhL	Science & Mathematics;Mathematics	How do you do this times (maths) type?	When you line the numbers up like the column method in addition...say you times 76 and 52 you times the 2 and the 6 then the 2 and the 7....you know??
20090225120648AAzC9a0	Science & Mathematics;Physics	Concave and Convex mirror confusion ...Please help...?	Alright. This might seem a little lengthy ..Please bear with it and help a lost soul out ....      A concave mirror forms an inverted image four times larger than the object. Find the focal length of the mirror, assuming the distance between the object and image is 0.6m      Solution:       Magnification = -q/p      -4 = -q/p      4p=q ------- [1]      Lens equation 1/p + 1/q = 1/f      q-p = 0.6m =====>> Why is this so ???        Is it because earlier in [1], it is shown that q is greater than p by 4 ??      Another case taking the example of a convex mirror...      A convex mirror forms a virtual image half the size of the object. Assuming the distance between image and object is 0.2m, determine the radius of the curvature of the mirror....      Once again M = -q/p                      1/2 = -q/p                   -2q = p                    In this case, the image is expected to be formed on the back side of the convex mirror. Giving q a negative value. Thus in this case, why is the distance between image and object is given by                           p-q = 0.2m instead of p+q =0.2m      I am confused with all the sign conventions ......please somebody explain...
20090129111023AA23gf6	Science & Mathematics;Mathematics	What is 5.375 as a common fraction?	N/A
20090225112227AATpJED	Science & Mathematics;Mathematics	Please someone help me?	evaluate:   x(to the 0 power)y(y to the-2 power) - (x to the -3 power)       please put the steps because for some reason i keep messing this up.   12 minutes ago - 4 days left to answer.    Additional Details   omg so sorry x=-2 y=-2   3 minutes ago      those are negative 2s
20090128093037AAtMnCu	Science & Mathematics;Earth Sciences & Geology	Are plateaus affected by flowing water, waves, wind, ice, or the movement on Earth's plates?	What factors could cause it to change??
20090129121817AA0Q5kl	Science & Mathematics;Chemistry	What is the order of the reactivity table with metals?	science
20090129120550AA3xgLV	Science & Mathematics;Biology	What is the difference between a gene and a allele when it comes to complementation?	and im talking on the level of 1st year BIO, so please dont overexplain overcomplicate, ----THANKS!
20090225130630AAQaHR7	Science & Mathematics;Mathematics	Calculus made easy. Figure 4 help?	I'll give you the back story as to why I even care after my question.      Here is my question, I'm reading Calculus Made Easy by Silvanus P. Thompson    (which can be found here:  http://djm.cc/library/Calculus_Made_Easy...        I'm having trouble with figure 4 (pages 10 & 11). I understand that the triangles both the original and the "small" one have the same 30 degree angle on one side. I understand that y/x is equal to dy/dx what I do not understand is why then that dy/dx=1/173? (and for all I know it may be 1/1*73 because I'm not sure if the dot in the page is the result of a 1940's printer or because he meant to imply multiplication, and if that is the case why not just say 1/73?).      I'm guessing the reason I'm not getting it is one of two things, 1. My algebra skills are very, very rusty or 2. I've missed something completely or knowing that it would equal 173 is impossible with the information given. I'm leaning toward #1 sadly.       I'm trying to learn calculus on my own, I'm sitting at work with a junior college education and from my current surroundings it shows. ha. I'm considering going back to school and learning this is kind of the basis of what I would want to go back for, well this and physics. And this is a huge jump for me I was a "dumb jock" in high school and I never took a math class higher than Algebra 2. So I may be asking a million more dumb questions about this book. I understand the value of a good education now, now all I have to do is convince myself I'm capable and then we'll see how far I go.       But for now any help understanding figure 4? Why dy/dx= 1/173?
20090129120719AAgP5ng	Science & Mathematics;Biology	Major Joints In The Human Body?	Hi!     I've been working on my General Science homework, and I am supposed to name the major types of joints in the human body.  All I can remember is the Hinge Joints, Ball-And-Socket Joints, and Washer Joints.  I know there's one or two more, but I really can't remember their names.   Thank you for your help!~   Lauren
20090129110317AA2gL62	Science & Mathematics;Chemistry	Are you good at chemistry, because i need help :(?	why does sodium help control blood pressure and also help muscels and nerves to work properly ? thankyouu :)
20090129112119AA52Gd8	Science & Mathematics;Mathematics	Algebra Question ===> Help Me!?	[I will use i to denote the square root of negative one]      2i + 3x = i   is x a real number or an imaginary number?
20090225123856AAoHxdJ	Science & Mathematics;Mathematics	How do you factor quadratic expressions and solve?	Is their an easier way to do this?
20090128093703AA4rZxy	Science & Mathematics;Astronomy & Space	What is the typical main sequence lifetime of a G-type star?	N/A
20090225112950AA0BCuY	Science & Mathematics;Agriculture	Greenhouse Experiment Guidelines?  How do I do a fertilizer study in a greenhouse?	I am applying for a USDA Agriculture grant for a field experiment to take place in 2010 and am to obtain parameter data via a greenhouse pot experiment which will be performed at Purdue University.        I am a Biologist and am doing a preliminary experimental design, but have not been able to find good information on what to consider for a greenhouse pot experiment.  We have to do the pot experiment prior to the field experiment.  I don't want to look like a fool when I present it to the faculty member/experiment coordinator.  Help!!  I would even purchase a book if one was recommended!  (Plant selection, pot size, what to measure, etc.)  Outside of amateur horticulture and plant physiology experiments I did as an undergrad, I have not done any greenhouse work or plant studies.      I will be testing liquid from alkaline hydrolysis of carcasses as fertilizer.  TY in advance.  (grovels at your feet!)
20090225120259AAZPL6l	Science & Mathematics;Mathematics	' find all real solutions of the  equation x^6 - 3x^3 - 4 = 0  (use the substitution u= x^3 '  help me!?	help me please!
20090225112259AAnZTLa	Science & Mathematics;Mathematics	Find the constant c that makes g continou on (-∞ , ∞)?	g(x) = {x^2 – c^2   if  x < 4             {cx + 20       if  x ≥ 4      This is calculus can you explain this step by step.
20090225125920AA6PEFc	Science & Mathematics;Mathematics	If 3 is subtracted from half a number, the result is 5 less than the number itself find the number?	N/A
20090225122452AAVyua1	Science & Mathematics;Mathematics	Integration/Differentiation ?	If you are given a word problem, how would u identify if u have to differentiate the equation or integrate the equation? Also, is there a trick to integration? How to find out which trig identity to use?
20090128092615AA7Y1lc	Science & Mathematics;Engineering	Biomedical engineer employers?	i'm in high school and i'm interested in this profession   What companies do biomedical engineers get jobs at?    also, what's the average salary of a biomed engineer w/ a phD?   .
20090128093417AADLakR	Science & Mathematics;Engineering	How long is a PhD for biomedical engineering?	I heard it's 6-10 years, but what does the length depend on?
20090225124517AAePqWE	Science & Mathematics;Mathematics	Statistics word problem?	The delivery time for a package sent with the United States is normally distributed with mean of 4 days and standard deviation of approximately 1 day. If 300 packages are being sent, how many packages will arrive in less than 3 days?
20090129115525AA3TxNH	Science & Mathematics;Earth Sciences & Geology	What is the soil type in equatorial regions?	And also the amount of rain per year?    10 easy points
20090128091319AAXVCtc	Science & Mathematics;Astronomy & Space	Is the world realy going to end in 2012?	Is the world realy going to end in 2012?   I've heard all this stuff about how Planet x is going to colide with the earth and stuff. . .    isit truee?      Oh and the London olympics are in 2012 =)
20090128094431AAe5xyM	Science & Mathematics;Chemistry	Help I Need a Chemistry Genius!!!?	You need 0.127mol KOH for a certain reaction.  Your only source of KOH is 50.0% KOH solution. How many mL of this solution would you hvae to take to supply the KOH you need? (The Density of the 50.0% solution is 1.44g/mL)         Can you please show the work :)   Thanks you for your time!!
20090225131022AAF9KGi	Science & Mathematics;Mathematics	Math! D= I need just 1 answere?	I need the answere to to    3x + 5y= 4    3x - y = 0
20090129110929AAb3yAo	Science & Mathematics;Mathematics	Can someone explain how to construct a truth table?	I really am having a difficult time understanding truth tables. Can someone explain how to construct one? I need to construct one for this argument:       If Lillian passes the bar exam, then she will practice law.     Lillian will not practice law    -------------------------------------...    (symbol for therefore) Lillian did not pass the bar exam      I am not looking for anyone to do the work for me, but I need help learning how to actually construct one. Thanks!
20090129113244AAVPqoR	Science & Mathematics;Mathematics	How many percent is "highly likely"?	N/A
20090129114111AAr1xg2	Science & Mathematics;Engineering	Ideal Gas Equation help?	can you get volume without knowing number of moles?     If you know what your substance is at a give temperature and pressure, then you know the density.  So the number of moles could become:  volume * density [lbmol/volume].  Number of moles is dependent on volume.  Can you solve this without any more information?
20090129110358AAcb2jr	Science & Mathematics;Biology	On a food web, would a bird effect a rabbit?	N/A
20090129110023AA9oGQq	Science & Mathematics;Chemistry	If it takes 33.8 cal of heat to raise the temperature of 23.7 g of a substance by 12.0°C, what is the s. heat?	N/A
20090129110207AA4nIgf	Science & Mathematics;Chemistry	What does a carbon fiber monomer unit look like?	what does it look like? website? picture? details?
20090129110727AAhAaHQ	Science & Mathematics;Biology	Why do we still talk about evolution as a theory?	Surely after 200 years, and overwhelming evidence, we could now be talking about "The fact of evolution?"
20090129111329AAZYhMp	Science & Mathematics;Zoology	A mutation is a change in?	N/A
20090129111526AAFDuZG	Science & Mathematics;Medicine	How long does suboxone stay in your system?	N/A
20090129112054AAgCZKS	Science & Mathematics;Physics	If you change the resistance in a circuit, what happens to the power?	If P=IV, and V stays constant, then increasing the resistance in a circuit would decrease the current (because of V=IR). I then thought that because of P=IV the power would decrease. but when i put in values in this graph -  http://www.yenka.com/freecontent/item.ac...  - the power increases from 0ohms and then starts falling at a certain resistance. Is this correct?
20090129112413AAcq2ij	Science & Mathematics;Engineering	Electric Power question?	An electric wheelchair is powered by TWO 12 V lead acid batteries and an electric motor rated at a maximum output power of 1 hp. Each battery has an energy capacity of 600 W-hrs. The motor has an efficiency rating of 85%. Assuming that the batteries are fully charged, for how many minutes can the motor deliver the rated output power before the batteries must be recharged?
20090129113327AADDnIj	Science & Mathematics;Geography	How can flooding benefit an area?	N/A
20090129113425AAbDsZl	Science & Mathematics;Physics	How do you predict the factors of friction?	stupid physical science project.....
20090129114544AAYFDuZ	Science & Mathematics;Biology	What type of chemical substances are enzymes composed of?	N/A
20090129115031AAu4yPv	Science & Mathematics;Mathematics	Maths combination help!?	Calculate the number of different ways in which the letters of the word TRIANGLES can be arranged if no two vowels may come together? i have the answer of 151200 but i am unsure how to get this?
20090129115106AA8cGjQ	Science & Mathematics;Other - Science	I have been asked to sign in again three times in rapid succession.  WHY?	Why do I shout?  I*m am fed up with bad management.
20090129120110AABPnlg	Science & Mathematics;Physics	If atoms contain energy and energy is neither created or destroyed then where do the atoms go when we die?	N/A
20090129120211AAHBp2j	Science & Mathematics;Chemistry	How many mL of HCl solution are needed to provide 90.0 g of HCl? HCl is 37% HCl by weight & has a density 1.19?	How many mL of concentrated HCl solution are needed to provide 90.0 g of HCl? Concentrated HCl is 37% HCl by weight & has a density 1.19g/mL?
20090129121142AAqk9bX	Science & Mathematics;Physics	What is the MeV of the proton rest energy?	The rest energy of the proton is 1.501x10^-10 and i need the Mev    someone please help
20090129121218AA1SDLp	Science & Mathematics;Mathematics	Please help me. Math question. ?	solve 5|2x+3|-5=0
20090128090627AAEQMov	Science & Mathematics;Chemistry	A sample of neon gas occupies 279 mL at 25.1 °C. At what temperarture would the volume of this sample of neon ?	A sample of neon gas occupies 279 mL at 25.1 °C. At what temperarture would the volume of this sample of neon be reduced to half its initial size (at constant pressure)?   ___ K   At what temperature would the volume of this sample of neon be doubled (at constant pressure)?   ___ K      this i
20090128091355AAeNWyP	Science & Mathematics;Geography	Where is District 20, North Carolina?	I need to find out where District 30, Unit D is in North Carolina.  Any informations you have, maps, etc. are all appreciated!
20090128091734AAWBYZG	Science & Mathematics;Engineering	How is the computer engineering major at cal poly pomona?	N/A
20090128091756AApcYvL	Science & Mathematics;Earth Sciences & Geology	On which area is the topsoil most likely to be the thickest?	a. on level land      b.on a hillside      c.on a mountain slope      d. in a river bed
20090225112949AAqKWDb	Science & Mathematics;Physics	Acceleration problem-- please help asap?	7. Nikki & Tanner were rowing their boat North at 15 km/hr. Unfortunately, they were trying to go upstream and the river was moving South at 12 km/hr. Just when they were ready to give up Ellen & Penny rowed past going South at 18 km/hr., threw them a couple cans of Rockstar and yelled – “You can do it!” What was the velocity of Nikki & Tanner boat? Ellen & Penny’s boat?      here is the question-- ive tried to get this but im not sure how to calculate it by using the formula v = d/t thanks for the help
20090225113205AAK4kQf	Science & Mathematics;Mathematics	(x+y)^2(x-y)^2 Simplify?	and for (x^2+1)(2x^2-3x-5)
20090225120604AAjyrK1	Science & Mathematics;Mathematics	Someone please help me with these algebra problems?	What is the slope of the line on page 202 #2?   the cordinates for the problem are (1,-2) and (3,3)      What is the slope of the line on page 202 #4?   the cordinates for the problem are (-2,2) and (1,-2)      What is the slope of the line on page 202 #6?   the cordinates for the problem are (-3,3) and (1,-4)      What is the slope of the line that passes through (3,1) and (2,6)?   A.       -5                   B.       7/5                   C.       -5/3             5. What is the slope of the line that passes through the points (0,13) and (-4,13)?              A.       0                   B.       -1                   C.       undefined             6. What is the slope of the line x = -3?              A.       -3                   B.       0                   C.       undefined                       7. What is the slope of the line y = 0?              A.       0                   B.       1                   C.       undefined                  8. Find the slope of a line that is perpendicular to the line that goes through (6,-2) and (1,4).              A.       5/6                   B.       -6/5                   C.       6/5             9. Line 1 contains (1,-1) and (-1,-11) Line 2 contains (-2,-8) and (0,2) Are lines 1 and 2 parallel, perpendicular, or neither?              A.       parallel                   B.       perpendicular                   C.       neither             10. Line 1 contains (-1,-5) and (4,4) Line 2 contains (10,8) and (-7,4) Are lines 1 and 2 parallel, perpendicular, or neither?              A.       neither                   B.       perpendicular                   C.       parallel
20090225122547AAklMLm	Science & Mathematics;Mathematics	If one diagonal of a rhombus is 6 and its area is 24, what is the length of one side of the rhombus?	N/A
20090225122655AAZHk6u	Science & Mathematics;Mathematics	How do i factor this?:  2t^2+7t+3?	im doing my homework! and i just cant remember how to do this problem! help!... how do i factor it?
20090225124215AAJnDso	Science & Mathematics;Medicine	Round white pill. T.N. on top. Then a vertical line. 1 under the vertical line. Backside is blank. Sedative.?	N/A
20090225125806AACKG0S	Science & Mathematics;Biology	What are bacteriophages and what do they have to do with DNA?	help?!?!?
20090225130131AAkPsbj	Science & Mathematics;Physics	Need help with physics?	Problem: A 2100kg car accelerates from rest at the top of a driveway that is sloped at an angle of 20 degrees with the horizontal. An average friction force of 4000N impedes the car's motion so that the car's speed at the bottom of the driveway is 3.8 m/s. Use work and energy to find the length of the driveway.       Any help you can give would be appreciated!
20090225130934AAIfeax	Science & Mathematics;Mathematics	LATTICE MATH HELP?? pleaseeee!!!!!?	okay just one little question:   what would be the four branch latice shape?   i need help making a lattice with 210.   please!
20090128092558AAknSsX	Science & Mathematics;Earth Sciences & Geology	What are some facts about global-warming ?	I have some homework that i need to finish .It's about global warming and I have to explain what it is and some facts please I really need help its for tomorrow
20090128092633AAq23eL	Science & Mathematics;Astronomy & Space	Are there any foreseeable anomalies on 12/21/2012 ?	I know it's the end of the Mayan calendar but what else if anything lines up on that day ?
20090128092838AA9N3hN	Science & Mathematics;Chemistry	Career for applied chemistry?	N/A
20090128093249AAL2j7o	Science & Mathematics;Physics	Atomic pressure in an automobile tire?	In the summer when the temperature is 25C, the overpressure within the automobile tire is 2.050 atm. what will the overpressure within the tire be when the temperature is -5.00C? Assume no air is added to the tire and no air leaks out from the tire. Also assume that the volume of the tire remains constant and that the atmospheric pressure remanins at 1.0atm
20090128094244AA4DgR4	Science & Mathematics;Physics	Hydrogenated pressure in a cloud?	Clouds of interstellar hydrogen gas have densities up to 1.00 x 10^10 atoms/m^3 and temperatures of up to 1.00 x 10^4 K. What is the pressure in such a cloud?
20090128093349AADOpHD	Science & Mathematics;Botany	What is the EM spectrum?	in detail, what is the EM spectrum, but easy to understand
20090128093648AAsoRCQ	Science & Mathematics;Chemistry	What are 3 uses of radiation?	N/A
20090128093643AAr4VwO	Science & Mathematics;Physics	A car traveling at 3.0 m/s has a constant acceleration of 40. m/s2. After 2.0 seconds, the velocity is?	N/A
20090128093805AAtrHSu	Science & Mathematics;Chemistry	Why does hot water not cool down at a uniform rate?	N/A
20090128094136AAZlTBr	Science & Mathematics;Astronomy & Space	How many do we have moon any where?	i want to know
20090128094203AAecIig	Science & Mathematics;Astronomy & Space	What star clusters are in persues ?	besides the persues star cluster
20090128094210AAJEiJI	Science & Mathematics;Medicine	What is water deposition in lungs? Why it occurs & how?	N/A
20090128094223AACvZpT	Science & Mathematics;Chemistry	How to prepare bleaching powder in lab?	with safety precautions if u have them
20090128094754AAvPb0h	Science & Mathematics;Astronomy & Space	Force of Earth's Gravitational Attraction Calculation...?	If the mass of the Moon were suddenly multiplied by 4.4 and the mass of the Earth by 2.6, by what amount would the force of the Earth's gravitational attraction on the Moon be multiplied?  Use Newton's law of gravity.
20090128103639AAtZF9q	Science & Mathematics;Earth Sciences & Geology	What colour is water?	N/A
20090128095717AAXAbcz	Science & Mathematics;Zoology	Do cows get angry when they're milked? 10 points for fastest true answer!!!?	N/A
20090128103429AAzV56m	Science & Mathematics;Weather	Does water freeze faster on a clear night than cloudy night.?	if it raines hard and there were big puddles. the temps were at 20f degrees  at both situations. one situation, the skies clear and light winds. the other, the skies remain cloudy with light winds.   which one would it freeze faster in
20090128115032AAInPcY	Science & Mathematics;Astronomy & Space	What do galaxies orbit?	is there something that most things orbit?
20090128101009AAgP50g	Science & Mathematics;Chemistry	Chem hw help! Preparing solutions?	List the steps you would use in preparing a 5% glucose solution. Also, what is dissociation of salts in solution??
20090128115816AARtZnA	Science & Mathematics;Astronomy & Space	Can anyone tell me what I'm seeing in the night sky?	I've noticed for the last few months a bright star, it is south westerly not to high of the horizon, it comes out early in the evening, it is constant and very bright. I'm no way a conspiracy theorist but I was browsing through you tube and ended up in this section about Niburi planet x and some people where discussing this star, very different opinions, but from different parts of the world they noticed it.   I'm just curious to know from people who know what their talking about,   thank you.   Note I know nothing about Astronomy!!!!!!!
20090128112416AA00fL3	Science & Mathematics;Earth Sciences & Geology	Can you list me some landforms that are affected by glaciers?	This is for my hw assignment.
20090128100641AACgoWC	Science & Mathematics;Biology	How does sleep affect our vocal chords?	Why is it that right after waking up, our voices are crisper, clearer and deeper, but as the day goes on, our voices seem to get more coarse and not as pleasant sounding?
20090128102626AAkDvKE	Science & Mathematics;Weather	Does anyone else have this obnoxious rain/snow/ice mix.?	it's really coming down here.
20090128121442AAffI1j	Science & Mathematics;Chemistry	Which one is the stronger bond? Ionic or covalent?	N/A
20090128095106AApCia1	Science & Mathematics;Chemistry	What creats a chemical reation with coke?	PLease answer correctly its for a science fair experiment and answer the question without, sand or mentos mint.
20090128094856AAv9HxB	Science & Mathematics;Physics	Projectile Motion Question?	A carpenter tosses a shingle off an 8.8 meter high roof, giving it an initially horizontal velocity of 11 m/s.       How long does it take to reach the ground in seconds?      How far does it move horizontally in this time in meters?
20090128115401AAIkBsm	Science & Mathematics;Mathematics	What is the third derivative of 4-(9/x)?	N/A
20090128100656AAqngsZ	Science & Mathematics;Chemistry	A chemistry question help needed please!?	what mass of solution containing 5.00% potassium iodide, KI by mass contains 258mg KI
20090128114723AA6VAuH	Science & Mathematics;Medicine	All hospital workers and even medical doctors; what is the oddest thing you have seen a DR. come in wearing?	If you are a doctor what was the oddest thing you have came in wearing?  A coworker said a doctor owned a horse farm and would come in looking like he was working on a horse farm.
20090128114442AAr3i86	Science & Mathematics;Chemistry	When potassium iodide is added to a mixture of bromine and hexane a displacement reaction takes place..?	What is formed?            Thanks! ^^
20090128113523AAQpUEs	Science & Mathematics;Mathematics	2,673 grams is how many pounds?	N/A
20090128100801AAsHGxN	Science & Mathematics;Earth Sciences & Geology	What is area strip mining?	and its environmental impact?
20090128112616AAjwP3z	Science & Mathematics;Mathematics	Algebra word problem?	Ok. i've tried doing this for a while and can't seem to figure out how to do it. I know the answer so any step by step stuff would help. Thanks in advance.      Jay flew from Point A to Point B and back in his plane. On the way there, his flight took 1.5 hours and he had a 25mph tailwind. On the way back his flight was 2 hours and flew into the 25mph wind the whole time. About how far is it between point A and point B if he had a constant airspeed.       And the answer is 300 but i'm not sure how to do the algebra.
20090128121000AAlFwK6	Science & Mathematics;Mathematics	Calculus experts? I am kinda stuck on this problem.?	c = 3      (a) lim f (x)   x→c?       (b) lim f (x)   x→c+       (c) lim f (x)   x→c      (d) f (c)            Thank-you for everyone that has helped me.
20090128114437AAunEfe	Science & Mathematics;Chemistry	What happens when you mix calcium with nitric acid?	N/A
20090128121905AAzN34R	Science & Mathematics;Mathematics	Prove that if A and B are sets such that A union B = A intersection of B then A intersection B compliment = th?	Please show me how I would prove the statement.
20090128101757AA6ifJp	Science & Mathematics;Physics	Why is the ability to perceive depth more than a matter of visual acuity?	N/A
20090128113218AAiqrIi	Science & Mathematics;Mathematics	Can somebody please show me how to work this problem?	In 1991, funding for a program increased by 0.88 billion dollars from the funding in 1990.  In 1992, the increase was 0.35 billion dollars oer the funding in 1991.  For the three years the funding was 10.06 billion dollars.  How much was funded in each of these three years.      In 1990, funding was $ ? billion   1991 ?   1992 ?
20090128104347AAIHDCt	Science & Mathematics;Earth Sciences & Geology	How did the earliest land animals survive their transition from water to land? ?	?
20090128103802AAWSfMV	Science & Mathematics;Chemistry	Chemistry hot object ?	why should you never weigh a hot object?
20090128115224AAWDg85	Science & Mathematics;Chemistry	Help with general Chemistry?	Give the formula equation for the following reactions:   1. Potassium metal reacting with water to produce potassium hydroxide and hydrogen gas.   2. The bicarbonate, HCO_3 ^ - ion reacting with H+ ion to produce water and carbon dioxide.   3.Copper metal reacting with silver nitrate solution to make silver metal and copper (II) nitrate.   4. Iron metal reacting with oxygen gas to make iron (III) oxide.
20090128115616AATtf5p	Science & Mathematics;Medicine	Doctors (Medicine) - How tough is the job?	I would like advice from actual medical doctors/nurses.      How though is it to be a GP?   What hours do you work?      I am starting a Medical Degree soon and I want to make sure I am following the right career path.      Thank you.
20090128114753AAGFZKw	Science & Mathematics;Chemistry	In the periodic table the elements are arranged by _____?	a) Number of electrons   b) Atomic weight   c) Number of nuclei   d) Atomic mass   e) Atomic number   ????
20090128110820AARI3W9	Science & Mathematics;Chemistry	What is the mass of one of the two oxyen atoms in hydrogen peroxide?	A single molecule of water has one oxygen atom, and a single molecule of hydrogen peroxide has two oxygen atoms. If the mass of one oxygen atom from water is 16 amu, what is the mass of one of the two oxygen atoms in hydrogen peroxide?      a) 32 amu   b) 2 amu   c) 16 amu   d) 8 amu
20090128120539AAenYmL	Science & Mathematics;Chemistry	Oxygen has __ electrons in its outermost shell..?	a) 1   b) 3   c) 6   d) 5   e) 8
20090128100618AApI0wb	Science & Mathematics;Chemistry	Quick question about hexane isomer!!!!!!!!?	CH3-CH2-CH-CH2-CH3   >>>>>>> |   >>>>>>>CH3      this one is 3-metilpentane am i correct?
20090128112213AAY01hp	Science & Mathematics;Alternative;Parapsychology	Kan siblings really communicate with ESP!?	N/A
20090128114655AAPN5ST	Science & Mathematics;Mathematics	Math help Please !!!!! Asap?	-1 and 1/2 plus 3 and 1/2x = 6 and 3/8      x equals what?      Can you please show work i keep getting stuck!!!!
20090128115215AADO8Iy	Science & Mathematics;Mathematics	How do you change y = (√ 3) x to polar form?	precalc
20090128100932AA4Vuv4	Science & Mathematics;Chemistry	Conclusion for chemistry?	Objectives:    1.To know how these systems respond to changes in concentrations of reactants or products and to changes in the temperature.    2.To determine the direction of shift of an equilibrium system as governed by Le Chatelier's Principle.    3.To compare the PH of aqueous solutions of acids, bases and salts.    4.To compare the pH values obtained by using indicators and that of pH meter or pH paper.    5.To demonstrate buffer action.    6.To study several interesting and colorful chemical systems at equilibrium.
20090128115908AAnFiPf	Science & Mathematics;Physics	How can a car safety system be used to protect an egg being dropped from a height?	N/A
20090128101107AA1ZDeL	Science & Mathematics;Physics	Why do electrons spin and why is the speed at which they spin constant, and how did scientists discover this?	N/A
20090128101714AAKHyM3	Science & Mathematics;Zoology	Arctodus simus? giant short-faced bear? Question about them ?	Is there a possibility that the Arctodus simus may not be completely extincted?
20090128121118AAV6lWB	Science & Mathematics;Mathematics	The area of a inner circle is 64π square inches.The area of the shaded region is 36π square inches.?	what is x,the width of the shaded region,in inches.....
20090128111945AAkQR5I	Science & Mathematics;Weather	Is anyone experiencing any... sh*tty weather?	Alright, so I live in Toronto, and we just got a sh*t load of snow, and... well, we've already has a sh*t load of snow, so there are already hugee hills of snow, and... there's almost a foot on the ground, and... I can't shovel it.  Honestly, I'm so overwhelmed with how much there is, with so little space to put it... I just gave up 1/4 the way through.  On top of that, my carpal tunnel is acting up again, and my athsma isn't making it easy.    What the hell?    Is anyone else going through crappy weather issues?
20090128113936AAcoxip	Science & Mathematics;Chemistry	Why did it take longer to discover the neutron in an atom?	N/A
20090128105611AAGQsXS	Science & Mathematics;Zoology	What repels barnacles?	HELP I NEED AN ALTERNATVIE TO BOTTOM PAINT PPL PUT ON BOATS?   Any ideas???
