20090220032514AALWXDP	Sports;Outdoor Recreation;Hunting	California legal HK416 assault rifle?	is there such a thing and if so were do i find one?
20090220051702AAoZxuf	Sports;Football (Soccer);Mexican Football (Soccer)	Do you think Mexico is worse than Canada?	I noticed there are more Canadians starting in the EPL than Mexicans will Canada take us over like USA did?
20090220053214AAvqWDP	Sports;Wrestling	Who is better R-truth or Shelton Benjamin?	i mean in general such as talent, mic skills, persona, gimmick etc
20090220054305AAdNBK6	Sports;Fantasy Sports	Top 30 Closers for Fantasy Baseball 2009?	Is there anyone who is a baseball expert out there that can rank the top 30 CLOSERS for me for fantasy baseball 2009? I’m making my cheat sheets, but I’ve ran into a few problems. I’m in a point’s only league, so nothing for ERA or WHIP, just points for Wins, Saves, Strikeouts. The problem with Yahoo is that they have all the middle-relievers and starters mixed in their rankings if they have RP eligibility. Plus, I don’t know who the actual closer is for many of the teams (Oakland, Florida, Orioles, Rays, Mariners, etc). If anyone knows every main closer on each team and wants to list their top 30 based on my settings, please feel free to do so. The ranking numbers don’t matter to me, I’m mainly concerned on the guy who will be closing and then I can rank them based on our points.
20090220054702AAK1Tur	Sports;Wrestling	Where to sell a WWE signed replica belt?	I won the Cyber Sunday online competition and got a WWE championship replica belt signed by John Cena, which recently ive decided to try and sell, i was just wondering where a good place to sell would be. Have had a $2000 offer *Aus* from a distant friend so was intrigued to see the peak of what its worth, any inputs greatly valued! Thanks
20090220055019AAWfLNi	Sports;Football (American)	Where can I find a football card display that holds 20 cards?	I have around 500-600 different Emmitt Smith cards and I use to buy these wall displays that would hold 20 football cards in hard plastic sleeves that would slide into the display. I need more of them but I am unable to find anymore. Can anyone help me out? Thanks.
20090220061126AAHiBdv	Sports;Football (Australian);Australian Rules	Why does the AFL use the News Media as its Propaganda Mouthpiece ?	N/A
20090220062233AAvs3Tv	Sports;Football (Soccer);Other - Soccer	Funniest football jokes?	whichever team you support write the funiest joke about any football team
20090220064442AANVGh7	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Is there a world cup in fifa 09?	N/A
20090220063310AAvq3Ar	Sports;Auto Racing;NASCAR	Does NASCAR have an open policy?	On alcohol? they test for drugs.. but what about alcohol? I wonder about some of these guys.. I heard the Bodines are drinkers alot, and you can tell Hornaday and Skinner get drunk all the time!!! Kasey Kahne may be slipping now since hes got that BUDWEISER on the car.
20090220065047AA1Fwf7	Sports;Baseball	Where can I find a list of radio stations covering LSU baseball?	I am in New Orleans and cannot seem to find a schedule.  What stations broadcast the games?
20090220065500AAQnJgu	Sports;Outdoor Recreation;Fishing	Ice fishing locations in new hampshire?	can anyone give me a place for ice fishing in new hampshire? my dad is bugging me to find one because he's computer illiterate. please help a girl out?
20090220065632AAkCKnF	Sports;Basketball	Who was the starters for the north carolina tar heels in 1982 championship game vs georgetown?	N/A
20090220070237AAdXIRr	Sports;Outdoor Recreation;Other - Outdoor Recreation	How hard and how much will it cost me to change the sights on a Glock 19 from fixed to adjustable?	N/A
20090220070511AAuUkO5	Sports;Swimming & Diving	How much does a lifeguard in a pool get paid per hour in the UK?	something that average kind of wage, thanks.
20090220071515AABwdKy	Sports;Other - Sports	Can you put an offer on unused equipment at the YMCA?	There are a few airdyne exercise bikes at my YMCA that are NEVER used. Would the management take this into consideration and maybe take an offer to buy one?
20090220074524AAWtcmD	Sports;Wrestling	Why has Randy Orton has not had a big push for Titles?	Why have Edge, Cena, and Batista won like 20 titles between them in 3 years but Randy Orton has only won 2. I thought Orton was meant to be the youngest rising star when he was with Evolution.
20090220072521AApDyoo	Sports;Basketball	Who yall think cmin out the east this year?	N/A
20090220072628AAR3SDM	Sports;Cycling	Good beginner Sport Bike?	Hey,   I am in the market for a sport bike and i was wondering which one would be best. A lot of people are saying get the Kawasaki 250 but im afraid i will outgrow this bike fast. The next option i was looking at is the 2009 Kawasaki ninja 6r. i know the basics even tho i have never ridden. I also ride 4 wheelers often but never a bike. please help Thanks.
20090220072738AAtaWye	Sports;Outdoor Recreation;Hunting	Where could i buy 16 inch gun shells?	Im just curios, i had a dream last night and it had those battleship guns on it. they just sound big and cool, no real reason. i do want to buy one of these
20090220073626AAI2Tvr	Sports;Fantasy Sports	Fantasy  baseball team name?	i need a really funny team name for fantasy baseball? we always have good ones and for some reason i cnt think of one. can u help me out thanks
20090220074617AARrXEx	Sports;Basketball	Can hughes and wilcox play 2night?	Can larry hughes and chris wilcox play for the knicks 2night feb 20th against the raptors?
20090220074618AAKpHfR	Sports;Football (American)	Who will be the sleeper next year in the NFL? and why?	N/A
20090220073947AAqngO4	Sports;Football (American)	How do you think will be the first Qb picked in the Nfl draft? and who will pick him?	N/A
20090220074913AAUQLnS	Sports;Basketball	Do you support LeBron on his views of the Dunk Contest?	N/A
20090220075916AAqtWFO	Sports;Basketball	How tall is an NBA hoop?	N/A
20090220051344AAR96Gx	Sports;Wrestling	Delirious or Santino who's funnier?	Got some clips       Delirious     http://www.youtube.com/watch?v=KvXcSZldS...        Santino, well we all know how funny he is      http://www.youtube.com/watch?v=fZflVoZwb... 
20090220053431AA3lh9o	Sports;Cricket	Name the Cricketer (116)?	im at the 2nd of all time record at the list of my country.. in one format its related to batting   my record will be break soon   my team has 14 win and 15 loss record against Arsalan_kashi's country team.       Question is : : : what is my record and my name is      _ _ _ _ _ _(6) _ _ _ _ _ _ _ _ _(9) _ _ _ _ _ _ _(7)
20090220063331AAf4vIn	Sports;Golf	To you what are the best clubs?	best driver, irons, woods, and putter
20090220063450AAERt2n	Sports;Wrestling	What do u think Vince will do if Sting says, "I'll have one match in WWE in one condition....(inside)!"?	"I want to face Taker at WM 26 next year. I don't care about losing, I only want a match against him, that's all!"      What do u think Vince McMahon will do ?
20090220060727AAmPQ6s	Sports;Auto Racing;NASCAR	If you were a nascar driver what would your sponsors be?	i know i would pick Heineken and apple computers.
20090220060931AA9K6X8	Sports;Football (American)	Im starting a football team who wants on it?	QB- Me   RB-   FB-   WR-   WR-   WR-   OL-   OL-   C   OL-   OL-   DT-   DT-   DT-   DT-   ROLB-   MLB-   LOLB-   CB-   CB-   SS-   FS-   K-   P-   KR-   PR
20090220063252AAsvM7k	Sports;Football (American)	Andre Johnson or Larry Fitzgerald?	which ones the better reciever and why?
20090220063625AANcVS6	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Who is going to get relegated?	which three teams will go down in your opinion - and if you could change your teams football strip what would you change it to       Random little fact , I have been closer to the premiership trophy than most people on here , I will leave you to guess how I got close to it
20090220064624AAM78o0	Sports;Baseball	Can someone explain to me how in the world that loser Joe Buck is ahead of Vin Scully Mel Allen & ->?	Joe Garagiola In the top 50 Network announcers of all time? How is he even in the top 15 to begin with?  Was the person or persons who did these rankings on drugs? For those who don't know what I'm talking about Yahoo posted the top 50 sports announcers & here are the rankings. Let em know what you think->      50 greatest network announcers   1.  Howard Cosell   2.  John Madden   3.  Brent Musburger   4.  Al Michaels   5.  Dick Enberg   6.  Curt Gowdy   7.  Keith Jackson   8.  Bob Costas   9.  Jim McKay   10.  Pat Summerall   11.  Jim Nantz   12.  Dick Vitale   13.  Joe Buck   14.  Marv Albert   15.  Frank Gifford   16.  Vin Scully   17.  Mike Tirico   18.  Chris Berman   19.  Billy Packer   20.  Dan Patrick   21.  Greg Gumbel   22.  Tim McCarver   23.  Jon Miller   24.  Mel Allen   25.  Joe Garagiola   26.  Bryant Gumbel   27.  Don Meredith   28.  Joe Morgan   29.  Phyllis George   30.  Ray Scott   31.  Terry Bradshaw   32.  Jack Whitaker   33.  Al McGuire   34.  Dick Stockton   35.  Tony Kubek   36.  Chris Schenkel   37.  Mike Emrick   38.  James Brown   39.  Hubie Brown   40.  Lindsey Nelson   41.  Jim Simpson   42.  Verne Lundquist   43.  Jim Lampley   44.  Ernie Johnson   45.  Don Criqui   46.  Tom Hammond   47.  Bud Collins   48.  Ken Venturi   49.  Jim Gray   50.  Harry Wismer
20090220043138AA4zDe5	Sports;Auto Racing;NASCAR	What is your favorite Elliott Sadler moment?	N/A
20090220065235AAqolBs	Sports;Other - Sports	Athletes and former athletes, what is your fondest sports memory?	I was a 3 sport athlete in High school and played college football, and baseball. But never won any championship of any kind since little league. Did anyone win a state championship, or did something that you still have fond memories of?
20090220060559AAsyeAX	Sports;Other - Sports	Help! I need this by 12 I clock!   Anyone know a good dodgeball  team name for a high school  tournament?	okay, my high school is having a dodgeball tournament. And my team doesn't have a name so by default, our team captain called us team awesome. Which me and the team thinks that's dumb but can't think of anything better. Most teams are doing something sexual and immature for their name. And I have to admit, I want to too. But we can't have something TOO obvious or they don't let us use it. For example: one team is having the intials A. S. S. Standing for a secret society. And all of them are having diff names on their shirts. For example dumb a.s.s., smart a.s.s., nice a.s.s., Etc. Any ideas? Pleas and thank you!
20090220055418AAfomiA	Sports;Wrestling	Dont You Hate It When An Icon Of Wrestling Jobs To A New Superstar?	I Hated It When HBK Jobbed To SCSA                           HBK Jobbed To John Cena                           HHH Jobbed To John Cena                           Unertaker Jobbed To Kozlov
20090220063858AAMWxiJ	Sports;Wrestling	Whats The Worst Wrestling Angle You Have Ever Seen?	N/A
20090220063642AAHXDc3	Sports;Boxing	Did jackie robinson have kids?	N/A
20090220043448AA7qXG9	Sports;Wrestling	Name the best wrestlers that you have seen?	I want the best you have seen, NOT you favorite ok.    Mine are as follows:   Ricky "The Dragon" Steamboat.   Chris Benoit (RIP)   The Rock   Chris Jericho   Steve Austin (Before he became a brawler in WWE)   Billy Kidman (very under rated)
20090220042904AAWi5rF	Sports;Wrestling	What is the The Clown Prince of Crime's fascination with?	Why is the The Clown Prince of Crime so fascinated with asking so many questions about HBK v Taker at WM25. Come on mate, give us a break. We love them both and you have to stop asking us to choose between the two. Also why do you pick a "best answer" before I come online. I am in Australia and need a bit more time. LOL.
20090220052452AAijC4p	Sports;Cycling	Is there any good way to repair a road bike tire?	I have accepted the fact that I will probably have to buy a new tire, but I would love it if there was a way just to fix it. It is about $30 or $40 to replace.      It is the hard rubber part, not the tube. Bontrager brand. Just has a small rip in it. I made a think wall of duck tape to hold it temporary.        Any good ideas on how to fix it???
20090220065003AAEFgLz	Sports;Football (Soccer);Other - Soccer	La Liga vs. Premier League?	Casillas vs. Van der Sar ?   Diego Lopez vs. Pepe Reina?   Andres Palop vs. Almunia?   Marquez vs. Gallas ?   Puyol vs. Ferdinand ?   Pepe vs.Terry ?   Cannavaro vs. Vidic ?   Dani Alves vs. Evra?   Sergio Ramos vs. Ashley Cole?   Marchena vs. Kolo Toure ?   Yaya Toure vs. Mascherano?   Xavi vs. Lampard?   Silva vs. Joe Cole ?   Sneijder vs. Gerrard ?   Robben vs. Van Persie?   Van der vart vs. Xabi Alonso?   Iniesta vs. Fabregas?   Jesus Navas vs. Nani?   Maxi Rodriguez vs. Ballack?   Joaquin vs. Rosicky?   Messi vs. c.Ronaldo? :)   Juan Mata vs. Nasri?   Sergio Aguero vs. Tevez?   Samuel Eto'o vs. Drogba?   Henry vs. Berbatov?   David Villa vs. Torres?   Huntelaar vs. Adebayor?   Higuain vs. Rooney?      let the war begin.. :D
20090220063225AATHR89	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Which Chelsea player do you hate most?	There are plenty to choose from.      But name me 1 player and a reason.
20090220042830AAH1vgK	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Is this the most glory hunting forum on the web?	all non Liverpool fans are now United fans         no wonder i havent been around much
20090220043902AASeJjf	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Which is ther bigger game this weekend: Aston Villa  vs. Chelsea or Liverpool  vs. Man City ?	Not that it matter  to the leaders.
20090220043622AAOIvhW	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Why is ALL of Manchester UNITED this Sunday ?	N/A
20090220064055AAS7s1i	Sports;Football (Soccer);Men's Premiere Leagues (UK)	The Premiership's greatest ever team ?	 http://www.independent.ie/sport/soccer/p... 
20090220054536AALTgIW	Sports;Basketball	Where can i watch the video of the bucks mascot falling through the hoop lol?	im at work and i cant access youtube here so please send me links of other places where i can watch this lol.. sounds hilarious...
20090220060929AAuoaeA	Sports;Hockey	Why did Wayne Gretsky not re sign with the St. Louis Blues after 1996? Were the Blues unhappy that he did not?	I remember people expected him to re sign.
20090220045417AAc5SfM	Sports;Outdoor Recreation;Other - Outdoor Recreation	How similar is Snowboarding to Skateboarding?	It seems that they use the same words, is it more or less the same only snowboarding is on snow, or what?
20090220054856AAQMGiw	Sports;Baseball	Why the hell would the Mets put Reyes as a 2 man?	There are rumors saying that Luis "Axeman" Castillo is going to bat lead off for the Mets and were gonna have Reyes as the second guy? For God's sake, the only thing that guy does is chop at the ball and hobble to first base only to be out. He sucks ***.
20090220063514AAZDeLY	Sports;Other - Sports	Why is every sport in America besides basketball and some football a White Person Sport?	How come there is barely any blacks in hockey, baseball, soccer, swimming, volleyball.      I wish more white people played basketball and more blacks played hockey. Switch it up some!
20090220050105AAHFhCa	Sports;Fantasy Sports	Who do you think will be the starting OFs in Atlanta and Pittsburgh this year?	N/A
20090220050143AATOQzS	Sports;Fantasy Sports	Who do you think will get more Saves for the Cubs this year - Marmol, Gregg, or somebody else?	N/A
20090220045042AAhDvb0	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Has Adriano been to near to Liverpool recently?	He seems to be suffereing from something.    http://www.thesun.co.uk/sol/homepage/spo... 
20090220042738AAOKWDQ	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Which one is better, records or trophies? Or both?	 http://www.football365.com/story/0,17033... 
20090220042852AA8mXgn	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Which top flight manager is feeling the most miserable now?	N/A
20090220062215AAoVSB6	Sports;Wrestling	Should they change the style of the WWE Championship?	They made it a spinner belt when John Cena first became champion, but the thing is a disgrace. Should they Change the belt back or keep it like it is?
20090220060709AAp0BfH	Sports;Outdoor Recreation;Other - Outdoor Recreation	Do have a caravan or do u sleep in a tent?	N/A
20090220062530AAqHEtY	Sports;Baseball	Am I the only one who is completely DISGUSTED in Arod?	Not only did he take steroids, but now he's blaming it on his cousin!?!? Seriously, his cousin may have suggested it but did he force arod to take the steroids? nooooo. His cousin is also not a major league baseball player! Really, Arod needs to start acting like an adult and take responsibility for his actions.Who's with me?
20090220044012AALHxOo	Sports;Cricket	Cricket Quiz? (No.64)?	DIFFICULTY: Very tough   FINDING TIME: 30-59mins   CLUES:   Cricinfo ''Other Countries''   I have played ONLY ODI in my whole LIFE   A very different form of GAME   A VERY stupid AVERAGE!!!      I AM   _ _ _ (3) _ _ _ _ _ _ _ (7)
20090220060402AAqPQoJ	Sports;Football (Soccer);Other - Soccer	How to get in good shape for varsity soccer next year?	I have 4 months and the whole summer (2 months) to prep for varsity soccer. I am currently in a very bad shape, I am overweight, and I do a 9.5 minute mile. Is it even possible to get in shape in that time? If so how? Please include a detailed description/outline if possible.
20090220061322AAGJQO3	Sports;Cycling	How do you get ramp air on a bmx?	hi i was wondering how you get bigger air (you no when you rid at an angle and sorta 180 and comeback down on the 4ft ramp i can get it above the coping and on 6ft i have done it once but how to you get it higher thanks in advance
20090220054051AAlTunU	Sports;Other - Sports	Anything exciting in the Sports world this week end  ?	An new games or matches coming up ?
20090220062713AAcYIOn	Sports;Basketball	Carlos arroyo or edgar sosa?	N/A
20090220051304AA47tki	Sports;Football (Soccer);Scottish Football (Soccer)	Where can i buy celtic tickets for the cis cup game on the 15th of march 2009?	i really really need two tickets for the game. Anyone know where i can get them. and is this site trustworthy?     http://www.ticket4football.com/exclusive... 
20090220061452AAFxf4m	Sports;Wrestling	Does tna suck or what?	they build up a empty arena match kurt angle vs sting. it sucked  nash needs to retire thats why tna sucks and wwe rules. no good story lines. so did you find it boaring to.
20090220055432AASqb2h	Sports;Outdoor Recreation;Other - Outdoor Recreation	Choosing an airsoft gun?	Ok i need some more help so i need some oppinions for an airsoft gun broxa evolution or jg g36c or g36k i looked at them and they cost the same but the broxa shoots faster and is lighter but the jg guns look nicer
20090220053346AAeYS92	Sports;Football (Soccer);Men's Premiere Leagues (UK)	A Q for liverpool and chelsea fans..there are 13 league games left..?	i doubt ANYONE will go the rest of the season unbeaten how many points do you think you can afford to drop and still win the title ?? i think if united drop 9 points they will still win the title ..
20090220065507AANKFEc	Sports;Outdoor Recreation;Hunting	What is the best looking and  best opperating deer gun?	best deer rifle
20090220064916AA3JyPf	Sports;Cricket	Why is it that India don't have even a single...?	practice match before the serious ones? Everybody accuses BCCI of lording over other cricket bodies, then why was this basic courtesy denied to India, especially when the natural elements will be so against them?
20090220061435AAucIDt	Sports;Outdoor Recreation;Hunting	I need three groups that are for hunting and describe their viewpoint?	N/A
20090220050302AAZ5PPJ	Sports;Boxing	Vitali vs Archie Moore !who wins and how?	i pick vitali by brutal KO in 3rd or 4th
20090220051312AAWS8X1	Sports;Baseball	Is Barry Larkin the best SS ever?	Now that ARod is a steriod freak, can you make the argument that Larkin is the best SS ever? He hit for power, average, stole a ton of bases, won gold gloves (and would have had about 10 more gold gloves if Ozzie smith wasn't in the same league), and won a world series. I think this argument could be made.
20090220051645AAZlVdN	Sports;Baseball	How well do you think your favorite team will do and predict some of the players?	Mine: New York Mets  95-67       David Wright will be MVP with.336 42 hrs 131 rbis   Jose Reyes will have 220 hits with 83 SB   Johan Santana 21-5 2.58 era 247 k Cy Young   K-rod  58 saves 1.21 era
20090220063407AAm0hdI	Sports;Baseball	Do you think these trades will happen during the season?	Red Sox acquire SP Roy Halladay from Toronto for SP Clay Bucholtz, SS Jed Lowrie and SP Michael Bowden and C George Kottras      Mets acquire LF Eric Byrnes for 2B Luis Castillo      Los Angeles Dodgers acquire 2B Robinson Cano and CF Melky Cabrera for CF Matt Kemp      And if you want give me any trade that you think will happen
20090220054818AA2wcLo	Sports;Basketball	Who is your favorite nba player?	N/A
20090220054853AA7ZIRt	Sports;Basketball	Is tmac really out for the rest of the season?	N/A
20090220055117AARLSQM	Sports;Football (American)	Will peyton manning go down as the best qb of all time?	N/A
20090220064007AAOpXDv	Sports;Wrestling	Is anyone as happy as me about HBK?	I am so happy he is free of JBL!
20090220051320AAZDt6i	Sports;Football (Soccer);Other - Soccer	Wat is Better american football or football (soccer)?	N/A
20090220050109AAZVe6W	Sports;Basketball	Favorite wnba player?	N/A
20090220052603AAJlEvp	Sports;Hockey	Who do you think would win in a fight?	Who do you think would win in a fight-------Chara or Crosby?
20090220055658AAwPqDE	Sports;Football (American)	Whos better tom brady or peyton manning?	N/A
20090220055848AATfGhd	Sports;Basketball	What nba players share the same bday with you?	N/A
20090220060014AAVhfLG	Sports;Basketball	Whose your fav nba team?	N/A
20090220055925AARtJkF	Sports;Football (American)	Is fitzgerald the best wr in theleague now?	N/A
20090220055522AAB7oJg	Sports;Basketball	Whos going to win the finals this year?	N/A
20090220054403AAl1hK0	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Was it this that changed ronaldo?	 http://www.youtube.com/watch?v=LVHityT0u... 
20090220063830AAydG6o	Sports;Football (American)	Do you think any NFL players are Yahoo! Top Contributors?	sucha lame badge
20090220061148AAj18XY	Sports;Auto Racing;NASCAR	Is JJ Yeley going to be in Fontana this weekend?	N/A
20090220053102AAwrXVC	Sports;Wrestling	What is it called when 6 tag teams are in the ring at once?	N/A
20090220053404AAjNtGF	Sports;Winter Sports;Curling	How do u  tell if the front of ur sk8board is the front?	because i dont ever check bt my fren tyells me
20090220050807AAJDjNz	Sports;Tennis	Is Maria Kirilenko the hottest chick on the planet?	I say she easily is
20090220045745AAcFgPG	Sports;Wrestling	Can Sting or DDP ever be inducted into hall of fame?	I know sting has never wrestled for wwe but wwe does own wcw. DDP did wrestle for a short while with the wwe but will they take his wcw achievements into account?      Additional question: Do you agree Diamond Cutter kills RKO?
20090220044029AAsJyuf	Sports;Cricket	I spin bowl my averge is 15 runs a spell.i play rep.?	i spin bowl leg.my best is 5 wickets for 4 runs.im 14 have i got what it takes to play cricket for nz.
20090220050144AAdPYFi	Sports;Wrestling	Do you think shes gona be exspeled?	so 2 black girls got in a fight and school and there was a hole crowd watching them and out of no where one of them pulls out mace and sprays the hole croud. for hurting a ton of people is that exsplosion? and would you consider Mace a weapon?
20090220060205AAt4lk7	Sports;Basketball	Whats in the logo of the celtics uniform?	i dont get it...what does celtics mean??? it looks more of a leprechaun to me...they should have named it boston hornswoggle because he looks like hornswoggle of wwe  if you know him...or boston leprechauns...i dont get it...what does the celtics mean>>>???? is it the celts people from the old tmes>>>?? i dont get it...whats in the logo???
20090220060225AA8Ojzf	Sports;Wrestling	When it comes to the belt don't you hate what they did with?	rey   benoit   kane   punk   jeff   they gave it to them just so that they could say they had it.
20090220061224AAnyrZG	Sports;Wrestling	What is your favorite wwe match?	mine is ultimate warrior vs randy savage at WM
20090220055135AAtNxS9	Sports;Auto Racing;NASCAR	Can you bet on nascar racing games in las vegas?	N/A
20090220042956AAIfOpH	Sports;Cricket	Mahela Jayawardane.....quitting test cricket! Why?	N/A
20090220061318AAN5YKv	Sports;Rugby	Has College Rugby always been so gay?	I go to an Alumni game with some friends and freshmen are made to run around the field perimeter naked.  We go to the bar afterward and you've got more rookies naked serving drinks to other dudes.  We couldn't stop laughing at that scene.  There are no women around except for the female players who are all making out with themselves anyway (the one good part).  What's with the gayness in college rugby?  Are rugby guys all gay, but just hiding behind 'traditions' to see each other's junk?
20090220045136AAveH0h	Sports;Basketball	Who is your favorit e player?	N/A
20090220042840AAt9b0S	Sports;Swimming & Diving	Help On Swimming Freestyle !?	Ive been swimming for 5 years and recently started competitive , but my freestyle is really bad. I start of good but then just slow down and get tired , i had a gala and got 1:44 on 100m freestyle ( bad i know ) so i want to ask if anyone has any tips on swimming faster on freestyle ?
20090220065428AAfN0gQ	Sports;Martial Arts	How to register to fight in Kentucky or Ohio for MMA.?	I have been training in MMA for almost 1 year. My trainer trains me independently and we can not get any of the fight promoters to contact us back. We have one in Kentucky but does not have any scheduled yet and one in Ohio but they have none until November. Any info could help thanks
20090220042833AAcURQ5	Sports;Football (Soccer);Other - Soccer	Fifa 09 be a pro legend?	Hi      So I'm playing fifa 09 (ps3) Be a pro season...   I am the captain of my club and of my country...   All I have to do is become the legend of my club and country.   How many games will it take to become a legend?   Is there anything I can do to become a legend faster?   and do you have to win a certain amount of seasons to become a legend because so far I have won one season out of two (I'm on my third).
20090220043559AAMXfQM	Sports;Olympics	When was the 100 yards dash changed into the 100 metres?	Also has anyone got any history about the race, like first one, first recorded time, ect.
20090220045637AAkef91	Sports;Olympics	Is 15 too late to start gymnastics?	im a tiny bit flexible but not much    and i want to start gymnastics for fun :)   but is it too late? :(      x
20090220055549AAc3pSP	Sports;Cycling	Where can I purchase Trek MT-16 Bike?	I am looking for a mail-order source for Kids Trek MT-16 bike. I have seen sites that sell it for as low as $169 but none will ship and the local guys have obscene pricing.
20090220061419AAyiN5j	Sports;Football (Australian);Australian Rules	Why are Anti - AFL questions taken off Yahoo ?	N/A
20090220062809AA0CEn1	Sports;Baseball	Does A-Rods steroid abuse prove how tainted baseball was?	Not just Arod ofcourse,him being final straw to the many that have been proven or came out
20090220062712AAud0E7	Sports;Football (American)	Can the Dolphins pull it together enough to make a Superbowl run?	In Finkle We Trust
20090220064412AAvvMUe	Sports;Wrestling	Should Shelton Benjamin win a World/WWE Title?	Who thinks Benjamin should win a World Title. Explain your reason.
20090220043102AA00iP7	Sports;Wrestling	What is randy orton's problem?	just why does he do these things 2 people?   he punts people in the head!   he gives them that stupid rko!
20090220043139AAw1Xg6	Sports;Football (Soccer);Men's Premiere Leagues (UK)	What are the Arsenal fans commonly known as?	N/A
20090220045054AA8OKjC	Sports;Basketball	Does the university of chicago have a team in the ncaa?	N/A
20090220045138AAeSpLD	Sports;Cycling	Recommend me some good bike locks?	I bought a new bike and I need some locks but I'm not clued up on bike locks and the like. I'm looking to buy two locks for obvious reasons, I need something to secure the seat as well.       I'm looking to spend under ￡40 for one lock.
20090220045455AAUbJKC	Sports;Wrestling	What is the difference between Real Leather & Simulated Leather.?	I want to buy a WWE title belt but I don't know If I should go for the REAL leather strap or the SIMULATED leather strap.  What is the difference of the 2 types of leather?
20090220045525AA42idJ	Sports;Motorcycle Racing	I wnt to participate in bike races,send me the mail if there is any possibility for joining in ur community.?	N/A
20090220045539AA0v53z	Sports;Cricket	Singh is king-teri ore caller tune code?	N/A
20090220045739AAJRQtm	Sports;Other - Sports	Are there any Gymnastics or Piano classes in Seoul?	I'm moving to Seoul and want to continue doing gymnastics. I know I'll be able to find piano- I just want to find a place that caters to foreigners. If there's gymnastics- please tell, especially if it has classes for 14+. Thank you!
20090220045751AABNYER	Sports;Baseball	Do you think that Sherman Lacrus from Curacao(Junior League Worldseries Champions 2008) will make the Majors?	He had 5 homeruns in the Worldseries in Michigan, Detroit at Taylor. He was also in Williamsport in 2005 and 2006. In 2005 they became the International Champions and second place of the Worldseries Championship.
20090220051808AA4WzOF	Sports;Auto Racing;Other - Auto Racing	Used fridge for sale in Le Mans or surrounding area?	I'm travelling to Le Mans again but this year we don't have a vehicle coming from the UK as we are all flying and hiring cars. Thus....no fridge is making it across the channel.    Does anybody know of places that sell cheap used white goods in or around Le Mans? I want a cheap beer fridge as I'm hoping the weather will be hot this year and I need my beer cool.      Any help is appreciated…and yes I do have power for said fridge on my campsite.
20090220052904AAFDc12	Sports;Other - Sports	What cities have no major sports teams?	Specifically, major cities in the US... Just curious!
20090220054154AAbamfc	Sports;Outdoor Recreation;Hunting	Where can I get a magazine for a Stevens 62 rifle?	Walmart doesn't carry them any more.
20090220054612AA334l7	Sports;Winter Sports;Other - Winter Sports	How much for a snowboard bench?	I am going to make a snowboard bench out of pine and obviosly a snowboard, for a good quality bench, how much should i sell it for?
20090220060636AAjf4XW	Sports;Motorcycle Racing	Are there two seater sport bikes?	i want to get a bike soon, im a sophomore in high school.      a super bike preferably, and i want one that sits two, and goes fast.       so i can take my girlfriend for a ride or a friend.
20090220060652AA4yArd	Sports;Olympics	What is the minimum angle a sprinter should squat to and why?	N/A
20090220061030AAVPtZy	Sports;Basketball	Since Renee Montgomery of UConn Basketball is a Husky of Honor, am I able to purchase a replica of her jersey?	A few days ago, #20 Renee Montgomery (UConn Women's Basketball) was inducted into the wall of Huskies of Honor. Does that mean I can purchase her jersey?
20090220061704AAgLHiB	Sports;Outdoor Recreation;Other - Outdoor Recreation	How to remove weaver rail guards on airsfot m16?	So I'm getting a laser sight for my m16 and I used both my weaver rails and noticed on the barrel that there are weaver rails but there ar plastic guards on them. So I want to know how to remove them without breaking them.
20090220062232AAdUzQ5	Sports;Football (American)	How can go in chet room?	i like chet room
20090220062310AAiCZ5y	Sports;Golf	Who is the best golfer of all time?	N/A
20090220062340AABYYwO	Sports;Golf	What is the best golf course of all time?	N/A
20090220063650AAStZYA	Sports;Cycling	Which road bike tyre should i buy?	i have had a boardmon road bike for about a year and need a new back tyre which is puncture resident i have been looking on pro bike kit but there is so much choice i don't know which to buy any recommendations?
20090220063654AA8t1XT	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Whats the name of this goalkeeper?	i see this keeper every where.i'v seen him on the barclays comercial on cnn and on many football dvd's i love his playing style i just want to know who he is.descrption hes got brown sort of long hair and on his team jersey there sponsers are jvc.
20090220065221AAMHV9N	Sports;Football (American)	What is better, NCAA of NFL?	N/A
20090220071243AAIwxqz	Sports;Football (American)	A little too late don't ya think?	Well...according to comcast.net Santonio Holmes was fined $10,000 for his LeBron chalk endzone celebration during the SB...now if you are thinking like me you are going why bother it already cost the Cardinals the main prize...anyways do you think it was worth it that they should have fined him...?      consider this...they reviewed the tapes right after the SB and the ref said if he saw it he would have thrown the flag...shouldn't the NFL have just fined him right there...or are the trying to please the AZ fans who are still upset about the poor officiating...      here's the link...    http://www.comcast.net/articles/sports-n... 
