20070125134528AAH28ID	Yahoo! Products;Yahoo! Answers	How come none of the celebrity users of Yahoo! Answers ever answer any of our normal mortal questions?	Is it cause they have a superiority complex?
20081026121213AAEw9aD	Yahoo! Products;Yahoo! Answers	Voc cumpre o que promete?	Semana passada postei uma pergunta anunciando que iria sair e foi excluda.  De fato precisava descansar da parania que se instalou no site, da persegui??o, da falta de moralidade. E fiz isso logo que vi as palavras que a lder da categoria que costumo interagir escreveu por eu t-la bloqueado (no meu direito!)    PALAVRAS DA LDER  ______________________________________...  andrea vlv me bloqueou hahahahahahaha  QUANTA INFELICIDADE!  Alm de depressiva mal amada e invejosa!  Tem que ter muuuuuuuuuuita coragem para me encarar de frente!    Encara! Que eu quero ver .... peixe azul p?dre !!!  ______________________________________...  Jamais te perseguirei, pois n?o me dou  este trabalho baixo ... porm queimar seu filme, pode ter certeza ?...  pde ter certeza de que sim! vou queim-lo .    Hoje, ao abrir meu email estava lotado de mensagens, com cpias das atrocidades de trolls  querendo se passar por mim no dia de ontem.  Fiquei perplexa com a rea??o das pessoas, que inclusive me conhecem bem, ao apoiar tal hostilidade.  Se minha inten??o era descansar, agora realmente  sair, tenho nojo de gente assim.  E os aproveitadores da fama, os que me tem por desafeta, que babaram nas barbaridades da lder, podem ficar sossegados, a peixinha n?o coloca mais as barbatanas aqui, porque tenho d de gente t?o desgra?ada.  Pelo menos pude ter certeza de que algumas pessoas realmente cumprem o que prometem.  Que sejam felizes e BEM LONGE DE MIM!  
20071220082854AAdQ1fH	Yahoo! Products;Yahoo! Answers	Como se ganan las estrellas?	Y ME REGALAN ALGUNAS . Y TAMBIEN UNA CORTA EXPLICACION DE COMO GANARLA Y REGALARLAS TAMBIEM
20081004113709AAd94ij	Yahoo! Products;Yahoo! Answers	Qual é o seu propósito/objetivo no Yahoo Respostas?	N/A
20081017185909AAQ9rXx	Yahoo! Products;Yahoo! Answers	Qual é a boa do Yahoo Respostas?	Faz muito tempo que n?o entro aqui e n?o sei como é que andam as coisas... Digam-me vcs! Bjos!
20081017182838AAkrBd4	Yahoo! Products;Yahoo! Answers	Quero tb fazer pergunta de avatar...?	Quando vc olha para o avatar acima, qual a primeira coisa que vem em sua mente?
20081004041317AAeF1eA	Yahoo! Products;Yahoo! Photos;Sharing Photos	Is there anyway i can get pinks new album?	or do you know the songs thats gnna be on it?
20080217162717AATS5tT	Yahoo! Products;Yahoo! Mail;External Mail (POP)	How do I stop getting a pop up error message from Network Connections saying it cannot load dialog,  error 623	It happens every time I click on a message in my Yahoo  Mail Inbox
20080221082600AANRiIw	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How do I contact customer support live? I did it once before and can't remember how.?	My email shows that I have one unread mail in my deleted folder but I don't. I had this problem once before and spoke online with tech support and they said it was a glitch in their software and they"fixed" it. But, it's back:(
20080619091640AAiDKr1	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	How can I get new ymai or rocketmail addresses from yahoo?	I would like to get my new address as ymail.com or rocketmail.com but can't find a place to do that.
20080227070354AAjwOLn	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How can I get a second Yahoo mail address assigned to my current account?	N/A
20080303142701AAzbiqu	Yahoo! Products;Yahoo! Mail;External Mail (POP)	Can i delete all of my unread inbox mail all at once?	N/A
20090202123816AAQRsXT	Yahoo! Products;Yahoo! Answers	How do you vote somebody best answer?	I don't know how.
20090202124552AAJ1wb3	Yahoo! Products;Yahoo! Answers	Where do I pick up my email from this site yahoo answers?	If someone has sent me a message where is it
20090202125147AA7KDCb	Yahoo! Products;Yahoo! Search	I TRY TO CLEAR MY PRIVATE DATA,BUT WHEN I CLOSE MY INTERNET IT APPEAR IN MY  DESKTOP .HOW DO I ERASE IT?	N/A
20090202125428AASD5bD	Yahoo! Products;Yahoo! Answers	Why was my question removed?	all i said was that we won the super bowl 27-23
20090202131256AAWvgow	Yahoo! Products;Yahoo! 360	I created a blog and trying to tie it into the web site/pages VIA YAHOO I created and cannot HELP!?	I created a web site and blog using yahoo web site builder. The site is called marylandpolitics101.com. I used Word Press for the blog. Now I want to tie in the blog with the site I created with the yahoo site builder and to be blunt I DO NOT KNOW HOW TO DO THIS! I want people to go to my site then find the blog area. HELP! THANKS
20080518162105AApZboY	Yahoo! Products;Yahoo! Groups	O que vc acha que desvaloriza uma pessoa??	Moralidade?   humildade?   desprendimento?   sentimentalismo?   ou o que?
20080518170809AA3FkaF	Yahoo! Products;Yahoo! Answers	O que mais você aprendeu aqui no Yahoo  respostas?	Alguém já te solucionou um problema?   Você ensinou algo?!      :D
20081004122536AAzBP3z	Yahoo! Products;Yahoo! Groups	Loucura, delirio ou carencia?	Desejo de ver...   Desejo de estar...   Desejo de sentir...   Desejo de ser...         Quando usamos uma máquina fria   como cúmplice para matar o tempo,   nem prestamos aten??o na pe?a   que ela pode estar nos preparando.   às vezes, a gente acha que   ela n?o presta aten??o em nós, que é inofensiva.         às vezes, se pararmos prá pensar,   também nem prestamos aten??o nela.   Mas, quando menos esperamos   e mais desatentos estamos,   ela está nos vigiando e diz:   'Vou pregar uma pe?a nesses dois...'   E eis que prega mesmo!!!         A máquina fria, deixa de ser fria e torna-se,   n?o uma máquina e sim uma Ponte.   Uma ponte que liga idéias, sonhos,   medos, vidas... pessoas.         Pessoas cheias de história   para contar e muito para ensinar   Pessoas que n?o estavam   prestando aten??o no destino, mas se deixaram levar...   Seria loucura? Delirio? Carência?   Falta de cautela?   N?o!!! 
20081119091514AAe6mUg	Yahoo! Products;Yahoo! Answers	Queria tanto que perdeu a gra?a?	O que você quis tanto, que quando teve viu que n?o era tudo aquilo que esperava e acabou perdendo a gra?a?
20080830225809AAbzvNL	Yahoo! Products;Yahoo! Answers	Porque n?o posso votar nesse trem.. que saco!!! como subir de nivel, sou nivel 1....?	N/A
20080907142932AAxCPm0	Yahoo! Products;Yahoo! Answers	Você também é Brasileiro que n?o gosta de samba/pagode?	Observo aki no YR, que a maioria n?o admitem que curtem um sambinha/pagodinho...parecem até um coral dizendo: gosto é de ROCK .....poxa !!! Samba e pagode  é justamente as maiores caracteristicas dos brasileiros ,causando inveja em muitos estrangeiros por aí, com nossas mulatas lindas....!!! Porque dizer que n?o gostam, se no nosso maravilhoso carnaval, lá tá nós sambando até o amanhecer....Vamos lá galera , sejam brasileiros maravilhosos e n?o tenham vergonha de nosso folclore que é t?o lindo.      bjos amores ( Rio 42o .....
20081009141522AAZFGpq	Yahoo! Products;Yahoo! Answers	Saudade é um pouco como fome. Só passa quando se come a presen?a.?	Saudade é um pouco como fome. Só passa quando se come a presen?a. Mas às vezes a saudade é t?o profunda que a presen?a é pouco: quer-se absorver a outra pessoa toda. Essa vontade de um ser o outro para uma unifica??o inteira é um dos sentimentos mais urgentes que se tem na vida.
20081009142026AA23zfL	Yahoo! Products;Yahoo! Answers	Ocorreram mudan?as no YR 2 - A miss?o? Agora quando uma pergunta atinge mais de 30 respostas?	ela é excluída automaticamente?
20080927104223AAs3VRr	Yahoo! Products;Yahoo! Answers	O que voce faz quando sua pergunta é mal interpretada?	rebate? ou deixa rolar?
20081011124743AANGHvR	Yahoo! Products;Yahoo! Answers	Quem  a pessoa mais popular aqui no Yahoo! Respostas?	Ol, sou novo por aqui, conhe?o ningum... hahahaha  Gostaria de saber quem s?o os mais conhecidos daqui do Yahoo! Respostas, os mais populares. Quem s?o?  E essas pessoas s?o populares porque s?o simpticas ou porque passam muito tempo aqui?    Vamos fazer que nem aqueles concursos de popularidade das universidades americanas nos filmes.. hahahahaha  No final digo quem recebeu mais votos.  Ah... prazer meu nome  Caio.     :D
20081015151830AAY0h8t	Yahoo! Products;Other - Yahoo! Products	- ?○*luau ou balada*○??	O que vc prefere??      Luau ou Balada?      Bjs queridinhos???
20081012144929AABh7YC	Yahoo! Products;Yahoo! Mobile;Other - Yahoo! Mobile	Omg what should i do?	ok my bf told me he needs a break   i thought a break mean he needs time off and then we well be together again.   but then yesterday i went to the foot ball game and he was with another girl...   i try so hard not to look but it was hard
20081015145250AALCEnJ	Yahoo! Products;Yahoo! Answers	Por que tem gente que gosta em dar respostas engra?adinhas...?	Eu sei que o YRespostas  um lugar de divers?o, entretenimento, cultura, e tudo o que  bom. Mas dar respostas engra?adinhas, que n?o acrescentam nada, qual  a vantagem, s para a pessoa ganhar pontos? Eu vejo vrias respostas consideradas inteis para n?o dizer pior que isso.  Comigo mesma j aconteceu, hoje mesmo. O que vocs acham? N?o devemos fazer alguma coisa? Essas pessoas merecem ganhar pontos por isso? Gente, estou perdendo 5 pontos por essa pergunta.  N?o valem as respostas engra?adinhas e fteis.
20081123161759AA12MN1	Yahoo! Products;Yahoo! Answers	O que o Amor significa ?	Um abra?o amigos e tenha uma ótima semana.
20081122102153AAS9mpv	Yahoo! Products;Yahoo! Answers	Você responde na mesma categoria que pergunta?	N/A
20081121094245AAzEc60	Yahoo! Products;Yahoo! Answers	Vc é sempre 100% fiel?	Seja namorando ou casado(a) vc é sempre 100% fiel ou já deu ou dá seus pulinhos?   Eu penso que se um relacionamento n?o vai bem ou mesmo se pintar interesse por outro alguém, é melhor terminar o relacionamento antes, e já livre cada um faz o que quer. Mas e vc como é?
20081026125034AAD994z	Yahoo! Products;Yahoo! Groups	Você já pensou em deixar esse site para sempre?	...
20081031191249AAyr5kA	Yahoo! Products;Yahoo! Photos;Sharing Photos	How can i improve myself?	me:    http://i47.photobucket.com/albums/f192/n...     http://i47.photobucket.com/albums/f192/n...     http://i47.photobucket.com/albums/f192/n... 
20081108155637AAoa3xB	Yahoo! Products;Yahoo! Answers	Quanto tempo demorou a ter a 1a melhor resposta?	é que eu já respondi a 24 e ninguém me dá a melhor resposta :s
20081114113052AADgoli	Yahoo! Products;Yahoo! Answers	Vamos fazer uma troca?	Em comemora??o virtual ao meu aniversário real que acontece no dia 15/11.      Fa?o a seguinte proposta...      Vc usar este espa?o para deixar uma mensagem e ganha 2 pontos. Em troca vc me dá uma estrela de presente :-)      Ent?o segunda-feira voltarei, para escolher a melhor resposta e positivar todos as participantes.      Estejam a vontade, para contar piadas, poesias, desabafos... etc, etc e etc...      Só n?o vale ser grosseiro, ok!      Bjs, Cristalinos.
20081119114241AAVBrNz	Yahoo! Products;Yahoo! Answers	Uma amante é vítima ou oportunista?	Meus amados resumindo minha estória, meu marido frequenta o yahoo e uns dias quase meses eu descobri a sua trai??o, temos filhos.   Meu cora??o está estra?alhado mais eu o amo muito.   Realmente a inclus?o digital separa alguns casais.
20081120155141AAOPL0C	Yahoo! Products;Yahoo! Answers	Olhando para o avatar que está em cima, que tipo de música você acha que ele gosta?	N/A
20081122103251AAkgtaI	Yahoo! Products;Yahoo! Answers	O YR é sua terapia...?	O YR é seu tempo passado ou seu tempo perdido?      Nossa, meu passatempo preferido... adoro o YR, o YR das perguntas, das respostas, dos amigos e colegas, dos desconhecidos, do tempo perdido e do problemas em geral. é sempre uma caixinha de surpresas, às vezes agradáveis, outras vezes n?o. Adoro o YR, com tudo de bom que nos oferece, e com todos os problemas que ele traz (mas podia melhorar, né?).      Bom domingo a todos!!
20081122105421AAgd5VG	Yahoo! Products;Yahoo! Answers	Para onde vc levaria o avatar acima? E eu?	N/A
20061218193251AAvRdtC	Yahoo! Products;Yahoo! Answers	Wouldn't it be better without rating questions here?	Why does it matter if someone likes a question or comment?  That doesn't change what the correct answers are.
20061122095231AAdtN0e	Yahoo! Products;Yahoo! Answers	Kann man irgendwo sehen, wer sich für den Clever Cup angemeldet hat?	Ich hab's nicht, das nur mal so nebenbei.
20081128134308AAlQZKj	Yahoo! Products;Yahoo! Answers	Eu n?o acesso perguntas que ficam pela metade no tópico, e vc, que critério usa para responder ou n?o uma perg?	Essas pessoas que colocam assim:      "Valendo 10 pontos"; "Me tirem uma dúvida", "será que isso é certo?"; ou coisas do gênero, por mim ficariam sem respostas nenhuma, porque no tópico principal eu penso que todos deveriam resumir sua pergunta, para já dar uma idéia do que se trata.      E vc, para responder usa algum critério (essa eu respondo, essa n?o), ou qualquer uma tá valendo?
20090107122631AAQtIYF	Yahoo! Products;Yahoo! Answers	Custuma seguir aqui no yahoo?(continua)?	tipo ja se pegou seguindo algum amigo(a) aqui ;tipo ele (a) responde e tu vai indo nas destacadas e seguindo ;comente.....
20090120115414AAUisYZ	Yahoo! Products;Yahoo! Answers	Você acha que os limites do preconceito est?o apenas entre brancos e ****** ou entre pobres e ricos?	Para refletir...      Haiti      Quando você for convidado pra subir no adro   Da funda??o casa de Jorge Amado   Pra ver do alto a fila de soldados, quase todos pretos   Dando porrada na nuca de malandros pretos   De ladr?es mulatos e outros quase brancos   Tratados como pretos   Só pra mostrar aos outros quase pretos   (E s?o quase todos pretos)   E aos quase brancos pobres como pretos   Como é que pretos, pobres e mulatos   E quase brancos quase pretos de t?o pobres s?o tratados   E n?o importa se os olhos do mundo inteiro   Possam estar por um momento voltados para o largo   Onde os escravos eram castigados   E hoje um batuque um batuque   Com a pureza de meninos uniformizados de escola secundária   Em dia de parada   E a grandeza épica de um povo em forma??o   Nos atrai, nos deslumbra e estimula   N?o importa nada:   Nem o tra?o do sobrado   Nem a lente do fantástico,   Nem o disco de Paul Simon   Ninguém, ninguém é cidad?o   Se você for a festa do pel?, e se você n?o for   Pense no Haiti, reze pelo Haiti   O Haiti é aqui   O Haiti n?o é aqui   E na TV se você vir um deputado em panico mal dissimulado   Diante de qualquer, mas qualquer mesmo, qualquer, qualquer   Plano de educa??o que pare?a fácil   Que pare?a fácil e rápido   E vá representar uma amea?a de democratiza??o   Do ensino do primeiro grau   E se esse mesmo deputado defender a ado??o da pena capital   E o venerável cardeal disser que vê tanto espírito no feto   E nenhum no marginal   E se, ao furar o sinal, o velho sinal vermelho habitual   Notar um homem mijando na esquina da rua sobre um saco   Brilhante de lixo do Leblon   E quando ouvir o silêncio sorridente de S?o Paulo   Diante da chacina   111 presos indefesos, mas presos s?o quase todos pretos   Ou quase pretos, ou quase brancos quase pretos de t?o pobres   E pobres s?o como podres e todos sabem como se tratam os pretos   E quando você for dar uma volta no Caribe   E quando for trepar sem camisinha   E apresentar sua participa??o inteligente no bloqueio a Cuba   Pense no Haiti, reze pelo Haiti   O Haiti é aqui   O Haiti n?o é aqui       Caetano Veloso   Composi??o: Caetano Veloso e Gilberto Gil
20061223134735AAAquPR	Yahoo! Products;Yahoo! Answers	Do you have to pay for the Yahoo Avitars?  How do you aquire them?	please be specific.
20061024144910AA2xn1N	Yahoo! Products;Yahoo! Answers	Wie kann man erreichen, dass YC eine "Spa?, Schabernack & Bl?deleien"-Kategorie einrichtet?	(mit entsprechenden unterkategorien)   deren Fragen man - wenn man will - ausfiltern kann!
20061211122013AAfdh9h	Yahoo! Products;My Yahoo!	Verdient man gut als Konzeptentwickler und Denker bei Yahoo? Wie wird man das?	N/A
20061124123428AAi5z65	Yahoo! Products;Yahoo! Answers	Welche Art von Fragen muss man stellen, um m?glichst viele Antworten zu erhalten?	N/A
20061124142641AALv3kJ	Yahoo! Products;Yahoo! Answers	L?uft da was schlecht fr Yahoo?	Wollte Yahoo mit YC nicht die Funktion seiner Suchmaschine verbessern? Sch?n und gut, aber die gleichen neuen (YC-) Suchergebnisse gibt's auch beim Konkurrenten Google. In die Hose gegangen?
20061124143941AAQs5oQ	Yahoo! Products;Yahoo! Answers	Warum findet man bei Google lauter gel?schte YC-Fragen?	Man klickt sie an und dann kommt "Frage vom Support Care Team (oder so ?hnlich halt) gel?scht". Nimmt Google nur Seiten auf, l?scht sie aber nicht wieder?
20061114121415AAU5b1W	Yahoo! Products;Yahoo! Answers	Sind Antworten ohne Quellenangaben wertlos?	Das stand in einer anderen Frage, dass es laut einem Pressebericht so w?re:   "da stand neulich hier zu lesen das laut einem pressebericht 86 bis 93 % der Antworten v?llig unbrauchbar sind weil quellen zu so gut wie nie angegeben wid, ausse wiki und paar links"      Ist doch Quatsch, oder? Oft sind Meinungen gefragt, Vorlieben oder Tipps aus dem praktischen Leben - die du von Experten gar nicht bekommst!
20061115113936AAb5Jnc	Yahoo! Products;Yahoo! Answers	Wo ist das nette L?cheln der Avatarlosen hin? Jetzt haben sie eine zu scharfes Profil...?	Dient das dem Wunsch des CleverTeams, dass mehr Leute sich einen Avatar machen?    Denn ich meine, mit dem momentanen Bild der Avatarlosen kann man sich wohl schwer anfreunden und insbesondere für Frauen ist es unpassend...
20061130103217AAyapD3	Yahoo! Products;Yahoo! Answers	OK!Wo liegt der "DAUMEN RAUF" Rekord?	Muss doch auch gehen,oder?   LOL   Auch nur ein Spass!
20061211001211AAbY0Me	Yahoo! Products;Yahoo! Answers	Who is the thumbs down person?	does it seem like someone follows you around just to give every answer you give a thumbs down?
20081124110518AAd50hQ	Yahoo! Products;Yahoo! Answers	Como fa?o agora com o Y!R?	Fui trocar meu avatar e por causa do dedinho do meu "fofuxinho" acabei deletando todos os meus f?s!!!!         Gentem a exclus?o de todos foi acidental, portanto n?o se sintam excluidos por mim.      Obrigada pela compreens?o!!!      Bjoks carinhosas a vocês, AMORECOS!!      
20061120115429AAjQTQR	Yahoo! Products;Yahoo! Answers	W?re es nicht gut, wenn man manche Fragen zeitversetzt reinstellen k?nnte?	Wegen der Kinder?
20061207032444AAMyz2l	Yahoo! Products;Yahoo! Answers	Warum noch die Mühe machen?	Ab und an schaue ich die Fragen nach, dich vor l?ngerer Zeit beantwortete u lese mir die besten Antworten durch.   Und viele dieser besten Antworten sind die 10 Punkte nicht wert.   Stumpfsinnig und nicht ausreichend erkl?rt.      Warum sollte man sich noch die Mühe machen Fragen zu beantworten, wenn diese doch nicht berücksichtigt werden.      Um die 10 Punkte geht es nicht, w?re traurig wenn.Es geht einfach daraum, dass gute Antworten nicht die Honorierung bekommen, wie sie es verdient h?tten.      Von den Daumenhoch und  -abs mal zu schweigen.
20061027092530AA9cKf4	Yahoo! Products;Yahoo! Answers	Welchen Yahoo User findet ihr nicht symphatisch?	Ewig schleimen sich hier die gleichen User an,wie toll sie sich finden.Wen findet ihr denn nicht so toll
20061027060821AARS4VF	Yahoo! Products;Yahoo! Answers	Wieso?????	Werden gut gemeinte Fragen gel?scht wie und  manche die weitaus schlimmer sind bleiben stehen?
20061122063226AAAceRZ	Yahoo! Products;Yahoo! Answers	Hilfe, ich kann mich nirgendwo in der Bestenliste finden. Wieso das? Hab ich etwas verbrochen?	N/A
20061116084747AACSedI	Yahoo! Products;Yahoo! Answers	Quantit?t oder Qualit?t bei YC?	Vielmals wird gefragt, warum antwortest Du - dabei kommt die Antwort, wegen den Punkten.... W?re Qualit?t der Antworten nicht besser als Quantit?t?
20090120121935AAb0Da6	Yahoo! Products;Yahoo! Answers	Se Deus criou as pessoas p/ serem amadas, e as coisas p/ serem usadas, Por que  será que, amam-se  as coisas e?	...   usam-se as pessoas???
20090110102123AA0seLg	Yahoo! Products;Yahoo! Answers	O que você aprende na net?	já aprendi tanta coisa.   Eu nem sabia direito a usar o computador, e hoje já sei até mexer em editores de imagem.   Aprendi a fazer anima??o também.   E aprendi a respeitar cada um dos participantes deste site.   E até mesmo a adimirar aqueles que com os dedinhos negativam, esses s?o meus maiores incetivadores a permanecer por aqui.   Amo todos vocês.   E obrigada por fazerem parte da minha motiva??o.   beijinhos!!
20090111152252AAMv2gh	Yahoo! Products;Yahoo! Answers	Professores sempre tem raz?o?	(Aconteceu na PUC-RS. em meados de 2007)      Uma professora universitária estava acabando de dar as últimas orienta??es para os alunos acerca da prova final que ocorreria no dia seguinte.   Finalizou alertando que n?o haveria desculpas para a falta de nenhum aluno, com exce??o de um grave ferimento, doen?a ou a morte de algum parente próximo.   Um engra?adinho que sentava no fundo da classe, perguntou com que aquele velho ar de cinismo:   Dentre esses motivos justificados, podemos incluir o de extremo cansa?o por atividade sexual?   A classe explodiu em gargalhadas, com a professora aguardando pacientemente que o silêncio fosse restabelecido.   T?o logo isso ocorreu, ela olhou para o palha?o e respondeu:         "Isto n?o é um motivo justificado. Como a prova será em forma de múltipla escolha, você pode vir para a classe e escrever com a outra m?o... ou, se n?o puder sentar-se, pode respondê-la em pé".
20081217070814AAMoiOs	Yahoo! Products;Yahoo! Answers	Qual o lugar mais "estranho" onde você já durmiu?	Nessa pergunta que fiz a 3 meses atrás. O cara disse que dormiu num cemitério... Claro que levou os 10 pontos né... Gostei do argumento... (mato a cobra e mostro o pau né)      Ent?o, qual o lugar mais sinistro que você já dormiu, ou passou a noite??
20081230045152AAwPpnU	Yahoo! Products;Yahoo! Groups	Pq será que EU sou t?o AGREDIDA por algumas PESSOAS aqui no YR???????	Pq essa agressividade comigo gente???? Esse modo grosseiro???   O que eu fiz???      Eu juro q se me derem um motivo plausível eu vou passar te entender...   Me diz????      Pq essa perda de tempo t?o grande em me agredir??????   Juro q n?o entendo!   é uma maldade t?o grande q foge dos meus parametros de discernimento!   N?o consigo entender uma mentalidade como a dessas pessoas........juro que eu tento...mas n?o consigo!      é uma agress?o gratuita..sem cabimento....sem fundamento.......à duas pessoas q nunca fizeram nada à ninguém aqui no YR!      Além de ficar falando q eu sou homem, que sou fake, que sou travesti...qual é gente!!!! Pelo amor de Deus...isso é absurdo t?o grande....q chega a ser incompreenssível pra mim quando leiam barbaridades como essas........
20081218095714AAgI8py	Yahoo! Products;Yahoo! Groups	Vc prefere ver FILME DUBLADO ou LEGENDADO????	???????????????               =D                  bjokas queridos
20081124093052AA09paB	Yahoo! Products;Yahoo! Answers	O que VC mais GOSTA de colocar no MEIO do P?O pra COMER hein????	????????????               =D               bjokas queridos
20090107104942AAMG8tI	Yahoo! Products;Yahoo! Answers	Vc sente PRAZER ao DIRIGIR CARROS ou fica meio TENSO(A)...prefere que os OUTROS DIRIJAM??????	????????????????                  =D               bjokas queridos
20081125070300AA1PKnD	Yahoo! Products;Yahoo! Answers	Na opini?o de vocês: usuários que só sabem fazer Perguntas e Respostas que sejam (leiam mais abaixo)...?	Ofensivas, sem profundidade alguma, ou copiadas de outros usuários: s?o pessoas sem capacidade de perguntar e responder direito; ou só querem chamar a aten??o? Pois tem gente que realmente n?o formula Perguntas e Respostas do melhor meio possível; já repararam? Por que será que isto ocorre; afinal?      Argumentem aí; fazendo favor!      Aguardo Respostas!
20081126062444AAlvua1	Yahoo! Products;Yahoo! Groups	Vocês acham que de algum modo o anonimato virtual torna as pessoas mais corajosas e atrevidas?	Por exemplo pessoas que a gente nunca soube quem eram e nos ofendem gratuitamente. Como um cara que visitou meu Orkut ontem, eu perguntei como ele me encontrou por lá se n?o temos Amigos ou Comunidades em comum, ele me ofendeu do nada e eu retribuí a ele; pois sou honesto e recíproco com as pessoas. O cara me chamou de doido e mal-educado e depois me bloqueou; para eu n?o dar o troco (apesar que peguei um Perfil desativado meu e respondi a ele à altura; depois o bloqueei; pois foi o jeito; n?o é mesmo?).      Ent?o, vocês acham que o ocultamento de identidades na Rede faz alguém se sentir mais forte, poderoso e ousado do que se pudesse de fato olhar cara-a-cara na face das outras pessoas?      Argumentem aí; por favor!      Aguardo Respostas!
20090106110854AAZHQBM	Yahoo! Products;Yahoo! Answers	Vc se sente obrigado (a) a dar uma "Melhor Reposta" a um pessoa só porque ele já te deu uma também?	Esses dias uma pessoa me mandou um email reclamando porque eu eu n?o dei uma MR para ela já que essa mesma havia me dado uma recentemente.Vcs acreditam que ela ficou chateada comigo e disse que naum vai mais responder minhas perguntas, kkkkk...      Fala serio!!      VCs já se sentiram obrigados a fazer isso..         bjuss   Janayna   ε?зε?зε?з
20090125133548AAzoF0q	Yahoo! Products;Yahoo! Answers	E quando vc tem uma grande idéia para fazer uma pergunta?	E alguém te chama ou fala com vc e faz vc esquecer da pergunta que vc iria fazer ?   Como vc fica?
20090120105439AAL3hdN	Yahoo! Products;Yahoo! Answers	Quem fica no yahoo respostas o dia inteiro, pode ser considerado sedentário, ou n?o...?	Antes que alguém pergunte, Sedentário é a Pessoa que se exercita pouco, que é inativa.  Passar o dia sentado é ser sedentário, sabia?
20090111114251AAuYJSu	Yahoo! Products;Yahoo! Answers	Me diga: O último Melhor filme que você assistiu?	N?o sou boa em escolher filmes...alguém pode me sugerir alguns?      Obrigada
20090129070655AADOqDS	Yahoo! Products;Yahoo! Answers	"A melhor defesa  o ataque" ? Ser mesmo  ?	Voc j se defendeu atacando? Deu certo ?   a melhor defesa mesmo ?      * Isso  uma pergunta e n?o uma afirma??o.
20090129074614AA7aDBe	Yahoo! Products;Yahoo! Answers	Você diz  que n?o assiste ao BBB pq quer parecer mais inteligente? (leia os detalhes p/ melhor entendimento)?	Pergunta inspirada em outra pergunta do meu amigo Filósofo e Poeta.      Ele levantou a quest?o de que o horário do BBB é o horário com o maior índice de audiência na Globo.        De onde vem tanta audiência se quando é feita essa pergunta quase todo mundo  diz que n?o  assiste ?       Você diz que n?o assiste por que quer parecer mais inteligente ? Ou você realmente n?o assiste?      Ps: é uma pergunta e n?o uma afirma??o e minha opini?o n?o está expressa na pergunta.
20081127063052AADtaby	Yahoo! Products;Yahoo! Answers	"água mole em pedra dura, tanto bate até que fura" ?	Minha pergunta é >>>  Alguém já te venceu pelo cansa?o ??      Alguém já insistiu muito e você acabou cedendo a pessoa ?      Seja no ambito amoroso,  religioso, comercial (rs rs rs ) ou qualquer outra coisa.
20090105181444AANH3gN	Yahoo! Products;Yahoo! Answers	Voc j teve a impress?o de que voc apenas existe?  Ser que realmente vc  vive ?? ?	Existe uma enorme diferen?a entre ver e enxergar, ter e ser, ouvir e escutar, andar e caminhar, desejar e querer...    E descobri tambm que h uma enorme diferen?a entre viver e existir ...    Esses pequenos exemplos remetem as seguintes reflex?es:     Existir  mesmo que passar  pela vida sem te-la vivido, a pessoa que apenas existiu, esqueceu de fazer a sua histria...    Viver  realizar se plenamente, viver  amar sempre e sempre, viver  se entregar...    Hoje acordei com a impress?o de que apenas existo...    Como mudar isso ? ? ?
20090112094248AAx95kx	Yahoo! Products;Yahoo! Answers	Você faz   no mar quando vai à praia ? ?	Tem gente que fica com pregui?a de sair de dentro d'agua por que o banheiro está lá t?o "longe" ...      E está um sol de lascar e aproveita e faz seu xixizinho lá mesmo em alto mar...      Com pregui?a de ir ao banheiro t?o "longe". (rs rs rs)      Você é um desses ?
20090125131055AARt9b2	Yahoo! Products;Yahoo! Answers	Gente to muito triste agora =( !!!!?	Eu tinha postado uma pergunta assim " vc gosta da Amiga Dos Lábios Doces?" e hoje eu ia estender o prazo, mas sem   querer me desequilibrei e cliquei em ir para vota??o=/   to muitoo triste!! Queria pedir desculpas e agradecer o carinho   de todos?!      Será que n?o tem como eu reverter esse caso??
20090120115202AAgg8lW	Yahoo! Products;Yahoo! Answers	Além dessa categoria, qual mais eu posso obter mais respostas?	Creio eu, que as pessoas que postam perguntas   nessa categoria, tem  chances de ter mais   respostas em suas perguntas, pois aqui circula muita   gente, mas além dessa, tem mais alguma que seja parecida   aqui no YAHOO??
20081222114222AAOZKzb	Yahoo! Products;Yahoo! Answers	Quando vc faz uma pergunta e alguém responde de uma forma que te ofende, vc denuncia?	Gente vou confessar que, quando alguém me ofende numa resposta eu denuncio!!!! pois, fariam o mesmo comigo , caso eu tivesse a mesma atitude..   O que vcs acham? To sendo errada??
20090123113014AAQcXUP	Yahoo! Products;Yahoo! Answers	Você mantém as a??es fechadas na sua conta?	Ou as deixa abertas pra pessoas verem??   Tem algo à esconder?   Abra?os e n?o esque?am daquela linda estrelinha no canto esquerdo da pergunta *-*
20081223135042AAzFR6L	Yahoo! Products;Yahoo! Answers	Vc conhece a brincadeira da salada mista?	Pêra:Aperto de m?o.   Uva:Abra?o.   Ma??:Selinho.   Salada mista:Beijo de língua..............      Qual desses vc oferece ao avatar a cima de vc?      é só brincadeira hein.........sem falta de respeito!      Uma ma?? a todos vcs.
