20090128210749AAF2URO	Cars & Transportation;Car Audio	What kind of door speakers ?	what kind of 6.5'' door speakers would go good with 2 kicker cvrs?   for around $100
20090129032551AAlc7oG	Cars & Transportation;Insurance & Registration	Please Help i need advice?	had an accident about 3 weeks ago and it was not my fault. I was hit from the rear. Ever since then i have had a sore lower back, left butt cheek and pain shooting straight to my ankle which in turn has made my lower part of the ankle and last three toes slightly numb and tingly. I have been going to chiro for the past couple of weeks and see no improvement. I had X rays which said i have mild scoliosis (which is obviously not from the accident) but also my pelvis is not aligned and the reason for my pain in my left but cheek to my ankle is from a nerve.. Some days i can not get out of bed and i have not been able to sit down or even drive a car i always have to lie flat so there is no pain. Its like a cramping feeling all the way down. Could this be from the accident ?? I do not have ANY history of any back problems and am healthy as a fiddle and this all started a day after the accident, but not as bad as what it is now. Do I have a case if i bring it towards my insurance company. I have also had about 2 weeks off week and am still off as i work in a call centre and my job is to sit down which i cant and also can not drive there. Please Help guys should i seek legal advice as this has already cost me alot in chiro bills etc.. also with the nerve damage, pelvis alignment and scoliosis is that likely to stay with me? not sure how i would go with making a compo claim as im scared this may haunt me in the future. Also im not sure with the scoliosis considering i have never had any back issues what so ever in my life and the accident has triggered it earlier, if they would take that into consideration and with the nerve i mean is there any way of telling whether it will ever come back??
20090129035255AANbEgd	Cars & Transportation;Motorcycles	Motorcycle for 5"9 guy?	will i be able to drive a super bike   i am 5"9 .Am i too short for it?
20090129035044AAws5jg	Cars & Transportation;Other - Cars & Transportation	How should I prepare for HAZARD PERCEPTION part of DRIVING THEORY TEST?	Hi there, I just want to know the clicking strategy. I was told I should click a few times per hazard to avoid missing the 'point scoring window'      Is this true. Please advise me thank you
20090129033605AA1SAqF	Cars & Transportation;Other - Cars & Transportation	Public transport to Sunbury...?	I have to go to school in Sunbury everyday, but i dont no how to get there. I live in sunshine, how would i get to sunbury? would i have to catch a vline? or is there other ways?
20090129034218AAcWIvN	Cars & Transportation;Motorcycles	OMG What the hells going on with fuel prices again!?	GOOD GRIEF!!!!!! we get a little relief from fuel prices for chrissy "then" just as I thought, the mongrels are putting it back up at record speed. Isn't it funny how when it's going down, it goes down by 1c here and there but when it goes up it goes in units of ten! Come on alternative fuels I reckon. Can't wait till something like hydrogen technology improves so we can stick it up the fuel and oil companies. These dudes have been dictataing the scene for too long. Anyway now I've had me winge! How was your day honey? lol.
20090129032749AAhb2nr	Cars & Transportation;Other - Cars & Transportation	Can normal Alcohol be added as an additive in the petrol tank of an automobile ..?	in a bike or a car
20090129033120AAhGdI3	Cars & Transportation;Maintenance & Repairs	What is the use of fuel in engine?	N/A
20090129033735AAVAbqC	Cars & Transportation;Rail	From Kalka to Shimla what will be better Train or Buss/Cab?	Dear Friends, Just can you help me just i know from kalka to shimla what is better for travel? and what is normal rate for train and buss plz give me tickets rates       1 - train (normal & Ac)   2 - Buss fair    3 - Cab/Taxi        we are total 10 peoples   plz give me good answer. i am waiting for your reply
20090129035239AALLzh8	Cars & Transportation;Motorcycles	Scooter won,t start   could it be just the battery?	03 peugeot jetforce,  it was starting grand, was lying up for 3 days now it wont start  when i press switch the lights dim, can hear a sort of buzz/clicking  noise but won,t start (no kick start on it) i charged the battery, wondering if it needs a new battery, old one might not be holding the charge  or would it be more serious    any help be great thanks.
20090129035448AAOZlCD	Cars & Transportation;Car Audio	Citroen Xsara audio wiring enquiry?	I have a 2000 Citroen Xsara and have removed the factory fitted radio because I wish to connect my JVC CD player, I cannot afford the connector kit and therefore wondered if anyone knows which colour wire is which in order for me to wire it up myself.
