20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20090220094331AA86Wwf	Society & Culture;Languages	What nicknames can you call someone who is called 'Issac'?	N/A
20090220082635AAxsKSv	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Has Society in the last 25 yrs ,has it made women dumber?	Do you agree or disagree ?         please , at least give me one example of daily life you can relate it to..      I need some info because for this is a topic i chose to do for my college class ...thanks in advance
20090220090314AAlxvsl	Society & Culture;Languages	I need help with English!!!!!!!!!!!?	Hi guys, please help me, I need to know what the verb " to creep" means in this context:      " I creeped your pictures and I liked them".   What does " to creep" mean ????      And then:      Tonight there was nothing on TV so I kept flipping through channels.      is it correcto to use " to flip " in this context?      Can I say" I am flipping from a job to another since I don't have a steady one"?      thanks for your help   :)
20090220082355AAoCebL	Society & Culture;Etiquette	Gift idea for my dad's 50th?	My brother and i were thinking about putting money together and getting something extra special for my dad' 50th. Anyone got any idea's or websites that i can look at? thanks
20090220091152AADArF1	Society & Culture;Languages	Help with translations from English to Spanish?	can you please translate all this for me...oh...this is not my homework....i need to talk to a person and i need to know all of it...      --This summer I'm traveling to Russia.   --I'm going to see my grandpa.   --I haven't seen him for over five years.   --I missed him so much.   --And finally i get to see him.   --We are flying in a airplane.    --I'm setting in a window seat.    --I can't wait to meet the Pilot.   --Unlike my sister i don't pack a lot of luggage.      I know it's a lot of translations but, please help me out....thanks...don't for get the accents...
20090220083840AAxd5qX	Society & Culture;Religion & Spirituality	Is this because of Allah's blessings on this Islamic nation !!?	I forgot to mention it Is even listed in " Next Eleven " List in which even India is not present ;   have a look :    http://en.wikipedia.org/wiki/Next_Eleven... 
20090220090052AAUQuZG	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Being emo... CONFUSED!?	Okay I'm 15 and I love the Emo style the emo pictures on photobucket and everything, so I kind of considered myself to be a little bit emo, when it comes to style. I read a question, heres the link.    http://answers.yahoo.com/question/index?...       I mean people are calling them a fake and everything but I don't understand how. Even a person who is to be considered the most emo person, wasn't always emo. So the person who asked the question I posted the link to, to me still can be emo. This isn't really a questions so much, just a debate because I think they can be emo still without cutting their wrist or anything, their just smart not to cause them any damage. Anybody agree? I really don't care if you don't it won't hurt me at all.
20090220082142AALTAMF	Society & Culture;Languages	Can someone please translate  this to ancient latin?	Life as a string, at the mouth of the cave,    She will measure the width and height when the cave spits   Death comes with filthy sheers and plans
20090220082423AAuYZ9e	Society & Culture;Religion & Spirituality	Do Buddhism believe in angels, demons, spirits and that kind beings?	I am curious about this matter.... Do buddhists believe in those spirits, or supernatural beings in any way?
20090220090230AASPLzS	Society & Culture;Languages	How can I write this in Korean?	My mother owns a Tae Kwon Do school, and she wants to modify the black belt certificates.  The name of the school is Kroells Karate Clubs (although it is actually Tae Kwon Do that she teaches).  I do not know if on a certificate you would want to translate the pronunciation or the spelling?  I got three different answers for Kroells:    ??????   ????   ???    Which would be correct?  Also, these are the translations I found for Karate and club:   ??? ??   And for Tae Kwon Do:   ? ? ?      Could someone please tell me which of these are correct?  If they are incorrect could you fix them for me?  We just do not want it to be wrong on the certificates.      Thanks so much!!
20090220082031AA5okR4	Society & Culture;Languages	Hiiii, someone want to chat with me (i'm not english)?	Hiiii, someone want to chat with me (i'm not english)?   I will improve my english chatting with someone on messenger.   My MSN Messenger contact is: sladone@hotmail.it   I hope that someone add me!   Byeeeeeeeeeeeeeeeeeee! Sergio.
20090220083245AAgFkRt	Society & Culture;Languages	Can you translate this to Jelszó mégegyszer english?	N/A
20090220083825AA6H1fd	Society & Culture;Languages	Translation of this? Is this Spanish?	"A far l'amore comincia tu"      It's a song.   Is this Spanish? Cause it looks like a mix of ENGLISH (A far), FRENCH (l'amore => l'amour), ...
20090220084217AAb0hMq	Society & Culture;Mythology & Folklore	My santisima muerte candle split down the middle anybody know the meaning ... serious answers only please?	N/A
20090220084246AACPqbQ	Society & Culture;Other - Society & Culture	Random Question??????????????????????…	If I ran out side a gave a bum $5 would that be the same a feeding a stray dog and make him mine???? LOL!      You know how you feed the wild stray animals and then they always come around and hang around the house waiting for you to feed them again.... and so my mom used to always tell me not to feed the wild loose animals around the house because then they'll always hang around and then they might as well be mine now.. because you fed them. LOL!      P.S. Just for the record though.didn'tidnt go outside and give him any money.. but the though did cross my mind and right behind that was repercussionsions of if I do that and sdidn'tidnt do it.
20090220084423AAwdkWe	Society & Culture;Mythology & Folklore	Misfortune shows those who are not really friends.?	what does this quote mean
20090220085157AA2O5Xy	Society & Culture;Religion & Spirituality	Help me?! I think there's a spirit?!?	Ok, I didn't know where else to put this question. Amanda, Hannah, Danielle, Kris, and I were at my friend Christina's house. Christina wanted to play the ouija board. So we did. We asked if there was a spirit there, it pointed to yes. We asked if it was a boy, it pointed to yes. We asked what his name started with, it pointed to C. I asked if his name was Chris, and it pointed to yes. We asked when he died, he said, 1985, and we asked how old he was, he said 18. So then, someone calls Christina's cell phone, it was a restricted number. We heard breathing. Someone called Amanda's phone, and we heard, "I died in a car accident." We began to get freaked out, we knew it was Chris. Then he called my phone, and we heard a piano playing. He called Hannah, and he was playing piano. He called every one of us, except Kris, because he didn't have a cell phone. Then, he called Amanda's phone, she said to me, "Beth, he wants you." And then I took the phone, and Chris was like, "Where's Beth?!" and then he hung up. We thought Beth was his girlfriend. So I was like, "But I'm only 13!" Then we asked if Beth was his daughter. It pointed to Yes. We asked how old she is, he said 13. We started to get freaked out even more. He kept calling us saying, "Where's Beth?!". Then, I had to go home. He called me again in the car, and I was like, "I'm sorry, I have to go." My dad was like, "Who was that?" I was like, "I didn't know." And he was like, "Well, then don't answer it!" Then he called again. I had to press Ignore. I prayed that Chris's soul would be put to rest, and that he would stop contacting us. I signed on AIM on my phone. My friend Amanda IM'ed me saying, "were's beth!!!!!" (exact spelling). I thought she was trying to scare me, but she said she wasn't on that night, and my phone signed me off of AIM. Then, Christina tells me someone with the sn unknown1985 IM'ed her asking for me. Chris has stopped calling me, but I don't know if he will continue. He keeps calling Christina. What should we do? Should we see a priest?
20090220085528AAMhA6p	Society & Culture;Languages	If anyone asks a question which starts from "How come------?" so what does this question mean?	N/A
20090220085642AAvYIye	Society & Culture;Cultures & Groups;Other - Cultures & Groups	How to organise a lolita meet-up?	I want to organise a lolita meet-up in Columbus, Ohio, at a date most convenient for everyone involved. I thought a good place to meet would be the Zen Cha tea salon. My question is, how do I get the word out and get people interested? I'd like at least 3 people to come and no more than 9. I need a good place to advertise this. By the way, if you are interested in coming to the meet-up, please email me at krl713@yahoo.com and put "meet-up" in the subject line.
20090220090256AAkV9vl	Society & Culture;Languages	How to translate "play loud" into italian.?	I know hard/strong/loud will translate(musically)  into "forte" but I cannot find a good translation for play. Play as in the alternative verb for "perform". i.e. "sing loud, Play loud". I want the translation to be grammatically  correct in Italian.
20090220090259AAvd5WU	Society & Culture;Mythology & Folklore	What happens when a black person gets bit by a vampire?	It's a confusing conumdrum posed by a person sitting to my cardinal direction. What happens? Does their skin get lighter, to the point of a normal vampire? Or do they turn to a regular caucassian person, with no traces of vampire powresses?
20090220090412AAqnjUc	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I am quite possibly the worst gay guy in the world?	I have taken so much from the LGBT community, they helped me in the coming out period, when I was coming to terms with myself and other stuff like that. But I have given nothing back, and I feel bad. What can I do? I want to be more involved in the LGBT community, are there any organisations that I can volunteer in? Or something like that, any suggestions.
20090220090800AAXVI2S	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	My Girlfriend and a another woman?	Me and my girlfriend have been dating for over 6 months.  We are happy and having great sex.  We watch porn (lesbian and straight) and talk during sex about other woman.  First I need to give background...I am my gf first real male relationship.  She has dated guys but nothing serious.  She has had a relationships with another woman during high school.  She has not been with another woman since high school which is around 4 years ago.  She was in that one relationship with the female for about a year.  She tells me it was just a phase and that she is striaght and she wants to be with me.  So of course I asked if she would be into a threesome.  She told me that she was unsure.  So background on the another person, this would be the other girl I want to include.  She works with the both of us and is bi-sexual.  She has a boyfriend (she does not want him included in the act).  She also has had relationships with other woman.  So I thought it would be a good fit to ask her to join us.  My gf said she would have to see and the other girl said yes right away.  After a few days of talking to the both of them they both state they would feel more comfortable with just the two of them for the first time.  My gf said she is not looking for a relationship except with me and the other girl just wants sex with my gf not me.  Which is just fine with the two of us.  I just want to watch my gf and this girl and have sex with my gf.  I am fine with them doing things alone for the first time but my question is I am concerned that they will continue to do things either behind my back or without me all the time.  Should I just cancel the whole thing or let the first time happen without me and go from there.  We have shared pictures and videos and everyone is set.  I am just having reservations about them two alone.  I guess I shouldn't complain if this is kind of what I wanted from the start.  I just want to make sure I'm included.      Were do I go from here?
20090220091454AAWlD9s	Society & Culture;Languages	What was that???? Please answer?	yesterday i woke up with really bad stmach ach and felt so sick i then had dioreha - ( spelling) but ws sick only once.. when i was sick it was like hardly nothing just white thick flem.   do u think it was a bug or some kinda of food that upset me.   it lasted only few hours
20090220091854AA8PKSD	Society & Culture;Etiquette	What's the best rule of thumb you can give me for taking a trip on a cruise ship?	N/A
20090220092010AAGU3oV	Society & Culture;Languages	Is their a high demand for Medical Translation?	If so, how do you get into it? (besides becoming a doctor)
20090220093016AAERKlD	Society & Culture;Religion & Spirituality	Has i been disproven that Christianity is a myth borrowed from many other ancient religions and dying God tale?	N/A
20090220093240AALJ1hu	Society & Culture;Languages	Spelling ... English ...?	Hi! ... I am 14 years old and i want to check my spelling . I want to see if i understand people who talks with British accent. If you have a microphone and if you accept to spare a couple of minutes, this is my id : simplymiim >:D< thanks.
20090220093320AAfI3he	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Am i lesbian or not ?	well im 14 and lately im feeling curious for girls ive been on redtube lookin at girls and at them moment its making me curious but around here i have the feeling i wont be able to find a girl my age to be my lesbian partner any help ?
20090220093451AAWweKH	Society & Culture;Languages	How do you say "he/she has" in Japanese?	If "watashi no" is the posessive statement for "I have" when referring to yourself, what is the posessive statement for "I have" when referring to another person? IE, He/She has X brothers and sisters, etc.
20090220100047AAWBwN1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	My boyfriend was interested?	My boyfriend was interested in me. He says he pretty much lost interest. We are hanging out today. It's kinda the "make it or break it" hang out....          Any ideas on what i could do to make him interested again???   He's like the best thing to ever happen to me :(         We are both 16 y/o and male and have been dating for about 3 weeks
20090220102522AASCZKD	Society & Culture;Religion & Spirituality	How did Jesus prevent his cocktail from spilling when he ascended to Heaven?	N/A
20090220095941AAm1SAr	Society & Culture;Holidays;Ramadan	So in your opinion; what is more precious than doing namaaz  (prayer) and fasting?	Im going to break my fast =D      Peace x
20090220100402AAne5ku	Society & Culture;Religion & Spirituality	THe differences between homosexuality and every other sin...?	I was contemplating why homosexuality is such a huge issue compared with other sins, then I figured it out: Homosexuality is the only sin that has absolutely 0 impact on your life.      Fornication: say what you want, but there is something special about saving yourself for marriage. Whether you think this is positive or negative or not, you must admit, it has a huge impact on how you live your life.      Adultery: cheating on someone is bad.      Stealing, murdering, not honoring your parents, greed, etc. All speek for themselves.      Heck, even the OT laws made sense. Tribe size was important, so all the laws were to keep people fertile and healthy.         However, homosexuality is the only "sin" that does not negatively impact someone's life in the least. One can be a Homosexual Christian who goes to mass every week, saves himself for marriage (assuming he can get married), then has a loving, lifelong monogamous relationship. He is free to follow every single one of God's commandments.      So why is homosexuality so different? Well, when you read a little closer, you can see. Jesus fulfilled the OT laws, so you can reject those, but the ones in the New Testamtnt seem to be strange, too. Seems they are probably a mistranslation:    http://en.wikipedia.org/wiki/The_Bible_a...    (Sorry about the Wikipedia reference, but this information is common knowledge for scholars, and it DOES sum it up rather nicely)         So, homosexuality is different from every other sin, and could be in the Bible as a mistranslation...Could it be that maybe it is not a sin after all?
20090220095642AABcIyP	Society & Culture;Religion & Spirituality	Why Should I Trust God, After What Happened To Lucifer?	Christians often cite Ezekiel 28 as a description of Lucifer before he fell.      In this description Lucifer was the “cherub” that covered God’s glory.  He had built-in musical instruments that expressed the very glory of God.      If God created Lucifer, and God created you and me and everybody else.      And when God created Lucifer, I’m sure that Lucifer trusted God to some extent.      Lucifer was created with free-will.      The Bible says that sin was “found” in him – and immediately Lucifer was cast down and every imaginable horror and indignity was brought upon him.      Not only this, but 1/3 of the angels in Heaven apparently thought this was such an injustice that they joined Lucifer.        Every Heavenly creature was close to God – with Lucifer being the closest.      They saw God in a way that humans do not see God.  It was not through a ‘glass darkly’ rather more like face to face.      If GOD is so wonderful, fulfilling, completing, secure, safe, trustworthy, loving, then why?      What did Lucifer and 1/3 of the angels in Heaven see that made them CHOOSE something else?      GOD obviously made them.  God knew what the challenges of free-will would present.      “POOF!” all these Heavenly creatures suddenly appeared in Heaven.  They had jobs, like, Lucifer did, making music, etc…  I’m sure every job had something to do with praising God.      So God created beings, with Lucifer as an example, for the express purpose of GLORIFYING HIMSELF.      But something went wrong, didn’t it?  Suddenly, it became rather ridiculous doing this 24/7.  Because GOD put into these creatures this thing called FREE-WILL – (AND most important, that even though they had free will, they HAD to use it to PRAISE and WORSHIP GOD).      And the same is true today.  We were created - by God - with free-will also.  BUT the catch is, that we MUST use it the way GOD wants us to use it.      If free-will is the hallmark of God’s exemplary love for His creation, why is it that it is the sole instrument for every imaginable evil?  When God created free-will, did He not know all of the evil that would be spawned as a result?      If GOD merely demands eternal PRAISE and WORSHIP, why did He not simply create robots?  That way, GOD’s exemplary LOVE would not have caused so much suffering?      Is is not true that if you love something, you set it free?  Was Lucifer ever truly loved?  Was Lucifer set free, when Lucifer decided to use his free-will for something other than ceaseless praise of God?      It is my Biblical opinion that Lucifer and all the angels who used their free-will were not loved, or set free, but merely enslaved. (according to the Biblical narrative).      A man who is set free is nothing but a freed man – a dog, dragging a piece of chain behind him.      Can you explain this?
20090220095801AAB9bkV	Society & Culture;Etiquette	Question about tipping-is it required when...?	do you tip the cashier of a sandwich shop who takes your order but stays behind the counter the whole time? she doesn't wait on your table, you come up to get the order when it's called.    if service is exceptional, tips are always in order (in my opinion) but if it's just a run of the mill, pleasant but nothing special transaction, are tips expected anyway? i ask because i usually pay in cash, but the other day i used a debit card and the receipt had a space for tip. it suprised me - i used to be a waitress and i'd feel horrible if i've been shorting these poor cashiers for years!
20090220100922AA2U6Z3	Society & Culture;Religion & Spirituality	? In your opinion what attributes qualify or disqualify a writing as being "Divinely Inspired?"?	I am not asking for a sermon or your personal religious beliefs on the afterlife (though IF you kindly could state religious affiliation, or lack thereof that also would be helpful).       I simply desire your PERSONAL OPINION on the matter. There are no wrong answers.       Upon the presumption that there does exist such a thing what attributes/characteristics would qualify that writing as being "Divinely Inspired." How would you qualify a document as being authentic whereas it concerns Divine Inspiration?      Upon the presumption that such a thing does not exist, what attributes/characteristics would thus disqualify that writing as being "Divinely Inspired."    How would you disqualify a document as being authentic whereas it concerns Divine Inspiration?      This is not meant to be an argument for or against the existence of God or gods, (though i suppose personal spiritual beliefs would play a part in the qualification or disqualifications listed) this is simply a general inquiry as to the methods used by others when qualifying a document in such a fashion.       PLEASE be respectful of the beliefs of others even if you disagree. And, as previously stated there are no wrong answers.      Thanks. xoxo ?
20090220101414AAn0tuI	Society & Culture;Religion & Spirituality	"Christians, if your son committed first degree murder, would you lock him in your basement and torture him...?	".....every single day for the rest of his life?"      I am a Christian and the following question was asked by an atheist (I do have a question at the end).       Here is my rebuttal to that argument:      I would NOT do that because it would be morally wrong.      If God decides to "torture" people by indirectly sending them to Hell, however, it would be morally justified though for a few reasons:      1) The "torture" is a PUNISHMENT for doing bad things. He recieves NO enjoyment from this and he honestly does not want to do it. This is why he gave us the free gift of Jesus. If someone refuses it they ONLY have themselves to blame.      2) God created us and he has a right to do what he wants because he has INFINITE wisdom and all the facts.      3) God does and should have a different set of morality then we do because his ways and understanding are HIGHER than ours. If I would to do the same exact thing it would NOT be right because it is NOT my place.       Would it be right if I personally sent you to prison if you did something bad?       OF COURSE NOT. I am NOT a JUDGE.       The only judge is God.      Anyway, what is your rebuttal to that atheist quote?      I think it completely ignores the fact that we have different standards of who can do what in our society. ONLY a cop can arrest someone. ONLY a judge can sentence someone. ONLY God can indirectly send someone to Hell.
20090220095241AA0CB6I	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is it wierd for a Pakistani girl to be bisexual?	I'm 14 and Pakistani but I think I'm bisexual, I live in a Pakistani community in London, if people find out then their gonna be talking about me, everyone in school will know, every other school in the borough will know and then everyone in London will know and I wont be aloud to hang around with them. I'm gonna make Pakistanis look bad because I'm bisexual????????
20090220103818AAwLXER	Society & Culture;Religion & Spirituality	When Christians are nice to Atheists, why do Atheist delete their question?	N/A
20090220102717AANsGFQ	Society & Culture;Cultures & Groups;Other - Cultures & Groups	For men who condone hitting women: Was your mother or other women in your life hit by their men?	N/A
20090220095302AAbk08t	Society & Culture;Religion & Spirituality	Do you think Islam will conquer the Netherlands?	Islam is something that scares me more than anything else.  I've asked this question about us here in the UK, what do you think about Islam in Netherlands?
20090220103002AAA2VTL	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Do you think America have started to change itself closer to Iran?	In my country, there's a saying that if you hate someone, you're going to be at least just like the person that you hate, or even, worst than them.      With this homophobia discussions, aren't America have becoming more like Iran? I mean, about the reactions of the people towards homosexuality. Right now, it's only rallies, discussion, demonstration and stuff. But once those fundamentals took the political stages, things will be much harsher. Execution and exile. I mean, America have already a history of doing those things in the old days about the African-American movement.      But more importantly, do you want to see America to be like Iran?
20060928170655AAUQXnk	Society & Culture;Religion & Spirituality	What do you think of "Jesus Camp"?	TRAILER :  http://www.imdb.com/title/tt0486358/trai...       Should we be indoctrinating kids with beliefs about abortion and politics when they're too young to understand such complex issues?      Seems the right will stop at nothing to force the world into their little boxes of beliefs.....
20090220101956AAkvoJg	Society & Culture;Religion & Spirituality	Which group has true Jesus?	N/A
20090220101024AAhg0mh	Society & Culture;Holidays;Ramadan	Muslims leave NON muslims ALONE please!!?	 http://www.youtube.com/watch?v=dfT9W_qtx...    Can you watch this please, but only if you want to, cause its very useful info.      Jazakallah bros./sisters
20090220095038AAfzkN5	Society & Culture;Holidays;Ramadan	Ramadan: I want to see heaven and hell.....do you?	Take a look at this blog, its not long but its very nice, so can you check it out? If you like here is the link to it:::::: http://uk.blog.360.yahoo.com/blog-NJXg9X...    Or you can just read it from here, although the blog makes it look nicer...      A man was having a conversation with Allah one day and said,    ' O Allah , I would like to know what Jannah and Jahannam are like.'       Allah led the man to two doors.       He opened one of the doors and the man looked in.       In the middle of the room was a large round table. In the middle of the table was a large pot of stew, which smelled delicious and made the man's mouth water.       The people sitting around the table were thin and sickly. They appeared to be famished.       They were holding spoons with very long handles, that were strapped to their arms and each found it impossible to reach into the pot of stew and take a spoonful.       But because the handle was longer than their arms, they could not get the spoons back into their mouths.       The man shuddered at the sight of their misery and suffering.       Allah said, 'You have seen Jahannam.'       They went to the next room and opened the door. It was exactly the same as the first one.       There was the large round table with the large pot of stew which made the man's mouth water.       The people were equipped with the same long-handled spoons, but here the people were well nourished and plump, laughing and talking. The man said, 'I don't understand..'       It is simple,' said Allah . 'It requires but one skill.       "You see, they have learned to feed each other, while the greedy think only of themselves.'       Subhan-Allah....there is a very important lesson to be learnt here!      ALHUMDUILLAH!      From the One and Only Abdul-Hasib
20090220101807AAq3ge4	Society & Culture;Other - Society & Culture	If you could spend the day with anyone in the world who would it be?	(And what would you do?)      :)
20090220102329AA860hS	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do people on here?	Get questions removed from here ? Does someones anonymous, nameless and faceless comments really bother you that much ?
20090220094745AAczVQ6	Society & Culture;Religion & Spirituality	If we say something that Paul said, isn't that speaking Ex Cathedra?	As in, if Paul said that Jesus is the Son of God, and we say it. Doesn't that mean what we spoke was infalliable, thereby making us speak Ex Cathedra?
20090220102148AAtuYwu	Society & Culture;Religion & Spirituality	Did Jesus transfer the Keys of Heaven over to Paul since Peter messed up?	As Paul said:   "You are a Jew, yet you live like a Gentile and not like a Jew. How is it, then, that you force Gentiles to follow Jewish customs?      And then ever since then, Paul said preached about us not having to do the things Jews do. And that was bound in heaven since we believe it here on earth.       So since Paul is the only proof we have of something being bound in heaven and earth, didn't Jesus take the Keys from Peter and give them to Paul?
20060924082505AAJFFmg	Society & Culture;Religion & Spirituality	So, in reality, God is just a cosmic fisherman who lured Christians into his net?	to keep them there until it's time to take them home and eat or sell them?    The net is called limbo, by the way.
20090220101034AAUAI1x	Society & Culture;Other - Society & Culture	Are you at home sick?	I am... exhausted and ill.   Drinking lemon tea and medications.    So what are you doing?
20090220095934AAWiBso	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	The time that I've taken...?	...I pray is not wasted, have I already tasted my piece of one sweet love?
20090220094412AAHFj6L	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Are there different shades of you?	N/A
20090220101352AAPuIIt	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	When you first left...?	...me, I was wanting more. But you were f***ing that girl next door, whatcha do that for?
20090220100706AAgtWxP	Society & Culture;Languages	Any ideas where i can watch/learn makaton for free?	Hi, I work at a nursery which uses Makaton, and am looking for a good website that could help. All the links I have looked at just say there is a dvd you can buy, but don't actually show any clips etc.
20090220101854AAOcoVB	Society & Culture;Religion & Spirituality	Islam in America........?	Islam continues to draw followers at an estimated rate of 135,000 converts per year.    Every 5th person in the World is Muslim.       There 6 million Muslims in America, and rising.       At the rate that Islam is spreading, demographers predict that by the year 2025 one out of four people in the world will be Muslim.      Islam is the 2nd largest religion in the world.      Women convert 4 times to every 1 male in this country.       So what are your views on this stats?   If Islam is so violent why are there are so many American converts?
20090220102546AAUveJm	Society & Culture;Cultures & Groups;Senior Citizens	How can you tell when a person has a chip on their shoulder??Do you think they may be Red and hard Core?	N/A
20060712171308AAkfpRi	Society & Culture;Religion & Spirituality	Are there two Holy Spirits?	acts states that the holy spirit came but none of the things that Jesus said that the Holy Spirit would accomplish were completed at that time. Jesus said the Holy Spirit would prove to the world they are wrong about sin, righteousness and judgement in the gospel of John.
20060918120058AA9SPVm	Society & Culture;Religion & Spirituality	Am I evil?	I am man      My mother was a witch,   She was burned alive.      Savvy?
20061111212200AAIXY78	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Who in the Gay community is waiting for Mr. or Ms. Right before sleeping with anyone?	When I first came out (15 yrs ago), I had high ideals.  I was going to date and hold out for the love of my life.  Then, I got tired of waiting, and decided to give in to my overwhelming biological urges!  Eventually, I ended up drinking, then drugs, bathhouses...  Always leaving very lonely.  Now that I'm approaching 2 years clean, I find myself in the same predicament all over again.  Wait for the right guy to come along... but I feel things aren't moving fast enough.  Dammit, I'm horny, and I want to screw around with not just anyone, but Mr. Perfect (for me).  Does anyone else in the Gay community struggle with this battle between sex vs. love?
20061006142729AATBuIq	Society & Culture;Religion & Spirituality	Is this the complete list of whynotaskdon clones as of 10/06/06?	The list of whynotaskdon clones (there could be more):   whynotaskupsidedowndon:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskdonatello:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskthedon:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskeltondon:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskbindon:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskdonkeykong:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskdonna:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskdonut:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskdonking:  http://answers.yahoo.com/my/profile;_ylt...    whynotaxpimpdon:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskclown:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskdoNAZI:  http://answers.yahoo.com/my/profile;_ylt...    whynotaskdonaldduck:  http://answers.yahoo.com/my/profile;_ylt...    (suspended) whynotaskdonny:  http://answers.yahoo.com/my/profile;_ylt... 
20090220101613AAsBYmS	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How do you put online games onto your website?	What websites can I go on. They have to be free, I don't want to pay. Thanks.      I asked this in the entertainment section, but no one bothered to answer, so I'm asking here.
20090220101730AAFN84T	Society & Culture;Cultures & Groups;Other - Cultures & Groups	If all Asians suddenly disappeared, and Whites and Blacks settle in Asia, will they turn into Asians?	And if so, how long would it take?
20060816000635AAhvJ06	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Question for the girls!!?	if u ever look at porn do u ever go to the lesbian action porn??
20060912164922AAepboD	Society & Culture;Languages	Why is it that a lot of english-born speakers have problems with spilling?	N/A
20060906105900AAGPGKn	Society & Culture;Religion & Spirituality	Jesus...the original socialist.?	I don't get how Christians can vote for Republicans, particularly since if you think about how Jesus tells us to live our lives he was obviously an anti-establishment socialist.  Giving to charity, doing good for the sake of doing good, throwing out all the corruption from the temple, hanging out with a bunch of dirty guys and prostitutes...do you really think that He'd be on George Bush's side on things considering what scripture says?
20090220094605AAg2Vt6	Society & Culture;Religion & Spirituality	What are you giving up for Lent?	N/A
20090220094604AAduPrY	Society & Culture;Other - Society & Culture	Do you fashionable? If yes, how ?, If no, Wow !!!?	N/A
20060625061220AAcVhHG	Society & Culture;Religion & Spirituality	Who is the true god and religion, why are the others false?	N/A
20061105112807AANhbmu	Society & Culture;Other - Society & Culture	Do heterosexuals deserve the same rights and freedoms as homosexuals?	N/A
20090220100806AAnjR5b	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What countries are friends with the US?	N/A
20061030115655AA5TlhC	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I think my g/f likes me more than just as a friend, The other night?	we were at a party, Dancing and having a good time. She rubbed my breasts and aked if I wanted to sleep over her house. She said she wants to explore me sexually. I know she has a b/f and I do also, But she never exspressed intrest in females till now. I just don't know what to make of this.
20090220102716AA3np1U	Society & Culture;Languages	What does this chinese phrase mean?	 http://www.youtube.com/watch?v=QLwF6wEqd...       by the way the video is HSM's Zac Efron in one of his earlier projects: a weird sci-fi thing called firefly where they speak a mixture of english and chinese?!! Anyway it's really funny and I was curious to know what it meant. Thanks!
20090220094543AAbyef3	Society & Culture;Mythology & Folklore	What is your opinion about UFO's in ancient times?	I was checking out this website, and I thought it was pretty interesting how there are ufo's in ancient paintings.  Do you believe they exist? have they been watching us since dinosaur times? "why" do they watch us?  will they come back in 2012...(lol)?       http://lithiumdreamer.tripod.com/ufoart....       just wondering what others think....   thanks =)
