20090220133731AAJWDO5	Pets;Dogs	How Cute is my puppy?	Here's my puppy... her name's Lexie. :D       http://s724.photobucket.com/albums/ww244... 
20090220160118AA341uL	Pets;Birds	New parakeet/budgie help?!!!!!!?	Ok well today I decided to go to Petco and I bought another budgie. After I brought him home and placed him with my other budgie, they started to fight.      Well I'm not sure if it was fighting or not, but the older budgie (he's about 7-9 months old), got close to him and started to nibble on the other ones beak. Then he nibbled on the other ones feathers on the wing and neck.      After I put them in the cage it seemed they were fighting. I decided to separate them.       I also noticed that the new budgie keeps its right eye open, while the other one was closed. He/she still opens it though, but why does it open one eye and keep the other closed?         Also how long should I keep them separated?      The older budgie is a male and I'm not sure about the other one since it is about 1-3 months old.      Oh and only the older budgie was messing with the little one.
20090220160213AANN3le	Pets;Cats	My cat's diherra medince is 8 months old, and open is it okay to give to my cat now?	N/A
20090220160223AAoAvY1	Pets;Dogs	What breed of dog is this?	Okay, so my mom saw a picture of this one dog in a magazine, and she went crazy about how cute it was, and she wants to get one, but she doesn't know the breed.  The link to the picture is below.      Thanks! =)       http://s579.photobucket.com/albums/ss240... 
20090220160344AA3zcOe	Pets;Fish	I've had my fish tank for three days and it smells. Why does it smell like this?	I have a brand new fish tank with two kissing fish in it and it smells really bad. I don't understand why it smells that bad. I changed the water the day after I got it because it was cloudy and my fish looked sad or something. I have a filter and I believe its working but I don't know what is up. I've read that it is because of the tank cycling and the ammonia or something but I'm not sure. These are like my first fish and I want to keep them alive for like ever. Can someone please help me!!!
20090220160351AAvfKkR	Pets;Dogs	What kind of puppy do I get?	I live in a apartment and I'm planning on buying a puppy this weekend. What kind of puppy do I get for an apartment?
20090220161215AAT7bIk	Pets;Dogs	What breed is right for me?	Hi, I'm looking for a dog breed that will fit my family's needs. I have a couple of "answering rules" though, so read these first please.      1. No breed selection quizzes. These only help you see what you would like or need in a dog, and I already know that.      2. Don't come at me with random dog breeds because those are the only breed names that you know. If you do not know, do not answer.      3. Please don't say, "Don't set your mind on a breed, adopt from a shelter." I want to be able to show. And PLEASE don't rant and rave about that either.      That's it for the rules, now for what I want/need in a dog. Read carefully, okay?      PERSONALITY      I need a dog that is a little social, but not as social as a Lab. It needs to be a dog that is semi-good with kids, because it will OCCASIONALLY be around them. The dog REALLY needs to be good with cats. I have 3 at the moment.       EXERCISE      I'm able to provide a 2-3 mile walk every day, and an hour or two of playtime everyday. I'd really like to teach him to fetch. He also needs to be able to swim, since we have a pool.       ETC      I need a dog that isn't a heavy shedder. No major droolers either, mainly because we have a landlord. I'll be at home 3/4 of the day, mainly because I have school. I'd like it to be a one person type of dog that will mainly be close to me, but he should tolerate others too.      Thank you for putting up with me!
20090220160612AAzgMqU	Pets;Dogs	Small dog or big dog?	if you choose one please give me a name of a dog you like!!!
20090220160516AArykvL	Pets;Cats	Is it bad to pick your cat up by the skin on the back of her neck?	I was curious. My brother grabbed my cat by the skin on the back of her neck to pick her up and it scared me and I told him not to, even though I know that as a kitten, their mother does the same. It didn't SEEM to bother her, she's only five months old, but does anyone know whether this irritates them or not?      (: thanks!
20090220160648AAktPY0	Pets;Other - Pets	What should I do for my research project?	I am in the 4-H and I would like to do something on rabbits. Like last year I did it on Netherland Dwarfs. I was thinking about doing something on the health of rabbits and different diseases that they can have. What do you think? Any links?
20090220162307AA2jCap	Pets;Rodents	What do you think I should do?	I have to do a project on rabbits but what about them? What do you think is easiest?
20090220160828AA0w4Kh	Pets;Dogs	My dog has a bleeding flesh wound.  How do I know when to take her to the vets?	I don't know how she got it.  Her fur is gone and it is red and oozing because the other dog is licking it.
20090220161047AAeGmSM	Pets;Fish	Can you put an angelfish in any old tank or something?	N/A
20090220161145AAEcK0m	Pets;Birds	Cockatoo specialists?	Our noisy, destructive, demanding and adorable umbrella cockatoo needs a new home, as my husband has developed an allergy to his dust. He actually belongs to my 14 year old daughter, who is naturally very upset, but we agree that he has to go to someone who knows alot about these birds in particular, has kept them before or still keeps them. We are in West Wales but would be prepared to travel to check out the best home for him.   Any offers or suggestions please?
20090220161202AAUR8qW	Pets;Cats	How long does cat heat last after spaying?	I got my cat from the pound, they forgot to spay her. She went into heat and started SCREAMING for 2 days, her heat cycle is so loud I had to remove her from the apartment and take her to a family members. It is now day 4 I believe, and she just got spayed today. Is she going to keep howling and screaming tonight even after being spayed or does the spaying stop it instantly? How much longer will this go on? Thanks.
20090220162137AAdJ3ue	Pets;Dogs	I'm trying to convince my parents...?	I'm trying to convince my parents I can get a dog but they never listen! I've tried to prove it but they just say 'Well done' and don't do anything more. At the start of the year mum said OK-Yes but now shes saying Maybe-No. What do I do!!!
20090220162454AARwpLx	Pets;Cats	How to make money-I'm 13 years old!?	Ya see, I'm saving up for a kitteh.  I do my chores and my homework without being asked and I'm an A-B student.  I don't get allowance, can't baby-sit (stupid small town where everyone already has a sitter) so what should I do?  I need money for a cat, but it can't interfere with my schoolwork or make it difficutl to finish my chores.  Any suggestions?
20090220163014AAHghHm	Pets;Dogs	I need to know about maltepoos?	I know there mutts i dont need to know that      I need to know like are they nice or mean      and stuff like that HELP!!!!!
20090220162841AA4tM3l	Pets;Dogs	Where is the best place to look for dogs??? (particularly rottweilers)?	my family and i have been looking for a new dog for a while, probably a rottweiler, and we dont know many good places to look for them...   WEBSITES would be the best answers!!!
20090220162755AAnHj8b	Pets;Dogs	When is it safe to let a puppy off leash?	Bella is a 5 1/2 month old Cavalier King Charles Spaniel with lots and lots and lots of energy. We have a small backyard so she doesnt get to run for long distances. We bought a retractable lead and started taking her to the dog park, she stays reasonably close to me and keeps checking that im still there, she comes to be when i call her outside of home, but when i call her inside home she just ignores me, i dont know whether its just because she feels insecure outside the home and wants to be near me or some other reason, but i want to let her off the lead soon. I started letting her off the lead just out in the front yard and she comes back to the sound of shaking the packed of liver treats. She also comes to the sound of her squeaky toy. But i am too nervous to let her off lead at a dog park yet because im scared she wont come back and both of our dog parks are dangerous, one has high cliffs near by and the other has deep water. Any tips in training her to come back?
20090424180934AAW0qbG	Pets;Dogs	Why is my puppy having loose skin?	i have a 2.5months old labrador puppy.she is healthy and active.am feeding her 200grams of royal canin maxi baby a day and still shes having loose skin,am so worried about her.   Thanks
20090424181652AArsWSu	Pets;Other - Pets	Who like the horse botox?  http://www.cedar-ridge.com/sel… 	comments on horse wuld b appreticated
20070828074041AAzplrV	Pets;Cats	Anti-orties animal-friendly?	mon jardin est rempli d'orties le long des murs et des massifs d'arbres, connaissez vous un produit, si possible naturel, pour m'en débarrasser mais un produit qui ne soit pas dangereux  pour mes chats   Merci d'avance
20080926181138AAyCPnH	Pets;Horses	Has anyone used Spray Away/Detangler/Shine On by Mane n Tail? OPINIONS!! =] ?	Has anyone tried Mane n Tail's new Spray Away?? Or Detangler, Or Shine on??       I want to get some opinions!!! 
20081004092121AAK6yO5	Pets;Horses	Problem pls help quick?	My horse had to stay in his stable today and this evening because he was wormed. I gave him hay thismorning, but am not going down this evening. Will he be okay without hay?   It is possible for me to go down if i have to.
20081113155041AA5UB5m	Pets;Horses	My horse is on Cosequin ASU and she does not like it at all,What can I do to make her eat it?	Does anyone know if you can even get Cosequin ASU in a pellet?
20090220053142AAVfMrR	Pets;Rodents	About the creatures gerbils?	why wont my dad let me have a gerbil
20090220102458AAA0Gu3	Pets;Other - Pets	What foods are toxic to dogs BUT not cats?	We live in the country on 15 acres, and had 8 cats all fixed, recently a pit-bull mix has come around and killed one of them on two different occasions. I have asked the neighbor if it is theirs, and was told no.  I called Animal Control from the local city, but was told that the dog would run into the woods and the could not keep sending someone out.  My husband has been bitten by the dog, and we have tried traps. I am at my wits end.  The cats have been kept up in the house now.  But the dog is still a nuisance.
20090220102843AAbYHye	Pets;Dogs	How many puppies does a Cavalier King Charles Spaniel have?	N/A
20090220103424AAk8lDw	Pets;Cats	I have 3 cats and 2 have a bald spot?	I noticed a bald spot on amber's last week but she has quite long fur and it gets matted up easily so I'd just presumed she'd pulled one out. Now Snuffy who has short fur has one on his back.    Neither cats seem to be upset by it, I know its not fleas and had sort of mentally ruled out ring worm due to it bald spot not being round, red or sensitive.    I'd also ruled out stress and OCD because it's on both of them and then not the third.   Does anyone know why this might have happened?   Thanks
20090220104322AAe2xwJ	Pets;Rodents	Worried about guinea pigs?	were do i start my guineas are as good as gold everyday i get them from the garden and sit them on my coat in the sitting room. they sit on my coat quite and just sit and huddle together (4 of them) but today i have them out now they smell slightly different and they are making so much noise sneaking so loudly and not stopping them run away from me and kind and hurt each other because them are clumering un top of each other and when i pick them up the scrabble and hide again1 they have never done this before and started to settle down but they are starting agen now.
20090220104421AAS67z0	Pets;Dogs	Why does my dogs breath smell?	What can I give my dog so his breath will smell a lot better.   I've tried Yip Yaps, and those were a waste of money.    Any treats or something that actually work to freshen his breath?   I love my dog, and his bad breath needs help. :)
20090220153134AA0GerF	Pets;Fish	Saltwater aquarium cycle?	ok, I have been running my 29 gallon aquarium for 7 days now with a damsel fish and a crab, and the ammonia is not going up, what can I do to speed up the cyle.   thaks
20090220153150AAlhabz	Pets;Fish	Will black skirt tetras work out?	my 55 gallon tank has an angelfish, a brown ghost knife fish, and a bala shark,do u think they wont get eaten by the shark? or harrass the angel, im getting 6-8 of them!      the bala shark can reach 14"   BROWN GHOST KNIFE FISH 8-10"      and no, i DO NOT HAVE THE BLACK GHOST ONE!!!!!!!, i know those grow over 20"!!!, but the brown one doesnt!!, 10" is the most biggest size for this type of ghost knife fish.   And please please please, dont remind that the bala shark grows too big and i will need to return it, because i already have a plan for when he grows big, which is selling him because it is VERY rare to buy a full grown bala shark as they grow super slow and take a long time to do so, as well as "they need a school", because i took an hour checking trough all of the bala shark's care profiles websites, and 100% of them told me i COULD keep him alone, but i almost never ignore that rule. so please focus on my question and not on ur comments or opinions plox
20090220150044AAkstWS	Pets;Dogs	My Vet is recommending Eukanuba or Iams...Am I wrong?	I have been feeding good food since I have had my dog two and half years. I started with Wellness Puppy food, then we use Natures Variety for a while. I currently use "Taste Of the Wild" plus I feed a few raw meals a week. Don't worry I am not switching   I was just taken back when the Vet said that the natural foods are really no good. He said my dog could get sick or I can get sick from the food. The only thing I could say is, there is fooling my health. I have had allergies and asthma my whole live. A dog that is feed cheap grocier store food bothers me. For some strang reason a dog that is feed food/raw food does not bother me. I wake up with my Schnauzer in my face. The only time I sneeze is when he is dirty.       So I don't understand how a person reading the ingredients of food says that cheap Iams is better then Holistic foods.
20090220120659AARqaEw	Pets;Fish	Well fishkeepers what would be the opposite of keeping a betta in a bowl?	every day on ya i hear people complaining about bettas in tiny cups at pet stores and i see their point but i was just wondering what would be the alternative besides not selling them at all? and some of you are going to say put a betta in a 5 gallon tank with a heater and filter blah blah blah but then that would cost money. and that store would have to charge more money for their merchandise and then people would complain that it cost too much money. Then i was thinking....put dividers in each tank and put one type of fish on one side and the betta on the other side....but then the other species of fish would be cramped. or mix the bettas in with community fish, one per tank. but some bettas are mean to community fish and some community fish are mean to bettas, and this gives customers a false impression of aquarium keeping (ex. the pet store put a betta in with tetras, why can't i put a betta in w my gold fish). so besides just not selling them what would be your solution to not keeping pet store bettas in tiny cups?
20090220153917AA1AbVC	Pets;Horses	Have You Used Parelli?	I've just started reading up about it. i dont own any horses (i wish!) but I've always been interested in how theyre trained and such. have you any opinions? on this or other natural horsemanship methods =] thanks!
20090220123014AAyuqcv	Pets;Other - Pets	Rabbit hutch problem?	hi,i have 2 baby french lops and i have got a hutch for them and a little  hutch and pen for them that they are fine in just now but when they grow older they will be massive.soo does any body know how big a cage they would need when they are older if you could put a picture of one up for me that would be great !!? pleaaase help later i really  need to move them to a bigger space .   10 points for best answer!!
20090220121206AAICysK	Pets;Dogs	How to keep a dog cool in the summer?	I have a Lab outside and her pen is under a few trees so theres some shade, I was just wondering how to keep her cool when she's in the    sun?..I put ice in her water bowl and give her ice to chew, also I spray the cool hose water on her often.      OH and don't say       "If you love her you'd put her inside!!"    blah blah blah and stuff like that. I DO love her if I didn't I wouldn't be asking this question, would I?         Thankss.?
20090220154832AAMbHxP	Pets;Cats	Is my old cat getting senile?	my cat norman, who is about 11, is very gumpy all the time. hes always been grumpy, but hes getting more grumpy with every year. if hes laying down and you move him, like if i have to make he bed, he meows a bunch and each meow is more angry. he refuses to go downstairs if there are a bunch of people down there or loud noises. when he wants to go leave the room he will stand at the door and meow and when you let him out he starts to walk through before i have to door open enough to let him out (hes kind of fat) so he gets a little squished and sometimes he hisses. sometimes he'll just there standing at us and yell at us and when we open the door he refuses to leave. and we give him plenty of attention. he has trouble getting up the stairs and getting comfortable when he lays down, he is bowlegged so i don't know if its the odd shape of his arms or if he has arthritis or something. he never runs, but when he trys, he looks like one of those kids in gym class that ran all funky. other than that, he is a very sweet cat and i love him. any ideas?
20090220153959AAitAby	Pets;Cats	My kitty always wants water, whats wrong?	She has water available to her all the time in her bowl, but whenever I go into my parents bathroom, she jumps on the sink, you fill up the sink for her, and she just sits there and drinks for like 10 minutes. She is constantly giving us signs that she wants water (to follow her, sitting in front of parents room/bathroom) she is about 8-years old, very tiny (she is the runt of her litter), about 4 pounds. What could this be?
20090220152101AASbHzf	Pets;Cats	I would like to buy a kitten but already have a cat, any advice?	I have a 12year old male cat and i would really like to buy a male kitten. However im not sure if this is such a good idea. Considering my cat has never been outside (indoor cat) and has never really interacted with other cats only a hamster lol which he gets on fine with. Has anyone ever experienced this, if so how did your cat react to the kitten? I imagine it was very territorial, but did it hurt the kitten? Did they eventually get on?       Any help would be great. thanks :)
20090220153828AAmwOql	Pets;Dogs	Dog Dominance HELP!!!!?	Well, this morning a light bulb went off and we figured something out.    We had no idea but Maggie (a pug/rat terrier mix 15 lbs) tries to hump Brandy (7lb chihuahua) and that is what causing all the issues.       I know 'humping' is a sign of dominance. At times there is no warning that it is going to happen.       I need to change this behaviour NOW! and I need your help.       Maggie also humps our new dog but he doesn't have a problem with it and he is bigger so when it bothers him he just stands up and walks away.      My questions: Does Maggie think she is a higher rank than the other dogs?   How do I show her she isn't? If anything I would rather the smaller dog be of higher rank, is this something I can decide or should I just allow Maggie to be higher? If I did allow her to be of higher status would this stop of the fights? I'm worried it would encourage her to do what she is doing.      I'm going to contact a behaviourist but what can I do in the mean time?
20090220114919AAExtJy	Pets;Other - Pets	Where do you buy new born holstein bulls?	I seen once where they sell them for around $15.00 to people that want to bottle feed them. I live in north east Georgia and am wondering if there is any place near here or in the western Carolina area... THANKS!
20090220134828AARxa2z	Pets;Dogs	Why isn't my puppy trained?	I have a purebred chocolate Labradorable Badger (aka Labrabadger).   For those of you unfamiliar with them, you obviously haven't had a lab puppy.       I have taken my puppy to ever class.  Puppy kindergarten, puppy socialization, puppy popularity.  She has also been to sit, stay, down class.  To Advanced sit, stay, down class and get this, college level (in dog years) come here now class.       We have attended every class. We pay attention. I have built up her confidence with play dates with other little badgers, other nice labradors and even a corgi.  I pat her on the head and say good girl. I tell her she's pretty, I tell her she's smart.  I even put her lovely little collar on her with matching leash so everyone knows she comes from a good home with a momma who has fashion sense.       Here are my questions:      After all this training, why does my 10 week old labrabadger still:      Pee?   Bite?   Pee and Bite at the same time?   Look at me and not come when I call her?   Bite me when she does come?   and lastly, scream like a banshee when I put her in her adorable crate with all her toys, blankies and such?      Where have I gone wrong?      I need expert help. Isn't everything solved after training?
20090220145227AAAwqFC	Pets;Dogs	Puppy pottie training help plz!!!!?	i need help with my puppy ok so here goes i have a 11 week old pit bull and shes house train or so i thought she would always sit in front of the door when she had to go and the past few days shes just been going in the house every once in a while she will ask me to go out but most of the time its in the house also i went away for valentines day weekend and i took her with me she was doing ok at the cabin she went to the bathroom out side most of the time but she did go inside to i just thought it was because she didnt know the house and i was wondering if that maybe threw her off i dont know but what ever it is i need help fixing
20090220153218AAStGHy	Pets;Horses	What is the purpose of knee blocks/no knee blocks?	N/A
20090220124536AAI9opC	Pets;Fish	My betta fish only comes out in the dark.?	When I turn the light on over his tank, he just hides in the treasure chest. As soon as i turn the light off, he comes out and swims around. I read that they need light to survive but what is wrong with my fish?
20090220122159AAF1vcK	Pets;Other - Pets	Animal cruelty is sooooooooooo wrong how do I make a campaign to stop it by the way under 14?	I hate animal cruelty and I do not know why people are doing it? I want to start a campaign to stop it and how do also im under 14. I need alot of help also I need some links and some websites that I can create for free and everybody can see it also if you want animal cruelty to stop then sign this
20090220121339AAeqc0h	Pets;Other - Pets	Homeward Bound movie...how do they do it?!?	Ok, so I've got a question about the 1993 Disney film Homeward Bound: The Incredible Journey.  I'm trying to figure out how they filmed the scene where the bulldog Chance (voiced by Michael J. Fox) gets porcupine needles pulled out of his face.  Obviously this was fabricated for film, since they wouldn't have put a real dog through this.  BUT HOW DID THEY DO IT?! I've re-watched that part so many times, and they have the approval of the ASPCA in the credits, so how did they do it?!  I've heard the dvd doesn't have any helpful extras, so...anyone have any ideas?        Listing in Pets and in Movies, just trying to find some info!
20090220151329AAhiTud	Pets;Fish	Aqueon filter sucking up all my fish!  Is there a fix?	It's got a 6" stalk that sticks down into the tank and draws water up into the filter via a pump.  My 26 Gal. tank has 1" fish that are literrally sticking to the intake stalk.  Is there a way to adjust the suction or modify it so this doesn't claim anymore fish?  I can't believe a pump like this would be sold that can actually kill your fish.  I don't see any adjustments on the filter.       Thanks.
20090220120531AAWxboU	Pets;Fish	HELP!!! MY GOLDFISH IS THE ANTICHRIST!!?	OMG HELP ME MY GOLSFISH JUST TOLD ME HE IS THE ANTICHRIST!!! HE SAID HE IS GOING TO TAKE OVER THE WORLD!!!! HOW DO I STOP HIM??!!! PLEASE HELP ME!!!!
20090220155432AAt5jAo	Pets;Cats	How to tame a feral cat?	I have two cats and a cat door for their convenience.  About a month ago I noticed a strange cat eating at the cat food station.  He comes by every night, sometimes more than once.  He runs off  if I make any sudden moves, even if he's still hungry.  I'd like to tame this kitty but he's very skittish.  Any suggestions?
20090220135506AAKrEtt	Pets;Birds	Is it okay to get a pet bird when i already have an inquisitive kitten?	it would be in a cage on a table but that wont stop my kitten from jumping up there and any tips on how to keep my kitten to leave it alone if i do decide to get one or 2
20090220153634AAEzNsX	Pets;Dogs	What kind of dogs do you think these are?	I have two dogs that I rescued from the shelter in 2004 and 2008.       Cocoa    http://i265.photobucket.com/albums/ii215...        http://i265.photobucket.com/albums/ii215...        http://i265.photobucket.com/albums/ii215...        http://i265.photobucket.com/albums/ii215...        http://i265.photobucket.com/albums/ii215...          Tucker       http://i265.photobucket.com/albums/ii215...        http://i265.photobucket.com/albums/ii215...        http://i265.photobucket.com/albums/ii215...        http://i265.photobucket.com/albums/ii215... 
20090220135711AAt7Uxi	Pets;Birds	Would you either choose a...?	Let's just say if you could own another dog would you rather choose a dog that needed a home, and couldn't get one as easily, that was a mixed breed.       Or would you rather a purebred dog that could get a home easily that you would pay more money for?
20090220144737AAutrGi	Pets;Other - Pets	I need to get a stick bug for my daughters science project...?	Anyone in LA (Preferably northern LA) know where i can buy one?
20090220124501AAXSxqn	Pets;Fish	Should I use a Bi-Orb aquarium for my male betta?	I've heard that the bi-orb is okay. Anyways, how much money is a bi-orb? What size should I use? Should I even use a bi-orb?!
20090220121353AAhPLb1	Pets;Other - Pets	I really want a hampster but my mom says im not reasponsible  annof    and She dosnt  wanna pay for it!  HELP!?	N/A
20090220152008AAR4YSA	Pets;Dogs	Can you tell me a little about a Bichon Frise?	I want one so bad but i want to know a little more about them. I know the grooming issue but that would not be a huge problem. I also know that they are great with kids but that is about it. I live in the kind of country but kind of city. We have a pretty big back yard suitable for a Jack Russel. (I know because the people before us had on). It will be indoor most of the time. Do you think they would suite us and could you tell me a little more about them here are my questions.       1. How long do they live?      2. How big do they get?      3. Can you give a Bichon Frise a puppy cut?      4. What is better a male or female?      5 Are they easy to train (i heard they are)?      6. Are they yappy?      Thank you!
20090220111515AAHNsUT	Pets;Horses	Cost of half looking after a friends horse?	my sister goes riding at a stable and an owner of a horse there found it to much money to keep so she asked my sister if she wanted to half share the horse but of course she would have to pay half the cost of the horse       how much approx would it cost to look after?      remember its only half payment.      plz help
20090220142739AAyuNMy	Pets;Dogs	Can anyone recommend any dog training books?	Can anyone recommend any good Yorkshire terrier training books.I'm getting a puppy and would like it to be trained well. Thank you.
20090220141709AAGkZ2l	Pets;Dogs	Help finding a Dog helmet ?	I want to start a busker show with my little dog. I will shoot her out of a canon but I am having a hard time finding a helmet and cape small enough to fit. were should I look?
20090220140620AA1k78z	Pets;Dogs	How much weeks do i have to wait till i can carry a newborn puppy?	N/A
20090220154712AAQZKGr	Pets;Dogs	Has anyone ever set up a dog walking/sitting business?	Could you tell me a little about it. Do you often walk dogs together? How do you know which ones will be ok? Aren't you worried about them having a fight and hurting each other? Do you need a car? How much do you charge? What sorts of costs are involved? Do alot of people ask you to walk their dogs through the day? Do you normally keep them on the lead? (That will be a weird experience for me, even my 3 month old pup walks off the lead most of the time...)      Is it safe to dog sit? Would you recommend starting off with dog owners you know? What sort of rates do you charge? Is it more often though the day or overnight even? Also who is your main average/stereotypical/most common client?      Any help/advise/anecdotes are appreciated - Thanks!
20090220145521AAoW9bY	Pets;Dogs	Are my dogs playing or fighting?	We just got a new dog a couple of days ago named Zoe, who is 25 pounds and about 10-12 months old, and we kept her seperated from Bailey, our original dog, (who is three times her weight and height, and four years old) through an extended gate.   Anyway, they play together, but I'm not sure if the play is all that happy-go-lucky. it seems kind of tense to me. Bailey puts his paws over her back,growls,  and bites the back of her neck & upper back..although he never breaks skin or anything. But Zoe also puts her paws over him and growls occasionally too, and kind of bites him, but again, very lightly. Maybe im just worrying too much, but when they play it gets pretty intense, in terms of it being very high energy and moving all over the place. So does it sound like they're just playing or does it sound like it's a little too tense? Especially since he is so much bigger than her?      But then today they were playing tug of war when suddently Bailey barked and growled at her and she yipped and ran away.    Also, Zoe  will take Bailey's toy from his mouth, but he won't try to take it from hers. When he has tried, she kind of bites at him (playfully), and he doesn't try again. Why does he not try to take it from her  mouth but she takes it from his mouth? Even though he is the dominant one.
20090220154047AAKpEd5	Pets;Dogs	Would a west highland puppy be good for mi family?	ok mi cocker died 11/21/08 and i have a bloodhound but me and mi sister really really want a new puppy for us like to be a lap dog and to sleep with us but im like the dog freak and idk if if its hard to train and if it gets along with other dogs and its probably gonna be a puppy but i also have a cat          soo plz plz plz help
20090220123150AAQrkWw	Pets;Other - Pets	When the female ferret stop heating?	when the female ferret stop heating??   I mean how old she will stop heat again,7 yrs or.....?      I have a  unaltered ferret,I am not in usa,so when I got my baby,she was unaltered.      somepeople told me if  jill didnt spayed,she might die because the hormone problem,so if I took her to mating a hob,she might pregmant ,then she will be safe?      If she didn't pregnant after she met a hob,but her  nether regions stop  swollen,does she might get any disease?
20090220133523AAKkDsY	Pets;Dogs	My dog had a reaction to sedation is he okay?	i just got back from the vet with my basset hound/cocker spaniel. the vet needed to look in his mouth and my dog wouldnt allow him too. the vet sedated him so he could look, but my dog apparently is very sensitive to the stuff and had a bad reaction and his heart rate started to drop. so he gave him something else to reverse it and the heart rate went back to noraml. The vet said he should be fine later today but somehow i'm still  worried. he's been sleeping and "out of it" for 4 and half hours. is he just sleeping it off, or could it still be effecting him?
20090220134919AARJmfN	Pets;Dogs	Best Way To Housebreak a Dachshund?	I have a dachshund and she is almost 2 years old. She's never been completely housebroken and she won't learn! Plus she pees when she gets excited. We've tried everything to potty train her! We out a bell on the door for her to ring when she has to go out, and she did well for a while, but then she just rang the bell to go run around in the yard. Then, as soon as we take her back inside, she waits til she's out of our sights and goes to the bathroom!       Based on your own experiences, what is the best way to housebreak a dog, especially a dachshund, and get her to stop peeing when she's excited???
20090220143024AA8H1xd	Pets;Fish	Dose any one know any aquarium clubs in la?	im trying to sell a tank
20090220135105AAuZGwc	Pets;Dogs	How much should i charge for dog-walking etc..?	how much should i charge to dog walk, bath, and pet sit? im looking to start this since there r no actual jobs around here
20090220152153AAnhQmY	Pets;Fish	If you know what an Orange Bloch (OB) Please read!?	How will 4 Orange bloch (OB) cichlids do in a 220 gallon tank with...      6 irredesent sharks (10 - 12 inches)   2 silver dollars (5 - 6 inches)   2 pictis cats (11 inches)      How will the (OB) or Orange bloch fish do in the 220 gallon tank.      Ohh and   The OB fish are about 4 inches.
20090220152608AAx5rFw	Pets;Birds	My Budgie just laid an egg today and I was wondering when it will hatch?	N/A
20090220154115AAaIze6	Pets;Fish	Im hungry... how should i cook my bettas?	boiled with a nice, smooth touch or fried with a soft crispy crunch? yum...
20090220154813AAS74Vi	Pets;Fish	Is my 10 g tank overstocked?	i have:      -29 guppies, 1 is alive, the rest are dead   -2 5" bala sharks   -7 neon tetrasa   -8 6" orandas   -9 5" kois   -16 mollies   -50 convict cichlids, each 10"   -22 blood parrots, each 8"   -3 electric blue cichlids, each 6"   -4 bubble eyed goldfish, one inch each   -50 barbs   -2 9" epaulette sharks   -8 piranhnas, 5" each (4 are dead)   -10 clown fish (9 are dead and the last is dying)   -12 zebra danion (all dead)   -19 ghost shrimps (15 are dead)   -22 cory cat fish (20 are dead)   -2 pleco (1 dead)   -5 sucker fish (3.141592535 of them are dead)   -38 bettas (all dead except 3.14 of them)   -44 sunset platies (22 dead)   -12 id sharks, 2" each (all dead)   -166 jelly fish, 5" each (122 are dead)   -over 500 pounds of gravel   -over 10000 pounds of rock         is my 10 gallon (that is Ten, as in 10,) tank overstocked? would i be able to add a few dead oscars?
20090220151937AAwAK5V	Pets;Dogs	Where can I buy dog food?	My dog has digestive problems and can only eat lifes abundance dog food. I usually buy it at my vet but it is very expensive and was wondering if there was anywhere online I could buy it for cheaper?   Is there alternitives to this dog food.      BTW:   At my vet it is $25.00+tax for an 8 lb. bag.      Any websites would be greatly appreciated. (:
20090220144358AA97kxd	Pets;Other - Pets	Can I give my pet rats hay?	I have a horse and he eats green hay...yum yum...  And I recently found my rat is loving making nests and eating the hay. Is it ok for her to have in her cage? Or should I keep her away from it? Please answer soon!
20090220153905AAxP2Yz	Pets;Dogs	Dog walking question?	Okay well recently i have started going on walks with my friend and her dog. We are 14 & 15 years old . Once i was holding her dogs lead and she said to me "Don't let her walk ahead of you because then she thinks shes the boss of you. You have to at least have your feet ahead of her". I thought this sounded stupid and asked her about it and then she said "Because with wolves the leader of the pack is always at the front and dogs are like wolves."      I think this is really stupid and she should let her dog walk ahead of her. What do you think ? Thanks
20090220153325AA2FFQ4	Pets;Other - Pets	Can you feed goats PurinaMills Country Acres All Stock grain?	I just got two goats for pets and to keep my Miniature Horse company. I feed good quality grass or Timothy hay to each of them as well as PurinaMills Country Acres All Stock grain to my mini. Can that same grain be fed to the goats. One goat is a dairy breed and the other is a meat breed. Both wethers. The goats seem to like it and the bag says "All Stock", so I was just wondering. Thanks.
20090220153843AAGx8tz	Pets;Dogs	SOME ONE PLEASE HELP ME!!! MY 4 YEAR OLD SHIH TZU IS  COUGHING IT SOUNDS BAD..?	IT SOUNDS LIKE HE NEEDS TO THROW OR COUGH SOMETHING UP NEXT HE LIKE BREATHS REAL HARD THROUGH HIS NOSE THEN IT STOPS HE DOES IT WHEN WE WAKE UP WHEN I WALK IN THE DOOR MY DAD SAY THAT THE WHOLE TIME IM GONE HES FINE AND AS SOON AS I WALK IN HE STARTS DOING THE WHOLE COUGHING THING BUT I KNOW THEIR HAS TO BE SOMETHING WRONG. I TOOK HIM TO THE VET ON MONDAY AND I DID A HEART WORM TEST IT CAME OUT NEGATIVE I GOT ALL HIS SHOTS UP TO DATE AND ALL THE DOCTOR SAID WAS WAIT 2 MONTHS AND IF HES STILL COUGHING ILL DO EX-RAYS AND RUN ANOTHER HEART WORM TEST THAT DAY I PAID $140.00 I CANT GO PAY THAT AGAIN CAN SOME LONE PLEASE TELL ME WHATS WRONG???????????????????????????
20090220155430AAfKljb	Pets;Dogs	What's your fave dog breed?	N/A
20090220121556AA4C7ay	Pets;Other - Pets	Where can i order a HEDGEHOG?	Does anyone kno where i can order a hedgehog online? thanks
