20071223135331AAUA8HJ	Entertainment & Music;Polls & Surveys	?Que haces en este mismo momento aparte de estar en YR??	yo voy a irme a comer
20090226114038AAS8Cql	Entertainment & Music;Polls & Surveys	Wedding Vegetables! Can anyone think of a better euphemistic term for the male appendage than this?	N/A
20090226113205AANXYDe	Entertainment & Music;Polls & Surveys	What did you have for lunch today?	How was it???
20090226114644AAnIwcd	Entertainment & Music;Television;Drama	Which One Tree Hill episode when Dan and Deb are fighting and Dan glues puts glue on the phone...?	and uses deb's tooth brush to brush the dog's teeth?   thanks! :)
20081020154846AAzyfmS	Entertainment & Music;Polls & Surveys	Whats your favorite taylor swift song? (i need as many answers as possible!)?	we have 2 make a pie chart and survey people so i decided to use this!   so just put your favorite taylor swift song!
20080930013246AATtZay	Entertainment & Music;Polls & Surveys	Where would you like to live besides your own country?	why?
20080710223512AAd2r9e	Entertainment & Music;Celebrities	Who is better?	who do you think is cuter zack or cody (the suite life of zack and cody)      i want to know because i get to meet one but i want to meet both!!!!
20081016052909AAT0trn	Entertainment & Music;Polls & Surveys	I like it when my girlfriend orders me around and calls me names...is this normal?	N/A
20081020153108AAXVP6J	Entertainment & Music;Polls & Surveys	Have you ever done something stupid just to make someone smile?	**or laugh=]
20081003214339AAYBfQ3	Entertainment & Music;Music;Rock and Pop	R&P : What are some bands that are ALWAYS there for you?	When you're down, or upset or depressed.... Any bands that get you going & make your day ? I'm specially into Earshot a few of their songs, really unique oh and Nightwish too yep      How bout you ?  
20080927181642AADvopX	Entertainment & Music;Music;Rock and Pop	Is this a good band name?	i just thought of this randomly, and i'm not goth or emo, but would downfall of the sunrise be a good group name? would you guys listen?
20090226115733AAlAeEw	Entertainment & Music;Polls & Surveys	What is going on in his head?	my estranged husband and I separated in Aug he took it very very hard, moved back in w/ his grandmother and is still there, he has made no effort to get an apt of his own even though he works full time and makes enough to do so. Back in Dec I decided I wanted to give it another shot w/ him, he agreed and everything was great for a week or so, then outta nowhere, after we spent the night together he tells me that he's 'dating' someone, but it's not serious, yada, yada, yada. Next time I talked to him he said it was and he wanted to see where it goes w/ her, even though he still loves me?!? I asked if he just wanted it to be over for us and he immediately says "NO no no, I'm not saying that at all, I just need time to think, YOU"RE the one who initiated this to begin with remember?"      The extent of his 'relationship' with this girl is meeting at a bar and getting drunk together, we still talk and he says he wants to see me, but it's not a good idea right now b/c he is seeing someone. Meanwhile he carries my pic around in his wallet and has framed pics of us up at his house where he stays now.
20090226120224AASKpoB	Entertainment & Music;Polls & Surveys	Do you let your inner light shine daily?	N/A
20081016052722AA7NVSM	Entertainment & Music;Polls & Surveys	What could be a modern and serious idea for a song?	Brainstorm time ladies and gentlemen ;-)
20090226115421AADdLz0	Entertainment & Music;Music;Rap and Hip-Hop	Is DJ Khaled Arab/Muslim?	why does he say the n-word?
20090226120220AAQa5kg	Entertainment & Music;Jokes & Riddles	Hard riddle/puzzle.......(with answer)?	there are 3 boxes. each box contains 2 balls. the balls are either black or white.      one box contains 2 black balls. one box contains 2 white balls. one box contains a black and a white ball.      the boxes are labled BB, WW, BW.      the lables are removed and replaced so that each box is labled incorrectly.      what is the minimum number of 'peeks' into the box needed to put the lables on the right boxes (only one ball may be seen at a time, thus one 'peek' equals one ball)      ANSWER..... the answer is 1 'peek'. only one ball needs to be known to re-lable the boxes correctly.      i will put the details of HOW this is done in a day or so, so check back!!!!
20080224195226AAlG09g	Entertainment & Music;Polls & Surveys	How to be more confident?	I am very outgoing once i know a person, but how do i become confident and outgoing to people i don't talk to?      thanks! i'm 13
20081003152010AAzRA5m	Entertainment & Music;Music;Other - Music	What song are you listening to right now?	Im listening to Demi Lovato- Dont forget
20081114115616AAPIk9u	Entertainment & Music;Music;Rock and Pop	When does someone become a "fan" of a band or artist?	You know, there are people who like "a few songs" from someone, but they don't really consider themselves a fan, they buy the most popular band from an album, but still don't consider themselves a fan.  What bridge is crossed for someone to become a fan?  I honestly never got that, if you buy an album, and you enjoy that album a lot.. you should be considered a fan.. I dunno.. your thoughts?
20081003010952AAs45HR	Entertainment & Music;Polls & Surveys	Did anyone ever give up on you?	i will not give up!?
20081113234509AA0yOZ0	Entertainment & Music;Polls & Surveys	A fairy pops up in front of you and says "You have 2 minutes to make three wishes". What do you wish for?	N/A
20081112010901AAwf21D	Entertainment & Music;Polls & Surveys	What is your favorite colour ?	N/A
20090226112745AA7nV9L	Entertainment & Music;Comics & Animation	Question about The Joker graphic novel?	What is the name of the comic/graphic novel where Batman and the Joker fight and the Joker breaks his own neck to frame Batman for it?
20081003210545AAeO0y6	Entertainment & Music;Polls & Surveys	Hey, won't you help a 13 year old gurl here?	:(      i'm really bored to death..   any person there who i can talk to?      Poll: milk or coffee?   
20081105191805AAwh9UG	Entertainment & Music;Polls & Surveys	What is your all time #1 favourite song?	Ya know, that one song that never gets old, and you can listen to over and over again? Mine are You and Me by lifehouse, and California by phantom planet, and How to Save a Life by the fray. They never seem to get old.
20090226112418AAjefIk	Entertainment & Music;Jokes & Riddles	Good jokes ? - ..............................…	ap?
20081222104329AA1f5qF	Entertainment & Music;Polls & Surveys	Why do you spend time playing on Yahoo?	1.) Bored at work   2.) Bored at school   3.) Bored at home   4.) Horny   5.) Looking for the love of your life   6.) You honestly want to help people with their stupid questions   7.) Other
20090226111207AAKXGQs	Entertainment & Music;Music;R&B & Soul	What kind of music does Pharrell William's group N.E.R.D. play ?	They have an album called Fly Or Die
20090226113635AA3ObIS	Entertainment & Music;Jokes & Riddles	Riddle 3! Who can solve it? :)?	Imagine that you are on a boat in the middle of the ocean and suddenly you are surrounded by sharks in every corner, you need to get out.   But how are you going to do it?      First right answer gets 10 points, Good luck everyone!
20090226112656AAQ84VQ	Entertainment & Music;Celebrities	About Kristen Stewart not presenting at the Oscar's..?	Don't you think it was a little...weird I guess, that her father released a statement saying that she'll present at the oscar's when it's for a good movie not just one that made a lot of money. I kinda feel like she owes a lot to Twilight. It's really putting her on the map and setting a place for her in the industry. I was a little offput when I heard that she wasn't proud to be in twilight. It kinda made me not want her to be Bella. Anyone else feel like this?
20090226114400AAQXTDN	Entertainment & Music;Music;Other - Music	Knight Rider 2008 Music?	My question is simple in Knight Rider 2008, season 1 episode 12 when Sarah is getting out of the ocean in the beginning what is the name of that song? Thanks for answering and I will answer ASAP!!
20080502223917AAXJfLs	Entertainment & Music;Polls & Surveys	[Poll] Google or Yahoo?	Which do you use? Is there really a diffrence?
20081216114417AAjDc40	Entertainment & Music;Polls & Surveys	A question for the fellas?	Ok so this question was inspired by one I just read, it was asking "Would you rather date a fat girl or an ugly girl"....now I am definitely over weight if u want to know the truth I'm definitely not obese but bordering somewhere in between "regular girl" and "pulse size girl", but people say I'm pretty from my avatar pic, so I'm asking does size actually matter all that much, if the girl is attractive and has a good personality?
20081115235848AAbpDfo	Entertainment & Music;Polls & Surveys	A girl at work asked me to kiss her wrist, cause it hurt?	I did. What does it mean? Anything.
20081115234932AAgJhB8	Entertainment & Music;Polls & Surveys	Why do you listen to music?	N/A
20081113013946AAY2vMs	Entertainment & Music;Polls & Surveys	When the twilight movie comes out are you afraid....?	That your going to be attacked and bitten by a confused teenage girl who thinks she is a vampire because she read a book and watched a movie?
20090226114017AAiTQsL	Entertainment & Music;Polls & Surveys	Survey:What Movie or which Part of a Movie makes you cry?	whenever you watch it?   This one does it for me.   Tom Hanks listening to Maria Callas in "Philadelphia.    http://www.youtube.com/watch?v=ecgmQKCPj... 
20090226104742AAUR92X	Entertainment & Music;Music;Country	Violin feels weird!! please help!!!!!?	Okay here's my problem, My mom bought me a violin from the local music shop it was $140.. (yea pretty cheap)   and when we were walking to the car... I made a joke i said "do they suck so bad that they dont have refunds?" and What i found out is that the violin... feels CHEAP and it wont stay tuned for more than an hour!!!           I keep telling my mom that my violin is not good and she wont understand... How do I convince her that I need a BETTER violin?         And also... what are some good violin brands that sound good?    OTHER THAN STRADIVARIUS!!!!
20090226114451AA0wt1U	Entertainment & Music;Music;Other - Music	What is the story of what else is there for royksopp?	i mean why shes flyin and why r they wearin 17th century clothes really i wanna no wat is she tryin 2 express by the clip and the words um so interested cuz i feel its really deep meaning
20090226114755AAzEtuT	Entertainment & Music;Television;Reality Television	Why do the female Survivors wear skimpy bikinis?	during competitions? Their boobs and crotches eventually hang out for all to see, but it all gets blurred out when it's shown on tv. Shouldn't there be an "R' rated Survivors for the true fan ?
20080930032636AAkArZD	Entertainment & Music;Polls & Surveys	If you were homeless and had to stand on a street corner with a cardboard sign, what would you write? ?	N/A
20081015171417AAUxe4j	Entertainment & Music;Polls & Surveys	You're wallet is empty, how will u buy a carton of milk for your baby?!?	u need 68 cent.... be creative and honest!!
20081015160014AAcKK0P	Entertainment & Music;Polls & Surveys	Why are some eggs brown and some white. Do they taste different?	... which ones do you prefer?
20081003151145AAQ7oiO	Entertainment & Music;Music;Rock and Pop	Who do you think the greatest rock singer of all time is?	I'm thinking freddie mercury...hes amazing.
20090109105017AA9cY0P	Entertainment & Music;Polls & Surveys	Poll/Survey:   Suicide?    Have you ever tried it?  Yes/NO?	I am doing an assignment on suicide , I appreciate the fact that it not an easy topic I chose but I feel strongly about it because my sister chose to end her own life. If you could leave your age and gender I would be indebted to you.
20090226113722AAs7318	Entertainment & Music;Polls & Surveys	What are your plans 4 spring break 09?!?	I dunno what my plans are for spring break but im hella excited:)
20090226120032AAWiJ51	Entertainment & Music;Movies	Any Michael Moore Fans?	Hello,   I need quotes from Michael Moore's "Bowling for Columbine" that show that violence is prevalent in our society. It's for an assignment
20081115203606AAObGsb	Entertainment & Music;Music;Rock and Pop	What is your favorite artist's favorite band?	My favorite artist's favorite band is KISS and I can hear the influence.       Rivers Cuomo is the artist, by the way.
20090226115136AAv7ZR8	Entertainment & Music;Music;Country	Country Song lyrics: if the sun comes up and we both cuts down?	Please give the title and name the two artists who sang it as a duet?   . . . . and who wrote this song?
20090226114444AAqITtY	Entertainment & Music;Music;Country	Country Song lyrics: made lots of money all spent the wrong way?	Title and Artist, please
20090226120235AAKl2Rb	Entertainment & Music;Television;Drama	What do you think of Grey's Anatomy?	It's my favorite show but I've been a little disappointed lately...what do you think??
20090226114327AAJXPM2	Entertainment & Music;Comics & Animation	What happened to all the innocent cartoons ?	I'm 17 and thereby not an that old but i just cant seem to find some innocent and wholesome cartoons that i watched when i was around 8,10.      When I Watch my brother watching cartoons,there full of large and varied plots.I'd for once love to watch some hand drawn simple plotted cartoons.      IE: http://www.youtube.com/watch?v=nwH1taatv... 
20081008173552AAuK5jQ	Entertainment & Music;Music;Rock and Pop	What is the worst generalization someone made about a band you like?	It doesn't have to be your favorite, just any band you like..but what's the worst generalization or *thought* someone made about a band you like?      Mine is, well...last night I was yelled at by my dad. This morning he said "I wasn't yelling, just talking loudly" yeah whatever, he was yelling. xD anyways, he yelled at me because he thought Norther was satanic. O.O    it was because of this video.  http://www.youtube.com/watch?v=5HKkv8Ey9...    my dad thought they were for real! haha and he yelled at me for it <.< (btw, yes he is Christian)      now my dad is set straight.       but seriously though, Norther? satanic? no way!      now what's yours? :)
20081128155827AA3Ducz	Entertainment & Music;Polls & Surveys	Did you learn how to swim or can you still not swim?	N/A
20090226112147AAxxQYJ	Entertainment & Music;Television;Comedy	What does kenny say on south park episode red sleigh down at the end?	N/A
20080323222454AAOaHO4	Entertainment & Music;Comics & Animation	Favorite Misfits Album?	What’s your favorite Misfits Album, and song?      Mine;   American Psycho.   & Dig Up Her Bones   AAHAHHHHHAHAA I LOVE THAT SONG
20090127162636AA5VGO7	Entertainment & Music;Polls & Surveys	Have you ever thought about committing suicide!?	I did think about it...I was 15....   I swallowed like 30 pill randomly....I had allot of things goin on at that point.   But apparently I didn't die...    thank God that I'm still here...yeah I was stupid...   so have u ever tried....!?
20090226120633AA5yg9W	Entertainment & Music;Polls & Surveys	Is there anyone on Y!A?	who gives off the vibe that they like you?      I, personally, get this feeling from 99% of females, not only on Yahoo, but in life in general.
20081003210234AA9pHkQ	Entertainment & Music;Celebrities	Slipknot or My Chemical Romance?	I was originally addicted to all the songs of My Chem but my friend referred me to listen to slipknot so now, I'm a bit of a slipknot fan.      Which of the two is better?   
20090226112351AAt1TQs	Entertainment & Music;Music;Lyrics	Whats the song to thest lyrics ... im not trying to be, im not trying to give you?	its like rap or r n b please help
20081116000035AAKbHB4	Entertainment & Music;Polls & Surveys	Anyone else prefer listening to music over watching television?	Peace ?
20090226114125AApHeO2	Entertainment & Music;Movies	Forgot the name of this movie?	Err i dont know much but it was on Cinemax I believe like soft p*rn but it was like this bikini theme and there was this girl who always used to be on roller skates, a guy whose wife made him sleep on the couch while she was with other people or told him to go out while she was with other people. Some people who did it in public like a carpark or something while a group of people looked on.   Just want to know the name of it cause i saw it a while back most likely in the late 90's or like 2000 to 2001 for the latest and havent been able to remember the name of it since..never got to finish watching it but i just thought the girl who would be in the house on roller skates and the dominating wife was kinda crazy..really funny one that i would wanna see to see how it ends
20090226115311AAdJ0xB	Entertainment & Music;Celebrities	How can you be a rockstar?	N/A
20090226120707AAO85mT	Entertainment & Music;Jokes & Riddles	How does an American change a light bulb?	Holds it under the socket and expects the world to revolve around him
20090127155438AAp3Dvb	Entertainment & Music;Polls & Surveys	Poll: any girls have long nails? are they fake or real?	color?
20090226113643AAvAJkV	Entertainment & Music;Polls & Surveys	What are you staring at?	N/A
20090226113535AAubHIg	Entertainment & Music;Music;Rap and Hip-Hop	Do you sometimes wish?	your life was like the music video to slam  http://www.youtube.com/watch?v=ZOyEQcvmu...  just a huge party people shoulder to shoulder jumping pouring out liquor and jumping cadillacs i was just watching this and thought that would be great
20090226120126AAp0aZG	Entertainment & Music;Music;Rock and Pop	Where does a grunge band go to a gig in Lubbock?	im in a grunge band with no gigs
20090226115537AArHxf5	Entertainment & Music;Music;Rap and Hip-Hop	Debate time; Producer...?	Greatest hip-hop producer of all time:      -Dr. Dre   -DJ Premiere      (Or if you feel like someone else is better, let it be known!)
20090226113217AABeJjV	Entertainment & Music;Polls & Surveys	Have you ever lied in a job interview?	Every job interview I ever went for I got the job, thats cause I lied worse then Nixon
20081116001727AAcVEfY	Entertainment & Music;Other - Entertainment	Which site i can go to when i am Super board?	Can anyone tell me some website i can go to when i am really board? like drawing, or online dance game, music, or really interesting sites? I am rally boared as no one's at home!^^ Thankx!
20081113011658AAplEea	Entertainment & Music;Polls & Surveys	What are your favorite sad songs?	N/A
20090226115247AAhplWq	Entertainment & Music;Music;Other - Music	Where can I download "Yolanda Adams" Live In washington track 5?	 http://www.rhapsody.com/player?type=trac...          I've searched the world. lol. I still cant find it.   And once I have it now... I cant order rhapsody cause momsz` said so. lol. i need this for a dance for church. Where cn I download it at for FREE? and please help and answer quickly.
20081003151023AAfKGU6	Entertainment & Music;Polls & Surveys	Poll: what do you think of people with depression?	N/A
20090226120658AAtbJzO	Entertainment & Music;Celebrities	I know David Henrie has 2 tattos but what do they say??!!?	I know they are bible verses but which ones and are they his favorite?
20090226115335AAVTfLK	Entertainment & Music;Television;Soap Operas	What happens when an actor  in a soap dies?	Just today Wendy Richards died who was in Eastenders, I've always wondered what do the soap do as a storyline for the character that the actor plays?
20090226114529AAuHSsJ	Entertainment & Music;Polls & Surveys	Women: skirts or pants?	Or dresses or shorts if you want to substitute one of them in here.      This is the first question I ever asked on here.  Is it a cause for a celebration?
20090226120030AAqgD7Z	Entertainment & Music;Television;Drama	Where can i watch Gilmore girls season 6 online? especially the episode "get a sidekick outta you"?	N/A
20090226110453AAcHUQs	Entertainment & Music;Television;Other - Television	Beverly Hills 90210 Music?	What is the song called that plays in the very beginning of the 5th episode of the first season of the original Beverly Hills 90210?   The episode is called 'One On One' and the song plays in school.   the lyrics are something about freedom.      thank you :-)
20090226113404AAFT8Wz	Entertainment & Music;Television;Comedy	Think this is funny? Or not?	 http://www.youtube.com/watch?v=GKUQfnc4Q...       Let me know please (:
20090226120919AAZ3xd6	Entertainment & Music;Television;Drama	Was there a new 90210 episode on tuesday?	N/A
20081102004228AAp5hCt	Entertainment & Music;Music;Rock and Pop	I wanna be sedated????	nothing to do nowhere to go
20081115235905AAUgMsJ	Entertainment & Music;Polls & Surveys	What's a good comeback to say to someone who suggests...?	that you don’t exactly come across as someone who spends a lot of time with the opposite sex?      What would you think if someone said that to you? And what would be your response?
20090226120450AAXmirY	Entertainment & Music;Music;Other - Music	Craigslist for musicians?	i want a serious band. i need a serious band... i wasjust wondering if there was a website somewhere that would let me put my name out there or recruit people in my area... thanks...
20080930163715AAvPrKy	Entertainment & Music;Music;Rock and Pop	Lol R&P THis Artical Made Me Laugh ?	 http://www.rockhall.com/events/jonas-bro...  Rofl Jonas Brothers + ROCK hall of fame just dosent work!!       MQ: Favourite Guns N Roses Song      MA: Nightrain/Mr Brownstone
20081115203908AAEVOaH	Entertainment & Music;Music;Rock and Pop	R&P; What's your 2nd favorite genre besides rock(pop)?	N/A
20090226114626AAUh8aW	Entertainment & Music;Polls & Surveys	RANDOM POLL people RANDOM POLL!?	do you like swiss cheese or american cheese better??   if you have a milk alergy, answer this question:   do you like bacon or ham?
20090226113132AAWudaG	Entertainment & Music;Television;Drama	Skins series 3 Cook's first name?	I don't want his real name(Jack O’Connell)  i want to know his onscreen name, it was mentioned in episodes 1 but i don't remember it
20090226113131AAlEgL2	Entertainment & Music;Movies	In I AM SAM, what emotions were evoked in you by the lawyers, the adoptive parents, Lucy's school?	N/A
20081003205307AAdsljA	Entertainment & Music;Music;Rap and Hip-Hop	I like rock and rap combined. i.e. the transplants and mindless self indulgence. ?	anyone know of anything else i could check out?
20090226112301AAoGeAs	Entertainment & Music;Music;Rock and Pop	Blonde Redhead fans out there.....?	I haven't heard any of their stuff since 2000's A Melody of Certain Damaged Lemons... Apparently they've put out 2 albums since then, from what I've seen. If anyone's heard 23 or Misery is a Butterfly, please explain them to me... I don't want to dive right into buying them, but I hope they're as great as they were in 2000.
20090226114238AAmHjdK	Entertainment & Music;Television;Comedy	What is the name of this character?	what is the name of the character on little house on the prairie that plays as Laura's husbund? you know the blonde guy?
20090226113212AAFicIn	Entertainment & Music;Horoscopes	When a planet transits into a square to "Chiron" in a persons natal chart...what does "Chiron" represent ?	what kind of affect would be usually squaring this?      how about a positive aspect?      for example Mars..how often would Mars make a negative aspect to this too?         please describe and explain.      thanks for your answers!
20090116091823AAHDQmn	Entertainment & Music;Polls & Surveys	If you saw me on a dating site, would you go out with me?	Be honest please.
20090226120424AAvbHIx	Entertainment & Music;Jokes & Riddles	Anybody know of any random text messages?	ya kno notihng rude or dirrty. just something random to say in a text message, that will leave people wondering or like , uhh lol or start a good convo?
20081004011310AAQ9mks	Entertainment & Music;Music;Other - Music	Music, what is/are your favourtie song(s)?	It can be from a decade ago or it could be just a newly released song.
20090226113305AA29usV	Entertainment & Music;Television;Soap Operas	How can people watch shows like one tree hill and 90210?	i find it painful to watch them, they're just so awfully corny and crap.
20090226115220AAuJCDs	Entertainment & Music;Polls & Surveys	Poll: do you like insulting people?	I don't but sometimes people cross the line and heheheheheh! they don't want to get in a fight with me >:)
20081003220112AAMGvE6	Entertainment & Music;Music;Rock and Pop	Know any good hardcore bands?	N/A
20081006044025AAjZKWD	Entertainment & Music;Polls & Surveys	Have you ever injured yourself getting dressed in the morning?	N/A
20081120223125AAZ2UdO	Entertainment & Music;Polls & Surveys	POLL: What's ONE thing we don't know about you?	N/A
20081115162452AAxuZDP	Entertainment & Music;Polls & Surveys	Name something you might do when you are sad...?	Name something you might do when you are sad...?      i will give best answer tomorrow to who ever has highest amount of thumbs ups.
20081115233315AAp9N8x	Entertainment & Music;Jokes & Riddles	Does anyone know any, a blone, a bruette and a redhead jokes...?	Does any one know any, a blone, a bruette and a redhead jokes!! I really love them there funny!
20090226113200AAIE0dt	Entertainment & Music;Television;Other - Television	Boy meets world: Mr Feenie?	In one episode, Mr. Feenie uses a really cool analogy but I can't remember it. He had like. Silk or fabric. And he said it was hard to tear apart. But the slightest cut (cuts the fabric with sciccors) can break the whole thing apart (rips silk in half). Or something like that.      Can someone link me to a website with a quote that involves that... or a video when he says that. I thought it was cool and i wanna watch that again
20081115163049AAdnvM7	Entertainment & Music;Polls & Surveys	Poll: have you laughed or cried today?	N/A
20090226114601AA0D9pK	Entertainment & Music;Movies	What are the bugs called the Khan puts in the men's ears in Wrath of Khan?  Trekkies?  Trekkers?  Anyone?	Just a little trivia that I would like to have answered in my mind.
20081105234354AATR9aG	Entertainment & Music;Polls & Surveys	What makes you feel....?	what makes you feel....      strong when you're weak:      happy when you're sad:      relaxed when your mad:      like standin when you've fallen: 
20090226111548AA9NIkA	Entertainment & Music;Music;Rock and Pop	Is Flyleaf realsing a new album this year?	If so.. when?..
20081109014912AAqTzf5	Entertainment & Music;Polls & Surveys	I actually cried when i wrote this, will you read it and tell me if it was good?	i read a story about a kid who was abused a few minutes ago.. and i wrote this, i really felt hurt by what i read and couldn't imagine what it was like for him. so i tried to write something from the point of view of somone who was abused as a child.i never was but i tried to anyway. i actually cried while i wrote this so....         awoken from my midnight slumber   by rain and lightning it a chaotic mixture   the crackle of that thunder echoes through my soul   the bitter cold air has me shivering beyond my control   a notion of some dark presence around me   stalking me from the shadows from which i cannot see      frozen in place by my overwhelming fear   the sounds of those deep growls are all i hear   peering into the darkness with my mouth open wide   pulling up my covers to attempt to hide   the rain brings it out to torment me   and it always happens at half past three      the terrible smell of the fires of hell   a sweet aroma of sweet liquor is what i smell   in an instant i feel the pain from the paw of this hellish beast   ravaging me in attempts to kill me at the very least   with all of the shame and worthlessness that it compiled   and it all started when i became his stepchild   
20090226112937AAN3EsO	Entertainment & Music;Music;Rock and Pop	What is the meaning of the Alice in Chains song -Man in a box?	N/A
20090226115216AAzxAI3	Entertainment & Music;Movies	Help with this movie!!!!PLZ!!!! Cant think?	I saw this movie about a girl who gets hit by a car and then get paralyzed and then it shows what happen though out her life. I think its like Brook something. I can't remember! Can you help me?????
20090226114636AAN0hip	Entertainment & Music;Other - Entertainment	What youtuber do u check daily for updates?	i want to get into stuff like that so what you tuber do u check daily for new videos          i got hooked on what the buck
20090226114653AAHBtZp	Entertainment & Music;Music;Rock and Pop	Who Likes Rev Theory?	i do!!!      there soooo hott, especially the lead singer!
20081106005327AA820Aq	Entertainment & Music;Jokes & Riddles	Jokes!!!!!!!!!!!!!!!!!!!!!!!!!…	Three men were using the urinals in a public restroom in the UK. The first man finished relieving himself, zipped up, strolled to the sinks and proceeded to wash his hands, using plenty of soap and water and doing a splendidly thorough job.      As he was drying his hands (with lots of paper towels), he loftily announced to no one in particular "At Oxford, I learned to be clean and sanitary." The man then left the bathroom in a cloud of self-satisfaction.      The second gent zipped up, marched briskly to the sinks, and scrubbed his hands with much less soap and water than the first man, doing a splendidly thorough job nonetheless. As he was drying his hands (with only one paper towel), he severely announced to no one in particular," At Cambridge, I learned to be clean and sanitary, but I ALSO learned to be thrifty and environmentally conscious." He then strode from the bathroom with a purposeful air.      The third man finished relieving himself, zipped up, and ambled past the sinks to the door, muttering to himself, "In Australia, we learn not to piss on our hands."      
20081106005523AAmgCDv	Entertainment & Music;Jokes & Riddles	Funny jokes!!!!!!!!!!!!!!!!!!!!!?	Son: Father, how did i came upon this world ?       Father(surfing the web): I'll tell you later son.       Son: Why not now!?       Father(flashback): Ok ok. listen carefully. One day when i and your mum were surfing the web. I connected to your mum then your mum downloaded somethings from my memory stick. When i finished uploading i realised my firewall was not enabled and your mum didn't have antivirus on as well. When i wanted to delete it was already too late. Nine months later you came upon this world. Son do you understand?       Son: So i am a virus !! ( Ran off crying)    
20080928084238AAgqb1i	Entertainment & Music;Movies	Is it any wonder it didn't have the desired effect?	I was watching a movie on tv last night. Not sure of the name, Savage Beach or something along those lines. It was obvious from the start that it was made purely for titillation purposes. Almost non-existent plot overlooked in favour of action and gratuitous nudity. The cast members were chosen for breast size and mens overly muscular bodies rather than acting ability. It was laughable. But what got to me most was the fact that it didn't titillate me as much as it should because the women had out of proportion mountains of silicone on their chests and had a processed, airbrushed, completely unnatural look that would only appeal to innocent virgin teens or insecure men who only judged women by their breast size. The men seemed to have an image of what some men think women find attractive. I know your not supposed to take these movies seriously. But the women were so unnatural they were not attractive and I went to bed. What does it say about women that have their bodies altered to look like plastic sex dolls in order to make money and advance their "careers"? What does it say about the people that get off on watching these movies? It's comical that people can get away with putting men and women like that in movies like that. I'm still laughing at the thought of it.
20080928085342AArXC52	Entertainment & Music;Movies	What is the name of the movie?	It's been a long time since I saw the movie and I missed the end of it. It was about a man who was poisoned but the poison had a delayed effect and he was given a certain length of time to live by the doctor. So he wanted to find his murderer before he passed away. It was probably made in the late 60s or early 70s. I seem to remember a couple of scenes involving strippers or burlesque dancers in the movie also. But it's been that long since I saw it that the details are a bit vague. I'd like to see it again to find out whether he died or not and if he found his killer. If you know the movie please don't spoil the end for me so that I can look it up and try to see all of it.
20090226113730AApwcZF	Entertainment & Music;Polls & Surveys	What is that thing you wish that person knew?	mine ... i hate her with all my soul...
20090226114746AAkEiON	Entertainment & Music;Movies	Come on people I want to watch a bunch of really good movies.?	I really dont feel like watching anything with superheros, aliens, or cowboys.   Please help me as best you can?   I want to watch a really good move.   And I have already watched slumdog millionaire.   Hep?
20090226112346AAbKE0f	Entertainment & Music;Movies	Are there any really good movies that have a good story line?	Something that you get to know the people.  And you want to know what is coming next.  Don't want anything sad.  And nothing to scary.  I am in the mood for something really good.
20090226112952AA0eWFn	Entertainment & Music;Comics & Animation	Does any one know any good funny/love anime?	I want it to be a dub anime because i hate reading the english subtitles while im watching a anime
20080125140559AAvK0xy	Entertainment & Music;Celebrities	What actors would be good roles for the Cullens?	Ok, the title of the question probably looks confusing, but I need some opinions to those of you that have read the Twilight series. What actors do you think would be good for the roles of the Cullens? I already have 2 of the characters, Alice, and Edward, now i need Carlisle, Esme, Rosalie, Emmet, and Jasper. I chose Rachael Leigh Cook as Alice, and Gaspard Ulliel as Edward. What actors would be good for the rest of them?
20090226113806AAz840B	Entertainment & Music;Polls & Surveys	Poll: If u were able to go to any part of the world where would u go?	Plz explain y...      I would go to england
20090226113202AAglEtp	Entertainment & Music;Television;Reality Television	What's the name of the girl that got booted off American idol season 8?	She sort of had the hippy look, with small blond dreads, and a really simple voice. It was still really pretty, though.   It talked about her dad dying, earlier in the show. But the judges didn't let her into the stages that the audience actually votes, so I've already forgotten her name.
20090226115528AABdJVw	Entertainment & Music;Music;Other - Music	What is the name of this song?	It starts at 1:55, I think it's French. Thanks =)    http://www.youtube.com/watch?v=S2nzoIdUE... 
20090226114118AAljcK0	Entertainment & Music;Celebrities	Does Anybody Knows Where i can get a picture of Rick Ross WITHOUT Shirt?	THANKS FOR YOUR HELP! =]
20090226114925AAYGxg6	Entertainment & Music;Music;Other - Music	Recent song from ipod touch commercial?	I really like the song from the ipod touch commercial, not the astroids galaxy one, but the more recent one. It almost sounds like a modest mouse song.       Any ideas? Thanks!
20090226115516AA2gfaj	Entertainment & Music;Celebrities	I hate paramore and the jonas brothers?	I hate       Paramore   the jonas brothers   miley cyrus    AND I AM NOT ASHAMED      I cannot believe paramore did a cover of the amazing Kaiser Cheifs' loves not a competition. They murdered one of my favourite songs!      What happened to artists/bands like muse, the verve, gwen stefani, rihanna and the kaiser cheifs thats real music.       What do you think?
20090226113307AAYJCua	Entertainment & Music;Music;Other - Music	Does anyone know the song "As One" by Dan Burgess?	I'm looking for this song as a solo for a vocalist at my wedding. I can't find the music anywhere! Does anyone know where I can get more than just lyrics for it?
20090226120313AAMGweX	Entertainment & Music;Music;Lyrics	Do you know the lyrics or the song "Living on the Ceiling"?	By Blancmange     http://www.youtube.com/watch?v=OKkEQ_Gzo...       And what is the storyline of the song? I know that the original clip was shot in Egypt, but i don't get the storyline (if there's one..)      Also, is the singer still alive?
