20090227102847AAILVOP	Education & Reference;Special Education	Ntse!!!!when is the ntse result for class 8 first level of this year coming out for the state of orissa?	when is the ntse result for class 8 first level of this year coming out for the state of orissa?
20090309203821AAWvNoZ	Education & Reference;Homework Help	Connecting paragraphs...?	I have two paragraphs I have to connect. They aren't very similar in topic but I'm allowed to SLIGHTLY change the first to transition better but no major changes.      Here's # 1:   Within an article titled, “ADL Congratulates British Prime Minister for Being First to Sign Declaration against Anti-Semitism,” Abraham H. Foxman discusses the example the British Prime Minister set for other government officials. Foxman is the ADL (Anti-Defamation League) director and he states, “[Prime Minister] Gordon Brown set an important example for others to follow…” This is referring to the fact that the London Declaration is calling attention to the issue of anti-Jewish prejudice around the world. The ADL has taken part in coalitions to help the fight against anti-Semitism in order to find a way to decrease the intolerance. Foxman declares that “Too many leaders were silent in the face of blatant anti- Semitic displays at recent demonstrations against Israel and following attacks on Jewish institutions.” Since the Prime Minister has signed the declaration against anti-Semitism, there is hope that the act will have an impact on other government officials to step up and do something in accordance to help the cause.      And here's #2:   Lying has been around nearly as long as humans have. It’s a problem in every workplace, every school and every household; but the even bigger problem with lying is being able to tell whether or not it’s happening. In the article “You Can’t Hide Your Lying...Face?”, Jennifer Vendemia and David Lykken, both psychology professors, debate where the detection techniques lie. According to Lykken “The most effective lie-detection technique isn’t a traditional polygraph examination but instead a "guilty knowledge" test, in which a polygraph machine measures the reactions of people when they see several items”. Vendemia disagrees and thinks the answer lies beneath the skin. "You have to engage in a certain number of cognitive activities -- you have to pull the truthful information from your memory, inhibit that information, create a deceptive response and make a decision to deliver that response. You have to engage in these steps to tell a lie, a complicated process involving different parts of the brain” and according to her, her brain wave tracking device can detect 94 percent of lies during tests. Vendemia predicts “It might be as soon as 2010, perhaps using elements of thermal facial scans, brain scans and other technology” but either way they both agree, with Thomas O’Connor, a justice professor who teaches about lie detection, “I think lying is here to stay."      Any suggestions on how to connect them?      THANKS!
20090309204042AA2HA6n	Education & Reference;Words & Wordplay	Vocab Help! (Sentences!)?	Help Writing sentences using all these words in them...  They can have more than one of the words in each sentence.      Contemporary, Conviction, Diligent,  Dubious, Eclectic, Egregious, Exculpate, Florid, Gratuitous, Hackneyed, Idealize, Impartial, Imperious, Inherent, Innovative, Invetevate, Laudatory, Maverick, Mollify, Novel.. Ek!
20090309204536AATd40d	Education & Reference;Quotations	The reasonable man adapts himself to the world quote?	The reasonable man adapts himself to the world; the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man. what does that mean?
20090309210233AAedIvN	Education & Reference;Words & Wordplay	Tricky yet still worth it question!!!?	if there are 6 girls in a class room and they each got an apple (there are 6 apples in a basket) and left the class room there was still an apple in the basket how possible?      (and EVERY Single girl got an apple!)
20090309205237AAaoVhI	Education & Reference;Homework Help	What are the pros & cons with these issues?	I'm not asking for you do do all these issues, just need help with the ones you know. Basically I need to know how these issues effect the world, thanks. :)      - Trash (the way it continues to degrade the environment because there's no where to put it)      - Energy      - Pollution       - Overpopulation       - Food       - Water
20090309205719AANzf73	Education & Reference;Words & Wordplay	What does it mean to be a free-trader?	if someone claims to be a "free-trader" what does it mean?
20090309210004AAjyd4k	Education & Reference;Home Schooling	I need a cheap home school please?	I am In the eighth grade and need a cheap homeschooling place, Where they send you the work and you send it back too get graded, Any suggestions would be highly appreciative.
20090309210141AARzrau	Education & Reference;Words & Wordplay	What adjective would you use to describe someone who stands up for what they believe in?	N/A
20090309210327AAUqwdm	Education & Reference;Higher Education (University +)	Which is the correct time to take m tech coaching either in 2nd or in 3rd or 4th year plz help me?	N/A
20090309215800AAyrkQ8	Education & Reference;Words & Wordplay	Fewer and less - correct term?	Can you say:      There aren't any less Harvard graduates than any other university in investment banking.      Or should 'less' be 'fewer'?  Forget the silly context of the sentence. I was just corrected by someone with a similiar sentence today and couldn't see how it was really an error.
20090309211609AAEnBCp	Education & Reference;Words & Wordplay	Why am I asking you a question?	???
20090309234222AAEvaWB	Education & Reference;Homework Help	How do you site an online author's biography using MLA format?	Thank you so much in advance!      a sample would also be really helpful!
20090309215204AAoxTRn	Education & Reference;Words & Wordplay	Please tell me Why am I so awesome????????????????	Also, why would sam and simmone make a cute couple??   and why is sam an idiot      and who is the hottest guy in the world??   umm.....      and what do u do when u see the person u hate??
20090309214006AANoV8p	Education & Reference;Higher Education (University +)	What should I expect at community college?	Okay, so I am starting college at the end of the month and I am extremely nervous, because I was home-schooled for most of my life and didn't have much social interaction, and I am only 16.      Any help is greatly appreciated. Thank you.
20090309211809AAdb3uf	Education & Reference;Teaching	My art teacher is sooo annoying?	I KNOW I'm good at art, not to brag   Like I KNOW   Like EVERYONE says that   But my art teacher is always like, "Noooo this is bad blah " just cuz she hates ME not even my ART   What do i do
20090309233155AAnRtpJ	Education & Reference;Primary & Secondary Education	Help me please!!!!??!!!!?	WELL my parents are letting me move school,   and i have 2 take my last two reports.. but im on paralelle (howvever u spell it ) maths and my other other subjects arent exactly the best marks.      and it is an expensive private school and i am going into year 9      will they like let me in? even if my report isnt the best?!
20090309230531AAE6KCu	Education & Reference;Trivia	Can anyone tell why ultra-violet and infra-red rays are invisible?	star if you like!!!!!!!!!
20090309230921AAQAqMh	Education & Reference;Homework Help	How does this poem sound? (English assignment)?	Okay, i've posted this before and I actually got really good tips to help make it better. But I also got a lot of confused people who said it didn't make sense b/c the lines didn't all relate to the same point. But the point of the poem was to put down what one could imagine a world to be like. So that doesn't mean that the first line sets the meaning of the poem, it's just one point- in other words... a lot of the lines have their own meaning. (yet similar because the whole thing is about...a messed up world) Okay I'll shut up xD      Here it is--         Can you imagine...   A world untouched by man,   A beach that has no sand?   A world without air,   Every forest on Earth stripped bare?   A song with no meaning,   Being in love minus the hurting?   A place with no conflict,   No point of view to contradict?   Erasing all of mankind's greed,   Preventing bloodshed for where there is no need?   A nation where people look beyond the surface,   A nation where everything you have is embraced?   Going through life without a single fear,   Living in a world where all are sincere?         (Don't be too harsh because this is my second poem and im 14 =|)   Thanks in advance!
20090309220602AAaM1wJ	Education & Reference;Homework Help	I have a question about some simple adding and subtracting numbers with Pi?	If let's say you have         10pi-3 pi, could you subtract those to make 7pi?
20090309215819AAESdKp	Education & Reference;Words & Wordplay	So do you know, tell me what it is?	What is the oldest trick in the book?
20090309211957AASNMnL	Education & Reference;Teaching	Would i get in trouble for sleeping with my college teacher?	Shes so hot, and shes always staring at me and smiling i wana do her...can i get in trouble?
20090309233441AA65SxR	Education & Reference;Words & Wordplay	What is the difference between quarries and inquiries?	N/A
20090309222303AA9mUAs	Education & Reference;Homework Help	Urgent.....easy 10 points?	I have a group project for my information technology class. I need help to come up with a cool name for my group.
20090309233255AAYliOr	Education & Reference;Teaching	Can teachers/professors find out your age?	Is it in their computers? Do they ever get curious as to the age of their students, especially if one seems really young?      Just wondering.
20090309233313AAmBCsH	Education & Reference;Homework Help	Debating Help Anyone?	my topic is "should the judiciary be elected" and my team is affirmative. i'm second speaker. what are some points we should bring up?
20090309233416AA5kTPr	Education & Reference;Financial Aid	Big issue about my FAFSA...?	My parents both make a fairly high amount of income.  However, they are both divorced, and have 4 children (including me), so they are not going to help me pay for college at all.      Is there any way that I can reflect this problem on my FAFSA application, or am I just dead in the water on this one?
20090309232717AANYRSq	Education & Reference;Words & Wordplay	What does 1/2 inch to a quarter of an inch from scalp mean?	N/A
20090309234458AAZI2P4	Education & Reference;Homework Help	Does anyone know a science  project?	that involves engines, or something to do with cars?   I want one that is complicated but not too hard. i have a couple weeks to do it in.
20090309220837AAozkNK	Education & Reference;Words & Wordplay	What does antithema mean?	N/A
20090309220022AAdRonT	Education & Reference;Teaching	Hello All.. Reading material for students?	Are there any English teachers out there who know any good websites for getting reading comprehension tasks?I just want smth simple. - reading texts for intermediate Ss with questions about the text. Also, a variety of topics, from history, science, movies, geography, you name it! Please get back to me asap. Thanks in advance, AQ
20090309215122AAdrHjQ	Education & Reference;Teaching	Only serious opinons only please   G.E.D. or hsd??	Ok i know you guys are all thinking " umm duh choose the high school diploma chick!" lol but hear me out and you'll see why this is a serious desicion for me..Ok well right now i do not go to school, i dropped out well not really i enrolled as homeschooled n just never did it when i was 15 bcuz i was getting in to trouble, now im fixing to be 17 and i decided to enroll into homeschooling becuz i moved to my sister (i was living with my aunt when i was 13-15) but anyways cut to the chase lol but i wanted to catch up my schooling becuz im worried about my furture i want to be an CNA cuz u dont need ur high school diploma to do that n it fast class u pay round 300 or so n it fast schooling n u graduate n then u strt wrking n its good pay then after that i wanted to try to get a scholarship and work my way up into LPN and for that all you need is GED so i wanted to do that and my home schooling is all online but im fixing to move again and when i move im going to be working alot to help my dad because thats where im moving in with to orlando (i live in FL) and im going to be working alot just to help him out and my brother who will be living with him too, and im trying to help my brother in school cuz he almost going to graduate so im helping him out alot..anyways!! i get sidetracked sorry guyz but basically it will be alot easier and less stressful on me if i just get my GED but then again I dont want to risk my future but right now it is soo hard to do my classes as right now as is im constantly at risk of getting dropped out bcuz i dont submit enough assingments as needed and im soo stressed soo basically im askinng you guys what do you guys think? what should I do? and put urself n my shoes just dont say high school diploma bcuz its right put ur self n my shoes n plus my online schooling im doing doesnt graduate you ill have to enroll into school the last year and do a full year of that n graduate there...so what do you guys think honestly cuz im seriously considering my ged... thanks everyone for your opinions..i really appreciate it! =]
20090309233151AA97Y08	Education & Reference;Homework Help	What does the sow's head represent in Lord of the Flies?	N/A
20090309220505AA4mW9u	Education & Reference;Homework Help	Correct this paragraph please?	Bushfires occur mostly in Australia, New Zealand, and New Caledonia. Bushfires happen naturally or can occur because of arsonists. When it happens it ruins crops, houses and kills people. The Black Saturday bushfires was the worst bushfire in Australian history. It killed more than 200 people, and wiped out several towns. The blazes destroyed 1,800 homes and so far 7,000 people have been displaced.
20090309225948AAoVP7C	Education & Reference;Words & Wordplay	Why do they put Braille dots on the keypad of the drive-up ATM?	N/A
20090309220327AAU9K6j	Education & Reference;Homework Help	How to use a chinese abacus?	How do i do multiplycation, subtraction, addition, and division??
20090309212149AAiedfq	Education & Reference;Teaching	What are some creative ways to do a presentation?	I have to do a creative presentation on neurotransmitters, basically just about their function and effects etc. What are some creative ways in which I can do so? OTHER than a powerpoint or make a movie cos everyone does that...
20090309224833AAoGz6p	Education & Reference;Higher Education (University +)	Am planning to do MBA in distant education, is there any entrance exam for IGNOU?	I want to do MBA through distance education this year, but i haven't written any entrance exam so far, will i be able to join IGNOU with my graduation certificates or entrance exam is mandatory?    thank you.
20090309233849AAHP3Uw	Education & Reference;Primary & Secondary Education	Help with my senior year classes?	i am currently a junior. and i want to get into UCSD, UCLA, or UC Davis (and many other colleges). i currently have a 4.13 GPA and my first and so far the only SAT score was 1860... i decided to take 5 AP classes for my senior year and i have one class open and undecided. i decided to take AP bio for the last class at the urge of my counselor but i thought 6 AP for senior year is just too much. i think 5 is too much. i just want to take Teacher's Aid for the last class and my counselor strongly and decisively wouldn't let me. i feel like i am in need of at least one free period for my senior year and i'm just a little frustrated at my counselor for not letting me choose what i want to do... she's getting my parents involved in this too. and they are really okay with me taking whatever classes i want to take. should i just go with 6 APs or keep on strongly insisting that i take TA? and i don't want to take any other regular elective for the last class other than AP Bio. and i'm really horrible at Bio.   thank you.
20090309214413AAO3mSu	Education & Reference;Financial Aid	Expected Family Contribution of 00828?	Hello. I am 35 years old and attending college. I will be entering my sophomore year in the fall. I was wondering if anyone has any idea what kind of grants (if any) an EFC of 00828 may qualify me for. I am not working at the moment, and made just under 10k last year in the few months I worked. Assuming a low number is good, it looks like I might be eligible for some sort of grant. Any ideas?
20090309213109AA2DgeH	Education & Reference;Primary & Secondary Education	Government exams for getting the job:?	I want to know the names and dates of exams.Govt.is conducting for  getting the job? I heard some UPSC (not sure) etc. Can u pleaz help me ?
20090309213716AAxZQX1	Education & Reference;Homework Help	Can you PLEASE help me cite this? It has all the information. I just need MLA formatting help.?	Could someone tell me how to properly cite a quote from this in MLA? It has all the information, and it appears to be a research paper, but of course whenever I try to google how to cite a research paper in MLA it just tells me how to cite things IN a research paper in MLA.       http://www.eric.ed.gov/ERICWebPortal/cus... 
20090309213703AAPuJVO	Education & Reference;Standards & Testing	AP US History Honors or AP. A-G Help too?	well im in the middle of signing my class for next year and im wondering what i should take. is it better to get a D, C , or B in AP U.S or getting a 100% A in Honors.      also im wondering about a-g requirements. what is the g required course and is drawing/painting (art) good for the visual performing arts.
20090309211153AAmhCqI	Education & Reference;Higher Education (University +)	Does anyone know about TT-tech,Noida?Do they really provide good Live projects?	I want to do a Live Project on .Net. I got a call from tt-tech,Noida.Do they really provide projects to work in renowned companies?
20090309211220AAPO4G9	Education & Reference;Homework Help	Help on my Neon Science Project.?	Pls give me some info about this questions.I already googled it but I havn't seen anything helpful.The project is due on Friday so i need infos about it.      Research Questions about NEON:      1.)Names of family members:_____________________________      2.)Period:____________________________...      3.)Uses for element:________________________________      4.)Interesting fact about your element:__________________________      Pls give me some answers to that questions.I need it for my project.And also just pls put your answer in a 1-2 sentences in question 3&4      Thank you.
20090309224618AAmyw3Z	Education & Reference;Standards & Testing	Psychological testing on incoming psychology students?	Do you think it is best to administer psychological tests to incoming psychology students? why and why not?
20090309210708AANJKhP	Education & Reference;Words & Wordplay	What name do you like better?	I'm writing a book and I can't decide which name I'm gonna name my main character.Pick one.   These are the names:   Julia   Violette   Lucy   Carla   Julianne      p.s.:Or if you like, you could suggest a name you like and not the name I thought of.   If this book gets published and succesful and the name you chose is the one I pick, I'll thank you from the bottom of my heart   And also give some nicknames
20090309210651AAU95qD	Education & Reference;Homework Help	I need help with this english assignment!!?	Choose an ethical issue in our society today that interests you. Research a variety of articles related to your choice. Describe the ethical issue and indicate how it is associated with mass media, including privacy and freedom of information. How is the issue, and the privacy concerns surrounding it, made more complex by its exposure to media forms such as the Internet, You Tube, daily papers or other types of media?    Minimum length 300 words.          -i dont really understand what this question is asking helpp!??!?!
20090309210724AAyx3bV	Education & Reference;Words & Wordplay	What do you think this means?	your reflexive resistance to authority in all its guises may get in the way of a fully satisfying love life
20090309210931AA4k78m	Education & Reference;Higher Education (University +)	Do you think that i have a chance at getting into Brown University?	Hey guys!   So I want your honest opinion- do you think I can get into Brown U?   I am a junior in high school. I take some honors classes and have As and Bs. I am a good student, but definately not outstanding. The thing that I feel sets me apart from others is my passion for one thing- and that's acting. I have been in lots of Boston indie films and many plays. Currently I am even working on writing my own play (hopefully producing it this summer) with the guidance of my acting coach. I'm taking a scriptwriting class at Dartmouth this spring during the third trimester.   I really have passion and drive and I am not well rounded at all- I am an extremist, but that is what sets me apart. I am not like other teenaged actors, either. I love offbeat roles. My last role was a mentally ill character in a short play that I wrote with a friend. I also enjoy making my own short videos.      I also am starting a charity fund to raise money for humane societies.      I haven't taken the SATs yet, but my score on the PSAT was a little above an 1800 and that was without studying. If i study I know i can do better on the real SATs. I am also taking an SAT subject test in math.      so do you think I have a chance of getting into Brown for acting/theatre? I have a passion for acting AND a passion for Brown. I think its the right place for me.      BUT I want to be realistic. If you don't think I could get in, do you have any suggestions for other schools that you think would be a good fit for me?      Thanks! :)
20090309211511AAUgPnI	Education & Reference;Homework Help	Can anybody give me a summary of the book "Coyotes" by Ted Conover?	I ordered the book online and it has yet to arrive. We're supposed to have read some of it for tomorrow, but I can't since the stupid book's not here. I am not trying to get out of reading a book; I fully intend on reading it once it arrives. I just don't want to feel behind/like an idiot in class.      Has anyone read the book "Coyotes" by Ted Conover? If so, would you please give me a summary of what happens, especially in the beginning? Thank you!
20090309210911AAzcdJE	Education & Reference;Higher Education (University +)	Will it be hard to get into an MBA program if my bachelors degree is ACBSP accredited?	I want to get into an MBA program that is AACSB accreditied. I meet the GPA requirements and my GMAT scores are good, but my degree is ACBSP accredited.
20090309211100AAbuWjQ	Education & Reference;Words & Wordplay	Why is the abbreviation for the word example "e.g." or "i.e."?	N/A
20090309211416AAwLoie	Education & Reference;Primary & Secondary Education	How much is this boarding school?	i want to go to boarding school in switzerland i live in texas im 13 years old. You might think im crazy but i want to know how much it would cost and if you have any tips on raising  money please give them to me. Don't tell me i can't do it cause i can do anything when i set my mind to it. here's the website if you see were it says anything about money please give me a answer below thanks!     http://switzerland.tasis.com/page.cfm?p=... 
20090309211734AAmGUAM	Education & Reference;Homework Help	Can someone think of a Topic sentence for a Pediatrician?	I need to think of a topic sentence for a report on Pediatricians but I can't think of any.    *It should give a general statement about the career.
20090309212331AAXlsqm	Education & Reference;Home Schooling	Can I start homeschooling in the middle of a semester?	I'm a sophomore in high school and I am deeply considering being home schooled, mostly likely using an online program. School is really stressing me out and I think that homeschool is the best option for me right now. Also, my grandmother just moved in with us because she recently had a stroke. My mom is getting even more stressed out than me, and she could use my help during the day when I'm usually at school. Any help would be great! Thanks.
20090309215453AAeLHU7	Education & Reference;Home Schooling	Who goes to K12/TXVA?	Hiya! Who goes to K12/TXVA? I DO! I love it! what about you? And whose your teacher? Mines Mrs. Valdez!!! (:
20090309212501AAxtGHy	Education & Reference;Home Schooling	Can a school bus pick you up at a restaurant in the mornings and drop you off there?	my mom owns a restaurant and she leaves at 7 am and comes back at 11pm so basically im there all day and i was wondering could a high school bus pick me up to school and droped me off there after school
20090309214958AAsMhiO	Education & Reference;Higher Education (University +)	Is it hard to transfer into uic?	So I started community college in 2005, after two years i went to loyola. Completely bombed and changed my major from bio to communications. dumb.....i know, two completely different majors. So now i'm back at the community college i went to before, my gpa is currently 2.44, taking five classes to hopefully bring up close to a 2.8. Do i have a chance? I really would like to go to uic. I think my ending gpa at loyola was like a 1.7. I play softball right now for my communicty college, and played two years of basketball on a scholarship there as well. I am definitely taking classes during the summer at two different school, should i apply for fall or wait till spring 10?
20090309215315AAJlRf2	Education & Reference;Other - Education	What goes on a brochure?	for geography i have to make a brochure about sweden and i lost my sheet of paper that says what stuff i need to put on it       so far i have a few attractions, climate. poulation, maps, flag and area      what else should i put on it??      Thanks :)
20090309215801AAfclQR	Education & Reference;Financial Aid	How long from the time you apply, does it take to get the money from financial aid, and student loans?	The semester starts January 12th, and I am applying now, anyone know when I will recieve the grants and loan money? an estimate..
20090309220255AAV82jC	Education & Reference;Homework Help	I need help on this algebra  question, I have no idea how  to do it.?	"The length of a rectangular garden is 8 feet longer than the width. The garden is surrounded by a 4 foot sidewalk. The sidewalk has an area of 320 feet. Find the dimensions of the garden.      Help!
20090309220853AAhc6IC	Education & Reference;Words & Wordplay	WHAT IS ITS RUN TO MY ANSWER THAT IS BELOW?	A WHEELCHAIR RAMP HAS A SLOPE OF 1 OR 10. IF ITS RISE IS 5 AND 1 OR 2 FEET, WHAT IS ITS RUN?
20090309220724AAHkh9X	Education & Reference;Words & Wordplay	Is the following sentence grammatically correct?	"Maybe I'm still awake at 5 AM."
20090309221749AAskFcL	Education & Reference;Higher Education (University +)	I live next college(and need help)?	i've lived next to my college with my parents. I live about a block and half away. I've been very stressed about living with them because of the fact that it has limited me to be productive. I cant do anything as i used to do in the old college because now i feel my parents are "watching me" lol.I've lived with them, while going to this college for over two years. what would you guys do?. This is my last semester(I'm graduating). I want to have fun but i feel limited because of this issue. Should i move to an apartment(i don't have a job, although i'm very near to finding one)? whats the best thing to do?
20090309225345AAT9okO	Education & Reference;Teaching	Will regina saskatchewan allowing me to teach with a florida teaching certificate?	I am an american living in florida soon to move to canada saskatchewan, my question is will i be able to work in a school with having my teaching cerfiticate? i am not sure if canada reconizes my certificate and will allow me to teach
20090309230355AA93zi7	Education & Reference;Words & Wordplay	Tell me a story what does this means to you?	"All sunshine makes desert"
20090309224122AAQ4VS6	Education & Reference;Quotations	What does this quote means to you. maybe y ou can tell me  story about it , if you want.?	"Things don't change.You can change your way of looking, thats all"
20090309224652AAmTA3Z	Education & Reference;Other - Education	Is it considered prostitution to get naked and masturbate for someone if they pay you? (no touching involved)?	I want to give someone a show but not let them touch me. They would pay me but i don't want to be arrested for prostitution.
20090309224741AAqc1TA	Education & Reference;Other - Education	How do you stay awake at school after staying up all night?	I can obviously see I'll be getting very little to no sleep. I've got to type an essay for History, Finish a book I just got and write a story for English Lit. , Finish my Science crap, I don't have to but I got a band competition so I'm gonna practice Clarinet and my trumpet solo... so ... yeah and I gotta take a shower.........  So anyway, I'm the girl whos always falling asleep in class anyway, but now how do i stay awake during school? please help... anything... please...
20090309224929AAs1SAo	Education & Reference;Teaching	What colours can i do and dont with laundry?	ok well on my own now and having to do my own laundry and was wondering if anyone could make a simple list as of whites ovb with whites but then what colours can and cant i mix
20090309225058AAUQumU	Education & Reference;Words & Wordplay	What does el toro eloy mean?	N/A
20090309225658AADfLIw	Education & Reference;Higher Education (University +)	What would you say is the minimum gpa i need after 50 credit hours to transfer into U of I and get accepted?	I am trying to transfer to U of Illinois after my next year and ill have a totally of about 50 credits or so maybe 55 but what gpa would you say i need to have at the bare minimum to get accepted as a transfer student
20090309230612AAw2oix	Education & Reference;Teaching	What is Skill Acquisition?	N/A
20090309231004AAKjPKp	Education & Reference;Words & Wordplay	What rhymes with princess?	what rymes with princess
20090309231812AA63WCt	Education & Reference;Words & Wordplay	ALL YOU KNOW ON  M I S S C A R R I A G E S?!?	what is it? how do you get it. and what are signs of it.    i think im having one?
20090309232335AAgOyTA	Education & Reference;Homework Help	Alan kaprow and the happenings?? art history buffs please!?	how did alan kaprow influence social change through his "happenings" art work in the 60's? i need a short essay response and I cant find anything useful!
20090309233440AAEQMmF	Education & Reference;Words & Wordplay	What should i call my story?	My story is about a girl that falls through the mirror and discover's a world of mermaids, fairies and pirates. It is a children's story for children about 10. What do i call it??   Do u have any other idea's for character's names?
20090309233118AAJjAYG	Education & Reference;Higher Education (University +)	MA after BBA please help me...?	friends i want to ask is MA possible after BBA...please answer my question...i m in big problem...
20090309233645AATCaYJ	Education & Reference;Homework Help	Whats a good wa to end a speech?	9i have to do a speech at school about chocolate.. and i have no way to end it with a bang. Help?
20090309233709AANVBe7	Education & Reference;Higher Education (University +)	What else can I possibly do to apply for Naval Academy?	Junior.    2.88 CSU GPA   2.94 College Weighted   3.00 Weighted overall   2.85 overall   (I’m well aware of my non-competitive GPA -__-)   I’m aiming for at least 200 hours of community service.   . I am in Cross Country. I’ve taken AP World History, passed the test with a 3, and am currently taking AP English, AP US History, and Honors Chem. . Been playing an instrument for roughly 8 years and am in Advanced Band. Last year I auditioned for and was accepted into the district symphonic orchestra. I was the only flute player in my entire high school band to audition for the district Honor Band, the first one formed in  3 decades. I made the cut and was able to perform with the Honor Band.       I’m a Petty Officer 2nd Class in the Sea Cadets, and 4th squad leader in my battalion. The advanced trainings that I have completed include Intelligence Training, Surgical Technician, Hospital Corpsman, Junior Petty Officer Development Training, and Petty Officer Leadership Academy.       My grades may become my downfall. Should I even try to apply for Naval Academy anyway? What else should I do?
20090309233814AAzze7n	Education & Reference;Homework Help	Socail Studies Project Idea..?	I have to come up with a couple of ideas that I could use for my socail studies project, it can be about anything really, but I want it to be a bit different and so far I've come up with nilch, so anyone have some cool ideas, preferably something a year 9 could do?
20090309234451AACsse7	Education & Reference;Homework Help	What is 4c+c-7c simplify each expression by combining like terms?	simplify each expression by combining like terms
20090309234546AAB3jkC	Education & Reference;Words & Wordplay	How would you use these words in a sentence?	1.realm-a kingdom; a region or field of study.   2.warp-to twist out of shape.   3.sparse-meager, scant; scattered   4.remunerate-to reward, pay, reimburse   5.sterling-genuine, excellent; made of silver of standard fineness      Thank you! :)
20090227143833AANIwnF	Education & Reference;Higher Education (University +)	Do colleges see my criminal record?	I'm a sophomore in high school. I'm in Massachusetts. I didn't get arrested, but I have to go to a minor hearing in a few weeks about an assault case (please don't tell me I'm a bad person, that's not why I'm asking this). They said it will most likely be erased. So, therefore, a college has no way of knowing this happened? Thanks.
20090227131640AAMEzg3	Education & Reference;Homework Help	CLICK THIS-easy 12 points! Trying to understand "To kill a mockingbird" questions help?	Okay so. I'm up to chapter 17, and its a great book! I mean seriously. But there are still some things i am trying to think about...      If you could help me at with generation ideas, that would be great to get me thinking about what the answer could be          1. Learning can be difficult when we recieve "mixed" messages. Describe at least two different examples of situations where the kids recieve some kind of instruction on how to treat others.       2. Do you think racism is a significant problem in our society today? In what whats is it different from the time of TKM (To kill a mockingbird)? Explain.             Now, keep in mind that im not forcing you with my homework. I'm trying to get ideas that will help me to generate my own answers. So if you have any sugggestions or answers, please let me know.       Thanks
20090227142413AAubHBs	Education & Reference;Words & Wordplay	I see London, I see France, I see?	N/A
20090310002905AAbHqrY	Education & Reference;Higher Education (University +)	Associate Degree Question?	I have been pondering switching majors just so I can obtain my Associate's degree in science after next semester.  I do plan on going back to college, but as a single mother with a toddler at home, I don't have the kind of time to take full-time classes right now.       I was hoping to obtain the associate's degree in order to help find better work (outside of cashiering): Then I would like to work on my bachelor's degree part-time. Is this reasonable?       Does an associate's degree offer any kind of jobs that pay?
20090310011510AAgf6iR	Education & Reference;Other - Education	Are the year levels in schools in Australia are the same in New Zealand?	i was just wondering because I am A Year 11 student in New Zealand and i was talking to someone the same age as me online and he said he was a year 10?      So If i went to Australia would i be bumped down to year 10?
20090310004425AAttXve	Education & Reference;Other - Education	Whats a career with good pay and doesn't effect your social life/relationships?	N/A
20090310010734AAQrKja	Education & Reference;Other - Education	How do I remember what all I have studied?	I study a thing and forget in a few days/weeks, how do I increase my retaining power (in subjects like biology, chemistry and even physics-the derivations etc)
20090310005040AAY0yuM	Education & Reference;Quotations	What chapter in twilight is the quote: "about three things i was positive..... ?	bella saying it bout edward
20090310012844AAlN93R	Education & Reference;Homework Help	(Long-ish) I need help on a really important homework assignment, please?	I'm researching Bosnia & Herzegovina for SOSE. It's my main assessment for this term and is the majority of my score for this term too. So some questions that I can't find answers to are:      -Traditions and cultures relevant to your country.What do they celebrate, how do they celebrate, do they have traditional dance and dress? {All i found was how they traditionally dressed}   -Current trade relationships with Australia (imports & exports) {My teacher gave me a website  http://www.dfat.gov.au/geo/  but I don't understand it. I asked my teacher but she's a b*tch}   -Current international relationships (peace treaties, foreign aid, political conflicts)   -What you consider to be the 5 most important issues in the history of your country, and an explanation as to why you believe these to be most important {I don't need the whole reason and why and stuff, just some things that are important in the Bosnian history that I could research}      Any information that helps will be appreciated so much. :)
20090310013717AAu8ozf	Education & Reference;Homework Help	What Are Some Proper Nouns That Are Not People or Places, But Things?	I need about 5.
20090310005303AA65nAt	Education & Reference;Primary & Secondary Education	Tips how to fit in a new highschool?	I GO TO A CRAP SCHOOL NOW LOL. There is not enough sport and too much religion and its all girls, there are only 300 students that go there. So I'm channging to a sports excellence school with boys and girls. This school has over 3000 highschool students. And I heard there are lots of fights and lots of people judge you. Do you got any tips? like be happy and don't seem depressed? lol thanks
20090227131747AAlDfL1	Education & Reference;Financial Aid	My EFC is 2106, how much (estimate) will I pay out of pocket if my tuition is $252?	I am only taking 6 credit hours this summer (my first semester in college). The tuition cost for 6 credit hours is $252 (community college)...if my EFC is 2106, what will I be required to pay out of pocket (estimate)?
20090309235849AAlABr1	Education & Reference;Homework Help	English question please help?	One reason for setting a purpose for reading is to        a.improve your reading rate.      b.make a piece of literature easier to summarize.      c.make literary works seem more vivid and accessible.      d.focus and deepen your experience of a piece of literature.
20090227113032AA9KWz8	Education & Reference;Words & Wordplay	Please help me!!!!!!?	Please help me!!!!!!?   My personification poem   Clock   Ticking can be a heart beat   time can be life   things like that are what you want.      What else should I conclude?
