20090202214145AAWGQAL	Politics & Government;Politics	Is it time to get serious about peace: direct talks with Iran, Syria, and Hamas?	The time for stalling and BS has to come to an end.
20090203014448AA8qTjO	Politics & Government;Military	I plan on entering the Marines and after wards plan on going to college?	I didn't get the best grades in High School and don't have alot of the requirements like 4 years of math or foreign language.What would you suggest I do?
20090203014454AA2hiPZ	Politics & Government;Law & Ethics	What are you able to own with a Class 3 Firearms Licence?	Always kinda wondered that i know you can legally own a machine gun that has been made by a legal company. But what else can you own?
20090203015003AAVCdLE	Politics & Government;Law Enforcement & Police	American name for sheriff starting with 'm'?	something to do with law
20090203015156AAS9v5V	Politics & Government;Politics	Are you aware you are being toyed with and manipulated by the media and other "leaders" in society?	 http://www.stopcp.com/cpabout.php 
20090203015913AA00Q51	Politics & Government;Politics	Stimulus job creation uncertain?	"The models are based on historic experience," said Mark Zandi, referring to formulas he and other economists use to predict economic behavior. "And we're outside anything we've experienced historically. We're completely in a world we don't understand and know."      Zandi is chief economist at Moody's Economy.com of West Chester, Pa. His projection last week that the House-passed stimulus measure would create 3 million jobs by the end of 2010 — scaled down from a 4 million estimate he made days earlier — have been cited repeatedly by Democrats as justification for the $819 billion legislation         So the models are based on historic experience, yet they are outside anything they have experienced historically?  Does this give you confidence that this stimulus package will create jobs?
20090203020016AABayws	Politics & Government;Government	Will I get anything from the Kevin Rudd stimulus package?	My husband and i both work and are each on around 55k. Do either of us get anything? and do we have to wait until tax time?
20090203020322AAHmgxJ	Politics & Government;Immigration	How to add babies name on the passport as I am on student visa?	N/A
20090203020518AABPnTD	Politics & Government;Law & Ethics	Could criminal charges be brought against Pestinikas? What possible charge could be issued by New York Law?	Pestinikas and his wife verbally agreed to provide food, medicine, and other necessities to a sick and elderly 92-year-old man. Unfortunately, Pestinikas and his wife failed to provide the food and medical care they had been paid to provide. The state can prove that the 92-year-old man’s death was caused by this failure and that the man died of malnutrition and exposure.
20090203020644AAbLFxc	Politics & Government;Law Enforcement & Police	Meth Labs around me won't go away?	I have friends that live in north tulsa and have kids and all around their apartment complex there are meth labs.  You can smell it cooking, see the paraphernalia, see the tweekers, so on so fourth.  We have called the Police multiple times but they never do anything.  Does anyone have an idea on how to get the police to do anything about the problem.
20090203020756AADur0S	Politics & Government;Law & Ethics	Do you agree or disagree that men and women have equal rights in Australia? Why?	just in case that didn't make sense this was the full question... : )   The australian citizenship test states that men and women have equal rights in Australia. Do you agree or disagree with this statement? why?      Mainly the 'why?' bit : )
20090203020922AAgO3jg	Politics & Government;Law & Ethics	Defense lawyer was insultive and discriminating?	the defense lawyer in my case called me a black man, stupid,jack *** and that she will talk any kind of sheet to me as he wills, yale at me , all these happened inside the court-conference room while we were told by the judge to sought out some documents.   he insulted me to the extent that I could,t bear it any more and I decided to call the attention of the Judge, just after the judge left the room he started again, this time i felt insecure and dehumanized and disrespected. the Judge called us in and during our deliberation I told the judge his racial and insulting wards to me and that I need an apology from him, he refused to offer an apology, I sat back in the courtroom bench and wept. I remember the day I was born of being a man of colour. he left the room and later came in and called me into the room and apologized. since then, i have nightmares. I am disturbed by that action and I am seeing a psychologist now who can get me out of that experience. but how can I help my self ,what action can I take against the lawyer?
20090203021126AAQhK3F	Politics & Government;Civic Participation	Would you agree on prohibiting old people from marrying?	base on aristotles ideology..
20090203021401AAVOaFB	Politics & Government;Politics	Does joe kennedy's sudden death has something to do with the kennedy curse?	baseball pitcher joe kennedy died suddenly during the offseason last year. ironically, he shared the same name as the kennedy clan. though not blood-related, could this be a conspiracy theory or curse?
20090203022024AAxZ2UQ	Politics & Government;Law Enforcement & Police	Do TSA agents carry guns? What's the process in/to becoming one?	Ever since I saw the show 'Lie To Me' I've been wanting to become a TSA agent, but since I'm schizophrenic, I don't think that people would feel comfortable with the idea of me packing heat/carrying a gun...So that's why I ask. I did hear however that there are most definitely armed 1811's within TSA, although there does not seem to be much rhyme or reason as to where they are located, how many there are, or how there duties vary from airport to airport however. And if they don't what's the process in/to becoming a TSA agent/one? Are you or is anyone/-body you know a TSA agent? Thank you so very much! And no (bad) stuff about me being schizophrenic please, it's hard enough being one without people making my life hell about it...
20090203022926AAKCyK5	Politics & Government;Law & Ethics	Omissive property manager?	What would you do if you were a tenant and every time you ask your property manager to fix a leak, to repair the boiler, to fix the curtain rails, he took a month or so to do something?      Is it ok to call someone to do the repairs and deduct the cost from the renting? I am waiting one month to get a leak fixed. I and call the property manager on a weekly basis.      As it is my first renting in the UK, I don’t know if it is OK to quote two or three plumbers and get it fixed and deduct the service from the renting. What would you do?      Thank you all.
20090203023648AAw77ju	Politics & Government;Government	What organization elects the 15 judges of the World Court?	N/A
20090203024456AAI0P8K	Politics & Government;Politics	Who is more dominant in The U.S. government now, the Republicans or the Democrats?	Also, what will bush do now that he is no longer president?
20090203024536AAcHiiK	Politics & Government;Elections	What were important issues in the 1988 election?	Republican George Bush Sr vs Democrat Michael Dukakis
20090203024632AARiKlC	Politics & Government;Government	Do Apprentices Get Kevin Rudds $950 one-off payment?	as the title says as an apprentice will i be getting kevin rudds one off 950 payment, if so will it be processed with my tax return or will it be rolled out on a set date?
20090410122310AAyIsej	Politics & Government;Politics	Am i the only one who knows obama only won cause hes black.?	N/A
20060606042327AADHkmT	Politics & Government;Other - Politics & Government	PRESIDENT BUSH sends greetings from the AMERICAN people to all the peoples of ISLAMIA,?	Where the hell is ISLAMIA?? Is it near HINDULAND?
20060606093406AATAs0B	Politics & Government;Other - Politics & Government	What's more important to you, the economy or the environment?	N/A
20060608015822AABHuXv	Politics & Government;Politics	Do You Think this country needs a Woman President? If so who?	I'm The Ref, in a dispute, between my three Uncles, can you help, with a few good canidates for a woman Presidnet.
20060611190159AA0TZux	Politics & Government;Law & Ethics	Felony becoming?	i have a felony from when i was 18 i was in the wrong place at the wrong time i know a person who became a lawyer with a felony and how hard it was can i become a vet this my dream
20060611204944AAQ9OJm	Politics & Government;Government	I am trying to find stuff about my dad. can you help? his name is mark wayne mccarty?	N/A
20060612140931AAGY5Nd	Politics & Government;Other - Politics & Government	Who penned 1300 pages documenting the Holocaust while languishing in an Israeli prison?	N/A
20060612195041AAzdvHm	Politics & Government;Law & Ethics	Is there any website that tells you the laws of usa?	any laws
20060613011613AAeeziG	Politics & Government;Other - Politics & Government	Why can't human's get over the color of skin and the ladder society?	N/A
20060614182435AAhFoh7	Politics & Government;Politics	Can somebody give me a NON-BIASED view of the Bush administration's history of environmental policy?	I know a lot of people have accused his scientists of downplaying global warming but is it true?  Are the administration's actions accomplishing anything other than slightly appeasing specific  interest groups?  This is a serious question if you have time to answer it.
20060615003925AA1wQvL	Politics & Government;Other - Politics & Government	Should the Indian Government try to intervene in the political situation of Nepal?	N/A
20060615115017AAvM8j7	Politics & Government;Other - Politics & Government	Does anyone know who Jacob Zuma is?	And if you do, can you give comments on his rape trial and upcomming fraud trial?
20060616233731AAGC2tz	Politics & Government;Other - Politics & Government	Is ACLU, AFA and Christian compatible?	I am in no way activist on any particular issues nor christian nor democrat nor republican (that should cover all the ground!). But as far as I read about ACLU and AFA, they are clearly incompatible, espeacially on porno issue. But Christianity seems to be compatible with AFA very well, indeed. However, as far as I know about Christianity in term of fundamental belief on the Protestant point of view, I 'think' Protestant Christian is compatible with ACLU.       What is your view? If they are not compatible, what is it that they are not? Please identify some example issues. Thanks.
20060617072553AAOWzHI	Politics & Government;Other - Politics & Government	Dos Indy body know why we do not have a nuclear wast fallacy?	N/A
20060619142440AAlzHNK	Politics & Government;Law & Ethics	Just wondering, could anyone tell me which Amendment deals with interviewing and investigation?	Thanx alot.  Any help would be appreciated.
20060626082817AAj38Vm	Politics & Government;Law & Ethics	Do you think that women have gotten to an acceptable level of equality?	Do you think that women in the most part have reached a suitable level of equality?  If you do, then do you think some femenist leaders are trying to go overboard, or asking for way too much now a days?
20060621133951AA5sNwU	Politics & Government;Politics	Who is addo kuffuor?	N/A
20060622175246AAe5e2r	Politics & Government;Other - Politics & Government	Perche' hanno messo LUXURIA a rappresentare l'Italia in parlamento? Mi viene da vomitare!!!?	N/A
20060625072656AAw1yCd	Politics & Government;Politics	Why do many Neocons confuse the concept of Pro-choice with Pro-death?, are they on dope and can't think?	I see this constantly from the Neocons, No one in their right mind is "pro-death" yet the neocons are constantly trying to pin that lable on those of us who are pro-CHOICE, Why?
20060626055333AAThAAT	Politics & Government;Other - Politics & Government	Se ci fosse stato un referendum se far ritonranare i savoia in italia che cosa rispondevate?	N/A
20060630023840AAsulww	Politics & Government;Other - Politics & Government	Perchè quando si parla di politica si finisce sempre per litigare?	N/A
20060626200014AAaJ0Rf	Politics & Government;Politics	If you had to pick one supreme court judge for your fantasy team, who would it be?	i'd have to go with scalia. that guy is sickkk.
20060627065004AAKmAcu	Politics & Government;Other - Politics & Government	Do you think the state of Utah is looking the other way when it comes to polygamy matters?	N/A
20060629155558AAHvJNy	Politics & Government;Government	Secondo voi quanto tempo manca per vedere il"nano maledetto" dietro le sbarre?	N/A
20060629204343AABGAw9	Politics & Government;Politics	When will organizations such as the NRA, the Christian Right and Oil/Media Corps. stop dictating policy?	N/A
20060816020927AASq0Wq	Politics & Government;Immigration	Hina, la ragazza sgozzata: "Il padre avrà avuto le sue buone ragioni"?	Avete sentito il commento di quel rappresentante islamico, che, dopo aver formalmente condannato il gesto (la ragazza è stata sgozzata dal padre perché si era occidentalizzata), ha però affermato che "se è stato il padre, certamente avrà avuto delle buone ragioni".  Brrrrrrrrr!  Non vi fa impressione?
20060714130727AAMI41U	Politics & Government;Law & Ethics	Is it legal for FSBO to offer private parties (no Realtors) a  1% finders fee?. Advertise this also- flyers..?	We would like to know the law concerning this. We are planning an add campaign in our surrounding community. We want to send out brochures or flyer's and offer 1% of the selling price to anyone other than real estate agents who finds us a buyer or who buys without an agent.
20060706053831AAcdBAG	Politics & Government;Government	How much Gold does the Federal Reserve have?who owns all these gold?	N/A
20060821223306AABckJZ	Politics & Government;Military	Is anybody married to someone in the Air Force? If so what base is he or she at?	N/A
20060708220001AAx6LIL	Politics & Government;Other - Politics & Government	Dnde est Osama?	N/A
20061024112452AAk7bvj	Politics & Government;Elections	Porque numa na??o como a nossa a popula??o acha gra?a das merdas que fazem contra nos n?o fazemos nada contra?	Somos a maioria, vamos fuder eles, n?o podemos continuar omissos e ver apenas os fortes e ricos se fortalecendo e enriquecendo!!!!   ATITUDE e REVOLU??O contra todo o sistema de governo!!!   Somente amea?ados de alguma forma eles se corrijir?o!!!
20061024110534AAzKwCC	Politics & Government;Politics	Você faria parte de um movimento revolucionário político em prol de uma na??o igualitária e evolutiva!!!!	Acho que a tolerancia da popula??o diante de tanta safadeza, a impunidade, o abuso, desigualdade e indiferen?a do povo em rela??o ao que fazem com o Brasil na nossa cara n?o podem continuar!!!   Devemos agir de forma radical!!!!
20060718203513AASfUkI	Politics & Government;Military	Do you really think world war three is starting, or do you think it's just another hoax?	N/A
20061017120918AA16fr4	Politics & Government;Civic Participation	Cómo se hace que tus propios pedos huelen bien, cuando los ajenos huelen muy mal?	Cómo se distinguen?
20060910090113AAmyJNC	Politics & Government;Other - Politics & Government	"OH NO! The Taliban are coming back in Afghanistan!" Gimme a break.?	After we have WON a couple of small battles with those bozos over there, people are saying we are losing and that becasue of this, we have failed. Are people so stupid? Do you not relize what this is? Its their final do or die moment. Its their last push. They have relized that if they fail at this, they are gone. Thats it! We aren't losing, their just doing their final push. Happens in every war.
20060829072153AAnhJtO	Politics & Government;Law & Ethics	Curbstoning illegal in Indiana???	Is it illegal in Indiana. Is it illegal to knowingly buy a car from a curbstoner in Indiana?
20060630143019AAzdk3i	Politics & Government;Immigration	If I want to visit the US longer as a tourist than what I stated at the border, do I need to fill out a form?	I'm a Canadian citizen and would like to visit the US as a tourist, most likely by car.  I've heard that I have to state how long I will be visiting, but if I change my mind after entering and would like to stay longer (stay another week, for example, for a total of 2 weeks), then do I have to notify the border authorities (or fill out a form)?
20060630225948AA0ilWl	Politics & Government;Government	Can any body post me the meaning of the Indian national anthem.?	N/A
20060706055232AA7pHMN	Politics & Government;Politics	Todo político pra você é LADR?O?	N/A
20060707083646AAzJvgA	Politics & Government;Other - Politics & Government	Are Rush Limbaugh and Hillary Clinton Having an Affair?	America wants to peek under the covers. . .
20060712004401AAq21sj	Politics & Government;Immigration	Y does the aussie govt bring in people when there is not enough jobs 4 australians ??	N/A
20060713122926AA2RYTO	Politics & Government;Military	I guess now I want to know why we WANT to be in Gitmo?	N/A
20060714082353AA4oJMk	Politics & Government;Immigration	Are you in support of Amnesty for all ilegal immigrants in the uk?	N/A
20060715145923AAF4UKC	Politics & Government;Military	Where would it be better to be an Aircraft Mechanic, Coast Guard or Navy??	I either wanna be an Avionics Technician or A&P mechanic for a career. I know both Coast Guard and Navy have aviation jobs that can help me with that. I'm not sure which branch would be better to join. Can i get some advice please??
20060715223607AAwoNrp	Politics & Government;Government	Which is the most corrupt government in asia?	N/A
20060717014054AA5LLMo	Politics & Government;Government	Rimpiangerete berlusca..vedrete a che miseria ci porta sto governo?	borse a picco  7 categorie in rivolta in un colpo solo (mai successo)   la magistratura che distruggera' societa' a destra e a manca vedi calcio, reti televisive che dovranno chiudere      arriva la miseria vera adesso   grazie prodi   grazie mortadella
20060718073338AATf1g5	Politics & Government;Military	Cosa ne pensate della guerra che si sta svolgendo ora nel madio oriente?	N/A
20060719092415AAVmfCy	Politics & Government;Government	Fahrenheit 9/11?	Hour long standing ovatiol      Al Gore was cheated.      Any comments.
20060721214431AAUSdKb	Politics & Government;Politics	Para q demonios tenían bomberos e hidrantes los picapiedra si todo era de roca?	N/A
20060728004243AAYUeIl	Politics & Government;Law & Ethics	Cosa ne pensate dell'indulto?	Dodicimila detenuti verranno messi in libertà.   I grandi evasori, pedofili, truffatori magari no, ma i piccoli delinquenti (quelli che in sostanza ci scippano, ci rubano l'auto, ci rapinano per strada) sì.   Le nostre città saranno molto meno sicure.   Le nostre case anche.   Bella trovata ha avuto il nostro governo...   Voi cosa ne pensate?
20060730120023AAz9Zki	Politics & Government;Immigration	Click On This One Yoo Who!! :)~~~~?	....Okay.. they say this isn't a racial issue..       And it's not.. But when people specify illegals, they are speaking to those-- who just by "coinsedence" are of hispanic origin or descent..       ...hmm, I wonder why that is?      ..Yes, illegals aren't just made up of Mexican's...      however, according to the federal resources, roughly 92% of the illegals are of Mexican nationality.      So...ya, not all are Mexican's, but.. ya... 8% ???      Get real...      92% is a lot of Mexican Mo Fo's... What is that nearly 1/2 of Mexico?      Mexico is only 108 million strong. Since I'm gonna go with my statistics (having worked hand in hand with the government and their downsizing figures), that means there is really 60 mil. illegals.. 92% of 60 mil. is 54 mil.      That's that would conclude that literally 50% or 1/2 of the Mexican populace is currently in the country!      Which makes sense, if they are taking over.. Send 1/2, while the other stays here to protect the country...      What do you think?
20060808011527AA7GjMY	Politics & Government;Politics	How many languages used in the UN?	N/A
20060808035219AA1b12I	Politics & Government;Politics	What do u think of Galloway interview?Is he right or wrong?	Please listen to the interview before you answer ... it's only 10 min long ...       http://news.sky.com/skynews/video/videop...       Please do not offened anybody by your opinion ... thank you   Brief answers are readable more ... so keep it short Please :)
20060810194005AAKFh7e	Politics & Government;Politics	Does anyone else see this as a congregating place for racist to spew their racist ideas behind an avatar?	I have asked and answered questions and I see alot of racist elated at an opportunity to bash minorities. I can see how these cowards look to the internet considering how they probably aren't showing how big of a Bigot they are in the real world. And those same people dening that racism even exist. If you are one of these people I find you to be very sad. I pray that god forgives you because he does not like ugly.
20060813074908AAZ8UZe	Politics & Government;Other - Politics & Government	Will you allow yoursell to be chipped by the Govermnet?	It has been passed that by may 2008 all united states people will have to have a tracking chip placed in your drivers license and id's like social security cards ,credit cards and banks cards.    You can refuse but if you do you cant bord a plain,train,have a bank account and so on. Will you allow yourself to be chipped?    see here for the whole story    http://www.freedomtofascism.com/ 
20060813182149AAY80s0	Politics & Government;Other - Politics & Government	This is a question for all you americans?	have any of you see the movie / doco loose change its based on september 11 if antone has seen do you think theres any truth to it ?????
20060814011146AAYJDdk	Politics & Government;Other - Politics & Government	Sommartino ucciso dall'ipermedioevoalismo islamico?	il povero angelo sommartino, impiegato dalla cgil in un'attività sanitaria a favore dei palestinesi residenti a gerusalemme. può essere stato assassinato da qualche servo di allah che ha confuso gli insegnamenti di maometto.per molti palestinesi ( la maggioranza , visto il successo di hamas) non c'è differenza fra fra laici occidentali e "crociati" !  gli insegnamenti fondamentalisti islamici fanno di tutta l'erba un fascio. chi lo sa!? forse angelo è stato ucciso perche portava l'orecchino,o perche frequentava ragazze dal viso scoperto,o perche dichiarava di essere ateo. possono essere mille le ragioni di questa tragedia! in irak un gruppo di tennisti è stato massacrato da un'orda di sciiti perche andavano a spasso con i calzoncini!!hina la ragazza sgozzata dai familiari e sepolta alla maomettana con la faccia rivolta alla mecca, era colpevole di voler vivere pacificamente senza oppressioni religiose! oggi siamo  a questo punto!
20060816050311AASqpxY	Politics & Government;Other - Politics & Government	Perché se muore un soldato in Iraq si fanno i funerali di Stato, ma se muore un muratore su un'impalcatura no	N/A
20060816011054AAN1Gjo	Politics & Government;Law & Ethics	Esistono le giurie popolari in Italia?	E' possibile far parte di una giuria popolare in tribunale in Italia? Ovviamente la scelta non è mia, ma immagino possa esistere una lista come per gli scrutatori o i presidenti dei seggi elettorali...
20060817050025AA5rLWc	Politics & Government;Politics	Avete sentito la recente notizia dell'arresto del pres dei ds della calabria, si lui ke parlava tnt di mafia?.	ke vergogna la gente è piena di pregiudizi.
20060818074748AAcH5z0	Politics & Government;Government	What do you think of governers terrorism in iran?	N/A
20060818080450AAdJmaq	Politics & Government;Immigration	Letter's from INS....What a mess!!!. I need some legal advise asap!!!?	I've been a US Permanent Resident for 10 years, I applied to my Citizenship(N-400) on 2004 + $400, I haven't received any appoinment/interview letter since then. I've been talking on the phone with them way too many times, and they still can't figure it out. They don't give any info at all, they don't say that my case has been close either. I don't know what to do any more....I can't afford an inmigration lawyer, any legal advise, PLS.
20060828185812AATdvwL	Politics & Government;Military	In Pearl Harbor movie, what did those Japs used to fire the Doolittle Raiders?	the round explodes in mid air, exactly the altitude the planes are flying in.... is that a type of an automatic grenade launcher? if you know the name of the weapon, pls answer...
20060828220709AAjihjW	Politics & Government;Other - Politics & Government	What state is it legal to get married in? (for 16 y/o)?	N/A
20060902114157AAn8qPJ	Politics & Government;Politics	What is the definition of homophobia and what is a homophobe?	N/A
20060902204920AAkBiYv	Politics & Government;Other - Politics & Government	If lease is up can lanlord remove stuff if haven't paid ren but have not got a eviction notice?	N/A
20060903230217AAlrXr6	Politics & Government;Law & Ethics	How do you fight CPS and win?	N/A
20060915081236AAC5GG0	Politics & Government;Law & Ethics	Perch L'America L'Europa devono dare milioni di dollari aipalestinesi quandoglisceicchi hanno panfili ville	N/A
20060927004807AATvjlv	Politics & Government;Other - Politics & Government	Avevo segnalato il massacro che avviene in Darfur a causa delle  milizie arabe,ora venus 2 da colpa agli USA.?	E' INCREDIBILE COME CI SIANO PERSONE CHE NON HANNO CAPITO CHE I CAVALIERI ARABI DETTI JANJEWEED RESPONSABILI DEL GENOCIDIO IN ATTO NEL SUDAN CONTRO LA MINORANZA CRISTIANA,SONO FORAGGIATI DALLO STESSO GOVERNO DI KARTHOUM,NON DAGLI USA.IL SUDAN E' UN COSIDETTO STATO CANAGLIA CHE OSPITA CAMPI DI ADDESTRAMENTO DEL TERRORISMO INTERNAZIONALE ISLAMICO.SEMMAI SONO RUSSIA E CINA CHE APPOGGIANO LA POLITICA DI PULIZIA ETNICA PORTATA AVANTI DAL SUDAN ISLAMICO AI DANNI DELLA POPOLAZIONE CRISTIANA,PER GARANTIRSI IL PETROLIO,IMPONENDO ALL'ONU LA CLAUSOLA CHE SOLO CON IL CONSENSO DI KARTHOUM,SI POTRANNO INVIARE I CASCHI BLU,COSA CHE NATURALMENTE I FURBI ISLAMICI NON ACCONSENTIRANNO MAI.CHE C'ENTRANO GLI USA ?ANZI LA RICE VISTA L'INDIFFERENZA DEL MONDO NEI CONFRONTI DEL GENIOCIDIO CHE SI STA PERPRETANDO,AI DANNI DEI CRISTIANI(RICORDO300000 VITTIME IN SOLO TRE ANNI) CON NEFADEZZE DI OGNI TIPO .STUPRI INFIBULAZIONI DECAPITAZIONI DI CRISTIANI CHE NON SI CONVERTONO ALL'ISLAM  HA DECISO L'INTERVENTO ARMATO
20060915100132AATHyND	Politics & Government;Politics	Why is America sick and tired of liberalism?	N/A
20060917123046AAdZ5yg	Politics & Government;Other - Politics & Government	El estrecho de Gibraltar,?es espa?ol o inglés??Como está repartido y desde cuando?	N/A
20060919070849AA6E68f	Politics & Government;Other - Politics & Government	Se i mussulmani attaccano il vaticano che fine faranno i cattolici ?	N/A
20060919083503AAt3dgw	Politics & Government;Politics	Cosa ne pensate dell'affare telecom e del coinvolgimento di mr prodi?	N/A
20060927022206AAXX25G	Politics & Government;Government	Pollici riversi ?  e chi se ne importa io dico la mia !?	Ho un mega rospo in gola.   Silvio Berlusconi : Grande presidente di una squadra vincente , Grande imprenditore che almeno per quello che riguarda le sue aziende ha davvero creato migliaia di posti di lavoro , Grande stratega dell' economia , Grande comunicatore , Grande uomo con un Grande senso dell' ironia , Grande Presidente del consiglio , l'unico a non percepire stipendio , Grande perchè anche quando c'era da piangere ha sempre sorriso ai suoi elettori trasmettendo serenità e conforto , Grande per la sua positività.   Ma perchè al governo ora c'è Prodi , che trasmette tristezza , insicurezza , nasconde misteri , ma soprattutto perchè si dice che Silvio lo hanno cacciato perchè faceva i suoi interessi , ma vi siete dimenticati di telecom serbia, cirio ,parmalat , e oggi ancora telecom  , Che racchiusi in una parola c'è dietro il nome Prodi.      Perchè Berlusconi mafioso , e prodi Santo ?      Votatemi pure contro non mi importa anche se penso di non aver offeso nessuno.
20060920053414AA0LQNl	Politics & Government;Law Enforcement & Police	Does yahoo have police that go to peoples homes to take complaints?	This guy told someone that his computer was hacked so he called the local police and they sent yahoo cops to his home to take the complaint.
20060921171120AA04icR	Politics & Government;Other - Politics & Government	What is the patriot act? And what does it mean?	N/A
20060922204223AAobqx5	Politics & Government;Military	Why has Bush proposed giving nuclear technology to India and why is congress approving it?	Reminds me of the time Reagan and Bush I supplied Saddam with Chemical weapons and other armaments
20060924073726AACSYW3	Politics & Government;Immigration	How can one get employees from overseas to work in canada?	Other than llegally.
20060924145838AAyzjbC	Politics & Government;Government	What is the title of the leader of the legislative branch?	N/A
20060925162736AA3Smgy	Politics & Government;Other - Politics & Government	Kerry says taliban is winning, Karzai Afhganistan Prez says "we won the war, now we only need finsih it"	Nato forces have devistated resurgent Taliban forces in the last weeks. Austrailian forces killed 500 Taliban and suffered only 6 wounded in one engagement. Nato forces just killed a top Al Queada leader
20060925164426AA8CnLi	Politics & Government;Politics	Is the economy cooling TOOO FAST?	N/A
20060927015148AABCwmb	Politics & Government;Law & Ethics	PENA DI MORTE:siete daccordo o no?	pensa se tua figlia di 12 anni viene stuprata,picchiata selvaggemente e poi uccisa.adesso cosa ne pensi?
20061001091558AAfFeIj	Politics & Government;Politics	What are the implications of changing goverments in Jharkhand?	N/A
20061001172043AArOksS	Politics & Government;Other - Politics & Government	Should the Government track your movements and transactions?	If you are not open to everyone you are obviously doing something illegal.        All forms of transportation should have GPS tracking devices.   When you leave and enter a place you have to us your national ID to swipe in and out.      All this is to bring about safety, security and justice.
20061001174840AAAnrOL	Politics & Government;Government	Who must approve of any treaties that are made with foreign counties?	N/A
20061004135551AAfUEgo	Politics & Government;Other - Politics & Government	They can see what books you read?!?!?	So I was at the library the other day and noticed a posting that the government could see what books you checked out. Then at the bank they said they keep records of all those who withdraw over $100/day. There are security cameras all over the cities. I understand that this is meant to protect us, but isn't it a little much?
20061024110420AAW2W7y	Politics & Government;Elections	Publicamente o Collor assumiu apoio  candidatura de reelei??o do Lula..........................	Se o PT  o partido comprometido com a causa da tica poltica, n?o  arbitrrio e contraditrio aos "ideais partidrios" petista receber apoio do Collor? O que  tica para o PT?
20061024110716AA7s8if	Politics & Government;Elections	Quem enriqueceu mais depressa: Lary Page (criador do Google) ou Lulinha (filho do presidente Lula)???	N/A
20061106225251AAb78dt	Politics & Government;Politics	In 60 words or less for each, sum up DEMOCRAT and REPUBLICAN?	so i know which candidate to vote for if a libertarian isnt on the list
20061230024041AAPSZU2	Politics & Government;Law & Ethics	Question for Law school students, or lawyers!!!!?	I know I want to be an attorney. I have worked with international human rights organization and became fascinated by the work that attorneys did there.   I've already applied to some schools. But in reading about classes and the bar exam, It scared me! Suddenly I'm feeling insecure and I just don't know if I am cut out for it. It sounds very challenging and frankly, a bit dry.   The LSAT was very difficult and I did not do well. I did however perform very well in college...high GPA. This is mostly because I have a good memory, and excellent writing skills. I like subjects in the social sciences.       I am afraid that if law school (and/or the bar exam and legal profession) is anything like the LSAT, I will fail miserably. Any advice?
20061130111456AAj1c5b	Politics & Government;Other - Politics & Government	Por que as filas de banco s?o enormes?	Pra onde vai nosso dinheiro, aqueles reaizinhos que o banco come de nossa conta por qualquer motivo?   Entro numa fila e fico 1 ou 2 horas esperando. Isso é fogo.   Descaso com ostrabalhadores que perdem horas nas filas do banco.   O banco enriquece e eles colocam 3, 4 ,5 atendentes para uma fila de no mínimo 40 pessoas, que em alguns dias aumenta e é assim odia todo.   País de FDP...
20061031094925AAaaXBw	Politics & Government;Politics	Si te presentases a presidente del gobierno ?qué cambio/promesa propondrías?	Y que pensases cumplirlo claro está
20061027161429AAl5frY	Politics & Government;Politics	Seen the ad directed against Harold Ford of TN, the one with the Playboy Bunny?Sleazy or just typical politics	N/A
20061107085248AApd3v0	Politics & Government;Law & Ethics	Are bulletproof vests illegal in the US?	N/A
20061107171403AArPXCP	Politics & Government;Law & Ethics	Can convicted felons vote ? If not , why  ?	N/A
20061109172456AAnlNHa	Politics & Government;Law & Ethics	What Should I Do?	I don't know if this is typical but I believe my teacher has a pedophelliac tendencies. He's not harming anyone technically but he seems to have an unusual amount of affectionate (or discrete, shall we say) to unaware freshman girls. I've seen this repeatedly when I stay during lunch in his class, he usually sits with a girl, typically instructing her what to do and talking very softly. Today wasn't any special, I stayed after school and I witnessed him showing an abnormal display of affection on this girl who was correcting papers. He kept constantly joking around and laid his hand on her shoulder. I don't know if this is a legitimate reason to believe he's a pedophellic but he got kicked off from being the swim team's coach over a few ago and he's rumored to be a pervert.
20061111053612AAtCpiJ	Politics & Government;Politics	Is it a war of peace?	N/A
20061111064627AA8L8L0	Politics & Government;Other - Politics & Government	Why do ppl still think Bush is the good guy?	N/A
20061111055350AA2mREy	Politics & Government;Politics	Would it be the newly elected congress/senate fault if we have another terrorist attack tomorrow or?	would it be coincidental or would it be revenge for the lraqi mess?      I can see media and the Bush regime grabbing on to such an event to say because of this last election Democrats' policies caused it.
20061117101109AAiPtw0	Politics & Government;Elections	?estallara la violencia el 20 de noviembre o el 1 de Diciembre en Mexico durante las dos tomasde protesta?	quien llegara a la presidencia de la republica      quien sera el vencedor de este duelo       quien AMLO vs  FECAL      ANDRES MANUEL LOPEZ OBRADOR PRESIDENTE DE MEXICO        un hombre que lucha por el bien de todos y que defendera al pais del mal.      FELIPE CALDERON PELELE Y PELON  SRFRAGIO EFECTIVO      ESTE HOMBRE LLEGO A SER DECALARADO EL VENCEDOR PERO LA VERDAD ESQUE HIZO TRAMPA  YA QUE OBTO POR UN FRAUDE ELECTORAL PARA APODERARSE DEL PAIS Y LLEVARLO A LA GUERRA CONTRA OTROS PAISES PODRA MEXICO SER SALVADO DE ESTE TIRANO O QUEDARA ATRAPADO DE 6 A MIL A?OS DE ESCLAVITUD.      NO SE PIERDA EL DUELO FINAL      AMLO vs  FECAL      HAGA SUS APUESTAS
