20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20090305002148AAH9uJY	Society & Culture;Languages	How is foreign language helpful to students?	Please at least give three reasons, and be descriptive. Thanks!
20090305002527AAUyeLl	Society & Culture;Religion & Spirituality	Atheists: if more than 15 minutes pass without a Xtian asking why atheists are here...?	Do you start to wonder if maybe the Rapture has happened?
20090305004030AAJ1882	Society & Culture;Religion & Spirituality	Xtians: do you appreciate/enjoy art or music inspired by other faiths?	If so, what draws you to it?      Thanks in advance.
20090305005544AADRuUB	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Fav photo? LEAVE COMMENTS HERE, borreedd?	hey everyone. i just came back from a run with my dad :) and my legs are KILLING me and my head hurts too :(. AND i have an assignment due tomorrow which i havent started. i know im screwed right..      anyyways, im sad so cheer me up X)      what did everyone do today? hows your life atm? if you want a rant leve it here..      oh right ok i better ask a question.... hmmmm      ok, what is your favourite photo?   mine is of me when i was 2 and i had REALLY curley hair thats literally in ringlets and my dad is holing a bucket with me in it, and im laughing really hard and you can see my dimples :)      whats yours?
20090305005521AA4WSuZ	Society & Culture;Cultures & Groups;Other - Cultures & Groups	If your less than 50% Native American does it..?	In my opinion if your less than 25% Native American then technically you shouldn't Racially call yourself Native American......if you are less than that and even if your raised as an NDN your just a person raised into that culture......so that would make you a (what ever your race is) adopted into the culture.....the same way a White person might adopt African American life-style.........feed back neg. or positive please.
20090305001556AAFO5nw	Society & Culture;Other - Society & Culture	What famous person do you think should not be allowed to reproduce?	Mine is Andy Dick. EWWW
20090305001137AAar0Ss	Society & Culture;Other - Society & Culture	Why do guys like it when.....?	when a girl wants to see their dick? If you're a guy, can you explain in detail please. B/c most girls don't want to be seen naked or don't care. But i noticed that some guys really get off on the idea of a girl seeing their package. Why is this?
20090305011444AAMvkBe	Society & Culture;Other - Society & Culture	When is it Mothers day?	Is it this Sunday?  I need to get my mom and mom in-law a pressie!  Thanks in advance.  XXX
20090305021852AAlBe32	Society & Culture;Mythology & Folklore	I look like a corpse. Is it the Fags?	I am a heavy smoker and I look a bit like a corpse in the face. My skin is rough too, kind of like an orange peel texture. Is it the cigs? Will i look like a normal person if i quit?
20090305020306AAV1eQq	Society & Culture;Other - Society & Culture	How you are helping your....?	how you are helping your environment,nature.   i try to avoid using poly bags,don't throw garbage on streets,switch off the lights when they are not in use   wat u do for it..please tell truly   thanx 4 answering
20090305013311AAftXAv	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Black or white one like this?	I need to buy a new cap white or black. I only have a picture of the white one.    http://www.designerclothesonline.co.uk/p... 
20090305001219AAjzssY	Society & Culture;Other - Society & Culture	Can some1 help me with an interracial marrige debate?	Im going to have a debate in class on interracial marrige.  I need to give points on why interracial marrige is an acceptable thing.  Can anyone give me suggestions on how to better explain reasons why interracial marrgie is a perfectly acceptable thing.  Please dont use the love suggestion, because that goes without saying.  So far i have that interracial marrige is ok because of love, traditions are old and the world is ever changing, helps people understand eachother better, and greater genetic diversity.  Thank you very much.
20090305003655AAAcSDe	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What do the rest of the world knows that the Americans don't know?	N/A
20090305001119AA2TuMI	Society & Culture;Other - Society & Culture	What can we do as a society to eliminate Phil Hellmuth?	His crying about losing is really babyish. I do not believe he is a real man.
20090305001706AAbdn0N	Society & Culture;Etiquette	How much do you tip for a Pedicure?	Hi all. I hate figuring out tips. I don't get Pedicures often, maybe once a month. So how much do you tip for a $30 pedicure? They always do a good job! So what would you tip? Thanks guys!!
20090305021241AAqHzgM	Society & Culture;Religion & Spirituality	Spiritually speaking; Who is in charge of the clear and present danger known as the "New World Order"?	Hulk Hogan, Kevin Nash or Shawn Michaels?       http://en.wikipedia.org/wiki/New_World_O... 
20090305001939AABKoJg	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Is monoculturism the same as being racist?	N/A
20090305003430AA60wBJ	Society & Culture;Mythology & Folklore	Is it true that vampires MUST be beautiful?	i heard somewhere that they must be beautiful to attract their prey.   as far as media portays it, i have never seen an ugly vampire before. if this is true what about those fat gothic people who clam to be vampries?
20090305004544AA61mDr	Society & Culture;Other - Society & Culture	Why were Civil Rights (in America) established?	i do have an idea on it, but i'd like to know other people's views on it... =D
20090305011544AAOrZEy	Society & Culture;Religion & Spirituality	When someone said they are Christian, I always assume that person is flexible and friendly, but why?	I thought... wow,, that person is a Christian...      but then after chatting...   they are mean spirited... unfriendly, cold toward me...          I expected that person to open his arms and welcome me...  give me a chance...   I was wrong.
20090305005333AAd0g84	Society & Culture;Languages	How do i say these things in japanese?	<-- this is me     (like pointing at a photo of myself)      this is my friend ally      these are my school friends
20090305013146AAt2Vvf	Society & Culture;Languages	Link to kanji for the japanese word for neighbourhood (kinjo)?	Just after the kanji for neighbourhgood, thank you!
20090305015225AAZa2f7	Society & Culture;Other - Society & Culture	Why do bad things always happen on a Thursday?	Thursday 9/16/04 - suspended from high school for repeatedly punching the wall. Some teacher pissed me off giving me detention for talking in class.      Thursday 5/1/08 - got kicked off college campus after a semester of CONSTANTLY unleashing my wrath on everyone and everything. Some girl I wanna be friends w/ won't talk to me and it pissed me off.      Thursday 1/8/09 - got fired from Wal-Mart for yelling at a coworker and punching/head banging the pole at the fitting room in front of customers. Coworker pissed me off over that cart of apparel returns that she accused me of not getting done. (but truth is i did.)      So is it karma or just a coincidence that bad things in my life always happened on a Thursday?
20090305014038AAWhxQ0	Society & Culture;Cultures & Groups;Other - Cultures & Groups	I'm runnin shylockin gamblin an protection.Whaddya gunna do about it?	I've put dis in culturs and groups cos I belong to a very special Italian cultural club!
20090305000959AAUzLmR	Society & Culture;Religion & Spirituality	What is the Importance of Animal rights in relegion?	N/A
20090305021626AAcolxP	Society & Culture;Other - Society & Culture	Why are REAL criminals let off lightly whereas ordinary people are prosecuted harshly?	Only yesterday I was watching 'Police Interceptors" and it showed them chasing a 'millennium style' burglar (he'd broken into a house to steal the car keys) and was driving at 90mph through a residential area in the stolen BMW M3. They eventually cornered him in a cul-de-sac and as a female officer went to the car he tried to run her over. He was arrested.   At the end of the program, this announcement was made..."The driver of the stolen BMW could not be linked to the burglary, so he was released without charge."   WHY???....    1) he was driving a stolen car!   2) he was driving at 90mph in a residential area   3) he tried to run an officer down.      Any ordinary driver would have had the book thrown at them for that.      There was also that lady who smacked a teenage vandal (who was desecrating a war memorial) across the head with....wait for it...some paper. The police were called....the vandal was released....and the lady was arrested for assault.   What HAS happened to the justice system in the UK?
20090305015345AAMIoNO	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Don't people from the south know that the civil war is over?	i mean really
20090305014557AAtFxbM	Society & Culture;Other - Society & Culture	Why don't women like to be stared at like zoo animals?	i heard a woman say that is rude to stare.  I'll do what i want.  Women are things and deserve to be stared at. They don't have feelings
20090305014706AA4ZT9v	Society & Culture;Other - Society & Culture	Why is poverty so hilarious?	N/A
20090305001404AA7b2Ud	Society & Culture;Other - Society & Culture	What's the best way to start out your morning?	I need to change my routine.
20090305013225AAt40m6	Society & Culture;Religion & Spirituality	Spiritually & creatively?  Theme ideas for an R & S cafe?	Would we need a liquor license?  Decor?  Background music?  A mini-museum co-op art exhibition featuring the departed and deleted of R & S?      Your thoughts, decor ideas, etc....  Food selections?  Bran muffins, koolaide & Babby?
20090305020319AAdaHG9	Society & Culture;Religion & Spirituality	Do you ever check in once and a while to see what your old beliefs look like?	N/A
20090305002023AAEbMJC	Society & Culture;Religion & Spirituality	I would like to convert to Russian Orthodox?	How do I go about doing this?
20090305013941AAitMmw	Society & Culture;Etiquette	Help with federation for all states?	I would like to know some more information about the following   * the first governor of each state and dates if you know any of them   * People who supported fed from each state if you know any of them    *their capitals (each state)   * last if any thing important happened in each state which had to do with fed       any info will do and links    thanks
20090305012736AAWBqLG	Society & Culture;Religion & Spirituality	Do you ever hide your faith and if so,why?	N/A
20090305012221AAqTApY	Society & Culture;Religion & Spirituality	Spiritually speaking,isn't this article so sexist?	 http://www.irishtimes.com/newspaper/opin...       I complained to the author.I had thought that the equal rights movement for women had achieved a lot,but apparently not.
20090305002149AAB4kjn	Society & Culture;Other - Society & Culture	Do you think its crazy to build a house all by yourself and live in it?	Ive been building a fort or a "house" if you can call it in the forest close to a city. The materials Ive been using are logs Ive picked up from the ground, plus sticks and boulders but the land is officially owned by the park.  I used no nails or adhesives in the construction because I have only stacked the logs and rocks together to create the exterior.  So far I have constructed a wall using a system of sticks (about 4 feet high) and now it's only missing a door and a roof.  Is the idea of building a house from forest resources and then living in it feasible or just plain crazy?
20090305014204AAloFw9	Society & Culture;Religion & Spirituality	Spiritually speaking, is the avatar Allah Kaboom! is using a pic of Mohammud?	It's definately a Muslim. What do you think?
20090305004042AAdAlAB	Society & Culture;Religion & Spirituality	In the geeta what does it mean it says u should help those who are deserving?	In the geeta what does it mean it says u should help those who are deserving?   who is deserving and who isnt
20090305001937AAiNKHP	Society & Culture;Religion & Spirituality	In the geeta what does it mean it says u should help those who are deserving?	who is deserving and who isnt
20090305015755AA97dFS	Society & Culture;Holidays;Other - Holidays	Wat can we do for our 14th birthday?	me and my best frend want to hav our b-day 2gez but not sure wat to do for activeites and wat date to put it on. hers is on the 20th my is on the 12th ... wer plannin to hav the party on a weeekend.(its a week away)      we were think of: inviting 6 of our frends,   my bestie really wants to go to this place wer u can take pix n make them luk gud [area 58 or sumting] but not sure wat to do the rest of the evening.      any ideas???   go to shops, park, her house, city etc...........?????????   Heeelppp..!!      thnx,
20090305020554AACraSL	Society & Culture;Religion & Spirituality	Dear Muslims- where can I get a complete list of haraam and halaal ingredients?	I need to get a list of all haraam ingredients(food coloring, terms that are used in foods that come from animal sources for example lard, gelatin,animal shortening,etc).      JazakAllah Khair
20090305011349AAwH2id	Society & Culture;Religion & Spirituality	Are people who attend evangelical free churches Evangelical Christians?	And are Evangelical Christians another group of Christian? Like Anglican, Methodist, Baptist are groups of Christian. Are Evangelical Christians another group?
20090305004218AAlFtLy	Society & Culture;Languages	How do I turn a verb into someone doing the verb? Spanish?	How do I turn a verb say "Amar" into lover, or correr into runner.   Is there a conjugation to do this?      Thanks,   Me
20090305011140AA09ukB	Society & Culture;Languages	Haha I am thinking about doing something weird to learn spanish?	ok, I have been speaking spanish for 2 years and I type very well, but I get scared and my speaking isn't as good.       My friend gave me a number to a live chat phone number and it is in spanish so i was thinking about using it to practice my spanish.      Weird I know, but do you think it would work? it gives me someone to talk to in spanish.      Thanks
20090305020635AApI1Sa	Society & Culture;Other - Society & Culture	Do you think older people treat teenagers right?	sometimes i think that older people look down on teenagers and they are always saying how we misbehave all the time and have no respect but surely they should not judge the whole teenage community on a couple of people?   also whenever i hold the door open for oap's i have never heard anyone say thankyou they usually just give me a dirty look and walk off - what did i do wrong?   i know that not all of older people are like this so im not going to judge all of them by how some people act but it really annoys me sometimes
20090305021804AAZRD9q	Society & Culture;Other - Society & Culture	To those living abroad, what are the dis/advantages in raising your children in a foreign country?	please state which countries you are from and currently in..
20090305003147AAYG1S4	Society & Culture;Holidays;Ramadan	What is the correct way to take fard (necessary bath) after menses?	Please don't mention shia and sunni way. I just want to know what a Muslim is supposed to do.
20090305020213AAXhNnF	Society & Culture;Holidays;Other - Holidays	Friday the 13th next week! answers please!!?	my birthday is on friday the 13th, next week!   i'm turning 15 and my 15th is going to be a 'friday the 13th' type party.   :)   i'm going to make like a collage of all things to do with friday the 13th..such as scary movies etc.   but i figured scary movies and black cats and ladders isn't really original, so any other more interesting unique ideas?         thankyou so much if you answer,   it would be a great help.      :D
20090305005553AAFhTmY	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What race do I look like?	I'm curious to know because people are always confused!   I'll add my real race to description after I've received some answers.   Links to my pics taken by my webcam :P    http://i42.tinypic.com/eze2xv.jpg     http://i42.tinypic.com/23r0flz.jpg     http://i42.tinypic.com/2wcjm7q.jpg 
20090305005459AAZBCo5	Society & Culture;Religion & Spirituality	Are athiests the ungodly version of Christains?	Looking at the two, I'm okay with Christians calling me an "athiest" if I get to call them "Christains." Anyone else feel the same way?
20090305021345AAuJ2RS	Society & Culture;Religion & Spirituality	Skeptics: Is it religion or inflexible ideology that troubles you?	Or both, do you think they are one in the same?
20090305003303AAu8JkQ	Society & Culture;Religion & Spirituality	A question for Christians?	I go to a school where people have very low moral standards and couldn't care less about God. I'm doing the best I can to not fall under their influence, but sometimes it just happens! Like yesterday... we were having a Psychology class and the teacher made us criticize each other to see how it would all turn out... you know, kind of a role game. I should've said something but I didn't. I just did what I was told instead of standing up and saying that it's far from good to criticize others. Next week each one of us will have to give their examples of constructive criticism... and I don't want to do that! It's just wrong, isn't it? So what can I do? Any suggestions?   I would be more than glad to behave like a true Christian should, it's just... I'm afraid people will say I'm a hypocrite because my behavior wasn't that splendid in the past... and if I suddenly start talking about God and how things should be...people won't believe me, you know what I mean? For example, if I say, criticizing is wrong, nobody will believe me because I criticized in the past.
20090305010152AAEbJlf	Society & Culture;Languages	Should i take a Gap year after i finish school?	I'm in my final year of high school, and don't know if i should do a gap year (a year travelling/working/volunteering overseas) or go straight to university. I'm not really sure of what i want to study at uni, so i thought taking a gap year may help me decide. On the other hand it's very expensive and means that i would start and finish uni later. All advice would be appreciated. especially personal experiences!
20090305013806AA5RmXP	Society & Culture;Religion & Spirituality	Where do Christians get their morals from?	if God did exist , as many of you disrespectful theists say , how and why would you say that what Hitler did was wrong? Where do our human intellectual minds get moral reasons from? How can we distinguish bad from good? if there is a god, how can we have a mind that is able to create , think, and many other things. if God did exist one person could kill another person and there wouldn't be nothing bad about it. but because God would forgive them afterward  . Without god you have to use reason and applied philosophy to arrive at a workable moral code . Morals are survival values and things that make you a bad neighbor aren't survival values . Killing and eating your neighbors will get you food but your neighbors in order to survive would be morally right to kill you if necessary to stop your immorality .    http://www.nobeliefs.com/nazis.htm       No God , know Peace . Know God , no Peace .       http://answers.yahoo.com/question/index?... 
20090305015154AAZF89a	Society & Culture;Religion & Spirituality	Why is it that recently i have felt a 'pull' to go to church?	I have recently become very interested in wanting to go to Church and learn about God. I think I might look into the local churches and start going. It's like a 'pull' that is making me want to go there. If God wants me to go to church, I'm just wondering why now though? I'm nearly 25 years old, why didn't this 'pull' start earlier on, like when I was a teen or something? I have done things I regret like getting a tattoo, doing some naughty things etc and God could have stopped me from doing all this by making me want to go to church years ago? Your thoughts are appreciated xx
20090305012900AAYSxP6	Society & Culture;Etiquette	How does one nicely turn down the girls selling girl scout cookies?	Every time I go to the store I have to turn them down and it never gets any easier. The last time I went to the store saying "Maybe later". When I walk out the girl literally yells at me saying "You said you would buy them on the way out!!" It was pretty embarrassing as I hurried to my car. I just hate turning them down but how do I do it nicely?
20090305000356AAO5mHr	Society & Culture;Other - Society & Culture	Should unisex restrooms have urinals in addition to stalls?	N/A
20090305010505AAa4Vua	Society & Culture;Religion & Spirituality	Creationists, can you prove that Kent Hovind's 'ice canopy' existed?	N/A
20090305015530AA1TAnF	Society & Culture;Religion & Spirituality	Spiritually speaking, will you spill the wine and take that pearl?	N/A
20090305020051AAV1O43	Society & Culture;Religion & Spirituality	Spiritually speaking, I got my mind set on you, but it's going to take...?	What is it going to take?
20090305012038AAPWxyN	Society & Culture;Religion & Spirituality	What is "Pericope adulterae"?	..and what the argument about it?
20090305012653AA3y6pw	Society & Culture;Religion & Spirituality	Are you genuinely happy most of the time?	Please don't lie.      What are your religious beliefs?
20090305014835AAg7Gg8	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Which asian race is the hottest(no asians, as they will be bias)?	what's your opinion from the eastern asian..      korean?   japanese?   chinese?   vietnamese?   thai?   taiwon?   mongolia?   any other?         no answers like beauty comes from within or there are pretty and ugly..
20090305021908AAJFBvL	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Do gay couples really want the same rights and privileges that hetero couples have?	If so, why not lobby for such a civil union and call it something other than "marriage".  Is it wrong for hetero couples to want to keep this word for themselves?  If anybody is to be truly honest about the subject they will realize that nobody really objects to gay civil unions, but don't want to share the word "marriage" with such unions.
20090305000931AAzUTJ5	Society & Culture;Languages	I am having trouble with Spanish grammer...?	I've just begun to learn Spanish and am wondering if anyone knows of a good website that can help me with the grammer. It should preferably be in Spain Spanish not Latino Spanish. thanks
20090305013752AAaoUtK	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Are there any people who used to be gay and aren't anymore?	N/A
20090305014852AApExfc	Society & Culture;Religion & Spirituality	How many Christians believe that homosexuality is gay?	N/A
20090305014322AADjsZl	Society & Culture;Languages	Simple japanese help?	what does this mean?   lucy ha itsumo tomodachi to ishyo?   condone, watashitachi de Mcdonalds ni ikitaino!    lucy ishyo ni ikanai?      thank you :]
20090305005037AAOVT6Z	Society & Culture;Languages	Translate this simple japanese for me?	hitori de irucoto ga ooidesu   thanks :]
20090305013833AAKiFvK	Society & Culture;Religion & Spirituality	Why did the Mormon Missionary on mormon.org spam me?	 http://i694.photobucket.com/albums/vv306...        http://i694.photobucket.com/albums/vv306...        http://s694.photobucket.com/albums/vv306...        http://i694.photobucket.com/albums/vv306...        http://s694.photobucket.com/albums/vv306...       I was just messing with him, and he told me to go look up some bible chapter, and then he kept spamming the link..
20090305020952AAp0gv4	Society & Culture;Religion & Spirituality	Spiritually Speaking, who on R&S has the most harmonious booty?	N/A
20090305005320AAh8YzR	Society & Culture;Religion & Spirituality	Satanists: If we are meant to be created in ' God's ' Image...?	And God is supposedly the balancing force in life and nothing more not a diety or an almighty being does that mean we are Gods ourselves and have the right to keep the balance of the world in our hands?      New found Atheistic Satanist, still learning the facts. Can anyone help me with this question?
20090305000256AA5i9LN	Society & Culture;Religion & Spirituality	Is God happy to see those who suffered in hell?	N/A
20090305004444AA8LHjO	Society & Culture;Religion & Spirituality	If I am a good and loving person not believing God,is He happy to see me suffered in hell after death?	N/A
20090305004049AAt2oE8	Society & Culture;Religion & Spirituality	Is 2012 a good year for religion to end?	N/A
20090305010546AAW1xP2	Society & Culture;Languages	What would you say this qoute is?	your power hungry sellin soldiers   in a human grocery store   aint' that fresh!      metaphor? similies hyperbole i donno do you no?
20090305011553AAlgRJH	Society & Culture;Holidays;Halloween	Themed Partayyy Costume?	So I'm going to an Outer Spaced themed dance partay, what are some costume ideas. It is a church event so I can't be looking hoochi! Thanks loverrrsss
20090305004612AAhg83i	Society & Culture;Religion & Spirituality	If Jesus was to be born again when u are alive, what will you do?	I would spit on him, and kick on his curve
20090305001754AAysawS	Society & Culture;Religion & Spirituality	Why did Jesus shaggg Mary?	N/A
20090305010940AASc0Sb	Society & Culture;Religion & Spirituality	What are your views on Wicca?	N/A
20090305010454AAQd1W9	Society & Culture;Religion & Spirituality	Is forcing children to attend church child abuse?	The law stipulates you must be over 18 to be mature enough to select a president, but religious types foist their beliefs on kids straight from the womb, way before they are capable of making informed independent decisions. Why not wait until they're 18 and let them decide for themselves.   There is no such thing as a christian child, just a child of christian parents.
20090305012416AAoIzOp	Society & Culture;Religion & Spirituality	Is the mocking of religion essential for the triumph of rational thought over mumbo jumbo?	This is for the atheists out there. Don't waste your energy with hell fire nonsense, cut & paste nutjobs need not reply.
20090305004826AA4nzBJ	Society & Culture;Religion & Spirituality	Muslims, are you supposed to wash your private areas for wudu?	ok i know you are supposed to perform full ghusl if this is your salah after giving birth, having sex, if you wake up from a "wet dream", etc. but if its just normal wudu before salah, are you required to?
20090305004613AAsLkBc	Society & Culture;Cultures & Groups;Other - Cultures & Groups	A BRAZILIAN and a MOROCCAN ?	I am Brazilian and my bf is Moroccan. What is your first thought when hearing this interracial couple?      and why do I get so much hate from moroccan girls? they always say things like they can't believe he left his own kind and that he is changing :S
20090305000732AA03lS9	Society & Culture;Other - Society & Culture	How many times do you use the same towel, before getting a new one?	Why do we wash bath towels? Aren't we clean when we use them? lol jk
20090305015020AAbM2wS	Society & Culture;Religion & Spirituality	Is Mary the Queen of Intercessory Prayer?	What little we know of modest Mary from the Bible tells us that she is the best of any to be a confidante and petitioner.  She repeatedly keeps many secrets about the divinity of Jesus "in her heart."  She petitions the Lord for the married couple at the wedding of Cana without explaining why.  It seems that the secrets of our hearts are safe with her.      She is a completely safe advocate with the Lord, who will do as she asks.  Isn't this the ultimate in intercessory prayer?
20090305011928AAIkCQK	Society & Culture;Other - Society & Culture	Was Hitler all bad...?	I mean, can we say anything nice about Hitler without seeming to support his policies?
20090305015506AAu41xP	Society & Culture;Other - Society & Culture	Why does everybody always?	generalize all the time?
20090305002854AAbVDtP	Society & Culture;Other - Society & Culture	Is anyone on here from Greenville, SC or close by?	I am just seeing if anyone from the city I live in is on. Lol
20090305004934AAvKXDG	Society & Culture;Languages	Can someone teach me any tricks in speaking italian?	N/A
20090305012031AA1UBbM	Society & Culture;Languages	Can u tell me some essential words in german i should learn?	N/A
20090305011952AAfaXzc	Society & Culture;Languages	Can u tell me a few essential words in italian i need to learn?	N/A
20090305005728AAO1heL	Society & Culture;Religion & Spirituality	Why why why is it really? hmm?	okay..when u read stuff ppl write about on yahoo answers  and some  write bad comments about the answer and u read it...does it make u feel bad.. or make u mad         could it be sinful if u read it?
20090305001453AAAQoyj	Society & Culture;Religion & Spirituality	It is the fact today that in Europe Is the rapid growing religion. what is the matter?	i want to know what is matter islam is growing rapidly in Europe.
20090305021942AAc65WA	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why do Christian girls mostly do lesbian sex?	Don't they have chance to have with men or men are not able to fulfill their desire
20090305012336AAM3Qw6	Society & Culture;Other - Society & Culture	What is happening to the world?	I'm 13 in the 8th grade.   I live in Southern California and all around me my friends are getting drunk and high...it's crazy. I've been tipsy before, but that's nothing compared to the kids who are giving/receiving head and all that. it's ridiculous       i'm pretty street smart you know you know but its just kinda crazy to think all of this stuff is happening in this generation compared to previous ones      why is this happening to my generation?
20090305020606AAv6J0i	Society & Culture;Languages	What means "What's up?" in Spanish, Que pasa or Que tal?	I'm taking Spanish in school and yes, I COULD just ask my Spanish teacher this but, eh.  I'm here.  So, which one means what's up?  I heard Que pasa means What's happening or What's up and Que tal means how are things, but I've also heard that que tal means what's up so which one is it?  (Hope that made SOME sence.)
20090305011838AAGSs0x	Society & Culture;Religion & Spirituality	What is this Cameltoe that everyone seems to talk about?	My friends are constantly pointing at women and saying they have cameltoes, but how can the tell when they are wearing shoes???? I am French you see and this new lingo is (as we say in France) "Getting up My Chuff!" (it sounds better in French)
20090305000706AAFrNHh	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Tops, bottoms and famous people.?	Tops, who would you bottom for and bottoms who would you like to top and why?   Personally I got with the flow but I would have to strictly   Bottom for: Cathy debuono   Top: Angelina jolie
20090305015030AAzha1X	Society & Culture;Other - Society & Culture	I'm upset from generalisations, what can i do to be unique and original?	-At work, someone i was talking to someone, they assumed i was studying accounting or computing at uni because of my brown skin, or 'indian' looks      -When people guess where i'm from they guess india, but i'm an Australian born Mauritian, one of the two islands near Madagascar      -Can't complain because i feel like a racist
20090305000249AAfbWGj	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Do you believe Racism is out dated in America?	N/A
20090305002059AALnFQ9	Society & Culture;Other - Society & Culture	What are you most likely to judge about a person when you first meet them?	And don't say you don't judge people, because everyone does
20090305004528AA1yw3o	Society & Culture;Religion & Spirituality	Is "the devil" included in the  "Creation"? Did God created  him? Where is "the devil" from?	N/A
20090305003556AAscpVP	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why is it that if you on't agree with someone else you are deemed "ignorant"?	I don't mean to sound conceited but I am a very well-educated and well-informed individual. Through taking AP and honors courses in school I've learned a lot of science I don't care too much about and I actually study history for leisure by myself. I like to study genetics and the human body, anthropology, geography, medieval history, and I epecially like to study the connections between the great ancient empires ("the meeting points" i.e. Central Asia, the Huns, the Mughals). If you gave me a blank world map I could probably fill in 95% of the world's 200+ countries.       Yet I am called "ignorant" for saying I'm scared to go into Compton by myself. Why must we live in a day and age where we cannot express our opinions without shutting the other person out? That's being close-minded.
20090305000218AAsW2iQ	Society & Culture;Religion & Spirituality	Why do people don't try to find the truth about true religion ?	people are busy earning money ,fame etc but they are loosing  all good things in life why do they don't turn towards truth and see how pure and good they will feel after realising that there is only one god the supreme power, the creator...how they will face god hereafter??
20090305000451AApZFP6	Society & Culture;Religion & Spirituality	I feel like i'm at my end?	I am 21 -- I'm hurting on the inside  very badly and no one knows.  I feel lost, alone, abandoned, and hurt.    I've never had a girlfriend and ironically enough -- its the one thing I've always wanted -- I'm a pre-law student and honestly dont care about the money of a lawyer compared to finding that someone.  I've prayed over and over for God to send me that right person and for years i've been without a response -- or at least without a "yes" response.  my faith has been shaken because my emotional state of being is extremely critical and unstable now.  i can't find a reason to get up in the morning -- much less to continue living.  I feel very much alone and cry myself to sleep often.  I can't find an answer to go on putting effort out for school, my job, or my life in general.  I've failed many many times when i try to reach out and try finding a girlfriend -- i've gotten every possible no response imaginable -- from "i'm focusing on school",  to "i can't", to "actually, i have a boyfriend", to "sorry, i dont wanna risk the friendship."  -- I just feel like everytime i take a chance i end up shattering my self-esteem even more, and the tape i'm using to put the shards of my heart back together just melts away every time i  encounter rejection.  I dont' know what to do anymore......
20090305000912AAXxiaE	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is My Cousin a Lesbian?	I went on a trip to NJ last weekend with my cousin and one of her girlfriends, I'm only 13, my cousin and her friend are in their 20s already. to save money we stayed in one hotel room with two beds. My cousin said she wanted to sleep in the same bed with her friend, so I could have my own bed.      But at night, I was woken up by a noise, I didn't get up or move. I saw my cousin and her friend were both under the sheets, their entire bodies were covered and I couldn't even see their faces. But it seems like they were directly on top of each other. I could only see their hands hanging out at the top of the bed, they were holding both hands with their fingers crossed, so I knew they were face to face. They stayed that way for a long time, and it seems like they were pushing each other or having some sort of test of strength, I got a lil scared because I thought they were fighting. They stayed like that for at least an hour or so, they didn't let go of each other's hands at all, it was kinda like hand to hand wrestling or domination of some sort.      Is my cousin a lesbian? I can't be sure since I didn't see anything clearly.....or were they just wrestling?
20090305000830AAJXEf4	Society & Culture;Languages	Can someone translate these names in to Japanese and Korean for me please?	Peweli (Pay-way-lee)   Beverly   Matt   Kyo (Key-O)   Eben   Jeff   Lucius (Loo-shas)   They're the names of my kids and husband. I'm wanting to make a family thing with everyone's names. Thanks
20090305002208AAjgLoV	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I'm kinda confused just give your opinion?	I never liked a girl until i was like 16 and i got my first girlfriend at 17 and we recently broke up, i'm 19 now.       And well the question is ..I don't know, well I don't like to identify myself as "lesbian" i don't even like the sound of it, and i'm not completly sure that I am 100% gay cause sometimes i do fantasize about boys but I don't see myself in a relationship with one, most boys are unfaithful and assholes and well the point is i think i like girls more than i like boys but maybe i kinda still like boys and the thing is that i wanna have a traditional family and all that stuff, you know?    if i try to do that with a girl it's really complex and i dunno..   If two girls could have a baby (i mean nothing artificial) then everything would be perfect and i would know what to do.      what do you think about this?
20090305001043AA9blWx	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Are crusaders still out?	?
20090305001218AAQ3FwS	Society & Culture;Other - Society & Culture	Why do people shake after they urinate?	N/A
20090305001730AADrMFC	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Curious and confused?	i want to know what it is if in everyday life im calm and passive, not much bothers me, but when something happens and i get upset or angry, i completely lose it. Crying and carrying on like a lunatic. Then when its over and i calm down its like someone else took over my head. its surreal, it wasnt me.i can look back and literally be amazed at who that girl was. i dont get it and im confused. can anyone help
