20070124155033AATIYG7	Sports;Football (American)	Where can I get a URL for a picture of mine?	(the picture is large..fits my computer screen)
20081114103054AA8nmP9	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Qual o melhor time inglês hoje?	N/A
20081114114805AAvOmkR	Sports;Hockey	Will anyone catch Gretzky's single season goal record?	i would like to think crosby can break that record but 92 goals in one season is hard to top.  
20081114120832AAjPAqD	Sports;Football (Soccer);Other - Soccer	Homens, o que pensam ao verem uma mulher jogando bola?	Detalhe por detalhe. =D)
20081122152025AATxg9u	Sports;Football (Soccer);Other - Soccer	Juca Kfouri: "diz :O desespero é péssimo aliado para os times que est?o lá em baixo.?	N/A
20081115073046AAOaGs6	Sports;Wrestling	Who is fatter Beth Phoenix or me?	i'm 50 lbs    waist - 20 inch      AQ: Who's stronger by how far
20081114232900AA8pkD9	Sports;Hockey	2008-09 NHL PLAYOFF PREDICTIONS?	Eastern Conference 1st Round      (1) New York Rangers - vs - (8) Toronto Maple Leafs      New York Rangers win series 4-0      (4) Pittsburgh Penguins - vs - (5) Montreal Canadiens      Pittsburgh Penguins win series 4-3      (2) Washington Capitals - vs - (7) New Jersey Devils      Washington Capitals win series 4-3      (3) Boston Bruins - vs - (6) Buffalo Sabres      Boston Bruins win series 4-2               Western Conference 1st Round      (1) San Jose Sharks - vs - (8) Nashville Predators       San Jose Sharks win series 4-1      (4) Anaheim Ducks - vs - (5) Calgary Flames      Calgary Flames win series 4-3      (2) Detroit Redwings - vs - (7) Vancouver Canucks      Detroit Redwings win series 4-2      (3) Minnesota Wild - vs - (6) Chicago Blackhawks      Chicago Blackhawks win series 4-2               Eastern Conference 2nd Round      (1) New York Rangers - vs - (4) Pittsburgh Penguins      New York Rangers win series 4-2      (2) Washington Capitals - vs - (3) Boston Bruins      Boston Bruins win series 4-3               Western Conference 2nd Round      (1) San Jose Sharks - vs - (6) Chicago Balckhawks      Chicago Blackhawks win series 4-3      (2) Detroit Redwings - vs - (5) Calgary Flames      Calgary Flames win series 4-2               Eastern Conference Championship      (1) New York Rangers - vs - (3) Boston Bruins\      New York Rangers win series 4-2               Western Conference Championship      (5) Calgary Flames - vs - (6) Chicago Blackhawks      Chicago Blackhawks win series 4-3               2008-09 STANLEY CUP      (Eastern Conference Champs)   NEW YORK RANGERS                                                                   VS         (Western Conference Champs)   CHICAGO BLACKHWAKS         NEW YORK RANGERS WIN STANLEY CUP 4-1         2008-09 STANLEY CUP CHAMPIONS  NEW YORK RANGERS
20081115164329AAoHygM	Sports;Football (American)	Last night our football team played against another high school?	im the senior kicker on the varsity football team. it was our last game of the season, and we werent gona go to playoffs anyway but it was a last game to play.      it was 20-18 with 20 seconds to go and we had the ball at the 38 yard line with a 3rd down. our qb ran it to the middle and gained it to the 35 yard line then we called time out and the coach asked me how i felt about kicking it. i said id give it my best and try to win the game.      so i went out there and as i was setting up and getting ready to kick, they called the timeout to mess with my head. then i talked to the holder and told him it was our time to make show for the people and our team he agreed. as i kicked it, i had a good kick to it but it went to the left a little bit and i missed it.      we lost the game. i cried after the game and just put my head down. the coach and the players walked over to me and told me it wasn't my fault.      i really feel like sh*t still. i really thought i had it. i had the power and distance but it just went wide to the left by a little bit.      i really feel like ****!!!! is it 100% my fault we lost?
20081115181350AAMGjTv	Sports;Football (American)	Why is Ohio State the best team in the world?	N/A
20081116070252AAnUPY0	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Liverpool fans- Why don't we have a song for dirk kuyt and renia and agger. Any suggestions for songs?	For god sakes keane has one,... we actually need ones for the goood players i mentioned   Any suggestions for songs?
20081117154438AAHGhOE	Sports;Wrestling	What do you think of me being a wwe diva?	 http://s151.photobucket.com/albums/s130/...                   I know its gonna be hard and stuff   but do you have any advise for me   I was thinking of going to do the Diva Search   LOL I dont know   SO MANY PEOPLE TELL ME ITS A WASTE OF TIME    BUT I DONT BELIEVE THEM WHAT SHOULD I DO?
20081122094152AATDLnw	Sports;Fantasy Sports	Who is the best player @football in the planet?	N/A
20061101032701AAh3N2u	Sports;Football (Soccer);Other - Soccer	Weshalb kann der 1.FC Kaiserslautern nur am Wochenende gewinnen?	Seit Dezember 2000 gab es an den Wochentagen von Montag bis Donnerstag keinen einzigen Punktspielsieg mehr.      Meilensteine auf dem Weg zum Abstieg und in der 2. Liga ging jedes Montagsspiel verloren. Zufall, Fluch, Biorhythmus, Idiotie von Vorstand, Trainern und Spielern?
20061221214649AAOAHQV	Sports;Fantasy Sports	In their respective primes, John Elway or Brett Favre?	Both had good mobility and cannon arms, the physical talents to beat anybody anytime. Who was better? Who had better arm?
20061210095025AAoeeaz	Sports;Other - Sports	Ein kluger Mann hat mal gesagt, man müsse den K?rper fit halten, um im Geiste fit zu bleiben? Stimmt das?	Ich glaub es gibt da Gegenbeispiele...!
20061103043301AABhag8	Sports;Other - Sports	Wie trainiere ich optimal ...?	...um vom umtrainierten jogger, zum trainierten jogger 1h druchlaufen kann, wie w?re der trainingsplan um die ausdauer zu steigern?
20061025111118AAGdrqF	Sports;Golf	Haltet Ihr Golf für eine Reichensportart??!!?	Ich würde gerne eure ehrliche Antwort wissen !!!
20061030032553AAx4eEk	Sports;Tennis	Warum sagt man im Tennis fast alle W?rter auf Englisch ?	Lop, Slice, Top spin, Return, etc  Out  Love, etc  Game, Set, Match  etc
20061114060845AAB2K0O	Sports;Auto Racing	Vocês acham que o Felipe Massa será um segundo Senna?	N/A
20081220081148AA862Se	Sports;Martial Arts	UFC 92...Qual o Seu Palpite pros seguintes Combates...>>>?	Forrest Griffin x  Rashad Evans...      Rodrigo Minotauro x  Frank Mir...      Quinton “Rampage” Jackson x  Wanderlei Silva...
20061214230324AAp0oT8	Sports;Cricket	India VS south africa?	from india who will score how much,    you have the batsman,    shevag   jaffar   dravid   sachin   laxman   saurav   dhoni      now tell me who will score how much runs, let's see!!!!!
20081126140713AA7pSR7	Sports;Football (Soccer);Brazilian Football (Soccer)	Time pequeno querer ser cabe?a de chave na libertadores é petulancia?	 http://globoesporte.globo.com/Esportes/N... 
20090109190645AAmDPJz	Sports;Other - Sports	Can i get sponsored by a skate co. even if i suck?	i would like to be sponsored by someone because i think it would give me more of a push to skate if i was sponsored. But i suck really bad and it would be nice to be sponsored
20090110191136AAbzM82	Sports;Football (American)	Does watching the NFL playoffs make you wondering what the NCAA would be like if they had the playoffs?	N/A
20090110191009AA2CqmX	Sports;Football (American)	Super Bowl Predictions!!?	Tell me who u think will meet this year? im not sure of the other team but im bettin on Philly to go!
20090114102025AAkwK5y	Sports;Football (Soccer);Brazilian Football (Soccer)	Qual time melhor se refor?ou para o Campeonato Carioca 2009?	Na minha opini?o, foi o Fluminense, apesar de que o Flamengo ser o time franco favorito e o time à ser batido nesse campeonato.
20090412153159AAHxfqU	Sports;Boxing	Weight for a 14year old Boxer.?	What division would i be in if i was 120-121 pounds?
20060626154647AABB92I	Sports;Football (Soccer);2006 FIFA World Cup(TM)	What team do you think has the best chemistry?	i say germany!
20060703203154AAdPQ8G	Sports;Basketball	Is Mike James of the Raptors one of the most ignorant athletes out?	javascript:rgmow('/rgmow.php?aid=41272',...      Whenever he's quoted in the papers, it's always something dumb.      There are more quotes from him out there. Most are pretty stupid.
20061030042508AAsYZmw	Sports;Other - Sports	Warum ist im Moment Poker in Deutschland so beliebt?	N/A
20061030044008AAuA0vY	Sports;Snooker & Pool	Ich verstehe Snooker nicht!!?	Snooker sieht total albern aus.   10 oder mehr rote kugeln   und dann noch von jeder Farbe eine weitere.   Bitte helft mir!
20061030084401AA4augI	Sports;Outdoor Recreation;Other - Outdoor Recreation	Wie finde ich die richtige Snowboardkleidung?	N/A
20061101001421AAXSRM2	Sports;Other - Sports	Wie trainiere ich die Innenseiten der Oberschenkel effektiv und das der Speck wegkommt???	N/A
20061101035012AAPpavp	Sports;Winter Sports	Kann man in Jena im Winter Langlauf machen?	Gibt es dort Loipen oder dergleichen und wie schneesicher ist die Region?
20061101032918AATJayh	Sports;Football (Soccer);Other - Soccer	Warum ist der orginal Fussball schwarz-weis gefleckt?	N/A
20061101143400AAr4tEl	Sports;Football (Soccer);Men's Premiere Leagues (Other)	Was macht ein Dart-Profi am Beckenrand?	Ich habe in meinen 186 Jahren, die ich lebe, noch nie so viele Dartprofis an Beckenr?ndern gesehen, wie diesen Sommer. Was genau hat diese Aussage mit dem Fakt, dass ich bezüglich auf mein Alter gelogen habe zu tun (ich bin 195!)?   Bitte helfen sie mir, ich bin nunmal schon etwas senil.
20061116182010AAjASp7	Sports;Other - Sports	Can somebody give me a streching routine?	I want a routine I can do everyday for 10-15 mins. I REALLY need to become flexible. (Im a dancer and ice skater) Please give me some steches that will make me flexible and aren't too loud. HELP!!!
20061117042936AA9wpl1	Sports;Basketball	Wie heisst O. J. Simpson mit komplettem namen?	N/A
20061119075549AA2JMJO	Sports;Cycling	Ich m?chte mit mein Fahrrad auch im Winter fahren geht das,oder brauch ich ein anderes Fahrrad?	N/A
20061119054604AA1PSkz	Sports;Other - Sports	Can u tell me how to perform a touch jump?	N/A
20061119154113AADilJV	Sports;Other - Sports	Were can i sell my sports card?	i live in Los Angels California
20061122102722AA7Lr2E	Sports;Other - Sports	Wieso denken M?nner sie w?ren besser als Frauen in sport!!!???	N/A
20061122210912AAc7blB	Sports;Basketball	What is the most popular sport in USA based on statistics?	I need links please.
20061204071738AAgLmAd	Sports;Other - Sports	Klettern? mit wem?	wo finde ich eine/n guten pt oder verin oder kurs oder ... fürs klettern? habe bereits einiges an grundwissen erwerben k?nnen. brauche aber intensiveres (v.a. indoor) training für den raum hamburg. falls ihr selbst mal nen guten hattet oder mehr wisst... ich freu mich drüber!!!
20061130215501AAdQ1dP	Sports;Fantasy Sports	Who should I start at WR this week?	Here are my options: Roy Williams, Anquan Boldin, Joe Horn, Devery     Henderson, Jerricho Cotchery
20061201214612AA45pZg	Sports;Football (American)	Is "The U" the most classless program in America? Will this change?	We all know there are teams like Oklahoma that love to run up the score and win games 77-0 and go for it on 4th and 10 with the game well in hand. But anything OU does is NOTHING compared to what Miami has done over the last couple of years. Do you know of any college program that starts fights with other teams? (see LSU , FIU) Do you know of any other college program of late that stomps on opponent's logos before games? Do you know of any other program that recruits criminals (Willie Williams) and has athletes recording offensive rap songs? NO. Miami is BY FAR the most classless college program in America and still hasn't gotten rid of their "punk" image. No wonder Sports Illustrated , in 1995 , once called for them to quit Div I-A football. LOL.       Anyways , notice how no one wants the Miami job? Might as well bring someone up from within (i.e. Shannon). Good luck Miami , because you're still going to blow even with a new coach.
20061208203530AAYadVF	Sports;Other - Sports	What are some good ways to stretch for splits?	N/A
20061212204029AArJm2i	Sports;Football (American)	Nonwinning super bowl teams?	who has not won a super bowl in all super bowl history
20061215113444AAxrXQq	Sports;Wrestling	How do you get out of a wrestling hold?	N/A
20061216154229AAbxBeX	Sports;Fantasy Sports	Who to start: Marion Barber or Chester Taylor?	N/A
20061217141756AAcztks	Sports;Football (American)	Chiefs or chargers? line is 9?	N/A
20061217162954AArdrxY	Sports;Fantasy Sports	LT LJ and gates?	Projections on what you think LT and LJ and Antonio gates will do tonight?      yards and TDs please
20061219134100AA1te5B	Sports;Football (American)	Do you like chad johnsons new cleats?	N/A
20061221230751AAlZrYp	Sports;Fantasy Sports	My Fantasy Basketball team?	How can i make it better? i have posted a question already about it.. took some advice from them... but i'm REALLY not sure it have a chance... I ditched the team i drafted becuase it is not consistant at all. and i got what was left of a depleted free agent market, tell me what can i get pick up thats hot right now.. and what kind of POSSABLE trades i can make.... also what is wrong with my team.....       Jamaal Tinsley   (Ind - PG)      Raja Bell   (Pho - SG)      Jamal Crawford   (NY - SG)      Adam Morrison   (Cha - SG,SF,PF)      Sean May   (Cha - PF)      Tim Duncan   (SA - PF,C)      Erick Dampier   (Dal - C)      Alonzo Mourning   (Mia - C)      Samuel Dalembert   (Phi - C)      Chucky Atkins   (Mem - PG)      Kirk Hinrich   (Chi - PG,SG)      LaMarcus Aldridge   (Por - SF,PF,C)      Lamar Odom   (LAL - PF, F)      The League link is:         http://basketball.fantasysports.yahoo.co...       My team name is Da Timberwovles      Thank you
20070111084837AAviqTs	Sports;Football (Soccer);Brazilian Football (Soccer)	Você acompanha a Copa S?o Paulo? Qual a importancia desta na sua opini?o?	Vejo muitas pessoas dizendo que a Copa S?o Paulo n?o serve para nada, que é perda de dinheiro e de tempo...   mas será mesmo?   Eu n?o concordo, acho que tem sim suas utilidades...      mas deixem as suas opini?es..       Beijos
20070111173749AAPCDVG	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Aps vermos esse fracasso dos Ronaldos,Kak e cia.Deu saudades da era DUNGA?	Dunga foi muito criticado como jogador na sele??o,porque tinha ra?a e n?o tinha vergonha de ter a humildade de marcar,essa mesma imprensa que idolatrou as "estrelas" do fracasso.DUNGA voltou com a ta?a,ninguem critica a imprensa?
20070115104724AAJ3EWm	Sports;Running	Correr ou andar de bicicleta? Quero come?ar a fazer uma atividade física que combata a flacidez !?	Mas n?o quero emagrecer. Qual atividade fisica posso fazer nas ferias que combata a flacidez? porque depois das férias vou retornar a academia e aulas de muscula??o.  Obrigada a todos que responderem.
20061231001827AAQieMf	Sports;Baseball	I need an autograph?	tony gwynn is my hero. ive had this framed poster of him with his batting titles (seven silver bats) that needs a signature bad. ive had it forever. funny thing is, he lives less than 5 miles from my house. How can i acquire this auto? any ideas would help
20070102131626AADYqdb	Sports;Baseball	How well do you know the Sox?	Without looking at any source, name as many Boston Red Sox players as you can, please don't cheat I'm using this as a servey.
20070103185943AA6MqL8	Sports;Martial Arts	Na sua opin?o qual é a diferen?a entre "Luta" e "Arte Marcial"??	"se você conhece o inimigo e conhce a si mesmo, n?o precisa temer o resultado de cem batalhas."   Sun Tzu (A arte da guerra)
20070107142240AAdH6pe	Sports;Football (Soccer);Other - Soccer	Qual a melhor marca de chuteira Adidas, Kappa, Nike ou puma?	N/A
20070109134808AABU79j	Sports;Wrestling	Is Triple H actually hurt or is he just laying on the beach somewhere taking a break?	N/A
20070113164326AAdFRSJ	Sports;Football (American)	Do nfl players recieve any $ for winning a playoff game?	help solve an argument.
